series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14
S,456667.8503602803,456472.0056738395,456311.2132699604,456161.1354321065,456010.4157159222,455853.5482477458,455687.66026973235,455511.05535496277,455322.5527615737,455121.18769376,454906.0754463841,454676.3501165875,454431.13737260347,454169.5429106637,453890.6482807386,453593.51032503915,453277.1625451517,452940.6176536762,452582.87099133426,452202.9046808312,451799.6924714799,451372.20526144205,450919.41729362565,450440.31301868916,449933.894609697,449399.1901002928,448835.2621030983,448241.2170481762,447616.21486340737,446959.47900009464,446270.3066886214,445548.0792912379,444792.2726027423,444002.46693572256,443178.3568159045,442319.7601057256,441426.6263711922,440499.04430890386,439537.24805721454,438541.62222802645,437512.70551361557,436451.19274588366,435357.93531297636,434233.93986954854,433080.36531112716,431898.5180189075,430689.8454177159,474701.55581204616,518529.856188434,562169.1197263141,605600.666596128,648794.9449152101,691712.547705924,734304.2336273579,776510.183827595,818258.6975390094,859464.4836792087,900026.6772503387,939826.7077174315,978726.1721197654,1016564.9147426405,1053159.5813258952,1088302.9888797246,1121764.716773221,1153293.3593005112,1182620.8582422943,1209469.2302675154,1233559.8017876782,1254624.7664279698,1272420.5193379815,1286741.8589077487,1297435.8589195418,1304414.078138688,1307661.837088189,1307243.555146785,1303303.5598017925,1296062.2753930562,1240562.5547915252,1185281.2388283124,1130550.1386318984,1076913.3926548485,1024913.0062586595,975011.9442724625,927569.0639801286,882836.3500254869,840966.7348316817,802026.9685038566,766012.4700443828,732862.3037824013,702473.1562807811,674711.6875478099,649424.9809092145,626449.0553397366,605615.5565571892,586756.8292332967,569709.6104874902,554317.5899228855,540433.0662584408,527917.9044165459,516643.96626198496,506493.1572922367,497357.20294638537,489137.2430876698,481743.3120556945,475093.7544044826,469114.61268833524,463739.01294915273,458906.565386998,454562.7915767195,450658.5850981015,447149.7092107058,443996.33292778727,441162.6052863908,438616.26658463996,436328.2947170242,434272.5843738531,432425.6566993225,430766.3969627549,429275.8178449906,427936.8460445804,426734.1300436747,425653.86702552694,424683.6470935758,423812.31309902924,423029.8345352084,422327.1940999185,421696.2856603479,421129.8224778457,420621.2546623683,420164.69492872374,419754.85181951686,419386.9696435502,419056.7744540693,418760.4254593585,418494.47131947463,418255.8108380117,418041.66415058,443825.0318604805,469613.8372164718,495408.7755266731,521210.1162302507,547017.8371220785,572831.7234620901,598651.4392622379,624476.5772903969,650306.6932384635,676141.3283769897,701980.0240067207,727822.330173065,753667.8104388876,779516.0439969222,805366.6260196231,831219.1668644457,857073.29055202,882928.6327931883,908784.8387422996,934641.5605862231,960498.4550320866,986355.1807251301,1012211.3956065169,1038066.754206118,1052942.3571919592,1052821.166501789,1052702.051454757,1052584.6417612557,1052468.7394475983,1052354.2392480483,1052241.085852638,1052129.2508959926,1052018.7205348013,1051909.4887151509,1051801.5535046943,1051694.9150810074,1051589.574618787,1051485.533667721,1051382.7938002953,1051281.356409656,1051181.2225920158,1051082.3930775337,1050984.8681895882,1050888.6478211246,1050793.7314215794,1050700.1179905748,1050607.8060761008,1050516.7937757673,1050427.0787402333,1050338.6581782184,1050251.5288626954,1050165.68713799,1050081.1289275803,1049997.8497424545,1049915.844689916,1049835.1084827473,1049755.635448674,1049677.4195400695
E,198.96561464852707,355.00233715458353,444.7677936931849,505.8588972213602,555.36910153968,601.1213239805829,646.740199075342,693.9488331586665,743.609897714834,796.1975195258757,852.0108739837973,911.2704768078236,974.1611530331885,1040.8507209030931,1111.4975687559026,1186.2531032073553,1265.2617788811544,1348.659937687581,1436.5740148635268,1529.1183671837025,1626.3928449305213,1728.4801720330058,1835.4431767178032,1947.3219091293192,2064.1306839896615,2185.8550914295365,2312.4490256503605,2443.8317880114305,2579.885327801156,2720.4516898339284,2865.330742662812,3014.2782641911394,3167.004462410671,3323.173007540529,3482.400647705483,3644.25747328073,3808.267885064651,3973.9123085783326,4140.629681239622,4307.820721284674,4474.851967629357,4641.0605590312825,4805.759699695893,4968.244737706767,5127.79976321959,5283.704616090506,5435.242178290952,5581.7058157537795,5882.275818826154,6311.746240033759,6863.007210522182,7541.243418646019,8360.457323329561,9341.68421053291,10512.328250990422,11906.192652899435,13563.907776175567,15533.548793562966,17871.277794403934,20641.85268675074,23918.827720679623,27784.23935524215,32327.539368157486,37643.520150423836,43828.993619164896,50978.05460022889,59175.897047438,68491.36002660867,78968.64244194703,90618.89859558303,103412.64785676784,117274.03252765223,132077.8871251851,147650.3268414472,163773.1579445695,180191.93361572808,196627.01852672838,212786.66885560018,225494.7791190762,235110.10365490147,241707.29184941459,245348.19073459518,246161.31385517414,244353.57000626717,240197.34343051584,234009.5734253584,226129.97010598925,216901.60732808567,206655.27325926613,195697.95152614062,184305.23268642428,172717.14531232836,161136.7587086831,149730.88642917873,138632.267920099,127942.69238962207,117736.63112806743,108065.04649697416,98959.13838081925,90433.86741756488,82491.15736896046,75122.72715930491,68312.53812157505,62038.866042123635,56276.022956040666,50995.76240720654,46168.4058500516,41763.728503704624,37751.641423173365,34102.70369188725,30788.495092833542,27781.875818596007,25057.1560238315,22590.194487413228,20358.44243678691,18340.945740020055,16518.316200665908,14872.680582621495,13387.614218665742,12048.064582440467,10840.26899203948,9751.669627404446,8770.828249001144,7887.342370620441,7091.764137111906,6375.522764593801,5730.85109587945,5150.716590417379,4628.756891721974,4159.219984326101,3736.9088571068523,3357.1305226176355,3015.6491965116566,2708.643412223408,2432.666829773873,2184.6124907085195,1961.6737279973374,1761.324852099705,1595.6230494745541,1456.941012994877,1339.6033348395886,1239.3617563767878,1153.0105225226503,1078.1065163109492,1012.766670480508,955.5217476600976,905.2108888889059,860.9054633945658,821.8538911630881,787.4414467877923,757.1607659274763,730.5900152330879,707.3765744897784,687.2247106525465,669.8861691324781,655.1529212690394,642.8515271309647,632.8387274514098,624.9979873904323,619.2367918455491,615.484546927227,613.690981748033,612.097699865205,608.7475500647407,604.3623265841959,599.3470950530574,593.9331698112364,588.2556293069556,582.3955816307024,576.4033851412285,570.3115333719105,564.1418971583396,557.9098616162681,551.6267365683756,545.3011940392159,538.9401482028607,532.5493092230481,526.1335417376214,519.6971031484256,513.243805839653,506.77712986738703,500.3003025258839,493.8163552235593,487.32816449418806,480.8384817294611,474.3499547886877,467.86514370170426,461.38653204719583,454.9165351509967,448.45750594072916,442.0117390725568,435.5814737859402,429.1688958252351,422.7761386806665,416.40528433720544
I,248.18137730023395,191.56980977824284,171.09481552675885,167.53243761485166,172.15550176322367,181.0050316552326,192.29300446378636,205.2224325216122,219.45046028754857,234.84359304262526,251.3657911397196,269.02706075425345,287.8596253030287,307.90668898136386,329.2169561914462,351.8417812867514,375.8335141970741,401.24437977116827,428.1255825058517,456.5264914067517,486.4938357332853,518.0708785954425,551.2965533843465,586.2045577144031,622.8224054641687,661.1704417042588,701.2608287386483,743.096514574482,786.670198033636,831.9633074569175,878.9450124901275,927.5712907019056,977.7840726643926,1029.510490514794,1082.6622557908088,1137.1351923825634,1192.8089496690395,1249.5469192316687,1307.196375916393,1365.5888604414306,1424.5408162586339,1483.8544880568838,1543.3190832798196,1602.7121914961645,1661.8014496273681,1720.3464341527053,1778.1007547431482,1834.814317593232,1890.235721285133,1962.5470124927867,2061.1960567282185,2191.782580992511,2358.709162128993,2566.5816131888896,2820.954695964753,3128.7622544906467,3498.6129509636644,3941.040567008086,4468.745287819866,5096.831677662501,5843.029049631622,6727.864318123142,7774.743227232609,9009.882534101898,10462.024724659246,12161.861265411924,14141.094611420407,16431.087910499864,19061.088109461973,22056.063362437828,25434.264632589395,29204.693757324243,33364.72104883256,37898.128643490534,42773.84887900469,47945.61557139188,53352.655877358695,58921.43609109132,64568.355921703595,69870.41960498641,74581.5804988082,78543.26600379244,81654.86276071961,83862.82490850626,85154.62583525234,85553.1590192807,85110.52157313307,83901.27875971957,82015.64992590631,79553.07428441686,76616.51102748541,73307.69154223966,69723.412810971,65952.85781576725,62075.855967541356,58161.95266837574,54270.13728425169,50449.07710512118,46737.71547345311,43166.11014116255,39756.409116107345,36523.88293361202,33477.95256888494,30623.170022503306,27960.12348978216,25486.250905369427,23196.55473699248,21084.217530470818,19141.122284772187,17358.284667306438,15726.205741655476,14235.154600239674,12875.390346069142,11637.332469679417,10511.687989170146,9489.54288982636,8562.424506615173,7722.340601141541,6961.800035726456,6273.819165984943,5651.917372489439,5090.104536250117,4582.862730616135,4125.123949012615,3712.2453068328828,3339.982838982981,3004.4647539646116,2702.1647931648554,2429.876172911994,2184.686450265588,1963.9535456029348,1765.2830707720714,1586.5070465583176,1425.6640437790372,1280.980745399751,1150.8549000984697,1033.8396185920658,928.6281966488416,834.0415760788349,750.6687778698468,678.0306208335845,615.1471671803015,560.8627786766755,514.0226318661298,473.56038609193524,438.5343929500127,408.1354406693707,381.6798579826805,358.5960486447925,338.4089804059697,320.7250113973457,305.21817974417394,291.6183709549056,279.7013967247351,269.28083272264337,260.20138788873027,252.33356293464234,245.5693710497743,239.81892205046506,235.00770294799423,231.07441835735017,227.96928118505753,225.65266694879114,223.8949160852043,222.31433173830473,220.734785390552,219.08330686164268,217.33698531368907,215.495827715795,213.56919024856757,211.56923620428893,209.50797645694624,207.39609356258777,205.24261975738213,203.05499608225836,200.83927829340107,198.60037822515858,196.34229164260574,194.06829439058924,191.78110314347347,189.48300333164852,187.17594905541512,184.86164014636827,182.54158108526966,180.2171257629433,177.8895113216575,175.55988364057666,173.22931646264593,170.89882570246084,168.5693801131555,166.2419092091661,163.91730912524778,161.59644692659654,159.28016375896698,156.96927713213734
A,182.49055001472843,162.8632564735695,160.3896795641279,166.02096116135576,175.7052855452515,187.6502952269074,201.08529186080776,215.70099600354936,231.396061718523,248.1625466950976,266.03429272224565,285.06373739453005,305.31152658777694,326.84184712634595,349.72027683752754,374.012706919135,399.78468737021757,427.10090584606996,456.02467232999385,486.6173547735309,518.9377434789551,553.0413367507185,588.9795472977061,626.7988325615561,666.5397546020741,708.2359772722244,751.9132105253976,797.5881139393922,845.2671739227816,894.9455715394347,946.6060603617832,1000.2178761374312,1055.7357022066706,1113.0987164109624,1172.2297465512356,1233.034562159305,1295.4013303148613,1359.2002623709207,1424.2834766645028,1490.4850995419524,1557.6216233150371,1625.492535124744,1693.8812252122086,1762.5561769153542,1831.2724340047512,1899.7733339599165,1967.7924887132838,2035.055987515901,2101.284790172482,2179.75072726388,2278.9345450083174,2405.0182068744925,2563.3869289249687,2759.5360744387476,2999.645358725139,3290.9819337814038,3642.225418523518,4063.7642228605437,4567.984975901001,5169.558509570809,5885.7117938700385,6736.462489331051,7744.7799608652995,8936.623641954067,10340.797836170561,11988.553999358839,13912.870995913043,16147.355041034683,18724.72769727444,21674.913835381732,25022.799457654364,28785.79442520643,32971.395792710704,37574.98997678534,42578.14434565887,47947.61437180032,53635.23230055675,59578.75612169493,65703.65766386992,71681.04776835731,77278.22470191262,82315.35215928119,86653.80162690693,90193.56334619386,92872.16938910342,94662.73678048434,95570.62836619538,95628.9346211561,94893.21372324103,93435.95679627315,91341.18346808908,88699.47488975039,85603.64663993786,82145.16852239007,78411.35999179876,74483.33140784771,70434.60184372212,66330.30125431973,62226.85511893788,58172.04976914445,54205.383346298506,50358.61806513568,46656.46212914981,43117.32274726313,39754.08422360546,36574.87641255128,33583.80863042503,30781.652290819482,28166.462124748796,25734.130991308568,23478.877157662075,21393.66572503192,19470.5677938092,17701.06217557511,16076.285131791377,14587.233883960482,13224.929610725012,11980.545414477776,10845.504375023329,9811.552365447715,8870.80982648191,8015.806209822898,7239.5003286225965,6535.289408169105,5897.009219826447,5318.927310763951,4795.731012232493,4322.5116194797565,3894.7458848692168,3508.2757495935507,3159.2870553292773,2844.2878218722667,2560.086546846962,2303.7708757612413,2072.686901968787,1864.4192837494302,1676.77230725446,1507.7514225711273,1355.5468348834856,1219.7328707220538,1099.3223530637752,993.0443725043493,899.5220209415199,817.3819715752112,745.3184180216433,682.1270514461202,626.7198464949561,578.1279502498442,535.4975375338499,498.0818172323775,465.231229457304,436.3831027090054,411.05152872579106,388.81787880398866,369.32217173120097,352.2553703433475,337.3526037932627,324.3872673479294,313.1659284262959,303.5239583364669,295.32180829868804,288.4418522966385,282.78572581594005,278.1256615094253,274.1135176394135,270.5319680930772,267.24148949327963,264.1500714745081,261.1955560769075,258.33509219843376,255.5386676042015,252.78502679749784,250.05901923050538,247.34982855886642,244.64976037045437,241.95339421840293,239.25697983512148,236.55800104795364,233.8548572967659,231.1466290449768,228.43290385739888,225.71364681348518,222.98910358144278,220.25972769789223,217.5261258673443,214.78901672162073,212.04919965879458,209.3075312451317,206.56490730091792,203.82224926388471,201.08049377608717,198.34058470310612,195.60346699130912,192.87008191647467,190.1413633878265
IH,0.0,49.630335465428054,81.04927953937701,104.01166241526435,123.07367013446216,140.41370419218512,157.11602697458187,173.75680541489737,190.67283579144586,208.0855923335956,226.15910512411605,245.02742404517122,264.80798914506164,285.60837958277824,307.52987855849375,330.66944732339635,355.12085514476524,380.97532155682603,408.32184533999333,437.24730879349266,467.83640452294134,500.1714115606283,534.331837307294,570.393936491742,608.4301157258584,648.5082311591611,690.6907866527099,735.0340405071554,781.5870299269443,830.3905239702196,881.4759176313153,934.8640818442882,990.5641864922396,1048.5725158608554,1108.8712982788738,1171.4275738275232,1236.1921258531984,1303.0985034578407,1372.0621630466828,1442.9797572683353,1515.7285991873484,1590.1663282054608,1666.1308020438812,1743.4402359979663,1821.8936066985568,1901.2713328227376,1981.3362396937773,2061.834808637404,2142.49870549577,2223.0465760454936,2306.8721020704284,2398.787150164161,2504.0553422925937,2628.0899349105666,2776.473686819183,2955.12509332582,3170.527557672275,3429.98588552976,3741.897223315868,4116.032631815846,4563.827156904057,5098.67369694495,5736.210637439139,6494.585795618945,7394.670158560787,8460.184896920333,9717.69540886486,11196.418614961738,12927.786980459661,14944.71773035892,17280.551056508353,19967.64811753452,23035.677359240406,26509.662331019295,30407.909250593155,34739.97000114262,39504.81819968666,44689.41684711699,50267.83395626413,56201.01975283829,62370.75691323721,68626.03738886364,74805.10762481135,80748.55087419115,86308.37514025424,91354.62988808582,95779.98442665495,99502.4275082962,102466.24519345185,104641.50030326555,106022.29745280753,106624.149117746,106480.75794013946,105640.50453190983,104162.88703954947,102115.10714967645,99568.9440116049,96598.00777026007,93275.42119155408,89671.94277093954,85854.51807170466,81885.22733431161,77820.58562410095,73711.14570094443,69601.35211815877,65529.59658982143,61528.42836060679,57624.878310545566,53840.86115693585,50193.62587906616,46696.230040888884,43358.01879815943,40185.09392233752,37180.762098543375,34345.95505532934,31679.616790655367,29179.055323041288,26840.25808231719,24658.17132752175,22626.944906108165,20740.144310342606,18990.932399270023,17372.223386687467,15876.81178899956,14497.479016665247,13227.080207981906,12058.61376742791,10985.275901098865,10000.502253206363,9097.998551003944,8271.761968881081,7516.094731462128,6825.611294290824,6195.240271586394,5620.222125053685,5096.103486432122,4618.728859395001,4184.230333157624,3789.0156891634742,3429.755651478034,3103.700954640455,2808.3882029798015,2541.5000425176195,2300.809749370751,2084.168810048391,1889.5137575462693,1714.8792993749003,1558.41117164739,1418.3758295077741,1293.1660994137133,1181.302944849815,1081.4339525382165,992.3292870670793,912.8758409196776,842.0702126829767,779.0110278801243,722.8909999591339,672.989025322969,628.662520090615,589.3401376963269,554.5149537204364,523.7381650383306,496.61332192721926,472.79109185509554,451.92471549272017,433.63924564308996,417.57656945461713,403.4137004214633,390.86791228399926,379.6957325061789,369.6893620992412,360.6722842361782,352.49489070951404,345.03048043849196,338.1717491312556,331.82777812866146,325.92148247944857,320.3874615789642,315.17019377974634,310.22252087865087,305.5043751564681,300.9817087313687,296.62559153606094,292.411449937817,288.31842284693175,284.3288161710397,280.4276397777896,276.60221383983566,272.8418336578827,269.13748387928956,265.4815945262858,261.86783248039967,258.2909230878297,254.74649739417555,251.2309612182983
IN,29.921188645902685,57.51146372342741,76.1272161690378,90.8242667861677,103.94690451776817,116.60463038103575,129.34321206737008,142.45033378380415,156.09518237640407,170.3924294620221,185.4317191745828,201.2913672072579,218.04479468439126,235.76358800724654,254.51896564438889,274.3824699090245,295.42626121377464,317.72318994809007,341.34672764784165,366.3707955914685,392.8695084741506,420.9168410878001,450.58622133462796,481.95005083220605,515.0791536282961,550.042153574129,586.9047814393621,625.7291137593445,666.5727466144093,709.4879090052311,754.5205221685726,801.7092130331685,851.0842919989279,902.6667072783509,956.4669901018432,1012.4842070841356,1070.704937895069,1131.1022979868524,1193.6350274114388,1258.2466676273355,1324.8648485624929,1393.4007079973978,1463.7484645044185,1535.7851636905766,1609.3706153302694,1684.3475361582732,1760.5419096665355,1837.7635702843827,1915.8070149213802,1994.4524401391984,2075.689225490168,2162.4908258221617,2258.2741716417268,2366.720791021029,2491.7806994980506,2637.765891377194,2809.488405552522,3012.4232902080967,3252.889049045615,3538.2431200774326,3877.090817024945,4279.504561983232,4757.246878874252,5323.985808355673,5995.485365430481,6789.7467656933795,7727.0691160120095,8829.992291308241,10123.08146727416,11632.514212896327,13385.439023301087,15409.089846388548,17729.66433484449,20371.002257986212,23353.13097038637,26690.772087568683,30391.92245164276,34456.62905438829,38876.069872368666,43632.031133501754,48656.72082847018,53857.96424432836,59131.64944659361,64369.64487910684,69465.78704103961,74320.67252560153,78845.40170587649,82964.2813139026,86616.50444213388,89756.87815383721,92355.71869056314,94398.06765469589,95882.39685140517,96818.96715144106,97227.99214463531,97137.73512227293,96582.64213268594,95601.58767902991,94236.28528695197,92529.89400329407,90525.83452481775,88266.81520238832,85794.05837364969,83146.71089270459,80361.41880170781,77472.04426512595,74509.50263770392,71501.69840193196,68473.54030729983,65447.01806751933,62441.32519154279,59473.014771310685,56556.17720805527,53702.630855925716,50922.11835508386,48222.50299833368,45609.960824566195,43089.16526872975,40663.462138428025,38335.033452035066,36105.04928423156,33973.8072437944,31940.859575841216,30005.128155327933,28165.007837165696,26418.458765476662,24763.08833278065,23196.22352988072,21714.974447713077,20316.289690698333,18997.00444306948,17753.881899988228,16583.648737745683,15483.025254911598,14448.75077120966,13477.604824871412,12566.424663530086,11712.119479280012,10911.681705035093,10162.19591915559,9461.044829927838,8805.75726635928,8193.936423008308,7623.232884017945,7091.341029614225,6596.006291957661,6135.036211227115,5706.3115640914475,5307.795793843893,4937.542082489855,4593.698001869529,4274.507973091877,3978.3138814256877,3703.554216728921,3448.7620847230028,3212.5623891414575,2993.668433984838,2790.8781464853028,2603.0700783896723,2429.1993069285572,2268.2933272476857,2119.4480044619354,1981.8236349738104,1854.641152384556,1737.1544927813648,1628.6296938986445,1528.3687360631009,1435.719179154937,1350.0766471233762,1270.8838467222006,1197.6280268335013,1129.8378469874046,1067.0801330234578,1008.9567437231773,955.1016427163452,905.1782056191594,858.8767617760266,815.9123566031612,776.0227157198927,738.9663913258254,704.521072358773,672.4820417174334,642.6607657149398,614.883602707138,588.9906194242501,564.8345049088492,542.2795731399676,521.200846427123,501.48321251554506,483.02064907937773,465.7155099142555,449.47786769192186,434.2249086218012,419.880374789142,406.3740503157897
D,10853.0,10853.0,10853.195155984355,10853.51385727423,10853.922851051379,10854.406800293673,10854.958933870881,10855.576744180134,10856.25998921729,10857.009751325682,10857.827983727724,10858.717284643535,10859.680779403043,10860.722055132937,10861.845121981769,10863.054388363023,10864.3546439604,10865.751047176314,10867.24911510586,10868.854714804389,10870.57405496508,10872.413677308665,10874.38044709279,10876.481542213429,10878.724440414746,10881.116904157583,10883.666962726149,10886.382891181804,10889.273185804326,10892.346535697172,10895.611790275545,10899.077922405771,10902.753987022701,10906.649075118903,10910.772263076058,10915.132557394229,10919.738834968764,10924.599779165708,10929.723812053442,10935.119023258743,10940.79309602681,10946.753231174307,10953.006069728777,10959.557615143252,10966.413156058497,10973.577190652892,10981.053353668995,10988.844347233111,10996.951876587567,11005.376591833387,11014.118036732903,11023.189099655192,11032.621590150342,11042.468015338129,11052.80216829945,11063.719794592042,11075.339912430707,11087.807034013511,11101.294395433448,11116.008251971469,11132.193280590904,11150.139123045525,11170.188084530511,11192.74396336792,11218.28191857288,11247.359177878961,11280.626245205869,11318.838084706773,11362.864547062198,11413.699081426033,11472.464573785244,11540.415010146538,11618.931626790207,11709.512322007608,11813.753391478873,11933.323114438268,12069.927329954113,12225.267841160276,12400.995187213259,12598.657937729462,12819.651111133884,13064.904872693898,13334.755595108409,13628.903605119058,13946.422372286888,14285.803433297997,14645.027334446784,15021.652577194338,15412.915179068952,15815.83207971813,16227.30250006848,16644.20247926397,17063.469054473888,17482.171788110874,17897.570484419623,18307.158905752036,18708.6950643624,19100.219221867403,19480.061089071543,19846.83790949952,20199.44516263195,20537.04157072587,20859.029967433537,21165.035414468017,21454.881756676157,21728.56760340056,21986.242527556453,22228.184091923005,22454.776149876692,22666.48872765954,22863.859677803717,23047.47819768365,23217.970231616004,23375.985717251453,23522.187594759864,23657.24246804621,23781.8127886132,23896.550422576798,24002.091457858554,24099.052110102664,24188.02559103306,24269.579810656927,24344.255794033754,24412.56670355459,24474.997368268963,24532.004232349846,24584.015645005562,24631.432423829887,24674.628632595915,24713.952522772524,24749.727595542692,24782.2537478294,24811.808471811615,24838.648082676045,24863.008953949236,24885.10874374158,24905.14759866658,24923.30932513028,24939.76252017276,24954.661655542717,24968.14811163827,24980.352458219186,24991.395578501655,25001.389243422214,25010.43646801261,25018.63181893807,25026.06174891634,25032.80498275874,25038.932953955806,25044.51027936772,25049.595256140477,25054.240365565227,25058.492770985085,25062.3947997948,25065.98440243718,25069.29558378849,25072.35880434793,25075.201350209358,25077.847671949192,25080.31969338094,25082.637091674012,25084.817550673895,25086.876989446253,25088.829768140484,25090.688873263596,25092.46592779848,25094.171080363838,25095.813071410066,25097.399371342755,25098.936338833697,25100.429375174022,25101.883064549475,25103.301297047794,25104.68737446862,25106.044100398656,25107.3738564836,25108.678666859545,25109.96025254982,25111.22007741002,25112.459386974013,25113.679241340567,25114.880543054518,25116.06406077789,25117.23044941416,25118.38026723857,25119.513990496544,25120.632025856983,25121.73472104467,25122.822373924926,25123.8952402701,25124.953540402483,25125.99746487775,25127.027179348537,25128.04282872653,25129.044540743867
