series,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,20948.29041486998,20932.36084244481,20917.65312194924,20899.27960076982,20874.155292838277,20839.47553696716,20792.355946395786,20729.9065550978,20649.4863650651,20548.975947637387,20426.95338655061,20282.733226785844,20116.297230633285,19928.172164951586,19719.29912013876,19490.917314577448,19244.469349211035,18981.527030243,18703.734290916393,18412.76354560041,18110.282398274943,17797.92832815432,17477.289569918914,17149.89085769208,16817.183030398122,16480.53573192308,16141.232609193898,15800.468534877198,15459.348472983847,15118.8876749442,14780.012947287118,14443.564774395107,14110.300113976278,13780.895710992783,13455.951799274339,13135.996079949375,12821.48788287606,12512.822431980365,12210.335148199527,11914.305934881744,11624.963400234847,11342.488979928583,11067.020930384073,10798.658169752305,10537.463949195762,10283.469341934235,10036.676541677925,9797.061965620267,9564.579160164441,9339.161510070906,9120.72475379255,8909.169309459066,8704.382417328376,8506.240105582148,8314.608987142716,8129.347895764658,7950.309370037539,7777.340994155185,7610.286604386974,7448.987370150991,7293.282758457782,7143.011390285,6998.011797173407,6858.123086017235,6723.185519669098
E,0.0,15.92957242517051,28.72145540829011,43.640669076200794,63.51634706005325,90.55704036856066,126.7854048401979,173.9864123058388,233.4813893789282,305.9111783822053,391.1420356253451,488.3198414243915,596.025983108499,712.4674589010974,835.6525864408625,963.5310934986769,1094.0959099601805,1225.4521492410624,1355.860694280081,1483.763109170889,1607.7932002929492,1726.7792098548657,1839.739551014065,1945.8741921850458,2044.5532161692865,2135.3036604670096,2217.795442376253,2291.8269522499036,2357.3107365349238,2414.2595722308315,2462.773144558668,2503.0254718204033,2535.253169944103,2559.7446099867916,2576.829991971087,2586.8723357163008,2590.2593721955236,2587.396306205962,2578.6994118619973,2564.590415897159,2545.4916194331145,2521.8217062961608,2493.9921847771247,2462.404409649037,2427.447132041336,2389.494526224651,2348.904644325372,2306.0182523308094,2261.1580033534287,2214.627906904945,2166.7130558127956,2117.679575330943,2067.77476190403,2017.2273818983772,1966.248103383441,1915.0300367085767,1863.7493621538838,1812.5660253274405,1761.624483225615,1711.0544859634151,1660.9718811161304,1611.479429392515,1562.6676219862397,1514.615491430736,1467.391409118605
I,6.0,5.750568990605011,7.427344798402194,10.572883958212472,15.381979719583224,22.381585160868035,32.3423676975126,46.24621995968744,65.24889269842572,90.61700492824595,123.64159360395158,165.5439396536977,217.39182879430763,280.0380414683452,354.0842635160004,439.86762947621867,537.4646739110557,646.7073609102463,767.2067435620012,898.3808819102908,1039.484596414356,1189.6393749506997,1347.8623003419118,1513.0932623811414,1684.2200024001124,1860.100740703783,2039.5842806353694,2221.5275841009125,2404.81088375906,2588.350445079452,2771.1091230446764,2952.1048777241685,3130.4174234375287,3305.1931900857203,3475.6487742117806,3641.073052782513,3800.8281255705324,3954.349243139467,4101.143867394838,4240.7900009243995,4372.933910274884,4497.287357175194,4613.624440732151,4721.778142955138,4821.636659729965,4913.139589646123,4996.274043944392,5071.070732330773,5137.600071517538,5195.968356108493,5246.314024837571,5288.804049183187,5323.6304659941125,5351.007070949521,5371.166285406112,5384.356205426171,5390.837838497711,5390.882530616311,5384.769583962774,5372.784063346411,5355.214787856605,5332.35250274266,5304.4882253923615,5271.911758373461,5234.910361811662
R,0.0,0.24943100939498924,0.488492714048678,0.797261065747025,1.2367952520658627,1.8762523733906789,2.8066959364798834,4.151227506648961,6.07376772752355,8.786283922135828,12.553399090069679,17.693407006042793,24.575372333883628,33.6127495489481,45.25444477435563,59.97437731763519,78.26048178770758,100.60387447567147,127.48868611150687,159.3828781883923,196.73021988773306,239.9435019100957,289.3989935950919,345.4321026117144,408.33416590246196,478.3502817761105,555.6780826644624,640.467343641968,732.8203215921517,832.7927226154981,940.395199979521,1055.5952909303037,1178.3197075120722,1308.4569038046864,1445.859849412774,1590.348946421791,1741.7150342278637,1899.7224335441842,2064.1119874136157,2234.6040631666765,2410.901484927135,2592.6923714700415,2779.6528589766303,2971.449692513499,3167.742673902915,3368.18695706497,3572.4351849222894,3780.1394645881287,3990.9531798345706,4204.532641785635,4420.538580427063,4638.637480896783,4858.502769643461,5079.815856439932,5302.267038937709,5525.556276970573,5749.393844180844,5973.500864771042,6197.609743294615,6421.464495409161,6644.820987439462,6867.447092449804,7089.12277031797,7309.640079048546,7528.803124270614
G,6.0,6.0,7.915837512450872,11.370145023959498,16.61877497164909,24.257837534258716,35.14906363399248,50.3974474663364,71.32266042594928,99.40328885038178,136.19499269402127,183.2373466597405,241.96720112819128,313.6507910172934,399.3387082903561,499.8420067938539,615.7251556987634,747.3112353859178,894.6954296735082,1057.7637600986832,1236.214816302089,1429.5828768607955,1637.2612939370038,1858.5253649928559,2092.5541683025745,2338.4510224798937,2595.262363299832,2861.9949277428805,3137.631205351212,3421.1431676949505,3711.504323024197,4007.7001686544722,4308.7371309496,4613.650093890406,4921.508623624554,5231.421999204304,5542.543159798395,5854.07167668365,6165.255854808453,6475.394064091074,6783.835395202017,7089.979728645234,7393.2772997087795,7693.227835468635,7989.379333632878,8281.32654671109,8568.709228866679,8851.210196918899,9128.553251352105,9400.500997894123,9666.852605264628,9927.441530079965,10182.133235637568,10430.822927389449,10673.433324343816,10909.91248239674,11140.23168267855,11364.383395387347,11582.379327257384,11794.248558755566,12000.03577529606,12199.799595192459,12393.610995710327,12581.551837422003,12763.713486082272
