State - County,RMSE_wtd_G,RMSE_wtd_D,R2_wtd_G,"R2_wtd,D"
AL-Jefferson,86.15026264341154,2.1177616896676716,0.999567655569032,0.9991818484204554
AL-Mobile,63.52492123244043,1.742583966813763,0.99959876923188,0.999225604360754
AZ-Maricopa,285.3579950680805,12.834183126131956,0.9999416448806548,0.9997119080971603
AZ-Pima,83.33024023056375,4.596604186465527,0.9997807102401445,0.9990161374119219
AZ-Yuma,54.16120045631014,2.5488428372485954,0.9997609592602392,0.9991769658687328
CA-Alameda,167.42695767852123,3.8192580695582743,0.9985305105630458,0.9961567492868557
CA-Contra Costa,134.43325164513774,3.026652724624501,0.9983160491092165,0.9950205016025322
CA-Fresno,131.5291539283302,2.6212888626256294,0.9995504949593949,0.9981898042379364
CA-Kern,223.66244711205616,2.7691351613356208,0.9991598870355878,0.9981277049263777
CA-Los Angeles,1855.5848522714105,54.19684353171563,0.999066313813455,0.9985902798947989
CA-Orange,249.53557027491132,7.194754531172272,0.9995989804247231,0.9990780070196128
CA-Riverside,343.1050984577148,9.80133114092431,0.999329342998213,0.9984338177015448
CA-Sacramento,202.036445402418,2.1683650292426404,0.9976839634882639,0.9987712788851395
CA-San Bernardino,357.7005754866367,8.074757866202992,0.9991296322767391,0.9978241251220974
CA-San Diego,192.67831631055265,7.383118718319193,0.9996091542597466,0.9981693701327692
CA-San Joaquin,151.93811393840397,4.047083881412822,0.9988096902423347,0.997226583042065
CA-Santa Clara,103.7748859198457,2.651547386436312,0.999331748906236,0.9979575320092675
CA-Stanislaus,138.93539148981554,2.391367690396654,0.9985698169827516,0.9984581354526184
CA-Tulare,82.86047416546145,3.883334364841238,0.999455866622713,0.9954086889289965
CO-Adams,70.07452240161311,2.678897441836178,0.9985301516226689,0.997171235928788
CO-Arapahoe,47.54363460152673,3.9724486414026496,0.9994430536218979,0.9985446501767269
CO-Denver,79.61972768835204,4.521592652814582,0.999190981207235,0.9984779769826849
CT-Fairfield,158.42074597715035,10.080599724210222,0.9990380430408173,0.9994210171263498
CT-Hartford,212.11659125638525,19.565271611420243,0.9966809044291774,0.9979291034112746
CT-New Haven,91.00280701196853,6.934260795599833,0.99941748856611,0.9995586190382179
DE-New Castle,76.3723571509491,6.24475024624801,0.9986153539741883,0.9942616533501417
DE-Sussex,60.65521852333852,2.878890444590059,0.9986324107675331,0.9972249219139724
DC-District of Columbia,149.44801974689906,7.393524063611804,0.9982898728850756,0.9982073181946802
FL-Broward,395.43430719882167,8.659720542093162,0.9995566578326929,0.9990321023334419
FL-Duval,87.48782202434316,2.1476515854118543,0.9998508698190004,0.9988196405830886
FL-Hillsborough,104.83119513908454,4.703823439722389,0.9998900413401585,0.9988265466080599
FL-Lee,94.98067280901193,2.3527192135360293,0.9996365306886138,0.9994946840916101
FL-Miami-Dade,803.0255377358385,19.826640660402795,0.9996131783083985,0.9988361883360243
FL-Orange,326.81990105912683,4.810712104894354,0.9988755628348412,0.9975252051086128
FL-Palm Beach,284.3271128854623,11.578186798544593,0.9993275384222908,0.9982436363139214
FL-Pinellas,65.56147519572522,3.265380499198655,0.9998542774666531,0.9996018457866774
FL-Polk,35.106941403539786,2.42540925562778,0.9999400719292459,0.9995042027993285
GA-Cobb,101.71850459349511,4.824505462668355,0.9994034521814679,0.9975148238027242
GA-DeKalb,128.91750971668324,3.0095953838818916,0.9990389461164614,0.9983223485498972
GA-Fulton,160.32525345209194,5.312866855773819,0.9993261768814878,0.9983019335586927
GA-Gwinnett,377.12436116882276,3.2854258168895534,0.9961925608812087,0.9983255445372989
IL-Cook,1283.31576393404,71.73906833519142,0.9983909091935137,0.9974437713315139
IL-DuPage,136.60679738909508,8.613587627435503,0.9985144366508374,0.9965577029220455
IL-Kane,113.15108228918383,5.00698882825764,0.9983950473798355,0.9965864813576707
IL-Lake,116.72304752041377,9.324697724521865,0.9989603517652035,0.9945980718487618
IL-Will,211.25355960827844,5.497322463490546,0.9938416908494636,0.9968430471737436
IN-Lake,76.1969673574372,4.5079938263443005,0.9987913705287589,0.9966247877743483
IN-Marion,205.34956430781855,11.16598332093421,0.9978322419442662,0.996982916529086
IA-Polk,107.29725256311626,2.5475875357187707,0.9988391256899881,0.9981301625297598
KY-Jefferson,199.32536238674646,5.558265462533072,0.9946116495010983,0.9940392346572215
LA-East Baton Rouge,153.77141750676637,2.858462016610162,0.9980452477712325,0.9992176240622804
LA-Jefferson,163.29163291730657,4.237079325583052,0.9983237342335689,0.9991415251842741
LA-Orleans,120.29182930839843,4.67135144742594,0.9981137341590032,0.9991107187305293
MD-Anne Arundel,149.49799676850068,3.270623885199616,0.994646349073343,0.9974090087740641
MD-Baltimore,111.70230784472056,5.3663907570281975,0.9991381706985824,0.9989318200110465
MD-Baltimore City,217.71842908995833,5.890882437739357,0.9963099391684814,0.9976743699358361
MD-Montgomery,321.59720214852484,11.957851381507897,0.9961339387333865,0.9973733260294599
MD-Prince George's,411.130038328137,9.496716178125295,0.9962797961351235,0.9981964177820313
MA-Bristol,36.91527961226508,4.111863214921619,0.9997986531380371,0.9995477933196205
MA-Essex,48.87136325035021,4.3438259385870355,0.9999041933852069,0.9998531229957985
MA-Hampden,74.37639899261771,6.830703578082461,0.998689886121659,0.9989212355691028
MA-Middlesex,43.169225533616185,9.699208165080417,0.9999636671894981,0.9997404092450048
MA-Norfolk,24.550028388416173,6.292380738167234,0.9999134530052726,0.9995412383340548
MA-Plymouth,30.496239621382827,2.6859461437073864,0.9998607096525975,0.9998467833604479
MA-Suffolk,155.50302217989423,7.972660540876312,0.9993311245393098,0.9993840972419741
MA-Worcester,53.481817606613795,3.271804425702813,0.9998114136781999,0.999889099827797
MI-Kent,44.871383927010065,2.575630338542667,0.9995629424380881,0.9968075346782583
MI-Macomb,56.84700250803774,7.496455194584352,0.9996310759022764,0.9992162544306045
MI-Oakland,193.21087074078156,8.650244968649044,0.997971278070036,0.9992782012349056
MI-Wayne,175.03066947250392,15.845013738853783,0.9994666275684396,0.9996051384411673
MN-Hennepin,360.8419476655123,13.990141751007624,0.9959252336808732,0.9967164939653691
MO-St. Louis,127.82206313944936,10.78412885724201,0.9992139742472558,0.996832299926358
NE-Douglas,243.33420157114566,5.376148111275295,0.9946397040799235,0.9822336847379185
NV-Clark,359.5511633606392,6.218444930439638,0.9994315988168118,0.9994340132205145
NJ-Bergen,126.85286822727322,35.5640478814544,0.999518748540367,0.9961521523960757
NJ-Burlington,40.58525223850094,7.022762106905213,0.9994648121072618,0.9975874624525107
NJ-Camden,53.0957086899104,9.820288721240528,0.999521573693639,0.996399910257125
NJ-Essex,159.90600122944738,33.66386670307624,0.9991439439799424,0.9967946115657972
NJ-Hudson,179.06902235520778,18.804364493901957,0.9989726409735434,0.9980414147957519
NJ-Mercer,58.85629866458049,8.053819140434866,0.9993935297949347,0.9981509583398065
NJ-Middlesex,98.43231929423546,19.539432811691185,0.9996217284837223,0.9975704698184555
NJ-Monmouth,92.68000589562017,15.048552104267943,0.9989576598092256,0.996154522115027
NJ-Morris,39.312274597635025,15.771077266606222,0.9996094813720813,0.9952481148285401
NJ-Ocean,79.33838431890355,14.725908640831644,0.9992745061108118,0.997376930078354
NJ-Passaic,280.48877973875665,26.27898059116733,0.9968294549587473,0.9949648575386423
NJ-Somerset,33.35017561730477,8.752158960465474,0.9994709448217692,0.9968887768402932
NJ-Union,86.66535315779669,16.76114534917355,0.9996617405326723,0.9980565646714411
NY-Bronx,717.051831389404,43.94259995231309,0.9976383901907392,0.9991461391809106
NY-Dutchess,50.093513751853415,2.5880589585187517,0.9986925610484811,0.9971431829889676
NY-Erie,148.1135207956304,7.089455439731357,0.9967298974523954,0.9988196931898142
NY-Kings,692.3393550056344,84.96676544324502,0.9986475151404088,0.9986011732778182
NY-Nassau,428.3602929042765,13.92015200567389,0.9988928135849782,0.9995799758835867
NY-New York,321.52813277140785,34.80023365624524,0.9986930311846518,0.998678858303974
NY-Orange,72.38235184372287,2.7506538949434765,0.9995194397302467,0.9996703256941663
NY-Queens,728.9622102748535,62.499225329121906,0.9987041083405993,0.9992123459388611
NY-Richmond,145.03925757024263,9.246492465675546,0.9988994220487472,0.9992271021886157
NY-Rockland,267.82510186684453,2.171624091965806,0.9954770883837657,0.9998886773198904
NY-Suffolk,313.6000379992865,11.66367434369267,0.999374721189084,0.9996298168242956
NY-Westchester,660.5508780486579,6.071791178943276,0.9960484471249584,0.9998153006872456
NC-Mecklenburg,164.30031622362856,3.93004094257667,0.9994003875193713,0.9969442692512127
NC-Wake,126.67715186058012,2.8250256534665703,0.9988671454432738,0.9968534313717616
OH-Cuyahoga,117.4763318560281,4.895805747196875,0.9991118220521887,0.9988506070063811
OH-Franklin,95.55712704484534,4.981659539255566,0.9996956261556613,0.9988684138148755
OK-Oklahoma,86.93454896755952,1.24710602358869,0.9993392535198767,0.9988094704650741
