series,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
G_high,6.0,15.702330583970225,40.07050214408853,99.98395572313827,240.1123637461725,535.1238216514532,1054.1681312239357,1786.1055996945156,2641.534882725643,3477.670227984609,4393.999604160459,5206.403439271454,5951.081606073413,6579.738931334544,7149.986257945091,7749.9229763538715,8304.475412084246,8805.892009233914,9257.240737560629,9663.523203938905,10029.422709693526,10359.231580451817,10656.830990249255,10925.699779049044,11168.938464569928,11377.41644756745,11553.440850644538,11704.338584902554,11860.709226091678,11997.529612473005,12145.295821713979,12280.17135789087,12403.44449078322,12516.258825744664,12619.630699255466,12714.464500849566,12794.958139356057,12862.79546130791,12945.479165648447,13021.518310966334,13090.701181820943,13143.771167546134,13197.201884427872,13237.115681373292,13288.394144364102,13334.677872831291,13373.915427867736,13408.229967300918,13440.089732370187,13474.323679811472,13504.585303259924,13531.667391006496,13556.853982679348,13580.288796915744,13600.090766563433,13616.975454990063,13632.718176995211,13647.40081462801,13664.564363734073,13681.278954293719,13696.861064369426,13711.392113643864,13719.624359778947,13731.483915672814,13742.719764055115,13753.200983536646,13762.980514805873,13772.107311562262,13780.626672839835,13788.580544042288,13796.007790011878,13802.944443064383,13809.423928581966,13816.120135167626,13822.413382628229,13828.301482305447,13833.811212404977,13838.967498046137,13843.793549268967,13848.310987653214,13852.53996260849,13856.49925828434,13860.206391951086,13863.677704615553,13866.928444558793,13869.972844414446,13872.824192345575,13875.4948978235,13877.996552463825,13880.339986331624,13882.535320089171,13884.39458002001,13886.087840659991,13887.674060408197,13889.160059081027,13890.552215556778,13891.856497059138,13893.07848640369,13894.223407359877,13895.296148268244,13896.301284041356,13897.243096666376,13898.125594317846,13898.95252918061,13899.727414074978,13900.453537969066,13901.133980456727,13901.771625273495,13902.369172917508,13902.929152437344,13903.453932444136,13903.945731401065,13904.406627239496,13904.838566347416,13905.243371972574,13905.622752079667,13905.978306698156,13906.311534794673,13906.623840701652,13906.916540131562,13907.190865804138,13907.44797271205,13907.6889430488,13907.914790820909,13908.126466165044,13908.324859389308,13908.510804756588,13908.68508402674,13908.848429773167,13909.001528488408,13909.14502349232,13909.349712229225,13909.617649872484,13909.951614421792,13910.356269026304,13910.838586706777,13911.408395195709,13912.07910091392,13912.868670358395,13913.800976732486,13914.907664317117,13916.230750289724,13917.811121614184,13918.605669144252,13919.228693515004,13919.300773639734,13919.369385477192,13919.434695981874,13923.165661335077,13924.724602858623,13925.92886323023,13933.033248893607,13944.292685077484,13963.3728135959,13975.189350163255,13985.514889382703,14000.674660096958,14016.191573894152,14031.870402255525,14064.748117822452,14090.463157147518,14120.59292764645,14163.11969662279,14244.047973734761,14346.059943531269,14428.59436072501,14588.325716835225,14766.258438378645,14994.333910463678,15230.362456650004,15505.166431521879,15867.614046661478,16473.239129735826,17346.59325780681
G_low,6.0,11.566025745457736,21.815177043003942,40.60189184101087,74.75451672619346,135.93301259767915,242.7663615177615,421.67438647606093,702.8777103344914,1108.7834140913048,1639.9522966113689,2271.7899357045835,2965.8755070144134,3684.4384017327857,4398.179114844874,5087.490751259164,5740.711498048706,6351.843319253082,6918.640097554464,7441.221178245308,7921.127589118388,8360.700064873816,8756.438305154104,9123.820568081232,9459.368417193333,9765.840798321355,10044.368381238086,10294.22007561094,10517.522468177844,10732.217403858547,10928.933065205332,11109.336557116501,11270.807331821474,11414.457336254447,11531.947283083333,11632.506177022318,11733.386773341042,11844.067006690811,11946.270329805195,12040.727248807534,12128.097790548512,12208.978818121357,12279.711941713143,12333.056377206001,12382.208420851153,12427.52633252129,12477.554628590831,12529.805194232227,12578.417275686066,12613.90400236577,12641.031892190204,12666.142383085122,12698.229074023886,12730.992840681429,12750.519790378181,12765.26813441965,12778.897424143088,12791.495448335676,12809.062275585102,12832.014088685828,12853.475091655897,12873.547898069775,12887.810136601534,12898.07935245762,12907.661053113972,12916.602623469376,12930.477428223363,12944.65183595844,12953.674968480023,12960.730215563855,12970.968058116792,12980.572728204965,12989.584636794676,12998.041473467425,13005.978405481063,13013.428260586637,13020.421695095043,13027.28524090072,13034.374712739465,13041.032237112015,13047.284736525695,13053.157386711873,13058.673737639236,13063.855825312718,13068.724275144923,13073.298397611536,13077.596276834885,13080.987164178618,13082.95989659687,13084.806432603144,13087.994302192581,13091.132571036589,13094.08221525669,13096.854694778931,13099.460759221649,13101.910493519026,13104.213360435617,13106.378240203105,13108.413467491333,13110.326865908226,13112.125780207429,13113.817106368113,13115.407319698314,13116.902501101284,13118.308361633435,13119.630265472599,13120.87325140621,13122.04205294078,13123.141117126426,13124.174622183267,13125.146494010132,13126.060421650156,13126.919871782473,13127.72810230425,13128.488175062756,13129.202967792944,13129.875185312192,13130.507370020181,13131.101911748694,13131.661057002966,13132.186917633455,13132.681478974235,13133.14660748182,13133.58405790595,13133.995480021791,13134.382424951078,13134.746351097885,13135.08862972307,13135.410550179868,13135.713324831642,13135.998093671475,13136.367518386502,13136.839430712336,13137.423476622538,13138.132260374925,13138.45749039117,13138.596376101324,13138.750971415062,13138.92305702393,13139.114883039883,13139.329263355448,13139.569697976092,13139.840531687038,13142.321587328597,13146.237281467495,13150.71824008844,13155.842383698233,13161.701043060868,13167.609821375367,13169.894004927579,13172.610159773407,13176.727302189345,13183.753834299217,13184.575659329219,13188.343886482411,13188.384509115705,13188.422846578578,13188.459027443967,13188.493173048171,13188.525397898447,13188.555810057613,13189.762264464329,13204.408671793977,13210.347498904983,13229.745381488665,13229.74976499529,13256.060223697265,13281.386195013954,13302.192979542642,13337.83264434697,13337.841192830358,13337.849074179041,13337.856340458517,13337.863039670694
D_high,0.01,0.01,0.01312055465940094,0.021879418730816773,0.044792545578275056,0.10201410914728073,0.24584808907278183,0.5771379866447761,1.2686517121030496,2.5457570756213705,4.63982545378286,7.749044278508772,12.019915629260026,17.543734106867884,24.36078333619099,32.2284344157205,41.53580229519645,51.82202233594236,64.01223714546722,76.65398503973316,90.18588618950493,104.49450158435204,119.46524062890464,134.98501761246226,150.94428026516053,167.2385115956539,183.76929585182307,200.4450282498927,216.9244176934328,233.3117235781256,250.5353420398364,267.02133991847455,283.30416241999,299.5287704976957,315.7747663596508,331.670815004574,347.18334068194366,362.2846265851598,376.9523251987421,391.1689768301932,404.9544173403715,418.448476815231,431.43376932068014,443.9092558791202,455.186687634049,466.52184921337215,477.41034402090634,487.12551407954714,495.9452165744948,505.6363886981358,514.601077401777,522.7170255099586,530.9467883066073,538.7707975451267,546.2031370036893,553.2440166732908,559.4650305571481,565.3758782640871,571.1895242044304,577.1166124164287,582.5982425307092,587.9324622782922,593.0580222489725,597.8267602820993,602.188235320172,606.2890071386096,610.5616878915281,614.5985076733941,618.3728477861526,621.8603446075355,624.989581330666,627.6645868245561,630.3275114774776,632.98983095745,635.4974828468664,637.8588165110274,639.8108321776945,642.0023771090733,644.1322209451007,646.0288672539288,647.7367673910175,649.3748559395142,650.914963677887,652.3492813044641,653.7233314627842,655.0019224945733,656.2719319682791,657.7146160660345,658.9514622391569,659.9703439469585,661.1707927447335,662.2574745927149,663.3022533739735,664.1412299893608,664.9095169487267,665.6914426864455,666.4601040046819,667.1828987371259,667.8624844545236,668.5013726117345,669.1019357868123,669.6664146448412,670.1969246274266,670.695462370145,671.1639118514518,671.6040502775461,672.0175537085294,672.4453642169844,672.8566547555097,673.2432923262495,673.6067295139643,673.9483358369761,674.2694022422078,674.5711453832859,674.8547116893462,675.1211812322509,675.3482775053895,675.5606204003996,675.7600096888422,675.929925155014,676.0560912527584,676.1739090129588,676.3214316306183,676.4822243487735,676.6333220022713,676.7753042682018,676.9087166566446,677.0340724748376,677.1518546834773,677.262517650555,677.3664888079157,677.4287468059664,677.4681296226615,677.5042087384822,677.5372964339551,677.5676738676282,677.602553725298,677.6925938246263,677.7786023926351,677.8607370137332,677.939197767096,678.0142182181039,678.0860588774059,678.1550028073241,678.221353151223,678.2854324531042,678.3475837269725,678.4081733342089,678.4675958394489,678.5262811505828,678.5847044189753,678.6433993991338,678.7029762672114,678.7641453098511,678.7975660435883,678.8051687216968,678.8123767975534,678.8192425451083,678.8258145904815,678.9543198216475,679.146663721205,679.2577557626621,679.3496257819589,679.4591076758219,679.5303130903789,679.8754905295312,680.6403741067375,681.1513396774967,681.6635598947186,682.7698374226577,683.9050515174519,685.5515221218378,687.4265189032275,690.2683326281854
D_low,0.01,0.01,0.0124,0.019214395368623842,0.0342621609203099,0.06485322110799993,0.12390685571347873,0.23716975013218144,0.4486541430320784,0.8245300447825153,1.4729605832884785,2.527616778934405,4.137981776794143,6.508850940001247,9.815360615513303,14.210172816234387,19.80195341899532,26.65575954957039,34.6088720745533,43.63095830832117,53.89932280315482,65.35310098881222,77.79808284447196,91.18417172782705,105.16332977568236,119.77089417054307,134.9163626795487,150.66490813372494,166.67031836134765,182.92969411849305,199.35228829617188,215.85391620132447,232.35731087122423,248.57742831859858,264.90576969162447,281.1006465383334,297.07210373648377,312.68725790353795,327.96739233140477,342.91489010031034,357.6318092806253,371.95510083522703,385.76957645187684,398.9637281481978,411.90816315990907,424.4727249941275,436.3373817329741,447.7601393372121,458.7516056070352,469.3151500468435,479.54488372027856,489.56030222687195,499.0598863009128,508.0047933603291,516.5515237089292,524.6658281548458,532.4934395954807,539.9113668513114,546.9763560134808,553.7386117877893,560.1325138588646,566.1216817605502,571.8438273574261,577.4329079990999,582.6903850818,587.6619677841996,592.2815456678022,596.6634293455108,600.818079553061,604.7556817619821,608.5005214630678,612.0617357499287,615.4223378700138,618.5289548577229,621.5385768578077,624.4181255160208,627.1372924846225,629.5595860048696,631.8427993103584,634.0047075455162,635.9939058267815,637.9435474734673,639.7745163607278,641.4572626556052,642.8794675537883,644.4265352180169,645.714529676267,646.8848727330417,647.9848639903852,649.1184367417706,650.2714684312822,651.53243949437,652.5021699804801,653.3385592711894,654.2328862915488,655.0428977524148,655.7640926554417,656.4492467452388,657.1500512287963,657.8091453397394,658.4289581944563,659.0117830762871,659.5597844309714,660.0750045674931,660.5077303027534,660.8531624548897,661.171161461323,661.4683248368052,661.7459915902252,662.0107723221254,662.3137812216402,662.5798325094827,662.803550490925,663.012544122781,663.207760962529,663.3900895460753,663.560362882858,663.7193617612596,663.8678178728967,664.006416764161,664.1358006231602,664.2565709099738,664.3692908378922,664.474487713051,664.5726551396104,664.6642550973672,664.7497198984167,664.8294540292211,664.9038358841714,664.9732193964741,665.0379355719336,665.124240692417,665.2048358212186,665.2800897710302,665.3503751031241,665.4160647451935,665.4775302270039,665.5351414834576,665.6193929543535,665.7031511133156,665.7810515652785,665.7838375169116,665.78638911278,665.8211591703121,665.8628554773425,665.9042870842037,665.9462478993336,665.9897163495548,666.0358330081277,666.0859465147555,666.1416699147609,666.2297051031442,666.3356752018615,666.3641659588068,666.4665337704279,666.5298330500509,666.539621116682,666.5494233886118,666.5593753736995,666.5696276669735,666.5803514148001,666.5917451833113,666.6040436922639,666.617529029644,666.6601915668133,666.7296583026047,666.9205738005237,667.3070137800134,667.3729755298691,667.4459953647246,667.5384827548752,667.6569591668873,667.8102569148884,668.0103339755374
G_high_100,6.0,20.719963369373815,68.52291683034292,218.0541786017145,637.7346796361343,1555.4310069530352,2938.8952109358424,4458.840957635263,5868.653756613925,7083.444897151799,8098.404037008875,8936.153865161543,9625.250907935677,10245.433591291323,10773.552200016618,11211.898826832326,11577.265387791129,11883.190307316148,12140.526010727715,12357.963184272356,12542.474076560626,12699.671988390575,12834.096642795042,12949.438294160243,13048.712897848289,13134.398882612348,13208.544078250125,13272.849544617971,13328.735542268701,13377.39368219171,13419.828353662877,13456.889806499405,13489.30071137401,13517.677600645835,13542.54827142654,13564.365988172236,13583.521135469226,13600.350828816001,13615.14688148744,13628.162441007542,13639.617543336268,13649.70378205828,13658.588250222128,13666.416881426501,13673.317292318585,13679.401209361797,13684.766547402613,13689.499195343102,13693.674554433428,13697.358866817212,13700.610365589762,13713.766581900512,13740.093643625494,13764.551528896258,13787.284329418977,13808.423692022225,13828.090042817936,13846.393675329944,13863.43571924533,13879.309004257684,13894.098831585845,13907.88366412426,13920.735744775584,13932.721651301077,13943.902794973086,13954.335869403454,13964.073255132293,13973.163384876514,13981.651073742225,13989.577818187317,13996.982067069646,14003.89946772301,14010.363089659932,14016.40362820024,14022.04959006192,14027.327462720723,14032.261869143198,14036.875709320615,14041.190289875305,14045.225442873747,14048.999634859654,14052.530067013475,14055.83276725028,14058.922674984418,14061.813719215186,14064.518890522088,14067.050307499756,14069.419278110701,14071.6363563877,14073.711394876358,14075.653593171475,14077.471542867852,14079.1732692166,14080.766269751568,14082.25755012663,14083.653657383276,14084.960710848602,14086.184430846486,14087.330165389076,14088.4029150015,14089.407355819962,14090.347861091743,14091.228521195088,14092.053162287431,14092.825363681693,14093.548474042447,14094.225626486605,14094.859752666596,14095.453595908093,14096.009723468751,14096.53053797947,14097.018288125033,14097.47507861673,14097.902879505751,14098.30353488249,14098.678771003664,14099.030203886117,14099.359346403382,14099.667614918513,14099.956335484323,14100.226749639984,14100.480019830895,14100.717234476891,14100.939412712083,14101.147508818054,14101.342416370642,14101.524972119127,14101.695959615403,14101.85611260951,14102.006118226785,14102.146619940884,14102.351032828117,14102.617346900994,14102.946378216604,14103.340808948415,14103.805491146994,14104.347845676055,14104.978404750798,14105.711559832504,14106.566598091886,14107.569143642575,14108.753169571657,14110.163821743676,14111.861408405164,14113.927081185011,14116.470995489806,14119.409461805895,14122.788622630493,14126.674110011443,14131.141181969044,14136.276086473323,14142.177603255423,14148.958781583144,14156.748892232628,14165.695611246745,14175.967451374727,14187.756453937076,14201.281148749224,14216.789782040123,14234.563801257627,14304.42487797504,14395.07851291967,14501.533063145256,14626.069102281794,14771.120930604047,14939.221581882031,15132.922680692976,15354.68719950541,15606.756038477302,15890.99343279906,16208.721122351642,16560.556179918232,16946.271161687222,19026.092427452662
G_low_100,6.0,11.284247663753463,20.768856644613727,37.722334453221904,67.80515645150936,120.50828610031664,210.86148681361243,360.39995158259455,595.0177099996554,937.1475488783276,1394.2034964283962,1952.2692364980755,2581.5696778443685,3248.261676963729,3923.2771977195207,4585.44973297676,5221.044144782921,5822.067378130829,6384.560135500966,6907.243060257812,7390.543141454501,7835.925363447977,8245.445586248483,8621.456790061677,8966.419434638618,9282.781748864269,9572.90667583728,9839.029751472986,10083.237325859842,10307.457999031787,10513.462476766355,10702.868627717375,10877.149589548455,11037.643495018618,11185.56388025542,11322.010171174272,11447.977870297333,11564.3682190347,11671.734692319425,11771.093191337193,11863.11379141119,11948.402957138615,12027.511008267371,12100.937751743519,12169.137543512828,12232.5238296141,12291.47321505407,12346.329106645051,12397.404972965094,12433.61802296823,12464.046113305047,12492.312372859538,12518.584641781721,12543.016093205715,12565.746692393463,12586.904492839967,12606.606789232,12624.961144579744,12642.066306611177,12658.01302658675,12672.884792016994,12686.758483313708,12699.704963145747,12711.789606177308,12723.072775917168,12733.610254582116,12743.453631159962,12752.65065223246,12761.24553957375,12769.279278064692,12776.789877048457,12783.812607889922,12790.380220183912,12796.523138779103,12802.26964354045,12807.64603355868,12812.676777327044,12817.38465023975,12821.790860620353,12825.915165359525,12829.775976127758,12833.390457027866,12836.774614463042,12839.943379917107,12842.910686273555,12845.689538237555,12848.292077369664,12850.729642190563,12853.012823772044,12855.151517190112,12857.154969180863,12859.031822308256,12860.790155924644,12862.437524179579,12863.980991309554,12865.427164420887,12866.782223959413,12868.051952043992,12869.24175882578,12870.356707021558,12871.40153475711,12872.380676845405,12873.29828461425,12874.158244388775,12874.964194725786,12875.719542489323,12876.42747784981,12877.090988282802,12877.712871637554,12878.295748340219,12878.842072791736,12879.354144015882,12879.834115608921,12880.284005038504,12880.705702335998,12881.10097822323,12881.471491711729,12881.818797209771,12882.144351170127,12882.449518309013,12882.735577424677,12883.003726842064,12883.255089508151,12883.490717760898,12883.711597793173,12883.918653831544,12884.112752048515,12884.294704225516,12884.46527118278,12884.62516599121,12884.775056980272,12884.962634843354,12885.19077575303,12885.460349488312,12885.772982483515,12886.131152295631,12886.538306772292,12886.999016178577,12887.51916842005,12888.106220167641,12888.769520396098,12889.52072794167,12890.374351658871,12891.348451305254,12892.465550388708,12893.753830266127,12895.248699767137,12896.994869365199,12899.049107496856,12901.483924898821,12904.392529268864,12907.89552946082,12912.150063687759,12917.362305883571,12923.804706383036,12931.839902458943,12941.954070363201,12954.803696443088,12964.183753354906,12968.375951041191,12973.989021339508,12981.598545789488,12992.043774278758,12996.550355678588,12996.558360702038,12996.565820935813,12996.572773477175,12996.579252895774,12996.58529140597,12996.59091902741,12996.596163734639,12996.601051596508,12996.605606906076,12996.609852301648
D_high_100,0.01,0.01,0.013850561344805593,0.024668759781679664,0.05799243129073309,0.17302486275885648,0.5184007543475053,1.4114889466716791,3.28690985253405,6.537481268056328,11.421010693116134,18.051855491347567,26.427364678258265,36.46081993403865,48.01069111377921,60.90367443766977,74.95171141647155,89.96399791421722,105.75509713668987,122.15013802590698,138.98789150307312,156.28099046249852,174.39971956710093,192.62159319327984,210.83093235565474,228.92718201699327,246.82397921968044,264.448072460518,281.73817306333706,298.64379480653776,315.12411999816936,331.14691696656985,346.68752433498304,361.72791055359016,376.25581227777656,390.2639517850271,403.74933132268154,416.71260078126096,429.15749417362605,441.0903299050044,452.51956962099393,463.4554304295897,473.9095454423375,483.89466781989944,493.42441380295713,502.5130405347748,511.17525481862765,519.426049288945,527.28056280078,534.7539621524774,541.8613425477495,548.6176444739468,555.0375849224342,561.1356011047361,566.9258050251352,572.4219474576652,577.6373900441354,582.5850843812664,587.2775571005536,591.7269000654657,595.944764918324,599.9423613049662,603.7304581902176,607.3193877524042,610.7190514116129,613.9389276050933,616.9880809749145,619.8751726785192,622.625415890888,625.6854181755712,628.5682899259024,631.318646431526,634.160829359504,636.8388574228272,639.3613126548258,641.7364165108343,643.9720356318197,646.0756887388868,648.0545544647978,649.9154799499036,651.6649900492702,653.3092970154336,654.8543105372477,656.3056480298214,657.7501535511394,659.1550103852654,660.474781172455,661.7143502308722,662.878347766398,663.9711604201125,664.9969416735147,665.9596220730651,666.8629192421231,667.7103476540949,668.5052281456992,669.2506971537466,669.9497156627781,670.6050778543683,671.2194194519213,671.79522575741,672.3348393787844,672.8404676487246,673.3141897370845,673.7579634607896,674.1736317961414,674.5629290994734,674.9274870429155,675.2688402726825,675.5884317978214,675.8876181177492,676.167674097207,676.4297975974561,676.6751138726589,676.9046797404443,677.119487535641,677.3204688561085,677.5084981094892,677.6843958695688,677.8489320507601,678.0028289090346,678.1467638774097,678.2813722438716,678.407249679371,678.5249546232778,678.6350105334246,678.7379080076067,678.8341067831456,678.9240376208571,679.0081040795092,679.0866841865901,679.1601320109608,679.2885415243856,679.4183292733143,679.5388402331965,679.6508401162607,679.7550536119124,679.8521674329612,679.9428338372502,680.0276746715097,680.1072860183833,680.1822435738942,680.2531089450757,680.3204371422715,680.384785657007,680.4467256782407,680.5068562278805,680.5658223215701,680.6242628223353,680.6828173656183,680.7421333477554,680.8028730508149,680.8657209777684,680.9313914735388,681.0006367095358,681.0742551117694,681.1531003154674,681.2380907322138,681.3302198188535,681.4305671406236,681.5403103239772,681.6607379971238,681.793263818108,681.9394416909224,682.1009822692138,682.2797708440567,682.7257967159538,683.4016860914437,684.6216879046386,686.0193343143845,687.6190836448054,690.1154111645641,693.3266168597249,697.0536277440224,701.3572830506984
D_low_100,0.01,0.01,0.0124,0.019127158636029987,0.03386004410086238,0.06355530473591933,0.1204326074546746,0.22233275819483808,0.40548051132683394,0.727342265557978,1.2759036964700683,2.173357670520846,3.570404121603919,5.6308328090841515,8.512240448054602,12.349731824625488,17.24587812938156,23.266759638188866,30.442467291380105,38.770341964153545,48.21961774881341,58.736568895982884,70.24960359072745,82.67398795269082,95.91604129968285,109.87674284107312,124.45474977426564,139.54886090276466,155.05997763141397,170.8926216506195,186.95606980436756,203.1651641451048,219.44085068159617,235.71049488310442,251.90801627409166,267.9738788361876,283.854968656458,299.50438544148574,314.8811702042236,329.9499876305031,344.680778324132,359.04839327885986,373.0322204902117,386.61581155599157,399.78651437734555,412.53511662112817,424.85550340057756,436.7443316402531,448.20072278181334,459.22597483213514,469.82329423053744,479.99754759665393,489.7550330968199,499.10327091925774,508.05081216366204,516.6070653177617,524.7821394025531,532.5867028111139,540.0318568364635,547.1290228761737,553.8898423106353,560.3260880741287,566.4495869699072,572.2721518197079,577.8055225823043,583.06131562313,588.0509803662447,592.7857626098311,597.276673836141,601.5344658956592,605.5696104926975,609.3922829452986,613.0123497359372,616.4393594108728,619.6825364250298,622.7507775658937,625.3553819606658,627.685245093034,629.9152684485812,632.0497045848391,634.0926284814531,636.0479444626772,637.9193929196846,639.710556827931,641.3556423218454,642.7907973765505,644.1087479025091,645.2598543310207,646.3417884484472,647.3585953578668,648.3140962054588,649.2118991379543,650.0554098957076,650.8478420307325,651.5922267431265,652.2914223327907,652.9481232663202,653.5648688614419,654.144051593473,654.6879250300142,655.1986114015172,655.6781088165195,656.128298131253,656.5509494840395,656.9477285054153,657.320202215297,657.6698446187428,657.9980420119884,658.3060980104659,658.5952383104645,658.8666151959707,659.1213118020469,659.360346145891,659.5846749364504,659.7951971731816,659.9927575442273,660.1781496339546,660.3521189494546,660.5153657752497,660.6685478651019,660.8122829794545,660.9471512766859,661.0736975659983,661.1924334294182,661.3038392200425,661.4083659433312,661.5064370279224,661.5984499921298,661.6847780119775,661.7657713963337,661.8417589744165,661.8640311810741,661.8850767589386,661.9049619199433,661.9237561951504,661.9415310606895,661.9583588893012,661.9743121780823,661.9894630114222,662.0038827257171,662.0176417493818,662.0308095980976,662.0434550113006,662.0556462218303,662.0674513566111,662.0789389725036,662.0901787383284,662.1012331896313,662.1121585897205,662.1230056910927,662.1338204088852,662.1446444166294,662.1555156733867,662.1664688902868,662.1775359435542,662.1887462402826,662.2001270424859,662.2117037543106,662.2235001767262,662.2355387335023,662.2478406718429,662.2604262406511,662.2733148490505,662.2865252074864,662.3000754534553,662.3139832636742,662.3282659542883,662.3429405705299,662.3580239670754,662.3735328802027,662.389483992719,662.4058939925201,662.4227796255364,662.4401577437346
