series,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,9253.512127677513,9249.649539730664,9244.696589484132,9238.34722850318,9230.210631738495,9219.78843979738,9206.446360618324,9189.379039019175,9167.567102290828,9139.72546876382,9104.242508661186,9059.110696265658,9001.85131760341,8929.439046363685,8838.23731828379,8723.962949795256,8581.70857069899,8406.063439999398,8191.3843438648155,7932.272336294569,7624.297263875897,7264.965820894282,6854.838333997974,6398.569497324998,5905.520387685886,5389.549755867528,4867.740627596795,4358.17798024046,3877.3277516138737,3437.8103038141658,3047.215047084953,2708.138695132087,2419.1493167510803,2176.1509841363622,1973.6878210145433,1805.9365773960656,1667.3348147985487,1552.9053684433159,1458.3726485647408,1380.1568259133612,1315.3075335888327
I,8.0,10.262587946849738,13.16302060401141,16.879777464161613,21.640418736014354,27.734526929927792,35.52970072299827,45.49108217754663,58.20480247038464,74.40547550331613,95.00734050528621,121.13768479975646,154.16952650205252,195.74789244136713,247.80004203298884,312.51440211492377,392.2659007882046,489.4578513301551,606.2453771987063,744.1083093292111,903.2617198820406,1081.940818887248,1275.680142006107,1476.812950277861,1674.4994698614012,1855.5702077074793,2006.2652944367164,2114.574882905709,2172.5101349511533,2177.5255557606306,2132.6157013377174,2045.16891302304,1925.1245087994384,1783.0979396542684,1628.9415148452335,1470.9044554946645,1315.3253269932484,1166.6897079498315,1027.8844862384403,900.5234116421319,785.268021638234
R,0.0,1.6,3.652517589369948,6.2851217101722305,9.661077203004552,13.989160950207424,19.53606633619298,26.642006480792634,35.74022291630196,47.38118341037889,62.26227851104211,81.26374661209935,105.49128357205065,136.32518887246115,175.47476736073457,225.03477576733235,287.5376561903171,365.990836347958,463.882406613989,585.1314820537302,733.9531439195724,914.6054878959806,1130.9936516734301,1386.1296800746516,1681.492270130224,2016.3921641025042,2387.506205644,2788.7592645313434,3211.674241112485,3646.1762681027158,4081.681379254842,4508.204519522385,4917.238302126993,5302.2632038868815,5658.882791817735,5984.671094786781,6278.851985885714,6541.917051284364,6775.25499287433,6980.831890122018,7160.936572450444
G,8.0,11.86258794684974,16.815538193381357,23.164899174333843,31.301495939018906,41.723687880135216,55.06576705919125,72.13308865833926,93.94502538668661,121.78665891369502,157.26961901632833,202.4014314118558,259.66081007410315,332.0730813138283,423.27480939372344,537.5491778822561,679.8035569785218,855.4486876781133,1070.1277838126955,1329.2397913829416,1637.2148638016133,1996.5463067832288,2406.673793679537,2862.942630352513,3355.9917399916253,3871.962371809984,4393.771500080717,4903.334147437052,5384.1843760636375,5823.701823863345,6214.297080592558,6553.373432545424,6842.362810926431,7085.3611435411485,7287.8243066629675,7455.575550281445,7594.177312878962,7708.606759234194,7803.13947911277,7881.355301764149,7946.204594088677
