series,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,74751.23576760203,74738.41645730652,74727.39768679481,74704.630584465,74667.77172149236,74606.72875102625,74509.94868786409,74363.17121631098,74152.95173176222,73869.84522346476,73510.68377613819,73078.56490511009,72581.31766286366,72029.53169842018,71434.86029490262,70808.8232374371,70162.07906069125,69504.05225889954,68842.79908124275,68185.02003226044,67536.15440472281,66900.5144214256,66281.43268344995,65681.4075585095,65102.23823679061,64545.14561192052,64010.87780279852,63499.80064619735,63011.97428530526,62547.217335513196,62105.16020602335,61685.28910815423,61286.982159005514,60909.538834913255,60552.203867616445,60214.18652092466,59894.67604378898,59592.8539698382,59307.90382411563,59039.018704130955,58785.4071229952,58546.29743566503,58320.94111349491,58108.61508579143,57908.62332844498,57720.297847717586,57542.99918080111,57376.11651289875,57219.06749254128,57071.29781197054,56932.28060715855,56801.51572192663,56678.52887230695,56562.87074043833,56454.11602165006,56351.86244375052,56255.729773725485,56165.35882391988,56080.410467207636,56000.56466854847,55925.51953860704,55854.99041370256,55788.708965209844
E,0.0,12.819310295511293,17.42842565947014,31.4813151595313,52.59952055241618,87.34273074231217,140.45142853332385,217.0031858197802,318.7210774586487,442.4670470267936,580.3949708399682,722.3163564480817,858.4054204704703,980.9886746787106,1085.1657408569108,1168.6199278939785,1231.0541406928469,1273.5538721381356,1298.0301137258616,1306.794105845244,1302.2626804602503,1286.7713235273368,1262.467399739318,1231.2588248101083,1194.798734123945,1154.4919919320662,1111.5138050880366,1066.8340591451847,1021.2433904646807,975.3786450244008,929.7464520020512,884.744323870141,840.6791110837901,797.7828796341545,756.2264071138891,716.1305502487276,677.5757522600388,640.6099500807985,605.2551207629683,571.5126803661616,539.3679213188318,508.7936479895863,479.7531461649105,452.2026007859354,426.0930577394199,401.3720095971011,377.984671715026,355.8750037598771,334.98652223740794,315.26294168944764,296.64867565671,279.0892230602743,262.5314611498144,246.9238624435299,232.21665001004175,218.3619029045587,205.31362147731215,193.02776054426369,181.46223698437353,170.57691715135076,160.3335885171023,150.69591916303204,141.62940807422763
I,6.0,5.245727024112164,10.995930483005758,18.32782111139541,31.76444866262237,54.0710314021317,90.94501047911938,149.73783079640867,239.41555716666605,368.67864843299947,543.5647817297523,765.4295628992161,1030.363935416504,1330.0373670160545,1653.3298305452063,1988.0690324054178,2322.45453879526,2646.0208264181315,2950.1607619866004,3228.304729301005,3475.86461301652,3690.03749567278,3869.5405636033147,4014.325950768346,4125.305766328433,4204.104023921106,4252.843011042973,4273.9658212664635,4270.09336436413,4243.912388053499,4198.090306174972,4135.212520795253,4057.738173732178,3967.9706879949663,3868.0399513004327,3759.893487370641,3645.294420871614,3525.824451865274,3402.890409944587,3277.7332576378913,3151.4386614201285,3024.948452499988,2899.0724646323697,2774.5003685127017,2651.8132273123406,2531.4945804381164,2413.940926798169,2299.471528243433,2188.337491360451,2080.730113836594,1976.788502184157,1876.6064823052952,1780.2388345056295,1687.7068911649278,1599.003539182463,1514.0976711950943,1432.9381299411796,1355.4571894241885,1281.573615037063,1211.1953427903604,1144.2218154347072,1080.5460107259719,1020.0561944584866
R,0.0,0.7542729758878355,1.4137246647498891,2.796046866095309,5.100076894633994,9.093254431332753,15.890640725501166,27.32353467487379,46.147401214506516,76.24484867749742,122.59223889414135,190.92494314466168,287.1487488514145,416.67802748709914,583.8799012973026,791.7235698655466,1041.648027422694,1333.6088101462458,1666.2458106468448,2037.116900195371,2442.954069402478,2879.912526976343,3343.795120809477,3830.2434335141043,4334.893030359071,4853.494139828371,5382.001148672537,5916.635240993065,6453.92472746799,6990.7273990109625,7524.238803401689,8051.989814782434,8571.836323780579,9081.943365059686,9580.765541571296,10067.025209058032,10539.689550681423,10997.947395817782,11441.186412778869,11868.97112546705,12281.022061867892,12677.196231447448,13057.469043309859,13421.917712511982,13770.706154105312,14104.071329849246,14422.310988287743,14725.772722699992,15014.844261462913,15289.944900105475,15551.517982602634,15800.02434030985,16035.936599639654,16259.734273555263,16471.899556759494,16672.913749751882,16863.254242458075,17043.39199371372,17213.78944837298,17374.89883911187,17527.160825043196,17671.003424010483,17806.841199859486
G,6.0,6.0,12.409655147755647,21.12386797749072,36.86452555725637,63.16428583346446,106.83565120462055,177.06136547128247,285.56295838117256,444.9234971104969,666.1570206238937,956.3545060438778,1317.5126842679188,1746.715394503154,2237.2097318425094,2779.792602270965,3364.102566217954,3979.6296365643775,4616.406572633446,5265.421629496376,5918.818682418998,6569.950022649123,7213.335684412791,7844.56938428245,8460.198796687504,9057.598163749477,9634.84415971551,10190.60106225953,10724.018091832122,11234.639787064463,11722.329109576664,12187.20233557769,12629.57449751276,13049.914053054656,13448.805492871732,13826.918696428676,14184.98397155304,14523.77184768306,14844.076822723458,15146.704383104943,15432.460723288024,15702.144683947441,15956.541507942235,16196.41808102469,16422.51938141766,16635.56591028737,16836.25191508592,17025.244250943433,17203.181752823373,17370.675013942076,17528.3064847868,17676.630822615156,17816.175434145294,17947.441164720203,18070.90309594197,18187.01142094699,18296.19237239927,18398.849183137925,18495.363063410055,18586.09418190224,18671.382640477917,18751.54943473647,18826.897394317984
