series,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,18453.163770915267,18450.544791492834,18447.07828936767,18442.49046794633,18436.419431571238,18428.38710291727,18417.762387957217,18403.71301098011,18385.14279789043,18360.61047190676,18328.22531746304,18285.514531661724,18229.25704324909,18155.27962932519,18058.21431859828,17931.222989542977,17765.708250177177,17551.052527649295,17274.463638739562,16921.057436701016,16474.373141906475,15917.57710185986,15235.621829802032,14418.509066675575,13465.456352124647,12389.136142702717,11218.399005800176,9997.509461309057,8780.627525001482,7622.320623160255,6567.302506834134,5643.439437945096,4860.3278819068755,4212.734409044882,3686.249622401039,3262.6109626403922,2923.415989681368,2652.124392594101,2434.8086073998365,2260.182291384561,2119.29744404847,2005.1398804172356,1912.2357614077473,1836.3133339622495,1774.029516769119,1722.7561198846408,1680.4156296696538
I,5.0,6.6189794224332825,8.761685663110601,11.597169951827592,15.348772336553763,20.31134652321036,26.87379217861986,35.54841072000083,47.00894166568493,62.139479316217916,82.09673789669561,108.38817611867057,142.96802930756823,188.35183736995447,247.7467806228729,325.18875355360126,425.6657422086826,555.1883162948264,720.7395419455931,929.9978355950223,1190.6825632705577,1509.3420906630613,1889.4289445882778,2328.655918797079,2815.9774495885913,3329.1021690928037,3834.018872176783,4288.104642232545,4647.365650093611,4876.199421916116,4955.977653859014,4888.645191976249,4694.027709619219,4402.815640557368,4048.7372990897384,3662.628499032437,3269.297772184974,2886.7298148352456,2526.699637062461,2195.9860256652446,1897.6736678682864,1632.2964979258634,1398.7413173501789,1194.915481325641,1018.2162022536434,865.8463586873929,735.0175771649014
R,0.0,1.0,2.323795884486657,4.076133017108777,6.395567007474296,9.465321474785048,13.52759077942712,18.90234921515109,26.01203135915126,35.41381969228824,47.84171555553183,64.26106313487095,85.93869835860507,114.53230422011872,152.2026716941096,201.75202781868418,266.78977852940443,351.92292697114095,462.9605902301063,607.108498619225,793.1080657382295,1031.244578392341,1333.1129965249534,1710.998785442609,2176.7299692020247,2739.925459119743,3405.7458929383038,4172.549667373661,5030.17059582017,5959.643725838892,6934.883610222116,7926.079140993918,8903.808179389169,9842.613721313013,10723.176849424486,11532.924309242433,12265.45000904892,12919.309563485915,13496.655526452963,14001.995453865457,14441.192658998505,14820.727392572162,15147.186692157335,15426.93495562737,15665.918051892499,15869.561292343227,16042.730564080706
G,5.0,7.6189794224332825,11.085481547597258,15.673302968936369,21.74433934402806,29.77666799799541,40.40138295804698,54.45075993515193,73.0209730248362,97.55329900850617,129.93845345222746,172.64923925354154,228.9067276661733,302.88414159007317,399.9494523169825,526.9407813722854,692.455520738087,907.1112432659673,1183.7001321756993,1537.106334214247,1983.7906290087867,2540.5866690554017,3222.54194111323,4039.654704239687,4992.707418790615,6069.027628212545,7239.7647651150855,8460.654309606205,9677.53624591378,10835.843147755006,11890.861264081126,12814.724332970163,13597.835889008384,14245.429361870378,14771.91414851422,15195.552808274868,15534.747781233893,15806.03937832116,16023.355163515425,16197.981479530701,16338.866326866791,16453.023890498025,16545.928009507512,16621.85043695301,16684.134254146138,16735.407651030615,16777.748141245604
