series,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,5674.398410758401,5669.596768630772,5663.270162977046,5654.938861732862,5643.975592457881,5629.5626502500545,5610.638369957694,5585.831712996202,5553.384746671124,5511.065002773265,5456.073861451027,5384.964258322004,5293.592329401691,5177.143855464518,5030.296592765591,4847.5985872305855,4624.147224773381,4356.619956554934,4044.603783464159,3691.978273046046,3307.865630650206,2906.515953250569,2505.669808882069,2123.5504245838897,1775.4333891404872,1471.1256015274355,1214.2422225322548,1003.1979937442472,833.0887898762383,697.5643628330549,590.1824634782429,505.1583117462638,437.65232210296784
I,11.0,14.505787626271664,19.12353962624919,25.201993151656403,33.196342765842886,43.6985913189697,57.47496104190909,75.5107828232674,99.06220480084545,129.71193015274963,169.4223634233408,220.5731727093978,285.9604890175278,368.72140050892403,472.1314553354828,599.21003617698,752.0714874852688,931.0010082128204,1133.340649734482,1352.4530162863211,1577.239992406876,1792.7829839992103,1982.4304102066965,2131.009669896435,2228.0832077789237,2269.9117541012756,2259.3882818023903,2204.2653764734605,2114.701197588019,2001.1033459112991,1872.7453563134563,1737.1508262387322,1600.0118415441143
R,0.0,1.2958545013567457,3.004708155104847,5.257555873882039,8.226475534676204,12.13716918937611,17.285079758797536,24.0559149389304,32.95145928643065,44.62147783238514,59.902185884031724,79.86097972699851,105.84559233918142,139.53315478495776,182.97036265732618,238.58978735083497,309.1796984997511,397.77744599064647,507.4539775597603,640.9671214260337,800.292787701319,986.0994735086217,1197.2981916696358,1430.8383162780765,1681.88181383899,1944.3610551296895,2211.7679064237554,2477.9350405406926,2737.608423294143,2986.730702014046,3222.470590966701,3443.089272773404,3647.734247111318
G,11.0,15.801642127628408,22.128247781354037,30.45954902553844,41.42281830051909,55.83576050834581,74.76004080070663,99.5666977621978,132.01366408727608,174.33340798513476,229.32454930737254,300.4341524363963,391.80608135670917,508.25455529388177,655.101817992809,837.7998235278149,1061.25118598502,1328.778454203467,1640.7946272942424,1993.420137712355,2377.532780108195,2778.882457507832,3179.728601876332,3561.8479861745113,3909.965021617914,4214.272809230965,4471.156188226146,4682.200417014154,4852.309620882163,4987.834047925346,5095.215947280158,5180.240099012137,5247.746088655433
