series,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,2060.083381437586,2057.5374126412025,2054.4241637105993,2050.6199229755935,2045.9753349695936,2040.310747891667,2033.411051290738,2025.020130739772,2014.835191784829,2002.501389154578,1987.607453962692,1969.683352350483,1948.2014324263132,1922.5829950307736,1892.2126834621088,1856.463380626793,1814.7341855580883,1766.5031726642255,1711.3946277952193,1649.2570195380522,1580.2431923375925,1504.878978215988,1424.102406183992,1339.255500529565,1252.0166438067663,1164.274090033914,1077.9575316901676
I,6.0,7.34596879638337,8.990023967709948,10.996259909173563,13.441595933338752,16.417863824597703,20.033987660607217,24.418110679451697,29.719427498504373,36.109344629054476,43.781410895129554,52.949230328312865,63.84130418681998,76.6914807449955,91.72349616466133,109.12809976704497,129.0316748823406,151.4563527997351,176.2736271087943,203.15650994420255,231.5390351558218,260.59544224626205,289.2529258290057,316.24924631763145,340.2382537769039,359.93315679437546,374.2630837792469
R,0.0,1.2000000000000002,2.6691937592766743,4.467198552818664,6.666450534653377,9.354769721321126,12.638342486240667,16.64514001836211,21.528762154252448,27.472647653953324,34.69451657976422,43.45079875879013,54.0406448244527,66.8089056618167,82.1472018108158,100.49190104374807,122.31752099715706,148.12385597362518,178.41512653357222,213.66985195533107,254.30115394417157,300.60896097533595,352.72804942458833,410.57863459038947,473.82848385391577,541.8761346092965,613.8627659681716
G,6.0,8.54596879638337,11.659217726986622,15.463458461992225,20.108046467992125,25.772633545918826,32.67233014684788,41.0632506978138,51.248189652756814,63.58199228300779,78.47592747489377,96.40002908710298,117.88194901127267,143.5003864068122,173.87069797547713,209.62000081079304,251.3491958794977,299.5802087733603,354.6887536423665,416.82636189953365,485.84018909999344,561.2044032215981,641.9809752535941,726.827880908021,814.0667376308197,901.8092914036721,988.1258497474187
