series,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,416840.85000000003,416837.38781945163,416831.8870832578,416823.1485379982,416809.26904376614,416787.230896425,416752.25527500466,416696.78998697415,416608.93876500253,416470.0589970164,416251.17347912944,415907.81811965705,415373.1336945616,414549.7239643382,413302.53532060375,411458.0555275966,408818.28306862863,405196.66742313816,400471.49922406604,394633.21733709454,387796.1393841732,380167.00500281225,371991.9759626601,363510.0202701137,354925.8410371391,346400.6708283672,338053.8631456664,329969.15571406006,322201.99252355366,314786.24854658876,307739.8047450834,301068.9331842562,294771.64592857513,288840.20778462046,283263.00014572544,278025.89183804556,273113.2398284336,268508.6138997079,264195.3162865473,260156.7494044444,256376.6712834568,252839.36819286083,249529.7663989846,246433.49938904936,243536.942722927,240827.2255702065,238292.2256755552,235920.55276692286,233701.5241281003,231625.13508839134,229682.02645555412,227863.450372848,226161.23567174896,224567.75348495238,223075.88365444785,221678.98229781663,220370.8507682413,219145.70614930202,217998.15335635282,216923.15886598392,215916.02605911752,214972.37213811546,214088.10656120165,213259.4109264717,212482.72023121623,211754.7054290369,211072.2572063844,210432.470901013,209832.63248690884,209270.20555312425,208742.8192073416,208248.256838687,207784.4456781533,207349.44709885988,206941.44760218952,206558.75043954453,206199.76782301452,205863.01368162446,205547.09692301758,205250.7151634205,204972.64889153317,204711.75603459062,204466.96689726217,204237.27944629357,204021.75491587078,203819.5137105971,203629.731584741,203451.63607803927,203284.50318983867,203127.65427473953,202980.45314417462,202842.30335952571,202712.64570345634,202590.9558171292,202476.7419918886,202369.54310482726,202268.92668843066,202174.4871252036,202085.84395884135,202002.64031411256,201924.54141818057,201851.23321660495,201782.42107774215,201717.8285797038,201657.19637443864,201600.2811238804,201546.85450345284,201496.7022685451,201449.6233798708,201405.42918390047,201363.94264481455,201324.9976246634,201288.4382086413,201254.1180725883,201221.89989002448,215647.4518017762,230071.89844354396,244493.54101815537,258912.1432358479,273327.4234530679,287739.0475080524,302146.6200963383,316549.6743454517,330947.65916860884,345339.9238759809,359725.69939295383,374104.07527011144,388473.9714593506,402834.1035616054,402727.1428817017,402613.39163569844,402492.4329215361,402363.826106119,402227.1057193307,402081.7803295401,401927.3314054013,401763.2121696416,401588.8464515159,401403.62754568993,401206.91708650027,400998.04394782695,400776.3031802077,400540.9549983178,400291.22383353335,400026.29746797704,399745.32626821246,399447.4225385775,399131.660016021,398797.07353019656,398442.6588544441,398067.3727751128,397670.1334084033,397249.82079547696,396805.2778079325,396335.3113968157,395838.69421902456,395314.1666752166,394760.43939302035,394176.196188406,393560.0975363744,392910.7845795881,392226.88370008493,391507.0116747096,390749.7814292864,389953.8083997882,389117.7175008011,388240.1506924413,387319.7751265938,386355.2918419884,385345.44496534986,384289.03136283066,383184.9106724048,382032.01563416515,380829.3626218678,379576.0622660069,378271.3300466068,376914.49672324455,375505.01846102637,374042.48650478816
I,5.0,7.944976879785102,12.623878835769789,20.056600806098032,31.861425534708452,50.60380364090747,80.34493048332295,127.49927995341743,202.16188285705573,320.1298773488638,505.9009258350343,796.9255223460258,1249.175386684433,1943.3694983558462,2989.5345752782378,4524.774718317203,6696.501160474359,9625.425812523546,13354.932903116158,17811.770731718232,22806.386051178546,28076.411125750805,33347.19559864231,38379.692910736805,42993.84854881869,47071.7035179655,50549.379651001494,53405.22216207785,55648.10998730059,57307.57263667406,58426.07907654476,59053.31414891898,59242.08326004155,59045.47684407828,58514.977034977965,57699.25318415775,56643.452108916805,55388.83779068202,53972.67338250441,52428.2673287286,50785.12700921207,49069.17929957064,47303.02918333147,45506.2361470466,43695.59435697723,41885.407168787,40087.7498134567,38312.71646793203,36568.64960424802,34862.35069749837,33199.272194748235,31583.691202436617,30018.865711757564,28507.174403686153,27050.241197397896,25649.045757085627,24304.02117415789,23015.14001033263,21781.98983378991,20603.839313723704,19479.695864391153,18408.355752407304,17388.447503589683,16418.469370179828,15496.821547114272,14621.833758028115,13791.788768320086,13004.942324092583,12259.539962118972,11553.83108706996,10886.080667851538,10254.578864815361,9657.64886351408,9093.65315829062,8560.998500011125,8058.139696381654,7583.582430245548,7135.885240773983,6713.660794285567,6315.576555329457,5940.354954426267,5586.773136285812,5253.662361232156,4939.90712280248,4644.444035900748,4366.260542348176,4104.393474061766,3857.927508303417,3625.9935443806407,3407.767026760699,3202.466235707756,3009.350563200003,2827.718788971065,2656.907368994224,2496.2887465421686,2345.2696940674373,2203.289692522667,2069.819353342659,1944.3588871133911,1826.4366219311123,1715.6075735852176,1611.4520689620686,1513.5744234459842,1421.6016725730829,1335.1823577601742,1253.9853655727336,1177.698819702909,1106.029024591493,1038.6994594389882,975.4498212034284,916.0351150704781,860.2247907993021,807.8019232912042,758.5624356931253,712.3143633313167,668.877156768887,663.8484343957039,661.8972829505643,663.0926082773801,667.544922337947,675.4112447432768,686.9011977712004,702.2845707065533,721.9006937575226,746.1700445766821,775.6086165278123,810.8457137637175,852.6460123272166,901.9369497770093,959.8427924311923,1021.3897995689224,1086.7968364232952,1156.2945955508296,1230.1260595477802,1308.5469571093772,1391.826207990901,1480.2463517802964,1574.1039546839013,1673.7099877587787,1779.3901691971719,1891.4852623819877,2010.3513204898425,2136.359867424827,2269.898003828795,2411.3684258423955,2561.1893431980875,2719.7942821284673,2887.6317574908553,3065.164797467267,3252.8703032275585,3451.238225077954,3660.7705358981775,3881.9799821446536,4115.388592417024,4361.52592360835,4620.927025048596,4894.130101873024,5181.673860171564,5484.094518372422,5801.922471852333,6135.678601012025,6485.870217065894,6852.986644615776,7237.494445739931,7639.8322968394605,8060.40553682895,8499.580413389303,8957.678062836107,9434.96826857462,9931.663052948377,10447.910167333863,10983.786555336452,11539.291873609196,12114.34216381591,12708.763777235368,13322.287660078735,13954.544112388574,14605.058136038635,15273.24548752399
IH,13.0,10.546123609882507,8.802147016234079,7.726749454292365,7.352120976898519,7.806255049737344,9.35261612039829,12.456153766990848,17.889647843598688,26.901588608434448,41.47652016593962,64.73011086792243,101.48978000595935,159.10482112584052,248.4788236134282,385.1713434060762,590.1232461830685,889.1635193820375,1310.2734955507267,1878.222333562358,2607.8522566441943,3498.816322573742,4534.196741672261,5683.2579002321545,6906.650498997457,8161.990145090235,9408.443697822415,10609.829531164783,11736.304699153086,12764.950864540959,13679.60833673431,14470.25628724476,15132.161970261766,15664.951485810065,16071.698730532155,16358.088433599858,16531.681186652946,16601.29011279798,16576.46754703849,16467.093650376028,16283.055640796909,16034.00514668532,15729.181275287763,15377.287802449166,14986.414075294193,14563.990549907798,14116.77122170034,13650.836465903327,13171.610946928235,12683.892260243076,12191.886836414587,11699.250370493308,11209.130652327001,10724.211178217081,10246.754335647584,9778.643284200232,9321.421919766999,8876.332517021274,8444.350806656706,8026.21836763061,7622.472307763475,7233.4722746025345,6859.424887493075,6500.4057154713855,6156.378947297966,5827.214912450248,5512.705617416722,5212.578461960646,4926.508296565904,4654.127976154313,4395.0375572420635,4148.81227665452,3915.0094402554278,3693.174340253751,3482.8453098128803,3283.558014107124,3094.849067791456,2916.2590601662514,2747.335061186074,2587.63267390935,2436.717692021861,2294.1674146841287,2159.57166513268,2032.5335541822199,1912.6700249995051,1799.612211216872,1693.0056365894523,1592.5102809404477,1497.8005340493814,1408.5650563862312,1324.5065631486057,1245.341545890325,1170.7999441105708,1100.6247774778967,1034.5717478695537,972.4088190925067,913.9157809987984,858.8838036969727,807.1149866771774,758.4219068960006,712.6271691951584,669.5629618442912,629.0706194919865,591.0001953715127,555.21004423037,521.5664171283291,489.94306897063166,460.22087940568633,432.2874875148169,406.0369405508693,381.3693568387779,358.1906028310048,336.4119842109913,315.9499508556721,296.7258154012974,278.6654851031777,218.57735150521864,173.44876836996795,139.58167144363316,114.20411153404028,95.2391722350744,81.131766709561,70.71885142923382,63.1322166405884,57.72573005985135,54.02094859577584,51.66654281249272,50.408127984154355,50.06595976462867,50.518603694927066,51.691180187197816,53.455978069551776,55.72038404831782,58.41827264756042,61.503556735984645,64.94535804363247,68.72439224508895,72.8302645351037,77.25944760758341,82.01377091416498,87.09929278124534,92.52545897157322,98.30447526311109,104.45083958959454,110.9809927481271,117.91305675720169,125.26663748969811,133.0626738442383,141.3233199309055,150.0718498911197,159.33257731480853,169.13078296268415,179.49264579930858,190.445173308255,202.0161277807022,214.23394580903502,227.12764862771184,240.72674126343762,255.06109871551655,270.16083760864126,286.0561719629091,302.77725192443125,320.3539845065009,338.8158356155691,358.1916128859063,378.50922912769363,399.795446509566,422.0756019507811,445.37331459086926,469.71017663457144,495.1054293337887,521.5756263606631,549.1342873390519,577.7915448255088,607.5537885531857,638.4233112584543,670.3979608843683,703.47080437975,737.6298086692634
IN,0.2,0.3813868925699625,0.6636919917423021,1.1068802934593183,1.8061319166314906,2.912500301034421,4.665599041704867,7.44518978009412,11.85227039216127,18.83570779594774,29.887947626268435,47.34244675951445,74.8135174156771,117.81797269866951,184.58795971775552,286.99056510629487,441.2726227403297,668.0653954943031,990.908563112115,1432.8864415440116,2012.0049244552263,2737.0120474591195,3605.3469961058336,4603.701265246121,5710.443050546463,6898.751542634547,8139.583665372196,9404.044125415498,10665.060593982751,11898.43540055647,13083.404024223833,14202.833164018304,15243.171432511199,16194.240825673809,17048.934178256106,17802.865042517624,18454.00197188973,19002.30845016186,19449.401918781277,19798.239817260182,20052.836687187773,20218.013749878133,20299.180612118667,20302.147632076423,20232.966803276682,20097.79865386691,19902.802513359944,19654.047499198263,19357.441670227352,19018.676947504136,18643.187589398705,18236.12020998953,17802.313535208923,17346.28629200895,16872.231816829644,16384.01814776982,15885.192528452622,15378.989400024344,14868.34109109734,14355.890534273753,13844.005442981217,13334.793474695693,12830.11798728261,12331.614065239455,11840.704553136327,11358.615885546591,10886.393547196665,10424.917034831273,9974.91422420226,9536.975072384588,9111.564607967965,8699.035180162848,8299.637953025225,7913.533643315411,7540.802510375805,7181.453614204641,6835.433363934794,6502.63338347571,6182.897724382759,5876.029458289827,5581.796682656935,5299.937974299382,5030.167325309964,4772.178595673955,4525.649516203029,4290.245274460136,4065.6217151803758,3851.428185370117,3647.3100528354107,3452.910925390229,3267.874596457463,3091.8467412270065,2924.4763859966574,2765.4171718096813,2614.3284320306293,2470.8761020783772,2334.733478169588,2205.581840622116,2083.1109560296254,1967.0194714478228,1857.0152126298972,1752.8153973138342,1654.146773596185,1560.7456925240454,1472.3581231973765,1388.7396178949773,1309.655234016744,1234.8794189695373,1164.1958635110852,1097.397328502959,1034.2854495067872,974.6705231846338,918.3712790319734,865.214639577206,815.0354718224721,767.6763323741096,722.9872084149824,682.2559528869555,645.2373274756403,611.7116733358635,581.484194769339,554.3845056285171,530.2664617353058,509.0083114694422,490.5132072989294,474.7101339654604,461.5553250184397,451.0342593216178,443.164354197803,437.99850351964875,435.6296492158619,435.94313389579673,438.84372542977997,444.25428221970117,452.11456119556476,462.3801549888532,475.0215458168645,490.0232645687173,507.3831444228971,527.11165905658,549.2313361362396,573.7762373142847,600.7914964042109,630.3329077730809,662.4665572808912,697.2684883172052,734.8243956419885,775.2293398356435,818.587475208888,865.0117840228475,914.6238098306212,967.5533826815014,1023.9383288366934,1083.924157540627,1147.6637172857247,1215.3168139130814,1287.0497828205496,1363.0350075182434,1443.4503767959104,1528.478672864655,1618.306883025993,1713.125427723814,1813.1272982696878,1918.5070981191816,2029.4599823358692,2146.1804908285494,2268.8612721014947,2397.6916956296827,2532.856352568806,2674.5334463357094,2822.8930766442686,2978.095422842178,3140.288834844313,3309.6078425671576,3486.1710974948073,3670.0792627984083,3861.4128712254587,4060.2301727017557,4266.564996167413
D,0.01,0.49105572434042133,0.8813075037354712,1.2070246736312684,1.4929475240567738,1.765007514978337,2.0538724132350654,2.3999592995639962,2.860890382092877,3.5228840360619094,4.51835812790333,6.053167162637651,8.448458729576437,12.204015624493113,18.091576007011913,27.286357582136027,41.53934832039627,63.37643798522065,96.27929959086714,144.76503539749874,214.26731271628307,310.76902473880426,440.2402263072505,608.0249415277988,818.3298450516143,1073.9055187871031,1375.934140426008,1724.0868864238569,2116.6960579810006,2550.9896393756912,3023.347538168894,3529.5516841012777,4065.0131933052826,4624.968050031502,5204.638402628726,5799.36014679774,6404.679537586205,7016.42260434084,7630.741499740648,8244.141853805731,8853.49490486444,9456.03776069205,10049.364680685647,10631.41181081375,11200.437374059773,11754.99893392563,12293.929012638933,12816.310059208401,13321.449522589768,13808.855587574752,14278.21397055222,14729.366043872826,15162.28845627418,15577.074338211225,15973.91612100483,16353.089954010467,16714.94167156028,17059.874238752294,17388.336590172457,17700.813766624833,17997.818250513676,18279.882399534905,18547.55187988531,18801.380003563136,19041.922878944883,19269.735289237695,19485.367219283544,19689.360957272922,19882.248704019057,20064.550628409335,20236.773313389484,20399.408542281977,20552.93238035109,20697.804511280447,20834.46779261631,20963.347998253055,21084.85371970614,21199.376401246966,21307.29048698178,21408.95366066368,21504.70716145402,21594.876161019303,21679.770189283077,21759.68359787042,21834.89605180529,21905.673041366856,21972.266407197534,22034.91487279922,22093.844579469787,22149.269619533217,22201.392564416332,22250.404984733956,22296.487960073147,22339.812576624827,22380.540411206108,22418.82400055638,22454.807295081268,22488.626096467,22520.40847879867,22550.275192994206,22578.340054515553,22604.710314443386,22629.48701410504,22652.765323529733,22674.634864073563,22695.180015611128,22714.48020873292,22732.610202419783,22749.640347688943,22765.636837722,22780.661944994743,22794.774245932844,22808.028833617213,22820.47751905886,22832.169021556103,22843.149148637516,22863.772783527515,22879.949381397168,22892.78607722858,22903.11631754565,22911.568400868215,22918.616916096697,22924.621362373848,22929.855163650587,22934.527488912932,22938.799687818628,22942.79770113498,22946.621468239107,22950.352101857578,22954.057412094404,22957.796221862576,22961.62181234365,22965.578012997583,22969.701799106642,22974.02525210098,22978.577042567922,22983.38355583811,22988.469750036773,22993.85981398444,22999.57767545075,23005.64739760044,23012.093491966352,23018.941169148737,23026.21654308006,23033.946800664173,23042.160345564862,23050.886922630634,23060.157727712678,23070.005506320187,23080.464643556425,23091.571247010652,23103.36322368622,23115.88035157951,23129.164346154706,23143.258921661312,23158.20984699639,23174.064995608616,23190.874388766824,23208.690231364762,23227.566939302247,23247.561157367516,23268.73176644531,23291.139878789665,23314.84882002999,23339.924096525385,23366.433346646845,23394.44627455262,23424.034565030877,23455.271778019007,23488.233221473223,23522.995801357993,23559.637847655384,23598.238915461112,23638.879560438967,23681.641088148783,23726.605277045433,23773.854075265932,23823.469271676637,23875.532142038675
R,0.0,2.3086374418406943,4.201891394808505,5.814206774386603,7.278330281629413,8.741537068355488,10.38770693674554,12.469430225851779,15.356543522657482,19.610945194374633,26.102769115517674,36.1906332069558,51.999162602837416,76.83972785704012,115.83174477989792,176.78148799175605,271.34055365329846,416.36141147681,635.1665145641775,958.1981206834256,1422.410070832584,2069.0464766652904,2940.1044746122298,4074.3627121434038,5503.947019446629,7252.038447155423,9331.855699711517,11746.72158085796,14490.896138028911,17550.86291226404,20906.816279244806,24534.17153146047,28404.98421530505,32489.21500978587,36755.81150787958,41173.60135488145,45712.005366520665,50341.58714230937,55034.459365387884,59764.56794538505,64507.874474482014,69242.45585031304,73948.53784959187,78608.47721856472,83206.70466746515,87729.63912330617,92165.58176328891,96504.59674083516,100738.38412790635,104860.14941878837,108864.47295333217,112747.18180035976,116505.22597268342,120136.56030292425,123640.03287467222,127015.28055911727,130262.63193782096,133383.0176845675,136377.88832193083,139249.13915176326,141999.04207523304,144630.18396064418,147145.41118054776,149547.7799190746,151840.5118422904,154026.95472570055,156110.54764139865,158094.79032082966,159983.21632618507,161779.36968285765,163486.78464620744,165108.9682973984,166649.38568470097,168111.44724799998,169498.49828499445,170813.8102375091,172060.57359530765,173241.89223271277,174360.7790101464,175420.15248838734,176422.8346179079,177371.5492791209,178268.9215617801,179117.4776831775,179919.6454552208,180677.75522001102,181394.04118223002,182070.6430745477,182709.6080994263,183312.89309719027,183882.3668960954,184419.81280542316,184926.93121739238,185405.34228796433,185856.58867046313,186282.1382793782,186683.3870647972,187061.6617806678,187418.22273253996,187754.26649261848,188070.9285718938,188369.28604083168,188650.36009161884,188915.11853629802,189164.47823630008,189399.30745991264,189620.42816512418,189828.6182060686,190024.61346197556,190209.1098881205,190382.7654887749,190546.20221258904,190700.00777120754,190844.7373822271,190980.91543786458,191109.03710091673,191229.5698297656,191335.3586729693,191429.40718203256,191514.04465006065,191591.09163279014,191661.9846964905,191727.87061291444,191789.67767606044,191848.1699089345,191903.98850147863,191957.6837540754,192009.7400052701,192060.5954308667,192110.6581646272,192160.31987153608,192209.96767580067,192259.95553392355,192310.6122252167,192362.24770138715,192415.15818907655,192469.63034274717,192525.94467272874,192584.37841860554,192645.20799695025,192708.71112134235,192775.1686691195,192844.8663515105,192918.09623026432,192995.15811355656,193076.36085601934,193162.02358160084,193252.4768431647,193348.06372894533,193449.1409229271,193556.07972372233,193669.2670244373,193789.10625423206,193916.0182807161,194050.44227091744,194192.8365072776,194343.6791539228,194503.46896732887,194672.72594441473,194851.99190006705,195041.83096511278,195242.82999482492,195455.59887717807,195680.77072927824,195919.00196969448,196170.9722538362,196437.38425907498,196718.96330602802,197016.4568023276,197330.63349532755,197662.28252056873,198012.2122334698,198381.24881265045,198770.23462455394,199180.02634063025,199611.49280028147,200065.5126150604,200542.97151224615,201044.75941888182
G,5.0,8.462180548418686,13.962916742290146,22.70146200186759,36.58095623392465,58.619103575013064,93.59472499540672,149.06001302591818,236.91123499756605,375.7910029836825,594.6765208706634,938.0318803430562,1472.7163054384832,2296.1260356618895,3543.3146793963315,5387.794472403467,8027.566931371452,11649.182576861918,16374.350775934045,22212.632662905526,29049.710615826833,36678.84499718776,44853.87403733989,53335.82972988628,61920.008962860855,70445.1791716328,78791.98685433363,86876.69428593996,94643.85747644634,102059.60145341122,109106.04525491661,115776.9168157438,122074.20407142486,128005.64221537953,133582.84985427454,138819.95816195442,143732.61017156634,148337.23610029204,152650.53371345266,156689.10059555556,160469.17871654316,164006.48180713912,167316.08360101536,170412.35061095058,173308.90727707295,176018.62442979345,178553.62432444474,180925.2972330771,183144.32587189964,185220.7149116086,187163.82354444583,188982.39962715196,190684.614328251,192278.09651504757,193769.9663455521,195166.8677021833,196474.99923175864,197700.14385069793,198847.69664364713,199922.69113401603,200929.82394088243,201873.4778618845,202757.7434387983,203586.43907352825,204363.12976878372,205091.14457096305,205773.59279361553,206413.37909898694,207013.2175130911,207575.6444468757,208103.03079265833,208597.59316131295,209061.40432184664,209496.40290114007,209904.40239781042,210287.09956045542,210646.08217698542,210982.83631837548,211298.75307698236,211595.13483657944,211873.20110846678,212134.09396540932,212378.88310273777,212608.57055370638,212824.09508412916,213026.33628940285,213216.11841525894,213394.21392196068,213561.34681016128,213718.19572526042,213865.39685582533,214003.54664047423,214133.2042965436,214254.89418287075,214369.10800811136,214476.3068951727,214576.9233115693,214671.36287479635,214760.0060411586,214843.20968588738,214921.30858181938,214994.616783395,215063.4289222578,215128.02142029614,215188.6536255613,215245.56887611953,215298.9954965471,215349.14773145484,215396.22662012913,215440.42081609947,215481.9073551854,215520.85237533654,215557.41179135864,215591.73192741166,215623.95010997547,215654.1952238001,215685.54560760868,215719.70005857362,215756.89486645744,215797.41167481377,215841.58464540564,215889.80908269607,215942.551859159,216000.3640615782,216063.89637978253,216133.91788838594,216211.33903680465,216297.23987314184,216392.90479646335,216499.865476367,216613.61672237027,216734.57543653258,216863.18225194968,216999.90263873799,217145.22802852865,217299.67695266748,217463.79618842714,217638.16190655285,217823.38081237883,218020.0912715685,218228.96441024184,218450.70517786115,218686.05335975098,218935.78452453544,219200.71089009175,219481.6820898563,219779.58581949124,220095.34834204774,220429.9348278722,220784.3495036247,221159.635582956,221556.87494966548,221977.18756259183,222421.7305501363,222891.69696125312,223388.3141390443,223912.8416828523,224466.56896504853,225050.81216966294,225666.9108216945,226316.22377848078,227000.12465798395,227719.99668335926,228477.22692878247,229273.19995828066,230109.2908572678,230986.85766562753,231907.23323147502,232871.71651608046,233881.563392719,234937.97699523822,236042.09768566405,237194.9927239037,238397.64573620108,239650.946092062,240955.67831146208,242312.51163482433,243721.9898970425,245184.52185328075
H,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,202381.15835806885,187925.3613324925,173469.56430691615,159013.7672813398,144557.97025576344,130102.1732301871,115646.37620461074,101190.5791790344,86734.78215345804,72278.9851278817,57823.18810230535,43367.39107672901,28911.594051152664,14455.79702557632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
