state,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,c1,E_initial,I_initial,h1,Hiding_init1,reopen1,h1.1,Hiding_init1.1,reopen1.1,metric1,metric2,r1,r2
kl,10.052592888068805,0.20631431486436544,0.1,0.04,0.12984806890540754,0.04520744422781901,0.03921387783888873,0.0010163122230478288,0.08745802408932407,0.039780319222250414,0.9700000000000002,0.01606017011012579,0.021142070571495024,0.03464499380192546,3.215212505501375,2021-03-22,0.0712077876758636,1.3273638472144542,2021-06-10,0.0044465931603329956,0.032244471853728626,0.9999119009001892,0.9936107620105608
dl,27.989319327460603,0.2000110211761364,0.3279273551032154,0.15408569296395547,0.06948389711391123,0.14185152467604764,0.17148368442029915,0.004492246154984148,0.08197521731385976,0.015749836187476843,0.8900000000000001,0.0016502731790222476,5.305180898678216e-06,0.03333333333333333,4.557850702699119,2021-03-22,0.042968049380846085,0.0,2021-06-10,0.005212034587081756,0.0072132353191544565,0.9996915570530032,0.9996093912856036
tg,19.83763691025378,0.20004391030764831,0.7852019775815425,0.13947034680141393,0.2,0.07186719275218026,0.4937846219149126,0.007601912953751319,0.15965148983183727,0.010927163421120366,0.9600000000000002,1.5188343640349784e-05,0.01892924082164734,0.03333333333333333,5.735155439640256,2021-03-16,0.07142857142857142,1.2484901899558818,2021-06-10,0.004077427091271235,0.011004394563160156,0.999801701837009,0.9988320644422708
rj,16.458248950244688,0.20650679477767486,0.790784358131588,0.05701835588962322,0.0963251941532752,0.19034246250857467,0.4997980529538804,0.013406828820128952,0.062388952953998336,0.013643534004836715,0.8300000000000001,0.0016130779505988805,0.0051743637112912355,0.037672879352523,3.799274239367743,2021-03-19,0.05270416811338072,0.0,2021-06-10,0.015559740811725547,0.011837516514118044,0.9986006176047096,0.9992554594412506
hr,6.861272428498948,0.20831379008705386,0.8088168724289683,0.056042465182013314,0.1960066462541845,0.2,0.12807286181119198,0.007475084969153061,0.16632037583421933,0.04372028597432846,0.8800000000000001,0.0,0.0044490314813985885,0.03333333333333333,3.1555325599957835,2021-03-19,0.06584595121168642,0.0,2021-06-10,0.017910646854438814,0.009642700476402309,0.9980621192370996,0.9993975363250108
jk,5.442707098222751,0.223178805264411,0.7104336743527144,0.08584167423202145,0.16285880596452526,0.18332820807032765,0.33660564884745003,0.013402840332450455,0.03816419694559682,0.053407470788337005,0.8900000000000001,0.00168564435913264,4.225189163806021e-05,0.03333333333333333,1.6809047776103851,2021-03-22,0.0683549342693632,0.0,2021-06-10,0.008003727820467165,0.019525768281817457,0.9994622864069992,0.9951848630873138
ka,10.499946845316273,0.20125332533817894,0.10002221609796172,0.19568769457121574,0.19548004161500274,0.1852296837222836,0.07648751343723784,0.002165366980568284,0.01846853317102016,0.04550256903189824,0.8600000000000001,0.0,0.0007246472261547867,0.03334502592347212,1.1964262040513258,2021-03-17,0.0712777238835711,1.3078427230084344e-05,2021-06-20,0.0032362872367284238,0.02664422074090568,0.9999596231155028,0.9930156512176224
la,0.14733999447907278,0.20000494438638006,0.8339360130263886,0.1191695507142211,0.13787508634189086,0.04,0.052961846083872784,0.0011630383136850256,0.11084688738514174,0.5083058080774687,0.9900000000000002,0.010036090279951615,0.0,0.07142857142857142,9.999872573151151,2021-03-16,0.05749499736329097,0.0,2021-06-10,0.031208411210323563,0.05125334099792367,0.9841126576670832,0.9060709197201879
mh,6.2731702131654,0.20583516457902484,0.10616637750990307,0.14821734562222008,0.19809498195816067,0.07493504418270266,0.01724250844542224,0.001041299604522184,0.03764964552254061,0.07945906717560923,0.8500000000000001,0.0008020286567622482,0.0005677767317281349,0.07142857142857142,0.4518934838711952,2021-03-17,0.07076680893374414,0.6096799022938568,2021-06-22,0.004432740142439072,0.02955280859770092,0.9998599609770179,0.9908519875883852
pb,13.355138335657813,0.20102822597049966,0.1,0.18821907481848002,0.18934117807559128,0.2,0.11739638596719736,0.006386320016681541,0.05110056223099787,0.041931273692277886,0.8900000000000001,0.0,0.000963824513229026,0.03333333333333333,0.7123183117003327,2021-03-19,0.06960586584278575,0.0,2021-06-10,0.02344889818982164,0.02599280503448162,0.9963546676307118,0.9940233122189904
tn,7.075813915990723,0.2000001593445713,0.10892647732467664,0.192809784933974,0.18886749315520454,0.18235402639705425,0.03617103078487288,0.0015525358143935585,0.029799216979087776,0.06361478967759561,0.8300000000000001,0.0005161111955248926,5.4827512578667827e-05,0.03333376222373112,0.6956612723716731,2021-03-18,0.0649421869773947,0.0,2021-06-10,0.022356246114548138,0.080641258138811,0.9951025639924068,0.8953782570493125
up,47.169489397704886,0.2043337946831691,0.779006396278953,0.040019047889658016,0.056610590138006074,0.040211589419763966,0.40742259648288026,0.012262516588106773,0.16448627949392267,0.0034570542740256344,0.8600000000000001,0.003477387250204787,0.0004472887060565352,0.03333333333333333,6.717104076267962,2021-03-22,0.034025783955153634,0.0,2021-06-10,0.008155450351341667,0.014880107505495371,0.9995063238900032,0.9984948629106448
ap,5.293474396732838,0.2,0.6473767772931643,0.04010093334245055,0.1911062493800949,0.1466318404661492,0.4762762412959041,0.015232240109330974,0.08148075008185741,0.04154139845010193,0.81,0.0,0.0013270956098729895,0.045358744957242986,1.7422331899031005,2021-03-17,0.06969001741354898,0.3250118515035913,2021-06-10,0.002882705322407677,0.01329065395854538,0.9999201613054042,0.9964757245941996
ut,20.57043519355056,0.20002129489524995,0.31403665924197954,0.058844485072029426,0.19866473923295105,0.2,0.22219066741353766,0.024221855404162284,0.15325169367438232,0.01568608451498344,0.81,0.0,0.0022372963160575787,0.03333333333333333,2.54096247977848,2021-03-21,0.03645908012989578,0.0,2021-06-10,0.01372365787460848,0.013053102395234896,0.999280761522398,0.9994592881359896
or,13.024043088847439,0.20360020497720235,0.3569002003929437,0.04,0.19997546804755487,0.04,0.03377604632110248,0.001,0.060075413689086025,0.0033936957432582336,0.81,0.00032247936817974795,0.05554323752909852,0.07142857142857142,9.998900967823156,2021-03-17,0.06815784804177323,0.0,2021-06-10,0.010883209370725394,0.039982813764091914,0.9987309983903976,0.9775705882678816
wb,4.084489691141924,0.22335677156814096,0.8335006312540278,0.04508678246419455,0.1476772684265161,0.13093581137258245,0.4476673272612743,0.015208671556150927,0.1834693663422093,0.052780326091793686,0.8300000000000001,2.4957357822633943e-06,0.0011376254145506995,0.033545727532874166,1.464027286944241,2021-03-18,0.07012143302942217,0.0,2021-06-10,0.015432931043281544,0.008186899498720313,0.99754716008665,0.998606517458341
py,1.6850678073477536,0.2400100469417648,0.3719710118804788,0.06428839778173559,0.1984082859260436,0.2,0.2289765723908148,0.015650184797506038,0.06823037923522626,0.1833016491267412,0.9000000000000001,0.0,0.0007681778489998666,0.03333333333333333,1.2109686907947323,2021-03-18,0.036542027163412684,0.0,2021-06-10,0.011421573781899765,0.034810656131050666,0.9991749347853714,0.98721969586779
ch,5.896881071864772,0.21488416937138186,0.5995911106800663,0.056489469865560485,0.19505855924110746,0.2,0.10211892409018464,0.00583527562550086,0.18939447289512926,0.07648974225141741,0.8200000000000001,0.0,0.001757805003220549,0.03333333333333333,1.2221761147649175,2021-03-22,0.055378395403089815,0.0,2021-06-10,0.012770035671278466,0.02525940439620137,0.9989192650602222,0.9960481013480984
ct,2.2798340530156858,0.2930724205425433,0.7920526852867635,0.0447654835466751,0.19974621037018733,0.18904046609725733,0.4998910796270977,0.04277683881924192,0.06320532661543822,0.13880163875279572,0.8,0.00020199629102455528,0.0006664271851906912,0.06427593521736227,0.9593828002547388,2021-03-17,0.06182861515688566,0.0,2021-06-10,0.00648253762318371,0.01317588651948283,0.9998022185853028,0.9991948234453468
gj,74.62196398921758,0.20000042121721429,0.10000001148350786,0.2,0.1988851613631009,0.1998854255423738,0.4757702792619252,0.009970896361992228,0.06982655643209644,0.008318368325795956,0.8300000000000001,0.0009097147333230096,0.000366925583586337,0.03605599097584336,1.3778477244558036,2021-03-21,0.04971569882446143,0.0,2021-06-10,0.008537482554020466,0.020590608435026362,0.999545060831988,0.9964426578793334
hp,5.483153264762522,0.2506164138688375,0.7258962325059004,0.041772108273106213,0.15084898345459155,0.19838006350226764,0.48133345813215206,0.043169621531577,0.18801041617054806,0.04562469558247323,0.8,0.00027496400481267114,0.004131391724194895,0.03333333333333333,2.0536854729834304,2021-03-21,0.05285516396577365,0.0,2021-06-10,0.021674055967854,0.024696039787717543,0.9986080404038341,0.9971697170452418
mp,17.305998342805733,0.2,0.8786508199803468,0.040019127664754094,0.07224955719389176,0.1359982669903719,0.4676955476521424,0.011973072302916112,0.12419514541131045,0.02272523388730787,0.8800000000000001,0.0017828397359550977,3.591429713093485e-06,0.03333333333333333,2.5539548134860826,2021-03-22,0.04515282327340775,0.0,2021-06-10,0.009712020716512455,0.04873098389613894,0.999332856387886,0.978266941439038
br,50.6121043044226,0.20352206109769166,0.7083023910189239,0.060309791500857385,0.19999410176955326,0.19405827630192488,0.010084441392646784,0.0015998245970031176,0.08941404476724041,0.002263849315265814,0.8700000000000001,0.0,0.1442514871134059,0.06987273742815009,9.999939848911222,2021-03-15,0.04121848152589084,0.0,2021-06-10,0.009601520827941364,0.1277135684011369,0.999498005102741,0.9389673284937288
mn,1.8443621940593704,0.26757903068258404,0.497288320454448,0.2,0.2,0.06359738789353217,0.4999215729059446,0.024471207059977816,0.09630458359474438,0.022325787133855086,0.9600000000000002,0.0021326052648701498,0.004107058502711003,0.07108955023689187,9.999204033798183,2021-03-16,0.06842020661805605,9.999979246425916,2021-06-29,0.005470749221528914,0.05387765082796397,0.9997403453260632,0.9744538195062716
mz,0.13404194439110664,0.2008636632470128,0.8905971332281709,0.04057136070848532,0.197961626684354,0.0400000027797256,0.010000014560465452,0.0016452901214670946,0.15934172381959638,0.2072191705362048,0.9900000000000002,7.645571982554867e-05,0.00564705454943417,0.03936738068471079,10.0,2021-03-16,0.054576589529873286,7.917473393070457,2021-06-17,0.018332988554926325,0.10028023942495333,0.9981134858005999,0.9144343192780168
ga,6.722120997775677,0.20711553106840136,0.1,0.2,0.2,0.2,0.22558367728553724,0.009403404126530564,0.1696962838462295,0.06030036055374709,0.8500000000000001,0.005348644156929119,0.0,0.03333333333333333,2.180214280056345,2021-03-17,0.07142857142857142,1.0661146839358957,2021-06-10,0.009762672411711658,0.012449573965535726,0.9996751079475409,0.9992607859447308
an,5.193233503471919,0.3,0.8999977529556991,0.04000125766195115,0.04006871975315023,0.07905655677802002,0.0513731769545673,0.0055103062882428475,0.13186551984304587,0.011585218793896724,0.9400000000000002,0.022410515087409304,0.00132473106578791,0.07139741219997914,9.999992526963677,2021-03-18,0.06676919524203978,4.940178371861403,2021-06-19,0.008356802450630595,0.09132098839522966,0.9972262955348571,0.8409371113630617
