series,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,15295.595821743858,15277.142571674754,15261.33664804338,15244.41707812313,15224.79263541952,15201.635828024215,15174.48010236197,15143.072070132754,15107.30537599855,15067.182943934627,15022.790248910338,14974.274230744148,14921.82623187583,14865.668311211095,14806.0424470665,14743.202151375843,14677.406041248758,14608.912967340384,14537.9783647678,14464.851557346508,14389.773802722291,14312.976912558484,14234.68231884443,14155.100486099016,14074.430591388347,13992.860411120866,13910.566366721723,13827.7136914551,13744.45668857081,13660.939057137548,13577.294266792838,13493.645966492308,13410.108415406305,13326.786926563078,13243.778315805946,13161.171350218234,13079.04719145181,12997.47983043363,12916.536510767008,12836.27813882797,12756.759679111641,12678.030533833034,12600.134906149877,12523.112146667687,12446.99708312189,12371.82033331845,12297.608601561738,12224.38495891324,12152.169107712616,12080.977630858712,12010.82422639592,11941.71992798434,11873.673311853057,11806.690690846899,11740.77629618007,11675.932447506697,11612.159711909859,11549.457052398293,11487.821966484358,11427.250615399034,11367.737944480152,11309.27779524932
E,0.0,18.453250069104485,31.44356935227001,43.565466761718504,56.542672952153325,71.0721764726772,87.38368074498824,105.4586756747147,125.13444248315007,146.16381077527427,168.2547725206766,191.0984095430473,214.38853590487244,237.83496717670465,261.17187597569114,284.16246135117586,306.6009483613484,328.31272574262454,349.153240026597,369.00610507302326,387.7807591556674,405.4099044755017,421.8468912328447,437.0631549437506,451.0457769575479,463.79521041416837,475.32319429655786,485.6508646098773,494.80706243344736,502.82683244418035,509.7501016191984,515.6205255432316,520.4844885995343,524.3902439655346,527.3871795142873,529.5251962572285,530.8541867207693,531.423601534403,531.2820934542441,530.4772290065229,529.0552588785865,527.0609390893344,524.5373958235177,521.5260276074091,518.0664392335134,514.196402508567,509.95183950336406,505.36682452752297,500.47360154055986,495.30261414644053,489.8825457061956,484.2403674463409,478.40139274377094,472.3893360343652,466.2263750264235,459.9332151046394,453.5291549887872,447.0321528665294,440.4588923543814,433.82484775729307,427.1443481976609,420.43064027082346
I,14.0,13.44,15.71800434820982,19.88695668508293,25.738714930853774,33.33647020840067,42.84723278999982,54.4663807778888,68.37865287254084,84.73657052943835,103.64884098714826,125.17526849148223,149.3261302583161,176.06457444088636,205.31094680885886,236.94821925167815,270.82791359852376,306.77609358168075,344.5991381270253,384.0891149768086,425.02865091930903,467.1952497265097,510.3650466941595,554.3160138609015,598.8306460033366,643.6981669740644,688.7163008118546,733.6926537326849,778.4457526440975,822.8057839608637,866.6150737721202,909.7283471977335,952.0128013395239,993.3480227631694,1033.6257770610207,1072.749694823351,1110.6348753333016,1147.207426524517,1182.4039572103159,1216.1710353086619,1248.4646237405823,1279.249503858818,1308.4986946534393,1336.1928745656007,1362.3198115026685,1386.8738055709496,1409.8551481100253,1431.2695998099637,1451.1278900051527,1469.4452386529701,1486.240902009887,1501.5377426009256,1515.3618237307423,1527.742028497077,1538.7097030319633,1548.2983235058434,1556.5431862783007,1563.4811204609919,1569.150222068634,1573.5896088683014,1576.8391949920842,1578.939484350071
R,0.0,0.56,1.0976,1.7263201739283929,2.5217984413317103,3.5513470385658614,4.884805846901888,6.598695158501881,8.777350389617434,11.512496504519067,14.901959325696602,19.047912965182533,24.054923704841823,30.02796891517447,37.070551892809924,45.282989765164274,54.7609185352314,65.59403507917234,77.86507882243957,91.64904434752059,107.01260894659293,124.01375498336529,142.70156497242567,163.11616684019205,185.28880739462812,209.24203323476158,234.98995991372416,262.53861194619833,291.8863180955057,323.0241482012696,355.93637955970416,390.600982510589,426.99011639849834,465.0706284520793,504.80454936260605,546.1495804450469,589.059568237981,633.484963251313,679.3732603122937,726.6694186007063,775.3162600130528,825.2548449626761,876.4248251170288,928.7647729031664,982.2124878857904,1036.705280345897,1092.1802325687352,1148.574438493136,1205.8252224855346,1263.8703380857407,1322.6481476318595,1382.097783712255,1442.159293416292,1502.7737663655216,1563.8834475054048,1625.4318356266833,1687.363768566917,1749.625496018049,1812.1647408364888,1874.9307497192342,1937.8743340739663,2000.9479018736497
G,14.0,14.0,16.81560434820982,21.61327685901132,28.260513372185486,36.88781724696653,47.732038636901706,61.065075936390684,77.15600326215826,96.24906703395742,118.55080031284487,144.22318145666478,173.38105396315797,206.09254335606087,242.38149870166882,282.23120901684246,325.58883213375515,372.3701286608531,422.46421694946486,475.7381593243292,532.041259865902,591.2090047098751,653.0666116665853,717.4321807010938,784.1194533979649,852.9402002088262,923.706260725579,996.2312656788835,1070.3320707396035,1145.8299321621334,1222.5514533318246,1300.3293297083226,1379.0029177380225,1458.418651215249,1538.4303264236269,1618.899275268398,1699.6944435712824,1780.6923897758297,1861.7772175226094,1942.8404539093679,2023.7808837536345,2104.5043488214933,2184.9235197704675,2264.9576474687665,2344.5322993884583,2423.579085916846,2502.03538067876,2579.8440383030993,2656.9531124906866,2733.31557673871,2808.8890496417457,2883.63552631318,2957.5211171470337,3030.515794862598,3102.5931505373674,3173.7301591325263,3243.906954845217,3313.1066164790404,3381.3149629051222,3448.520358587535,3514.71352906605,3579.88738622372
