series,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,2402.7727134664706,2399.533875119113,2395.6368053906795,2390.9511513106577,2385.3222835365546,2378.567467173533,2370.471746310177,2360.783683310592,2349.2111924908827,2335.417843731583,2319.0201912629373,2299.5869087588394,2276.640777590233,2249.6648579517696,2218.1144236522296,2181.436374220395,2139.0977202723784,2090.6241941591147,2035.648875590475,1973.9687989786491,1905.6048483600732,1830.8571825964252,1750.3457357201407,1665.0241779773703,1576.1573782197263,1485.2576405994228,1393.9833187516792,1304.012743996571,1216.9135123307126,1134.0290949676958,1056.4003985682543,984.7308764907812,919.3935320134905,860.4701785065405,807.8095947277633
I,8.0,9.638838347357456,11.608140406319695,13.97216640507769,16.80660089816527,20.200097081554187,24.2557985285994,29.09270182246449,34.84665227768119,41.67067058144444,49.73418893380138,59.22063365113908,70.32263808951775,83.23403011007757,98.13765838760223,115.18817614191647,134.48919486154955,156.06488200250325,179.82722417064247,205.54185594833973,232.79743537724778,260.98561406544616,289.2999381286414,316.7615082456835,342.27600635419077,364.7205427036562,383.0507560106685,396.411179563643,404.2281753167729,406.2669576164352,402.6422624925896,393.7833320715448,380.36401013452655,363.2145616145712,343.2322330704342
R,0.0,1.6,3.5277676694714915,5.849395750735431,8.643829031750968,12.005149211384023,16.04516862769486,20.89632833341474,26.71486869790764,33.68419915344388,42.018333269732764,51.96517105649304,63.80929778672086,77.87382540462441,94.52063142663992,114.14816310416037,137.18579833254367,164.0836373048536,195.29661370535425,231.26205853948275,272.3704297291507,318.9299168046003,371.12703961768955,428.98702724341786,492.3393288925546,560.7945301633928,633.738638704124,710.3487899062577,789.6310258189862,870.4766608823409,951.7300524056279,1032.2585049041459,1111.0151713184548,1187.08797334536,1259.7308856682744
G,8.0,11.238838347357456,15.135908075791185,19.82156215581312,25.450429929916236,32.205246292938206,40.300967156294256,49.98903015587923,61.56152097558883,75.35486973488833,91.75252220353414,111.18580470763213,134.13193587623863,161.10785551470198,192.65828981424215,229.33633924607685,271.67499319409325,320.1485193073569,375.12383787599674,436.8039144878225,505.1678651063985,579.9155308700465,660.426977746331,745.7485354891014,834.6153352467454,925.515072867049,1016.7893947147925,1106.7599694699006,1193.8592011357591,1276.743618498776,1354.3723148982174,1426.0418369756906,1491.3791814529814,1550.3025349599313,1602.9631187387085
