series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13
S,13133387.884815667,13128426.909081712,13123809.838737903,13119229.208253855,13114513.88890493,13109563.779987482,13104315.572575664,13098724.76777321,13092756.221657293,13086379.171254532,13079564.619460156,13072283.964844352,13064508.291427316,13056208.01151837,13047352.700866189,13037911.042223502,13027850.83384824,13017139.04070635,13005741.877281869,12993624.916704282,12980753.223875813,12967091.511737743,12952604.320444528,12937256.219379999,12921012.031841282,12903837.081934879,12885697.462830829,12866560.325038439,12846394.182823526,12825169.236301562,12802857.70613241,12779434.17713079,12754875.946513783,12729163.37195676,12702280.214146687,12674213.968131956,12644956.177495046,12614502.725240108,12582854.095310066,12550015.598840386,12515997.559625525,12480815.453819448,12444489.999604708,12407047.193430107,12748040.789257687,13086551.749536313,13422537.860147724,13755882.176247047,14086417.739311801,14413941.84318753,14738224.11478144,15059010.995828817,15376028.183328832,15688981.965245396,15997560.01783892,16301432.012645237,16600250.253489237,16893650.489644673,16803910.881182656,16708463.877952116,16609327.30541924,16506498.36970564,16400080.756439116,16290247.478384288,16177220.283093652,16061257.350863785,15942645.09187714,15821691.938091645,15698723.097663568,15574075.791191012,15448094.771108698,15321128.066901313,15193522.965948371,15065622.267521515,14937760.854178242,14810262.620551305,14683437.789908618,14557580.637063572,14432967.624132004,14309855.944367148,14188482.45948384,14069063.007822193,13951792.054502448,13836842.65034605,13724366.663648384,13614495.247690983,13507339.506950123,13402991.326057352,13301524.327464912,13202994.926248701,13107443.453350674,13014895.321654439,12925362.212463062,12838843.263095474,12755326.239350434,12674788.679442344,12597198.998647349,12522517.54628532,12450697.608790653,12381686.354490811,12315425.717322994,12251853.218088742,12190902.722991008,12132505.140137246,12076589.0554467,12023081.30999079,11971907.521243744,11922992.551045164,11876260.923296452,11831637.194544895,11789046.28066867,11748413.742875991,11709666.036184566,11672730.723463153,11637536.65800477,11604014.137468092,11572095.031876216,11541712.888205709,11512803.013937537,11485302.541779079,11459150.477605127,11434287.733508311,11410657.147696856,11388203.49283139,11366873.47425369,11346615.719428906,11327380.759799574,11309121.006134614,11291790.718349516,11275345.970674701,11259744.612957692,11244946.228800703,11230912.091158189,11217605.115948498,11204989.814169804,11193032.242952058,11181700.318891853,11778339.686315227,12374761.720784446,12971005.038036197,13567086.57928376,14163006.798167836,14758753.636537356,15354305.46414237,15949633.166192176,16544701.549717028,17139470.216088366,17733894.019995406,18327923.208759904,18921503.31220562,19514574.83321237,19499696.410007723,19484824.2892868,19469892.748522185,19454865.11978385,19439721.760371685,19424453.032990903,19409055.206514794,19393528.060565975,19377873.484553825,19362094.657332692,19346195.565915704,19330180.722170442,19314054.995077193,19297823.51038456,19281491.589510724,19265064.711237174,19248548.48658254,19231948.641245846,19215271.002349623,19198521.48758368,19181706.095651895,19164830.8973937,19147902.02722595,19130925.67471137,19113908.07615295,19096855.506168116,19079774.269227747,19062670.69116328,19045551.110655114,19028421.87072118,19011289.310227368,18994159.755442817,18977039.51166339,18959934.854926467,18942852.02383974,18925797.211545713,18908776.557843033,18891796.14148452,18874861.972670898,18857979.98575798,18841156.032194074,18824395.87370299,18807705.17572702
E,7081.857247999013,10434.99155957796,12682.935968751684,14384.074662189587,15833.681323820656,17188.96365699509,18534.645670802303,19917.40588622791,21363.970113962398,22890.615475684186,24508.157720642186,26224.561351228065,28046.29718557563,29979.03863955417,32028.00761614383,34198.13345069364,36494.1108333764,38920.40187944207,41481.20612216499,44180.41100125513,47021.52959223393,50007.6293345331,53141.2540331129,56424.34072651249,59858.13276115149,63443.09038881913,67178.80030372976,71063.88569640397,75095.91858711523,79271.33638696893,83585.36480105539,88031.94931972424,92603.69762679058,97291.83527476488,102086.17692607515,106975.1153270432,111945.62996234171,116983.31702967185,122072.44197953565,127196.01538992689,132335.89240196088,137472.8953459398,142586.95855820278,147657.2937506871,152662.57367287218,159014.10696237758,166448.45883024382,174836.73457639752,184129.3170043213,194323.60147350252,205445.2416307216,217537.25197563894,230653.62587446027,244855.50725353873,260208.7698281404,276782.33628788556,294646.84905409295,313873.4666777603,334532.6548078597,354028.471689773,372787.59215754765,390980.0672043224,408630.860502588,425689.9409184503,442069.9014331488,457666.74688397796,472371.86293977743,486079.2729320616,498690.28458592884,510116.5999519808,520282.4361182923,529125.9386243857,536600.0383468645,542672.8406881472,547327.6090086262,550562.3944246934,552389.3618856424,552833.862905494,551933.3059720156,549735.8753363587,546299.1471952354,541688.6492110009,535976.4050823828,529239.5007847964,521558.70347509405,513017.1582160853,503699.18189607374,493689.1682209256,483070.6126082535,471925.2613288461,460332.385384759,448368.1764105574,436105.25932488317,423612.3145094524,410953.8008996721,398189.7704720315,385375.7641393578,372562.7789457933,359797.2966209029,347121.36394319206,334572.715920058,322184.9334634059,309987.62798468064,298006.6461140002,286264.288536383,274779.5377109604,263568.2899793978,252643.58826519555,242015.85220789444,231693.1031606792,221681.1820043861,211983.95819555598,202603.52887264325,193540.40719567705,184793.69939426763,176361.27025104838,168239.8969569045,160425.41144516904,152912.83144882083,145696.48063184763,138770.0982273522,132126.93867438106,125759.86178622466,119661.4140081126,113823.90133452007,108239.45445809403,102900.08671558506,97797.7453829301,92924.3568533149,88271.86620995885,83832.27168060596,79597.65443418773,75560.20415259707,71712.24078258348,68046.23284494001,64554.81265078251,61230.42578027509,58065.86784858639,55837.11362637677,54293.08560109667,53261.38459076493,52625.23992546635,52306.90395333018,52255.85269084214,52440.51749316788,52842.575135132975,53453.0680947479,54269.819218382174,55295.75301361395,56537.84751551309,58006.52343309314,59715.3376103838,61029.88579082425,62105.4033483893,63032.826934316254,63865.42201371546,64634.35543153214,65357.81184734184,66046.3365865036,66705.9710118391,67340.09543020841,67950.51453599325,68538.09843730174,69103.16258306886,69645.6940354252,70165.48712429818,70662.22551096769,71135.53244005081,71585.00201308154,72010.21906191942,72410.77210955802,72786.26208528105,73136.30838653442,73460.55324406816,73758.66496951462,74030.34043966446,74275.30703697719,74493.3241846277,74684.18456500306,74847.71508023294,74983.77759448392,75092.2694858629,75173.12402816677,75226.31061776714,75251.83485764753,75249.73850842212,75220.09931468243,75163.0307140111,75078.68143531917,74967.23499270424,74828.90908072703,74663.95487681484,74472.6562563897,74255.32892626317
I,8311.573402685064,7933.623564921245,8025.290820816221,8379.907473071184,8890.62098749159,9502.995216480744,10190.132274723997,10939.608684271734,11746.615362043041,12610.356414283215,13532.159413457584,14514.483784147502,15560.399611030663,16673.311937868155,17856.8122376625,19114.59479700244,20450.405240116652,21868.003923587203,23371.135090035725,24963.496965968694,26648.71026071157,28430.283736151276,30311.57617963097,32295.754492770877,34385.74784827272,36584.198038912255,38893.40628636996,41315.27691166772,43851.25840273683,46502.28255112006,49268.70246858262,52150.230432793214,55145.87664501626,58253.89010660892,61471.70292896586,64795.87947689432,68222.07180163378,71744.982840547,75358.33884027798,79054.87239437226,82826.31737196926,86663.41685004374,90555.94494878719,94492.74321139099,98461.7718714169,102450.17602107942,106620.7725956919,111079.46663936954,115900.37133669837,121140.34780604104,126847.38666119902,133065.42054728887,139837.07151789838,147205.19965241395,155213.74753411495,163908.1597405674,173335.53234138418,183544.57628070714,194585.43809640457,206509.39875897425,219040.45542806087,231996.63187115022,245244.24861641682,258672.79991054276,272182.2370036504,285676.7946408133,299062.3048980988,312245.3883596077,325133.66026336525,337636.47768538835,349665.9572219086,361138.1007188208,371973.9257301443,382100.53148308856,391452.05247145117,399970.4666233914,407606.2363762726,414318.7703937815,420076.70170624595,424857.9849705645,428649.8213825509,431448.4245250746,433258.6440941412,434093.46703259955,433973.417172581,432925.8751305403,430984.34002602065,428187.65373693407,424579.20699807897,420206.1448335486,415118.58671862725,409368.8746120771,403010.8596897562,396099.2363328133,388688.92974843405,380834.54158144636,372589.856048438,364007.40751568624,355138.1090593082,346030.9403917125,336732.69260579126,327287.76646442484,317738.02043059963,308122.66427285597,298478.19387055386,288838.3627618755,279234.18600331835,269693.9720225314,260243.37832804484,250905.48717290122,241700.89753950192,232647.8301072101,223762.24217144115,215057.94979400735,206546.7547719816,198238.5743104924,190141.57156922232,182262.28551974642,174605.75879904162,167175.6624722166,159974.41682418084,153003.30748558755,146262.59636339932,139751.62699165475,133468.9240444958,127412.2868624999,121578.87693617468,115965.29936851606,110567.67840320981,105381.72715775504,100402.81174284332,95626.00998201098,91046.16497008814,86657.93372639842,82455.8312100364,78434.26997078491,74587.59571116291,70910.07435035745,67395.9471117627,64135.84738359354,61175.87170460338,58533.962182950054,56210.98804603256,54198.116708305155,52481.623939339406,51045.9628847269,49875.66869827948,48956.49917437525,48276.085603114,47824.27910335883,47593.31584944665,47577.88225473238,47775.132617453164,48104.550890091734,48516.83796012057,48981.30226507035,49478.4243828793,49995.45669788376,50523.80699556083,51057.47320107823,51592.099456132266,52124.400998498844,52651.80914229997,53172.248553859965,53683.99478810334,54185.58110156301,54675.73597708834,55153.34014500429,55617.39625300017,56067.00694650211,56501.35869147941,56919.70962525555,57321.3803069967,57705.74660523899,58072.23419224508,58420.31426600349,58749.500221311326,59059.34506029229,59349.439381250966,59619.40981993378,59868.91784341402,60097.658816713025,60305.361277709846,60491.78636807364,60656.727377693795,60800.00936795685,60921.488845638996,61021.05346445595,61098.62173566706,61154.14273274751,61187.59577815869,61198.99010277252,61188.364470628716,61155.78676349332
A,7017.085123078083,6359.3740405435055,6180.795733379044,6271.3198681072745,6520.666478607454,6871.147872383874,7292.873240042682,7770.694242030521,8297.32270439155,8869.695701560171,9487.050381095263,10149.89950997416,10859.481774237143,11617.462354740139,12425.765340771113,13286.475378789335,14201.775375280095,15173.902593128189,16205.113683345879,17297.653543551158,18453.72521598034,19675.459292491374,20964.88198896059,22323.88145426399,23754.17213095075,25257.25716029272,26834.38896271867,28486.528245827467,30214.30180601108,32017.95960022141,33897.33167223146,35851.785621434814,37880.18539900309,39980.85230237703,42151.52911032166,44389.34835256558,46690.80573580621,49051.73974734639,51467.31842520391,53932.03421651262,56439.70774295072,58983.501152803685,61555.94156577838,64148.95491226354,66753.91023856089,69361.6743004846,72111.60782103451,75088.0122710798,78345.04880157983,81920.96420611949,85846.13795072988,90147.58172755926,94851.41271150742,99984.17228414261,105573.48494819576,111648.33477247192,118239.11223879363,125377.51363350745,133096.33532938658,141429.18327060362,150133.1875317218,159058.0623963449,168101.04578479074,177182.38086127106,186232.95235704372,195188.28838533477,203985.9141310137,212564.47511120638,220863.78879075457,228825.36888907276,236393.16876953474,243514.39758550795,250140.32122124,256226.99320664362,261735.88090604398,266634.3656106649,270896.1048263913,274501.25256144576,277436.5394875776,279695.219779069,281276.89535208116,282187.2311910447,282437.5775055155,282044.51566922315,281029.3453319418,279417.5298620161,277238.11648390954,274523.1462385365,271307.0673317603,267626.1636597464,263518.00840996887,259020.95072142943,254173.64151991837,249014.60288140396,243581.84366132988,237912.52268836397,232042.65957432668,226006.89214358872,219838.27863263595,213568.14214466722,207225.95435112863,200839.255094904,194433.60434953013,188032.5629056311,181657.69817027243,175328.61155849436,169062.9841115844,162876.637178053,156783.60522695104,150796.21811719466,144925.19041087752,139179.7155848818,133567.56325681933,128095.17779331967,122767.77690711456,117589.44907158092,112563.24878569433,107691.2889078048,102974.82944302681,98414.36231659148,94009.69179489158,89760.01032809634,85663.96968425748,81719.74732603457,77925.10804886089,74277.46095489507,70773.911881789,67411.31144042064,64186.29884250922,61095.34171857824,58134.772140101086,55300.81906780517,52589.63745187845,49997.33420998092,47519.99130618795,45153.686148874694,42894.50951860525,40738.543504840374,38681.89961195869,36802.1101720215,35135.213006153004,33692.17029649875,32469.63071263009,31456.828112288928,30639.883686005283,30004.3942620015,29536.91307655448,29225.733205938534,29061.246693587655,29036.057875872088,29144.96526450602,29384.883540355724,29754.74918177139,30187.775099664104,30646.573432909023,31110.633554688782,31569.05466075389,32016.340304947083,32449.975716849676,32869.04160778605,33273.42916925144,33663.4025259436,34039.36090702487,34401.71467824049,34750.82548320595,35086.98179080615,35410.39339823158,35721.19555484458,36019.45748974009,36305.19249587325,36578.368076745886,36838.91542478722,37086.73792290972,37321.718587497824,37543.72648673873,37752.6222216637,37948.26257673411,38130.504448403335,38299.20815292353,38454.24020379252,38595.475637370735,38722.7999537293,38836.11072936515,38935.31894927263,39020.350098018054,39091.14504283792,39147.66073624447,39189.87076103072,39217.76573678328,39231.353603907584,39230.659798635446,39215.72733042233,39186.616771469446,39143.40616675382
IH,0.0,332.4630810563459,640.914805921814,944.7821680480338,1254.7057791463617,1576.7675123363501,1914.7091043515177,2271.096284938689,2647.929211481096,3046.962173933347,3469.8706993950086,3918.3385976953914,4394.103013935686,4898.9774281899745,5434.863011921071,6003.753739417049,6607.7380178696485,7248.998214809501,7929.8087339703025,8652.532908770365,9419.618782806514,10233.593743176212,11097.057920146899,12012.676242298678,12983.169027743297,14011.300993298519,15099.868571624853,16251.685439980014,17469.5661828943,18756.308034569556,20114.670675134308,21547.35408801043,23056.974523419438,24646.038655169275,26316.91606380349,28071.810228220373,29912.728258997715,31841.449658668244,33859.49444564174,35968.09102773513,38168.14425658706,40460.20413376155,42844.43567125014,45320.5904316185,47887.98028464329,50545.4539166523,53291.37661497001,56130.67007558283,59072.36054318488,62128.1973399512,65311.88994052198,68638.70071777164,72125.24108410931,75789.3829811143,79650.23468153567,83728.15101772468,88044.76011608043,92622.99539626479,97487.1252497399,102662.77475317247,108176.93475455735,114044.83398082141,120274.01473940717,126866.47040053945,133819.72077991758,141127.3500861973,148779.283537981,156761.94913472474,165058.40274735555,173648.45810856632,182508.8432132583,191613.3932425926,200933.28335653958,210437.3004776075,220092.15044300337,229862.79508425455,239712.81261670787,249604.77403164818,259500.62788865578,269362.0859404228,279151.00233254,288829.73965621874,298361.5158430571,307710.7267294418,316843.24003772164,325726.6574790992,334330.5426410851,342626.613247722,350588.897247063,358193.8529672519,365420.45427572256,372250.24226685846,378667.34548829263,384658.47109548654,390212.8696024404,395322.2760801369,399980.8307523769,404184.9819610234,407933.3744300276,411226.7256607795,414067.69315092533,416460.73495483113,418411.96590561856,419929.01160444884,421020.8620597959,421697.7266340654,421970.8917322964,421852.5824520575,421355.8292083092,420494.34015442804,419282.38004250405,417734.65600350813,415866.21058153623,413692.32222614164,411228.4133325058,408489.96582028066,405492.4441576048,402251.2256660809,398781.53788438474,395098.40272153466,391216.58709456667,387150.5597183162,382914.4536961086,378522.0345483706,373986.67331050424,369321.324330915,364538.50740399375,359650.29388038174,354668.2964072892,349603.66196438734,344467.0678753168,339268.72049066395,334018.3562549542,328725.24488744285,323398.19442394836,318045.5578844292,312675.2413482408,307294.7132358632,301911.01282489975,296530.76074177667,291164.0258488963,285822.4515298944,280518.08739363117,275262.6954921763,270067.369940239,264942.35911654925,259897.01538222394,254939.82232948433,250078.466926786,245319.93576829098,240670.62260200325,236136.43959060838,231722.92820343873,227435.3678479241,223275.6760645381,219243.74713436663,215338.25050343253,211557.1104327292,207897.79680422408,204357.50349157283,200933.25934894834,197621.99847398634,194420.6055863756,191325.94599177976,188334.88583525736,185444.30611435822,182651.11258988944,179952.24293255692,177344.6719592799,174825.41551623025,172391.53338121486,170040.13144133185,167768.36332640683,165573.4316287539,163452.58880580997,161403.13783839697,159422.43270025597,157507.87868186468,155656.932602013,153867.10293327362,152135.9498617666,150461.08529708025,148840.17284459205,147270.92774952573,145751.11681974272,144278.55833237563,142851.12192789052,141466.7284939389,140123.3500403783,138819.0095660604,137551.78091736947,136319.78863801542,135121.20780922248,133954.26387918228
IN,917.2976838989558,1780.6599751413348,2551.546154827378,3287.222421355965,4018.7791737111434,4763.686090654632,5532.377880692049,6331.7071553183005,7166.752501735475,8041.763146511476,8960.650631677225,9927.24302396822,10945.414738633768,12019.151209062691,13152.57932651574,14349.979697725392,15615.788953621543,16954.596241222105,18371.13588189154,19870.277056960556,21457.010799693544,23136.43427552353,24913.73218672235,26794.155073621743,28782.994266200894,30885.553249039847,33107.115230281255,35452.906747091656,37928.05719430319,40537.55422868247,43286.19507823421,46178.533873698034,49218.82521726196,52410.964310389994,55758.42407692129,59264.18983704182,62930.69220956911,66759.73904087149,70752.44727481417,74909.17578513752,79229.46028513166,83711.95150481166,88354.35787859237,93153.39401265925,98104.73619737626,103202.98619354861,108441.6444505754,113832.56269182308,119398.58387548833,125169.3872567802,131179.1824210389,137465.46392526658,144068.3702946579,151030.38392020564,158396.21951322004,166212.81231841366,174529.35331663192,183397.33885688495,192870.61332885662,203005.38954022017,213860.2346584919,225459.81146018725,237807.24898922775,250890.73891927782,264686.97138528124,279162.9653282001,294277.10988640256,309979.8480996407,326214.2311476506,342916.46275162196,360016.4940280269,377438.69568153576,395102.6149141398,412923.81259123737,430814.768827982,448685.8405711313,466446.2520694206,484005.0978576471,501272.33772406535,518159.76387220673,534581.9219493731,550456.9696334074,565707.45889425,580261.0307329153,594051.0140142839,607016.9228318362,619104.849569233,630267.753371007,640465.6460375019,649665.6793714676,657842.1396972608,664976.3566363258,671056.5342564173,676077.5134300701,680040.4746622861,682952.590806834,684826.6390177156,685680.5810121939,685537.1202897881,684423.2443924093,682369.7596370965,679410.825034567,675583.4913509352,670927.2504997469,665483.5996868077,659295.6239873356,652407.6003267244,644864.6251724482,636712.2676323927,627996.2490986973,618762.1500784792,609055.1444141668,598919.7607158199,588399.6705037006,577537.5022886572,566374.6805970124,554951.288771684,543305.9542479657,531475.7549064398,519496.1450425769,507400.899458486,495222.074173007,482989.9822580874,470733.1833386658,458478.4853368646,446250.95709627337,434073.9505858788,421969.13145346555,409956.5167730593,398054.5189084782,386279.99449380866,374648.2976103861,363173.3363175975,351867.63177069876,340742.37923217093,329807.5103534207,319071.756170463,308542.7103203414,298226.88711286586,288129.7822675167,278266.57102022023,268656.62372528727,259320.15195742054,250276.27481976195,241542.0124492366,233131.86957082732,225057.7822472078,217329.27796204222,209953.75217532276,202936.80044868583,196282.5692650444,189994.104455746,184073.68633477352,178523.1470751471,173335.32505624287,168498.0389048787,163996.43624925718,159814.38376972638,155935.28987911076,152342.5902742769,149020.03218980922,145951.8377630551,143122.79432107287,140518.3001775114,138124.38315601333,135927.70230163733,133915.53920717168,132075.78295442736,130396.91119764262,128867.96901179824,127478.54656547694,126218.75632113888,125079.2102351462,124050.99727757165,123125.6614888403,122295.18071897517,121551.94614479916,120888.7426240946,120298.72991911642,119775.42480216983,119312.68404131805,118904.6882533872,118545.92660337302,118231.18232347009,117955.51902075071,117714.2677396481,117503.01474356504,117317.58997891034,117154.05618449056,117008.69860931026,116878.01530235287,116758.70793873505,116647.67314767883,116541.99430896965
D,51082.0,51082.0,51082.70314786434,51084.058660409,51086.05684186608,51088.710500991714,51092.04530949237,51096.094852717695,51100.89814244657,51106.49842072126,51112.942639846355,51120.28129580799,51128.56844579163,51137.86182098423,51148.222988020105,51159.71753444516,51172.41526499163,51186.390401300385,51201.721780643806,51218.49305057913,51236.79285703165,51256.71502345384,51278.35871863403,51301.82861054573,51327.23500339379,51354.69395476136,51384.327369511564,51416.2630668655,51450.634816873826,51487.582342335714,51527.25128210349,51569.79311165703,51615.365016847376,51664.12971680382,51716.25523218373,51771.91459522492,51831.28549844655,51894.54987933691,51961.8934389703,52033.50509320714,52109.57635594772,52190.30065482207,52275.872580694464,52366.48707342376,52462.3385474323,52563.619961770906,52670.52184050199,52783.23125032745,52901.94566716519,53026.881657127,53158.28063573284,53296.41301356513,53441.581480594614,53594.12385935211,53754.41577090385,53922.87324964899,54099.955379749816,54286.16698810448,54482.06140499682,54688.24328751536,54905.371488895384,55134.16194707786,55375.362808232014,55629.73817024525,55898.05634691377,56181.08040653012,56479.55984821108,56794.222863260875,57125.76893867415,57474.8617252013,57842.1221803388,58228.122042100964,58633.37771081942,59058.3446232907,59503.412201736995,59968.89945238308,60455.051276944854,60962.03554632928,61489.94097039036,62038.77578150782,62608.467233748735,63198.86190402355,63809.72676743091,64440.75100627287,65091.54850128252,65761.6609446118,66450.56150715753,67157.65898786171,67882.30236963539,68623.78570540223,69381.35325826792,70154.20482179835,70941.50114961542,71742.36942777078,72555.90872841173,73381.19538889623,74217.28826654454,75063.23382545386,75918.07101808785,76780.83593054842,77650.56616642795,78526.30494983404,79407.10493350442,80292.03170283629,81180.1669711084,82070.61146515503,82962.48750425725,83854.94127805055,84747.14483182706,85638.29776975371,86527.62868826557,87414.39635325267,88297.89063567606,89177.43322095483,90052.37810789804,90922.11191314465,91786.0539970557,92643.65642680506,93494.40379206747,94337.81288823282,95173.43228150661,96000.8417696108,96819.65175109645,97629.50251553707,98430.06346610359,99221.03228524221,100002.13405339586,100773.12032993759,101533.7682047276,102283.87932797147,103023.27892534943,103751.81480471021,104469.35635997941,105175.79357732445,105871.03604804692,106555.01199213811,107227.66729593626,107888.96456686269,108538.88220778867,109177.41350941286,109804.56576482882,110420.36756242426,111024.87211593868,111618.1581236156,112200.32916003004,112771.51226342407,113331.85614700473,113881.52930389783,114420.71816973193,114949.62543780681,115468.46857782615,115977.47858204847,116476.89894675087,116966.98488822572,117448.00278852847,117920.22308524614,118383.91599237392,118839.34890983155,119286.7848474229,119726.48146384009,120158.6904829156,120583.65734461167,121001.62100461352,121412.81382989691,121817.4615576678,122215.78329713804,122607.9915609375,122994.29231748781,123374.88505849047,123749.96287748992,124119.71255664888,124484.31465966238,124843.94362927722,125198.76788826605,125548.94994298166,125894.64648881965,126236.00851707382,126573.18142278437,126906.30511327104,127235.51411711362,127560.93769339804,127882.69994108856,128200.9199084213,128515.71170223886,128827.1845972069,129135.44314486731,129440.58728249396,129742.71244172419,130041.90965694516,130338.26567341521,130631.86305510398,130922.78029223318,131211.09190849954,131496.86856796013
R,0.0,1447.6769703746502,2823.672903864048,4217.124766291867,5679.298783755745,7241.647436002736,8925.342217559892,10746.323394615238,12717.988579975103,14852.635686101907,17162.247327057492,19658.925866153088,22355.14207680909,25263.88336455792,28398.74688610547,31774.001451754986,35404.630739833585,39306.36431349313,43495.69969941019,47989.91704196544,52807.08688906291,57966.07113026209,63486.516801595804,69388.84229331836,75694.2153943356,82424.52255332592,89602.32871826326,97250.8271270538,105393.7784598676,114055.43882787053,123260.4761635797,133033.87469522314,143400.82733121063,154386.61595045798,166016.4797883735,178315.47232438752,191308.30731149204,205019.19483678503,219471.66855882373,234688.40552605654,250691.04023326017,267499.9748117027,285134.1874653198,303611.04145118326,322946.0970500346,343152.92907448293,364242.95251265634,386254.8399084595,409244.82596653304,433281.4684264077,458442.95617876644,484815.86131093017,512494.7016014681,541581.9515440518,572188.2954718733,604433.00440164,638444.3673443075,674360.1346490626,712327.9450708999,752505.7152184253,795061.9730322843,840121.1159052545,887779.516591024,938113.5069061865,991182.9320711945,1047032.4778759653,1105691.9273521774,1167175.9598786572,1231483.8203335085,1298599.0341679615,1368489.2618307474,1441106.3396745499,1516386.527242687,1594250.9638792763,1674606.3264337184,1757345.6721529844,1842349.4455108093,1929486.6241108873,2018615.9765898527,2109587.4044235284,2202243.3395414357,2296420.1705278396,2391949.6717815795,2488660.412169505,2586379.122289518,2684932.002315633,2784145.955397202,2883849.734610466,2983874.994413599,3084057.240355842,3184236.673375525,3284258.927347323,3383975.700578862,3483245.2836983376,3581932.9878178,3679911.478010756,3777061.0180247,3873269.6327817477,3968433.195629405,4062455.447516687,4155247.955316386,4246730.016420097,4336828.5165249305,4425477.747234038,4512619.189729185,4598201.2703621285,4682179.093569484,4764514.157057305,4845174.053738934,4924132.164452254,5001367.34503812,5076863.610936236,5150609.822052301,5222599.37027385,5292829.871663608,5361302.86503915,5428023.518356418,5493000.344051521,5556244.924259482,5617771.646618721,5677597.451184691,5735741.588813489,5792225.391234769,5847072.052911035,5900306.424675761,5951954.819053974,6002044.827094411,6050605.146480535,6097665.420637171,6143256.088508969,6187408.244655083,6230153.509280331,6271523.9078055145,6311551.759567872,6350269.575235665,6387709.962518312,6423905.539754262,6458888.856962697,6492692.316458653,6525348.104661111,6556904.293787474,6587417.25425032,6616946.959558312,6645554.202819268,6673299.052682407,6700240.095226886,6726434.161076168,6751936.342255002,6776800.17473644,6801077.910357333,6824820.833142166,6848079.595304857,6870904.560984641,6893346.153674829,6915441.769325949,6937221.004016801,6958708.661135319,6979926.472869193,7000894.079950804,7021629.585742231,7042149.867936497,7062470.75378866,7082607.119777322,7102572.950454904,7122381.376106221,7142044.700105928,7161574.421864994,7180981.258419543,7200275.166129373,7219465.363087016,7238560.352381651,7257567.9461370995,7276495.29014548,7295348.888889104,7314134.630748951,7332857.813219972,7351523.1679811785,7370134.885696633,7388696.64044959,7407211.613734818,7425682.517953518,7444111.619371219,7462500.760512002,7480851.381972713,7499164.543648921,7517440.9453706015,7535680.9469502205,7553884.587649345,7572051.605072345,7590181.453497406,7608273.321656123,7626326.149973384,7644338.647279573,7662309.307006807
