smoothed_dc,smoothed_dc_se,sample_size,country,region,iso_code,gid_0,gid_1,survey_date
0.148091,0.008541,3114.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200715
0.138451,0.008143,3164.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200716
0.137794,0.00815,3234.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200717
0.13964,0.008263,3289.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200718
0.138311,0.008067,3323.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200719
0.129879,0.00781,3392.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200720
0.120015,0.007511,3340.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200721
0.117485,0.007671,3308.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200722
0.12142,0.007878,3332.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200723
0.12107,0.007874,3283.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200724
0.11587,0.007594,3273.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200725
0.114847,0.00773,3252.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200726
0.122685,0.00814,3190.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200727
0.129914,0.008296,3215.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200728
0.135971,0.008369,3266.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200729
0.143395,0.008777,3210.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200730
0.149259,0.00909,3143.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200731
0.15795,0.009738,3005.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200801
0.16207,0.009965,2905.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200802
0.155245,0.009564,2879.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200803
0.147272,0.00936,2868.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200804
0.14576,0.009349,2799.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200805
0.144665,0.009284,2747.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200806
0.143081,0.009148,2732.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200807
0.145003,0.009327,2713.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200808
0.153498,0.009728,2671.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200809
0.156159,0.010029,2618.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200810
0.159719,0.010199,2519.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200811
0.157699,0.010205,2462.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200812
0.154707,0.010048,2420.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200813
0.145343,0.00968,2403.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200814
0.149207,0.009872,2377.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200815
0.142557,0.009393,2373.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200816
0.147397,0.009706,2332.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200817
0.147635,0.009898,2325.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200818
0.151988,0.010029,2313.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200819
0.154843,0.010269,2299.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200820
0.157102,0.010475,2273.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200821
0.154835,0.01037,2264.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200822
0.159078,0.010626,2267.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200823
0.164056,0.010569,2276.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200824
0.169506,0.010695,2286.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200825
0.170954,0.010703,2314.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200826
0.17182,0.010557,2326.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200827
0.174545,0.010761,2304.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200828
0.170329,0.01056,2297.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200829
0.174919,0.010635,2244.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200830
0.168407,0.010465,2214.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200831
0.169033,0.010597,2162.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200901
0.16887,0.010801,2135.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200902
0.168112,0.010909,2105.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200903
0.164422,0.010882,2037.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200904
0.163847,0.01061,2003.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200905
0.160512,0.010834,1981.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200906
0.165878,0.011202,1949.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200907
0.160013,0.010902,1946.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200908
0.163034,0.011054,1898.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200909
0.168599,0.01129,1906.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200910
0.170101,0.011264,1943.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200911
0.173923,0.011677,1920.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200912
0.180264,0.011932,1933.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200913
0.182867,0.011922,1933.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200914
0.190197,0.012289,1902.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200915
0.187784,0.012349,1888.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200916
0.17943,0.012322,1813.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200917
0.185848,0.0123,1815.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200918
0.193365,0.012525,1773.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200919
0.194859,0.012566,1708.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200920
0.199287,0.012898,1661.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200921
0.195501,0.012908,1632.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200922
0.192663,0.012631,1602.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200923
0.201517,0.012867,1626.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200924
0.206633,0.013528,1546.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200925
0.206384,0.013728,1559.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200926
0.204087,0.013722,1552.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200927
0.198354,0.01332,1579.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200928
0.196609,0.013164,1592.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200929
0.196472,0.013239,1574.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200930
0.184793,0.012778,1558.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201001
0.181818,0.012677,1547.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201002
0.18055,0.01252,1544.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201003
0.174851,0.012234,1559.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201004
0.171846,0.012258,1543.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201005
0.174906,0.012326,1522.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201006
0.191746,0.013107,1493.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201007
0.200888,0.013454,1482.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201008
0.19947,0.013393,1474.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201009
0.193649,0.01347,1403.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201010
0.201401,0.014033,1330.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201011
0.204768,0.014217,1298.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201012
0.206304,0.014485,1243.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201013
0.198521,0.014483,1215.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201014
0.201881,0.01492,1153.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201015
0.205046,0.015198,1132.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201016
0.22535,0.015864,1115.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201017
0.218436,0.015645,1110.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201018
0.218199,0.016041,1065.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201019
0.22829,0.016728,1047.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201020
0.230788,0.016814,1036.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201021
0.229028,0.016963,990.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201022
0.229325,0.017127,964.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201023
0.220115,0.016564,962.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201024
0.221097,0.016794,938.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201025
0.223952,0.017308,882.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201026
0.215062,0.016825,854.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201027
0.223388,0.017138,855.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201028
0.235008,0.017398,862.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201029
0.25413,0.018265,825.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201030
0.270161,0.019239,807.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201031
