series,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
S,7007.152120470813,7002.708531969259,6996.689295844925,6988.539662206587,6977.512870922978,6962.606448420126,6942.479671556172,6915.348585170036,6878.856052522175,6829.91748400025,6764.549851038135,6677.704953568625,6563.151054756928,6413.483019825604,6220.389450031537,5975.35431365883,5670.985049763052,5303.068887806965,4873.171225030557,4391.0677402806505,3875.7325841025286,3353.524513995604,2853.2285270521224,2399.5481652302865,2008.019954383849,1683.5842682738703,1422.673170902735,1216.8678728163945,1056.1893225038266,931.1671608548648,833.760428725359
I,8.0,10.843588501554816,14.694106925577298,19.904919178800196,26.950726626648922,36.467003804171696,49.30037990729083,66.57139031196898,89.74964489743621,120.73828443987354,161.95826051401326,216.41150588072097,287.6831035162737,379.8145177443429,496.9451839895414,642.5912835643412,818.4422907472502,1022.6699945538872,1248.033658419517,1480.5304114855207,1699.7594853665387,1882.0156584001556,2005.9085136636063,2058.407172752721,2038.2539490486145,1955.0388453488704,1824.9421736502316,1665.7590370065254,1493.2857799177882,1319.6507855831924,1153.1273605960596
R,0.0,1.6,3.7687177003109635,6.707539085426424,10.688522921186463,16.078668246516248,23.37206900735059,33.232144988808756,46.54642305120255,64.49635203068979,88.6440089186645,121.03566102146715,164.31796219761134,221.8545829008661,297.8174864497347,397.20652324764296,525.7247799605112,689.4132381099613,893.9472370207387,1143.553968704642,1439.6600510017463,1779.611948075054,2156.015079755085,2557.1967824878066,2968.878217038351,3376.529006848074,3767.536775917848,4132.525210647895,4465.677018049199,4764.334174032757,5028.264331149396
G,8.0,12.443588501554816,18.46282462588826,26.612458264226618,37.639249547835384,52.54567205068795,72.67244891464142,99.80353530077774,136.29606794863878,185.23463647056334,250.6022694326778,337.44716690218814,452.00106571388505,601.669100645209,794.7626704392761,1039.7978068119842,1344.1670707077615,1712.0832326638485,2141.980895440256,2624.0843801901633,3139.419536368285,3661.62760647521,4161.923593418692,4615.603955240528,5007.132166086966,5331.567852196945,5592.47894956808,5798.28424765442,5958.962797966989,6083.98495961595,6181.391691745456
