series,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,4704.535080298353,4699.491322225079,4694.654505618018,4689.419681238345,4683.303046713072,4675.854649178624,4666.599531963416,4654.993109716222,4640.382375951473,4621.967880174273,4598.763435744907,4569.551942034511,4532.837008494749,4486.791651232418,4429.207587138891,4357.452004464908,4268.443593247731,4158.6664468685885,4024.24922593121,3861.146855394768,3665.470354037026,3434.011431057903,3164.992157799361,2859.0220973075848,2520.1517463736404,2156.7708085127733,1781.9466232240702,1412.723853804884,1068.0530131002733,765.489886550571,517.5187210211756,328.89410851155384,196.2315177665762,110.05513610644431,58.245166980553606,29.26809493791894,14.074343242270228,6.534245387993045,2.9556178445698076,1.314051917514596,0.5789213401809241,0.2545701986266958,0.11242889513000537,0.050129243353762405,0.02266147776258663,0.010421436528822532,0.004887978429208571,0.0023427255761747697,0.0011489081028732031,0.0005770282707305819,0.00029693759297498763,0.00015658947929658387,8.461642225918373e-05,4.68406037158805e-05,2.655107899279243e-05,1.5402840885018916e-05,9.13922778705513e-06,5.542602067303551e-06,3.4332213301831053e-06,2.1704599446895257e-06,1.399382622488932e-06,9.194493566375858e-07
E,0.0,5.043758073274503,9.288244149781201,13.432272637734753,17.97144348166887,23.309304686328048,29.82701606027397,37.930603319914766,48.08683033348499,60.85408900884791,76.9119307849307,97.09101570293197,122.40374239457773,154.07420843075454,193.5640546219543,242.587797761861,303.1071028667611,377.28785694329906,467.39702162022786,575.609065980526,703.6869992684686,852.5060954428282,1021.4084756073678,1207.4260293612629,1404.4982824907747,1602.937286035269,1789.5151916079049,1948.5802834620554,2064.413107679388,2124.5350041801316,2123.0043244734748,2062.3068522172293,1952.7755680395765,1809.6212459931928,1648.9123160822078,1484.2438776081883,1325.1305053849892,1177.0494882086264,1042.3973882449102,921.6215445625094,814.1229790485969,718.8380862275723,634.5610823596086,560.1015875235566,494.35165960877003,436.3080657733146,385.0743081453046,339.85436930341984,299.9436331757989,264.7193253539915,233.63140966747048,206.19426717371877,181.97922852929196,160.6079294133405,141.74642251252644,125.09997036272519,110.40844488736347,97.4422649780268,85.99881011062773,75.89925463815575,66.98577361345126,59.11907663335835
I,5.0,4.8,5.200330530553841,6.083113201050914,7.417252354348347,9.231098589963985,11.599260487627392,14.63812505567553,18.50710680462702,23.414059634278946,29.624099902190874,37.47154469849832,47.37488975867401,59.85478539448082,75.554811881029,95.26445893986354,119.94298669454598,150.74165952936835,189.0200494086437,236.34957360844146,294.494158733903,365.35421918931036,450.8569435157401,552.7751725129916,672.4622634169045,810.5057071966013,966.3317586248045,1137.836165844848,1321.1607356983322,1510.7555363193574,1699.8271601026354,1881.156158464397,2048.103787048452,2195.5103392730293,2320.208824738984,2421.0459822660787,2498.5112668942834,2554.191931249152,2590.2549815063253,2609.0621918555285,2612.9334002725536,2604.0253082242302,2584.2834410667215,2555.4338979118806,2518.9939376757834,2476.2900140454412,2428.4777045697333,2376.561080481682,2321.410567207509,2263.779024220848,2204.3160590292127,2143.5806995099097,2082.0525821469973,2020.1418157528874,1958.1976703131106,1896.5162267986254,1835.3471094656552,1774.8994085929914,1715.3468892260516,1656.832570392243,1599.472749372335,1543.3605368574679
R,0.0,0.2,0.392,0.6000132212221536,0.8433377492641901,1.1400278434381241,1.5092717870366834,1.9732422065417792,2.5587672087688005,3.2990514809538816,4.235613866325039,5.420577862412674,6.919439650352607,8.814435240699567,11.208626656478799,14.230819131719958,18.041397489314498,22.839116957096337,28.868783338271072,36.42958531461682,45.88356825895448,57.663334608310606,72.27750337588301,90.31178111651262,112.42278801703229,139.32127855370848,171.74150684157252,210.39477718656468,255.90822382035861,308.7546532482919,369.1848747010662,437.17796110517156,512.4242074437475,594.3483589256856,682.1687724966068,774.9771254861662,871.8189647768094,971.7594154525807,1073.9270927025468,1177.5372919627998,1281.8997796370209,1386.417115647923,1490.5781279768923,1593.9494656195611,1696.1668215360364,1796.9265790430677,1895.9781796048853,1993.1172877876747,2088.179731006942,2181.0361536952423,2271.587314664076,2359.7599570252446,2445.503185005641,2528.7852882915213,2609.590960921637,2687.9188677341613,2763.779516806106,2837.1934011847325,2908.189377528452,2976.8032530974942,3043.076555913184,3107.0554658880774
G,5.0,5.0,5.592330530553841,6.683126422273068,8.260590103612538,10.37112643340211,13.108532274664075,16.611367262217307,21.06587401339582,26.713111115232824,33.85971376851591,42.89212256091099,54.294329409026616,68.66922063518038,86.7634385375078,109.4952780715835,137.98438418386047,173.58077648646466,217.88883274691474,272.7791589230583,340.3777269928575,423.01755379762096,523.1344468916232,643.0869536295043,784.8850514339368,949.8269857503099,1138.073265466377,1348.2309430314128,1577.068959518691,1819.5101895676494,2069.0120348037017,2318.334119569569,2560.5279944921995,2789.858698198715,3002.3775972355907,3196.023107752245,3370.330231671093,3525.9513467017327,3664.182074208872,3786.5994838183283,3894.8331799095745,3990.4424238721535,4074.861569043614,4149.383363531442,4215.16075921182,4273.216593088509,4324.455884174619,4369.678368269357,4409.590298214451,4444.81517791609,4475.903373693289,4503.340656535154,4527.5557671526385,4548.927104044408,4567.788631234747,4584.435094532787,4599.126626271762,4612.092809777724,4623.536266754504,4633.635823489737,4642.549305285519,4650.4160027455455
