series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01
S,3847702.7078323206,3847702.7078323206,3847702.6324129165,3847702.510263524,3847702.3480309607,3847702.142941845,3847701.8873730605,3847701.5702956105,3847701.1774565014,3847700.69099294,3847700.0887231315,3847699.343181708,3847698.4203947573,3847697.2783544282,3847695.865130838,3847694.1165396525,3847691.9532628274,3847689.2772955564,3847685.96756273,3847681.8745118473,3847676.813444667,3847670.5562949353,3847662.821492084,3847653.261467858,3847641.447261021,3847626.8495502844,3847608.8152922536,3847586.53895321,3847559.027093199,3847525.054779047,3847483.1119583366,3847431.3375056554,3847367.438139673,3847288.5887858924,3847191.3102030535,3847071.318775687,3846923.3422719934,3846740.8940431033,3846515.996562433,3846238.843338295,3845897.3860484506,3845476.831221586,3844959.027927143,3844321.724767128,3843537.6710864077,3842573.5339217484,3841388.599129989,3839933.2229242427,3838146.999566492,3835956.6135094347,3833273.3517171084,3829990.2668076414,3825979.007461771,3821086.373444207,3815130.7133336826,3807898.3681516955,3799140.4762384854,3788570.592285624,3775863.726582708,3760657.5567664066,3742556.664587628,3721140.648364701,3695976.791992226,3666637.5765386657,3632722.682371696,3593884.302631328,3549853.718739759,3500466.3968020314,3445682.5841193763,3385600.6716963653,3320461.4375337083,3250642.517619373,3176643.773706355,3099065.340438046,3018580.834304894,2935908.428490295,2851782.301294609,2766926.485143914,2682032.5282360464,2597741.7580300155,2514632.390111508,2433211.3009906868,2353909.990055994,2277084.084019814,2203015.6654887055,2131917.710802191,2063939.976945857,1999175.762456457,1937669.0664301333,1879421.7710288074,1824400.5681812319,1772543.435651748,1723765.5389486253,1677964.4931080248,1635024.96286155,1594822.6124379307,1557227.4389827081,1522106.5381231133,1489326.3583060077,1458754.5037686257,1430261.1457148367,1403720.098575265,1379009.614010132,1356012.9402448097,1334618.688908255,1314721.046126016,1296219.85943841,1279020.6273169715,1263034.413717923,1248177.7062715422,1234372.2333591655,1221544.752451778,1209626.8196392995,1198554.548224686,1188268.3625463652,1178712.7517814501,1169836.027328286,1161590.0864313208,1153930.183959294,1146814.7136487586,2199696.234178365
E,0.4213132377670842,0.3283356881803762,0.33129630142697136,0.3803335393566975,0.4586321620571675,0.562507997354088,0.6939396544378905,0.8578749696112098,1.0613938637472409,1.313623625991868,1.6259962871820992,2.012704574770233,2.491317635803856,3.083561309587107,3.816288895337212,4.722682024661236,5.8437333446052255,7.230075799255999,8.944238701711612,11.063429465795318,13.682962723767599,16.920486601582567,20.921190352923887,25.864219813460856,31.970578985431747,39.512859637574856,48.82721870239921,60.32811861599722,74.52646237094956,92.05189750393538,113.68023697371463,140.3671563836781,173.2895838956915,213.8965103441172,263.97132265208717,325.70821505280156,401.8057721544675,495.58145825273215,611.111500450402,753.4015284139991,928.5943345263908,1144.222237561125,1409.5127450925206,1735.757458797102,2136.755349361617,2629.342468494904,3234.020582253416,3975.696666339865,4884.54304943021,5996.983286427838,7356.800285422832,9016.349065422952,11037.834610772969,13494.583109305711,16472.189938505904,20069.36840955388,24398.24995897168,29583.803935846798,35761.96521925133,43076.00254023039,51670.66324285611,61683.73452319662,73234.91042135276,86412.27311361069,101257.26705408252,117749.67775148364,135794.66346915942,155214.12794475319,175744.49690931864,197042.21930170298,218697.1736612946,240252.88823146987,261231.4020010414,281159.95993696287,299596.6551459122,316152.546303925,330508.520520967,342426.0342379836,351751.67113084364,358416.09230946586,362428.3728162537,363866.92404259153,362868.2302766579,359614.5284353358,354321.3825710204,347225.8912309455,338576.04820216406,328621.57718946866,317606.39104011847,305762.691607066,293306.62748972874,280435.3606789276,267325.35470996256,254131.6807191615,240988.13825980795,228007.9998216677,215285.20742815285,202895.87301713956,190899.95893705165,179343.0389497113,168258.06240059825,157667.06397918108,147582.7784179144,138010.133518529,128947.60618680692,120388.43495612088,112321.68909994335,104733.19920889135,97606.3573662719,90922.79710091883,84662.96439693989,78806.59142854193,73333.08455794686,68221.83764313586,63452.4809749148,59005.07529650058,54860.259426545665,50999.35906163948,47404.4634143976,44058.47547334104,40945.14086633537
I,0.0,0.028540959696751033,0.04352894133184708,0.05490790503599988,0.06671653678662245,0.08082787509151368,0.09838930156109257,0.1203905980931005,0.14790514877301023,0.18221312372929507,0.22488761374237598,0.277876306751925,0.343593291880177,0.425029239947936,0.525886436692804,0.6507452564146398,0.8052696726171549,0.9964609740475944,1.2329709130754074,1.5254880921592682,1.8872145827612912,2.334453697600454,2.8873346655096914,3.5707058916447045,4.415235773956489,5.458768994907014,6.74799718784086,8.340516343864454,10.307359828859521,12.736116089710135,15.734764851568043,19.436395816048897,24.005010727681654,29.642654567737885,36.59817619498545,45.17798488915836,55.75924915813559,68.80608031477163,84.8893584167426,104.71099501871679,129.1335885499377,159.2166162851916,196.2605230367166,241.86031002204194,297.9704934491547,366.98358092410683,451.8244852770647,556.0635261166417,684.050804672736,841.0746924020951,1033.5468215316355,1269.2151232096742,1557.4048722359396,1909.2850296183342,2338.153004662824,2859.7248053607464,3492.4089359859063,4257.531012460107,5179.461980719675,6285.586904576225,7606.035666718995,9173.085468358286,11020.14353311684,13180.234201013518,15683.954770344006,18556.933020076354,21816.9133873825,25470.705257959595,29511.322489741855,33915.69937478156,38643.359815693846,43636.332952156336,48820.46000053435,54108.05308465503,59401.68666799547,64598.76236967016,69596.41181358421,74296.29563177441,78608.91029747255,82457.10903195909,85778.65666651525,88527.75145922147,90675.54516176794,92209.76787964534,93133.61367361883,93464.06767572017,93229.85954433934,92469.2163675092,91227.56583816506,89555.31239245864,87505.7789072312,85133.37741062322,82492.0460394673,79633.96731848804,76608.56521186966,73461.76528419764,70235.49334626648,66967.38259376271,63690.65682420431,60434.15717887265,57222.481382952305,54076.20710415549,51012.1743630863,48043.80554611127,45181.44522064278,42432.70543935083,39802.80541629142,37294.89729040094,34910.37212782032,32649.14235208592,30509.898449417797,28490.339107630884,26587.37495151184,24797.306777731443,23115.979711161814,21538.915042134966,20061.42169733495,18678.689377920375,17385.865394806046,16178.11716597809,15050.682233267758
A,0.0,0.064436589889957,0.10706815584383689,0.1451343640909581,0.18621966491187858,0.23444398269992328,0.2928788201136043,0.3645367462325932,0.4528324538702996,0.5618615113874625,0.6966333459367035,0.8633161655222558,1.0695227860573515,1.3246569837772209,1.6403384151663343,2.0309259909509145,2.5141633078776326,3.111974871599547,3.851448370610618,4.766046375439235,5.897100853037554,7.295656218861304,9.024741819337148,11.162173387686781,13.804005934396367,17.068788684075713,21.10280723060752,26.08654048830522,32.24261201609115,39.84557900710648,49.23398023841039,60.82515966730489,75.13349887118352,92.79283361345112,114.58400276864977,141.46868787656803,174.63095594657906,215.52822506303607,265.9537410823564,328.11309423723145,404.7178269997598,499.0997986683426,615.3506851674028,758.4918070226538,934.680388092562,1151.4593310467749,1418.0586071205478,1745.757313877269,2148.3162152278055,2642.490919421622,3248.6354325326784,3991.4041470983193,4900.55668157635,6011.8634200864,7368.098887100855,9020.093767600798,11027.792902780993,13461.234661090257,16401.326288490953,19940.241625875376,24181.216574209055,29237.47312211266,35229.97938312321,42283.77059174703,50522.635573525964,60062.13058215479,71001.1180981391,83412.3181944107,97332.65262488199,112754.38544594111,129618.14784320697,147808.83440946936,167155.07497954008,187432.57093875186,208371.12164333038,229664.7455306097,250983.9925628353,271989.386417788,292344.927136341,311730.70146975626,329853.8483044311,346457.3671581716,361326.5014826519,374292.647929911,385234.9211698042,394079.6341300841,400798.0358245407,405402.68826984824,407942.8681105568,408499.3562156341,407178.93821133394,404108.8882413512,399431.6534095342,393299.90210300783,385872.0490437872,377308.32556430966,367767.426319215,357403.7337228452,346365.098569735,334791.13891704154,322812.0085371975,310547.58015212027,298106.98630347406,285588.46122276154,273079.42966166703,260656.79266117595,248387.3651288845,236328.4254215558,224528.34256086443,213027.25200023173,201857.75584067297,191045.62795576538,180610.50857043828,170566.57642218264,160923.18972016935,151685.48973007867,142854.96298476498,134429.95989491453,126406.16895455428,118777.04684904343,111534.20562192315
IH,0.0,0.0,0.002802042577007596,0.006006140426665479,0.009104528381490978,0.01217973409693343,0.01546667608901635,0.019223261097535905,0.023706138025614318,0.02917938574064221,0.0359319788721421,0.04429704410508253,0.054671785941489304,0.06753882070675202,0.08349018547396032,0.10325544095963779,0.12773539261616193,0.15804311822335965,0.19555424605500693,0.24196878795211327,0.29938730757580456,0.37040481145484905,0.45822651148323895,0.5668105521415647,0.7010439623447274,0.8669595287242505,1.0720030541471073,1.3253626359054946,1.6383742622999726,2.0250212940708923,2.502549401813031,3.0922234339755765,3.820258687807347,4.7189663828253,5.828162074454815,7.196896628854124,8.885582602636603,10.968604892211848,13.537523863154808,16.70500243120702,20.609616386001786,25.421740292785724,31.350740212512342,38.6537497592655,47.64635790081123,58.7155951155037,72.33566785949002,89.08695711864975,109.6788601702218,134.97710713004724,166.03621186789593,204.13769960371653,250.83466010510782,308.00296188121746,377.89906882878495,463.2237478450024,567.1899481052633,693.591664240943,846.8685695673836,1032.1585698448514,1255.3272354567432,1522.9595619637962,1842.2962149601376,2221.094233011004,2667.3923623717897,3189.165264737808,3793.860086845433,4487.823831639688,5275.649669663921,6159.491901933833,7138.418131048069,8207.87802287554,9359.366533403516,10580.343966557846,11854.447576051409,13161.994637131687,14480.741675774556,15786.835278905575,17055.871173013045,18263.971930809003,19388.79903725211,20410.429524266372,21312.047441468876,22080.422483282444,22706.16911683902,23183.79740557639,23511.580198491094,23691.270085020496,23727.70376352205,23628.331910166136,23402.710144458288,23061.982192940824,22618.38071229761,22084.765171193667,21474.210266379177,20799.65295531842,20073.601565253397,19307.90670058697,18513.590832114623,17700.731458700313,16878.3914860555,16054.589846723267,15236.305261527803,14429.506291428524,13639.201337640809,12869.502920835506,12123.701328647801,11404.343503509464,10713.313804930647,10051.91399076585,9420.940401318838,8820.75688825824,8251.362504163468,7712.453360123155,7203.478373627306,6723.688874595435,6272.182222400737,5847.939720118663,5449.8592026391925,5076.782730827307,4727.519851875551
IN,0.0,0.0,0.0044523712393816466,0.011194903319024882,0.019639925430941448,0.0298361287174593,0.04212387268423747,0.05701884175828046,0.07518557148473466,0.09744888720208496,0.1248244361179442,0.15856232748010718,0.20020304420018767,0.25164707364519373,0.3152409765546944,0.3938835940409902,0.4911570804598734,0.611488584509233,0.7603497684674,0.9445030294391628,1.1723053446964067,1.45408319667216,1.8025951518883565,2.2336025064516987,2.766573133384405,3.4255494757724265,4.2402187717590385,5.247232375473612,6.491831822258212,8.029852529253015,9.93019227512982,12.277851537172392,15.177677196045837,18.758971037327502,23.18116107845298,28.640778466502926,35.38003724461528,43.69738071476569,53.96043883767812,66.62193890788491,82.23922983531868,101.49822235889359,125.24271733429087,154.51029594665278,190.57618319378338,235.0067724316999,289.72481569890044,357.08864039917574,439.98814094461443,541.9606989020247,667.3305787327319,821.3756805652692,1010.5257307587021,1242.595940661691,1527.0596979990733,1875.3627439174045,2301.2792294360115,2821.3066648135677,3455.0916549349454,4225.871051265778,5160.903483273756,6291.854231539488,7655.082745894182,9291.768369287458,11247.798695177622,13573.340240033447,16322.01711507882,19549.64398979504,23312.496637398817,27665.1548750886,32658.012428594295,38334.60600930189,44728.95999653893,51863.163585291506,59745.388805310904,68368.52134825921,77709.51824997197,87729.53733214599,98374.81389128095,109578.19980834809,121261.2353405547,133336.597155533,145710.7574012313,158286.69526618198,170966.52081314183,183653.89670708895,196256.17289099714,208686.17901024548,220863.64698595545,232716.2599632236,244180.34304059623,255201.22546612896,265733.3135644265,275739.91904458066,285192.8892097156,294072.08469008247,302364.74738685356,310064.79701259517,317172.08952222846,323691.6653130306,329633.00969367987,335009.3430398434,339836.9534389986,344134.58057888603,347922.85619363934,351223.80354759406,354060.396177178,356456.1743746601,358434.9166214843,360020.36229661887,361235.9814304232,362104.7869842571,362649.1850534663,362890.85846635577,362850.67944139935,362548.64723346743,362003.84701816726,361234.4266084096,360257.58795123815,359089.59070249746,357745.76551253966
D,10853.0,10853.0,10853.0,10853.000045667157,10853.00014355409,10853.00029193796,10853.000490440949,10853.00074251389,10853.00105581094,10853.001442169065,10853.00191772914,10853.00250334169,10853.003225286482,10853.00411631684,10853.005217051681,10853.00657775883,10853.008260596345,10853.010342403457,10853.012918160106,10853.016105265979,10853.020048827217,10853.024928184554,10853.03096497165,10853.038433060094,10853.047670830558,10853.059096311585,10853.073225852926,10853.090697154605,10853.112297662512,10853.13899957431,10853.172002985822,10853.212789059515,10853.263185528318,10853.325447377081,10853.40235619275,10853.497342468625,10853.614636119675,10853.759451653223,10853.938215887458,10854.158847873992,10854.431102823177,10854.766994427202,10855.18131311049,10855.692261505656,10856.322232960005,10857.098764229757,10858.05569982018,10859.234612763079,10860.686535029072,10862.474060210541,10864.673891404467,10867.379917974116,10870.706915336805,10874.794970871179,10879.814744503718,10885.97367157988,10893.523204029816,10902.767157817632,10914.071182709604,10927.873285422436,10944.69520928272,10965.154293566413,10989.97519855342,11020.000591512959,11056.199562451931,11099.672215333225,11151.648623637757,11213.480233026103,11286.621931404436,11372.603465297965,11472.989691619696,11589.330271247303,11723.100704579128,11875.637878425447,12048.07431001734,12241.275839662174,12455.787522366665,12691.791893232781,12949.082728977613,13227.056070114864,13524.718807394265,13840.713762700409,14173.359057177287,14520.698748811117,14880.561270586706,15250.622091861078,15628.467208050397,16011.654465792584,16397.770275094557,16784.479873552194,17169.569928463086,17550.98284279225,17926.842637838243,18295.4727004093,18655.40599848567,19005.388588965954,19344.377372818482,19671.53310934751,19986.209696751655,20287.94067535998,20576.423826659426,20851.50463764872,21113.159286362472,21361.47768869863,21596.647035025293,21818.936141680046,22028.68085007938,22226.270626121233,22412.13644528639,22586.73999398816,22750.564174441548,22904.1048674642,23047.863883858987,23182.343018987896,23308.0391154893,23425.440034563748,23535.021435729348,23637.244267439113,23732.55287561755,23821.373643312032,23904.114081698364
R,0.0,0.0,0.007584829328748036,0.02125951422516015,0.04065822582878223,0.06611605659765547,0.09848373151205274,0.1390630165876863,0.18961006901969665,0.2523839148119239,0.33023103560812234,0.42670409004056087,0.5462169702619288,0.6942413853509803,0.8775527583026104,1.1045358391253268,1.3855633357234933,1.7334642500086932,2.164102668423028,2.697092694221348,3.3566812518048716,4.172837911350616,5.182600000780629,6.4317324882390725,7.976775916154671,9.887572640689513,12.250382504232068,15.17172473302821,18.78311439566414,23.246900512134445,28.76346049370025,35.58006400403741,44.00179097725759,54.404976342358204,67.25376154180718,83.12046448789529,102.71064033774064,126.893901563328,156.74180458598104,193.57440037940563,239.01739798627315,295.07231437780814,364.2024944597895,449.43849537557827,554.5070541909444,683.9887115657941,843.5101575392812,1039.9785046996155,1281.865973590054,1579.55487162778,1945.7542069562483,2396.000704041151,2949.258212999902,3628.630268925268,4462.200470272645,5484.0138480037185,6735.208727761629,8265.301763663489,10133.617667174893,12410.838401935112,15180.623146131615,18541.21958011834,22606.94965632958,27509.411506708377,33398.19875590649,40440.907440409275,48822.189625554696,58741.63289194104,70410.30476377081,84045.90308444553,99866.59004039058,118083.74162966356,138893.9912235643,162471.05931686648,188957.92069204568,218459.85462600374,251038.85550544775,286709.7632098118,325438.32455158076,367141.2404950876,411688.10806164664,458905.04505238426,508579.6982686062,560467.2843825738,614297.2950418391,669780.5091020883,726615.9883311157,784497.7813012139,843121.1167020096,902187.9261546473,961411.5932425121,1020520.8766610435,1079262.9991234036,1137405.9289806897,1194739.90829396,1251078.2998030824,1306257.8367442873,1360138.3648661645,1412602.1664574614,1463552.952884213,1512914.6061035753,1560629.7418106175,1606658.1580640594,1650975.22405433,1693570.2546018774,1734444.9073527814,1773611.6317061202,1811092.191403444,1846916.2765009734,1881120.2151394035,1913745.7910931753,1944839.169461859,1974449.9299848694,2002630.2052323516,2029433.9192624274,2054916.121152764,2079132.4070323256,2102138.423783792,2123989.4473930076,2144740.028931797,2164443.7013254846
G,635096.0,635096.0285409597,635096.0507833551,635096.073226311,635096.0989911892,635096.130060239,635096.1681661343,635096.2151755845,635096.2732904805,635096.3451923265,635096.4341809355,635096.544330559,635096.6806769042,635096.8494458623,635097.0583350953,635097.3168613836,635097.6367893261,635098.0326604806,635098.5224464248,635099.1283546503,635099.8778228991,635100.8047457979,635101.9509877928,635103.3682488641,635105.1203648412,635107.286142995,635109.96285674,635113.2705517189,635117.3573504417,635122.4059854433,635128.6418433778,635136.3428666805,635145.8517379763,635157.5908683584,635172.0808276897,635189.962997547,635212.0274004792,635239.2468688485,635272.8189695055,635314.217404544,635365.2549716803,635428.1605988968,635505.6734749208,635601.1578861465,635718.743044252,635863.4929425253,636041.612096388,636260.6938693363,636530.0188943981,636860.911764154,637267.1645066197,637765.5351288108,638376.3283159699,639124.0626962971,640038.224222976,641154.0973240534,642513.6535486622,644166.4605490804,646170.5517575231,648593.169222402,651511.2604243631,655011.5784417478,659190.2104503269,664151.3520413407,670005.165743733,676864.6216519079,684841.3204730079,694040.4380645842,704555.0855357054,716460.5187231326,729808.7203354381,744623.890284385,760899.3057837507,778595.8656059686,797642.4427499255,817937.9741818813,839355.0488741176,861744.6381821008,884941.5538406292,908770.214725385,933050.3424979822,957602.2735892769,982251.6562412923,1006833.3845307864,1031194.6977827407,1055197.4382455202,1078719.5098989382,1101655.6165288594,1123917.3789167586,1145432.941195668,1166146.1775140383,1186015.604542586,1205013.0952673042,1223122.4768170828,1240338.0812816238,1256663.3047137691,1272109.2165677056,1286693.2501980716,1300437.9949991375,1313370.1023855803,1325519.311068613,1336917.5918420353,1347598.4081923221,1357596.0862930252,1366945.2861410326,1375680.5645544888,1383836.0203105148,1391445.0117076584,1398539.9371682853,1405152.0700471422,1411311.4395018655,1417046.7500453154,1422385.3331900581,1427353.1253769344,1431974.6671279853,1436273.1190630873,1440270.2910600235,1443986.6814149644,1447441.5233735333,1450652.8368535633,1453637.483572592
H,19530512.2248386,19530512.2248386,19530512.224838603,19530512.2248386,19530512.224838603,19530512.224838603,19530512.2248386,19530512.224838603,19530512.224838603,19530512.224838607,19530512.224838603,19530512.224838607,19530512.224838607,19530512.22483861,19530512.224838603,19530512.22483861,19530512.224838607,19530512.22483861,19530512.224838607,19530512.224838607,19530512.224838603,19530512.224838603,19530512.224838607,19530512.224838607,19530512.22483861,19530512.224838607,19530512.22483861,19530512.22483861,19530512.22483861,19530512.224838607,19530512.224838607,19530512.224838607,19530512.22483861,19530512.224838607,19530512.224838603,19530512.224838603,19530512.224838603,19530512.224838603,19530512.2248386,19530512.224838596,19530512.224838596,19530512.2248386,19530512.2248386,19530512.2248386,19530512.2248386,19530512.224838603,19530512.224838607,19530512.224838603,19530512.224838603,19530512.224838603,19530512.224838603,19530512.224838607,19530512.224838603,19530512.2248386,19530512.2248386,19530512.2248386,19530512.2248386,19530512.2248386,19530512.2248386,19530512.224838596,19530512.224838592,19530512.224838596,19530512.224838592,19530512.224838592,19530512.224838592,19530512.224838592,19530512.224838596,19530512.224838592,19530512.22483859,19530512.224838592,19530512.224838592,19530512.224838592,19530512.22483859,19530512.224838592,19530512.224838592,19530512.224838592,19530512.22483859,19530512.224838592,19530512.22483859,19530512.22483859,19530512.22483859,19530512.224838592,19530512.22483859,19530512.224838585,19530512.224838585,19530512.224838585,19530512.22483858,19530512.224838585,19530512.224838585,19530512.22483858,19530512.224838585,19530512.22483858,19530512.224838585,19530512.224838585,19530512.224838585,19530512.224838585,19530512.224838585,19530512.224838585,19530512.224838585,19530512.22483858,19530512.22483858,19530512.224838585,19530512.224838585,19530512.224838585,19530512.224838585,19530512.224838585,19530512.224838585,19530512.224838585,19530512.224838585,19530512.224838585,19530512.22483858,19530512.224838585,19530512.224838585,19530512.224838585,19530512.224838585,19530512.22483858,19530512.22483858,19530512.224838585,19530512.224838585,19530512.224838585,18471020.99031265
