state,R0_SD,R0_SIR
AZ-Maricopa,2.4740416693616805,1.8720735551670058
CA-Los Angeles,2.414174634211015,2.1398909112862468
CA-Orange,2.194598844378836,1.7512393200831522
CA-Riverside,2.4484225894955287,2.1752097047996624
CA-San Bernardino,2.556213225891198,1.8897742454789466
CA-San Diego,2.4872923332271673,2.0376466757046487
CO-Adams,2.0827965629914345,1.8516109474044273
CO-Arapahoe,2.2540793264251207,1.9600408927367807
CO-Denver,2.2580746809135555,1.9669341246121714
CT-Fairfield,3.291700041582407,2.590256210855685
CT-Hartford,2.840570004469875,2.356384094462604
CT-New Haven,3.108166368733045,2.519487794875626
DC-District of Columbia,2.0992948871071824,1.865443928734613
DE-New Castle,2.2986807347370206,1.993297412129603
DE-Sussex,2.3671088680235886,2.003780949746487
FL-Broward,3.1064116849170422,2.551762317400843
FL-Miami-Dade,3.765295212976005,2.8849783573295844
FL-Palm Beach,2.831911284296494,2.385179995196157
GA-DeKalb,2.498707209485671,2.102896335833976
GA-Fulton,2.5737058675702613,2.137673316139055
GA-Gwinnett,2.3871863497998618,2.044257275336144
IA-Polk,1.8900175874124825,1.8813282139370335
IL-Cook,2.599246666664979,2.312853925343573
IL-DuPage,1.779840986146614,1.6671742684340483
IL-Kane,1.9997950124245163,1.798538735455468
IL-Lake,2.400483646090139,2.1052076427631063
IL-Will,2.389830183869144,2.0702999102028263
IN-Lake,2.529852652709316,2.159366955594658
IN-Marion,3.046251990683373,2.454456465442797
LA-East Baton Rouge,2.8388065070654416,2.6772275623315593
LA-Jefferson,3.2149608981831856,2.9883180460890384
LA-Orleans,3.88478620315218,3.433132104234377
MA-Bristol,2.5302488875752216,2.177657339798952
MA-Essex,2.859187724645441,2.386629528795208
MA-Hampden,3.1113638888847217,2.500618306403332
MA-Middlesex,2.706588624209654,2.29720622469121
MA-Norfolk,2.405215308831422,2.124899772289279
MA-Plymouth,2.6208880739052423,2.1999972376448387
MA-Suffolk,2.80973285966291,2.202297099196931
MA-Worcester,2.441392894547033,2.1212996851834807
MD-Anne Arundel,2.4704453471730075,2.123409763532377
MD-Baltimore,2.563025538431095,2.173684969310895
MD-Baltimore City,2.3011290487835567,2.022603131109355
MD-Montgomery,2.226977566350675,2.007200438710476
MD-Prince George's,2.3457288285025695,2.0900619815045354
MI-Kent,1.872946066393579,1.8433898443342802
MI-Macomb,3.468476787830686,2.9583474551887083
MI-Oakland,3.753747462559308,3.0306709542722556
MI-Wayne,4.473921330708332,3.672879673892036
MN-Hennepin,1.8000429541702967,1.733246826012061
MO-St. Louis,3.158779357973249,2.6045722069054587
NJ-Bergen,3.6232207036961923,2.8893240144396644
NJ-Burlington,2.53894804851891,2.159140595936771
NJ-Camden,2.513127411433976,2.159279653122906
NJ-Essex,3.791207037214061,2.9122799693376975
NJ-Hudson,3.8914958190285605,2.9350640694581545
NJ-Mercer,2.6075291036189254,2.2191589931915567
NJ-Middlesex,3.331975825975044,2.6406814801207403
NJ-Monmouth,3.4857506758579375,2.7401844380791522
NJ-Morris,3.4556040677048387,2.8915675889667174
NJ-Ocean,3.3404285542453866,2.8929548347865266
NJ-Passaic,3.903220094359926,2.7429235341718194
NJ-Somerset,3.0701958398926683,2.4867765333407044
NJ-Union,3.741765122872846,2.9360565608360467
NV-Clark,2.986009265405355,2.281262078193973
NY-Bronx,4.5067596183411816,3.2335390124341012
NY-Dutchess,2.6226227613779143,2.3755098264547194
NY-Erie,2.6374954857985986,2.2050078841340777
NY-Kings,4.5998766763374555,3.2883026674794884
NY-Nassau,4.412856009606906,3.2584890476169037
NY-New York,4.268179212056679,3.0172963205183785
NY-Orange,3.7481110859676305,2.9765208904375617
NY-Queens,5.0484410860750275,3.5791509874919707
NY-Richmond,4.010786474231647,3.087918326341725
NY-Rockland,4.326156679859444,3.0738411101021654
NY-Suffolk,4.601554626280228,3.39551418288933
NY-Westchester,4.290231431296056,2.704791642548267
OH-Cuyahoga,2.457731505350831,1.9682270708064136
OH-Franklin,2.261845907070652,1.9983041742264855
PA-Berks,2.967836510868325,2.490513377423055
PA-Bucks,2.587489295960197,2.19698119156622
PA-Delaware,2.4770027633148586,2.133299516145781
PA-Lehigh,2.086415015645743,2.5718427010918536
PA-Luzerne,2.3225820942542406,3.0904803932064686
PA-Montgomery,2.5601993119905604,2.160098125846334
PA-Northampton,2.8774837324613807,2.5296684948784733
PA-Philadelphia,3.2445913883525526,2.598318085899356
RI-Providence,2.397520341922273,2.098940532601247
SD-Minnehaha,2.433760030459513,2.1028207398665564
TN-Davidson,2.283718978787964,1.9805521362230527
TN-Shelby,2.5215065501120844,2.17071509637996
TX-Dallas,2.155444120034232,1.9262663874530799
TX-Harris,2.672826006326982,2.1243134476564154
TX-Tarrant,2.205368092921814,1.8977757304682812
UT-Salt Lake,2.099729776547971,1.8346257421688563
VA-Fairfax,2.0978794472548543,1.9294355519513855
VA-Prince William,1.8890155948535046,1.7196484960718341
WA-King,2.792184353315368,2.19055756410231
WA-Snohomish,2.6817145463249505,2.216900095084085
WI-Milwaukee,2.69562839623126,2.2728527711205224
