state,R0_SD,R0_SIR,R0_SEIR,R0_SEIR_SD
AZ-Maricopa,3.848728481363057,1.6640450862358998,6.0281017211095005,20.51985234764875
CA-Los Angeles,3.597677584512343,1.851017648688158,6.579884961447869,39.83852898527994
CA-Orange,3.3091782467162427,1.5722078368042498,5.3030548037705,19.2179324737005
CA-Riverside,3.7815133609187486,5.403697651603999,6.513240835656498,11.462448163869066
CA-San Bernardino,4.091915232668831,1.6788296189601999,6.166605729592749,21.255992019307502
CA-San Diego,3.8353567116458978,4.90872795902975,5.99624105359,21.2645930113735
CO-Adams,3.148973013549896,1.6601055270408915,2.222739392585792,39.638502550272605
CO-Arapahoe,3.4868139252313646,1.7403451025328567,2.3798860619428686,47.062730335835
CO-Denver,3.433311155565962,1.7396054452449756,2.3672816059429858,52.105519863209246
CT-Fairfield,5.206724750879961,2.1570037395778083,26.148881083337017,23.77249879018149
CT-Hartford,4.481826084708406,2.009677578621008,19.333348883184694,17.243006397616025
CT-New Haven,4.994287959059329,2.1171078253824254,26.76933395653175,13.693764568667762
DC-District of Columbia,3.231276001877179,1.6776331841676428,2.26728942657117,56.407346931150826
DE-New Castle,3.650081342811034,1.7704566554664185,2.6044178156917734,27.348272811826373
DE-Sussex,3.700642524325609,1.7722116938789971,5.743327627028184,7.018917672407422
FL-Broward,5.590981967242888,4.824196804779268,8.187780994709751,19.342633385522404
FL-Miami-Dade,6.504043231909287,2.3410105525569933,12.0474629040115,17.10412156547632
FL-Palm Beach,4.680324639265416,5.36792418653556,7.408387853562501,27.69199633261475
GA-DeKalb,4.054216479724111,1.8461540536268328,7.91962348954275,23.022148865023645
GA-Fulton,4.117830740452778,1.865283734540788,7.784698019611751,13.1050693038242
GA-Gwinnett,3.776565836134613,1.8028604788014775,7.049778246355749,31.117896875151
IA-Polk,2.713366972897583,4.356758078044103,6.396395046317685,2.9251992532605406
IL-Cook,3.881023830681216,1.9662405527209093,10.156985605292105,49.05604290564533
