series,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,33461.75058725343,33458.847442448365,33454.502645711735,33448.00651345125,33438.30764334623,33423.857659274196,33402.39654400127,33370.66902926668,33324.077613510686,33256.31489618486,33159.088910143124,33022.1586540987,32833.98566872136,32583.25514475215,32261.173391673714,31863.852720923904,31393.703953048487,30859.10789832265,30272.58768127758,29648.422551439537,29000.611405270884,28341.595206844715,27681.69944430415,27029.06815259242,26389.86127355382,25768.556441488214,25168.26515743856,24591.020790992807,24038.02313739773,23509.837982473724,23006.556072694384,22527.917817010784,22073.410099552508,21642.340874267167,21233.896285538674,20847.184153768827,20481.26687369883,20135.186118171787,19807.981213624837,19498.702637772014,19206.421764700834,18930.237729623106,18669.282089290075,18422.72180203554,18189.760933599184,17969.641403537564,17761.643016134636,17565.082964635072,17379.31495476757,17203.728060150024,17037.745396154063,16880.822678517397,16732.446717164774,16592.133883352883,16459.428578631472,16333.901726620968,16215.14930278512,16102.790912865566,15996.468427161783,15895.844675163524,15800.60220300014,15710.442094625098,15625.082856497429,15544.259364669584,15467.721872576443,15395.235077390278,15326.577242519488,15261.539373652093,15199.924445652268,15141.546677589338,15086.230853197296,15033.81168411677,14984.133213350258,14937.048256457923,14892.41787812917,14850.110901880114,14810.003450745306,14771.978516951069,14735.9255586756,14701.740122115976,14669.323487193535,14638.582335335961,14609.428437876275,14581.77836370568,14555.553204908636,14530.678319194612,14507.083088021836,14484.700689384103,14463.467884302538,14443.324816130347,14424.21482184017,14406.084254521096,14388.882316365753,14372.560901477524,14357.074447874033,14342.379798105854,14328.436067949158,14315.204522667855,14302.648460375032,14290.733102055245,14279.425487838653,14268.694379145354,14258.510166343625,14248.844781589338,14239.671616535667,14230.96544462253,14222.702347674041,15678.061914946842,17132.7440677158,18587.150627399824,20041.30446376711,21495.217579426124,22948.89205858696,24402.320794409494,25855.4879869676,27308.369405563353,28760.932407878503,30213.135704741166,31664.928853364796,33116.2514538219,34567.032013080934,34553.98415939346,34541.05195674501,34528.23566171663,34515.53549182604,34502.951626232934,34490.484206455636,34478.13333709804,34465.899086585705,34453.781487910004,34441.780539379455,34429.89620537707,34418.12841712278,34406.47707344013,34394.94204152606,34383.52315772313,34372.220228293234,34361.03303019192,34349.96131184258,34339.004793909764,34328.163170070824,34317.43610778514,34306.823249060384,34296.324211215026,34285.93858763656,34275.66594853482,34265.50584168979,34255.45779319346,34245.521308185154,34235.695871579854,34225.98094878912,34216.375986434105,34206.88041305039,34197.4936397841,34188.21506107911,34179.04405535493,34169.979985675025,34161.02220040525,34152.170033862145,34143.42280695096,34134.77982779306,34126.24039234261,34117.80378499239,34109.46927916852,34101.23613791404,34093.10361446117,34085.07095279222,34077.13738818905,34069.30214777096,34061.56445102113,34053.92351030133
I,5.0,7.491030201689396,11.218394350224838,16.789873783075834,25.104873453120007,37.48564053194404,55.85707982882336,82.98069090349716,122.73259575552484,180.37933407705427,262.73792857459244,378.0125571735798,535.0286435365199,741.6605440602123,1002.6124689471659,1317.2948917003264,1678.868367210424,2075.0871876804813,2490.5726580598935,2909.457515265225,3317.4626754434175,3703.043910926421,4057.7239789375085,4375.905809008783,4654.437750666463,4892.110229218209,5089.179499907499,5246.958828127218,5367.486810442118,5453.268025760387,5507.075657628334,5531.804653227331,5530.364874558359,5505.6052744794715,5460.261796397007,5396.923203253054,5318.010310247672,5225.765123819824,5122.247204095554,5009.335204963118,4888.732039796885,4761.972501752952,4630.432460313424,4495.338980196668,4357.7808804572205,4218.719382686182,4078.9985970562993,3939.355670753791,3800.430480656797,3662.7747952330874,3526.860862828051,3393.089407333082,3261.797029619025,3133.2630255979057,3007.715640503887,2885.3377848616274,2766.2722413327965,2650.626393737173,2538.4765104486464,2429.8716143886886,2324.836971226815,2223.377226338149,2125.4792197068587,2031.1145064106383,1940.2416086583282,1852.8080236420665,1768.7520097526292,1688.0041720249355,1610.4888660534457,1536.1254380603139,1464.829317322956,1396.5129757781137,1331.0867683192719,1268.459666093755,1208.5398939835482,1151.235482417198,1096.4547427055115,1044.1066742170735,994.1013109064231,946.3500139734504,900.7657167625695,857.2631273998973,815.7588941115715,776.1717376621907,738.4225548950686,702.4344969417184,668.1330252930871,635.4459485861744,604.3034426536306,574.6380561078378,546.384703482114,519.4806477275848,493.86547366263824,469.48105379062986,446.27150773872165,424.1831564246598,403.1644719273342,383.1660239196506,364.14042341726366,346.04226450285927,328.82806460184014,312.4562038104683,296.88686371085,282.0819660477968,268.0051115898224,254.621519449668,241.89796709819228,229.80273126865865,209.63293156659554,192.25684056316956,177.30280557720786,164.45644037894073,153.4525269503397,144.06814969019644,136.11691616908357,129.44413504905208,123.92283918270887,119.45055959663824,115.94677375728604,113.35096917549563,111.6212811987642,110.73368212222883,109.84124506015944,108.94431743388398,108.04324235395443,107.1383584530205,106.22999972821088,105.31849539294127,104.40416973805438,103.48734200218351,102.56832625121861,101.64743126674185,100.72496044328867,99.80121169428,98.87647736646193,97.95104416268002,97.02519307280807,96.0991993126433,95.17333227057395,94.24785546181911,93.32302649003562,92.39909701608254,91.47631273372981,90.55491335209446,89.63513258458529,88.71719814413501,87.8013317444971,86.88774910738412,85.97665997522343,85.0682681293066,84.1627714131093,83.26036176055918,82.36122522903088,81.46554203684896,80.57348660508151,79.68522760340988,78.80092799986234,77.92074511420299,77.04483067476997,76.1733308785611,75.3063864543683,74.44413272876646,73.5866996947666,72.73421208294687,71.88678943488027,71.0445461786817,70.20759170650206,69.37603045380177,68.54996198024101,67.72948105202846,66.9146777255759
IH,5.0,4.514848274966929,4.203029318988614,4.092820208326495,4.234338548081133,4.708868264625023,5.642451562224612,7.225213732180027,9.737917349799972,13.586608148502155,19.344129453758953,27.792637732104833,39.95326036588288,57.07912543725581,80.58266142180514,111.87889536791319,152.1605147452155,202.16373362343103,262.0025999255242,331.12284805892784,408.37437093488245,492.1616872124183,580.6220707792738,671.7929293647471,763.7479165230123,854.6956188929025,943.043127865428,1027.4305422349235,1106.7433160134474,1180.1088135111868,1246.8823424873726,1306.626761685176,1359.0887027382335,1404.1735751711365,1441.9208403602815,1472.4805233743589,1496.0915506812364,1513.0622277237828,1523.7529782053462,1528.5613361226676,1527.9090960433016,1522.2314744639086,1511.9681059277261,1497.55568490713,1479.422063073429,1457.9816176695213,1433.6317175058693,1406.7501266335369,1377.6932006096163,1346.7947454910632,1314.3654246200256,1280.6926124751571,1246.0406081034466,1210.651132778707,1174.7440475020542,1138.5182357694653,1102.152605722592,1065.807173436005,1029.624195755383,993.7293268718845,958.2327777848732,923.2304620534312,888.8051148479836,855.0273753629455,821.9568252097025,789.6429775403142,758.1262134136377,727.4386633586105,697.6050332598826,668.6433746291922,640.5658000671954,613.3791452957753,587.0855795769903,561.6831666549783,537.1663785812839,513.5265649293647,490.75237998507504,468.8301705291698,447.74432681584653,427.4775993069215,408.01138365185625,389.3259763157274,371.4008031555021,354.2146231338913,337.7457092430663,321.9720085904524,306.87128347791025,292.4212351856705,278.59961205479016,265.3843033477199,252.75342025660186,240.68536532372576,229.1588914385416,218.1531514809947,207.64773959182287,197.62272496685284,188.05867899419263,178.93669648041634,170.23841164421444,161.94600949333397,154.04223314274137,146.51038757856358,139.33434032325795,132.49851941237495,125.98790905196128,119.78804328785725,113.88499798363074,108.26538137242848,110.52909958950514,110.72114705842125,109.40833463319916,107.0357129142135,103.95081332048667,100.4233432755795,96.66116370606827,92.82323283721816,89.03008041344586,85.3722771697348,81.91728238685964,78.71498492316125,75.80219790908131,73.20632238176759,70.94835892807562,68.97410695880862,67.23802321429437,65.7018432925783,64.33342259372834,63.105761753582115,61.996187200017474,60.98566213955553,60.05820721269102,59.20041336124477,58.40103222984494,57.650631760113775,56.94130660067703,56.26643460793048,55.620472101371824,54.99878170509335,54.397487588924406,53.81335374830459,53.24368165613891,52.686224203555426,52.13911333724449,51.60079921369551,51.06999903759952,50.54565404340788,50.02689332432263,49.51300341923341,49.00340274152491,48.49762007948467,47.995276520636075,47.49607025540223,46.99976380217776,46.5061732687609,46.01515932637291,45.52661962401284,45.04048241421543,44.55670119770448,44.075250225059996,43.59612071926939,43.119317704684995,42.644857346116716,42.17276471709675,41.703071929225146,41.23581656532835,40.77104036826342,40.30878814485318,39.84910685087208,39.39204482841349,38.93765117151889,38.48597519977554
IN,0.2,0.39333683907070105,0.6798737138475276,1.1059589480216898,1.7407079870853894,2.6869098379658594,4.096818895979205,6.194613271121628,9.30746238166024,13.90668061341924,20.65854172190354,30.479802924598836,44.58484605164243,64.50061177185265,92.01814375289068,129.05698400957291,177.44914241005722,238.69201613525266,313.74328706223184,402.91358332371306,505.86849370288996,621.7135848076045,749.1224529071392,886.4737947672822,1031.9764393569299,1183.7728239301875,1340.0188889510282,1498.9422614204225,1658.882146987653,1818.314625864739,1975.8667320339803,2130.3221682871613,2280.620957223502,2425.8548299222757,2565.259735287008,2698.206514934547,2824.19052191721,2942.8207546144404,3053.808918196848,3156.9587050143,3252.155493719517,3339.3565982026075,3418.5821462020235,3489.9066296636984,3553.4511413631817,3609.37629253495,3657.875792384613,3699.1706609466364,3733.5040406826442,3761.136568642634,3782.342269282271,3797.4049276458045,3806.614903206043,3810.2663459111554,3808.6547777035817,3802.075004783825,3790.819328067591,3775.176021536846,3755.428050446679,3731.852003571976,3704.717215826889,3674.2850596429666,3640.8083854338925,3604.5310932977304,3565.687819807632,3524.5037253188675,3481.1943686759832,3435.965657542801,3389.013863805037,3340.525694616383,3290.6784106803593,3239.639984288612,3187.5692904782036,3134.6163254322364,3080.9224469361725,3026.620632322388,2971.835749893572,2916.6848403168683,2861.277404930161,2805.7156983043346,2750.0950227649614,2694.5040228977286,2639.0249783476693,2583.7340934762806,2528.701782666024,2473.992950261282,2419.6672643112406,2365.779423435652,2312.3794162712193,2259.5127730762965,2207.22080917654,2155.5408600256205,2104.5065077345726,2054.147798992116,2004.4914543574923,1955.5610689580985,1907.3773046673862,1859.9580738750228,1813.3187149919177,1767.4721598581043,1722.4290932422675,1678.1981046384424,1634.7858325786087,1592.1971016899963,1550.4350527332888,1509.5012658629414,1469.3958773538016,1430.117690039445,1391.6642777073407,1353.6851797604013,1316.2763423811753,1279.5156491206894,1243.465813327609,1208.176850284205,1173.6881923493268,1140.0305024638822,1107.227234354712,1075.2959816829798,1044.2496532039343,1014.0975067059134,984.8460710470214,956.4999829851013,929.062763692483,902.503939955378,876.794067696488,851.9046975160644,827.8083413743086,804.4784403774715,781.8893336312565,760.0162281263416,738.8351696220059,718.3230144949679,698.4574025216418,679.2167305630641,660.5801271227652,642.5274277488448,625.0391512524567,608.0964767158312,591.6812212638504,575.7758185740473,560.3632981007314,545.4272649897433,530.9518806611163,516.9218440376707,503.32237339828947,490.1391888353253,477.3584952962615,464.96696619040637,452.9517275420287,441.30034267195504,430.00079739023715,419.04148568307136,408.4111958776995,398.09909726955794,388.09472719645333,378.3879785450448,368.96908767539236,359.828622749798,350.9574724526165,342.34683508814834,333.9882080441482,325.8733776088912,317.9944091301306,310.34363750466423,302.9136579875941,295.6973173107194,288.6877050998501,281.87814558115866,275.26218956701257,268.83360671204116,262.5863780304913
D,0.01,0.10865235047943346,0.19773242935613408,0.2806601736465739,0.3614134403748006,0.4449589304735757,0.5378671149542296,0.6491953367701915,0.7917522002493593,0.9838858873158038,1.251956053094356,1.6336248208127082,2.181986628471815,2.970283237354042,4.096481214893183,5.686415006323072,7.893838205740519,10.89603669169572,14.884822192425629,20.054256655300748,26.587466106992256,34.6448844206495,44.355465872535255,55.81141227705753,69.06620258051679,84.13530800826985,100.99885435792163,119.60553859140191,139.87722618056873,161.71379208099452,184.99789373586933,209.5994685074056,235.37982875532023,262.1952877623544,289.9002924967028,318.35006851806713,347.40280145128054,376.9213910527054,406.77482009002523,436.8391826600241,466.998416392121,497.1447811208366,527.1791237067642,557.0109652067057,586.558442864691,615.7481356393563,644.5147983471373,672.8010260779016,700.5568673838294,727.7394018797638,754.3122953309726,780.2453430365055,805.5140103289696,830.0989772854151,853.9856932572568,877.163945556817,899.6274455612881,921.3734345896013,942.4023111530619,962.7172805574148,982.3240273246662,1001.2304104916491,1019.446181514806,1036.9827242543852,1053.8528163151482,1070.070410875058,1085.6504380298443,1100.6086246125099,1114.9613314064986,1128.7254066539729,1141.918054761907,1154.5567191245805,1166.6589780082793,1178.2424524798494,1189.3247254028984,1199.9232705720121,1210.0553911047944,1219.738166262575,1228.9884059222504,1237.8226119730934,1246.25694596288,1254.3072023668044,1261.9887869000538,1269.3166993403017,1276.3055203695708,1282.9694019858052,1289.3220610730118,1295.376775754959,1301.146384191192,1306.6432855055648,1311.8794425666847,1316.8663863666907,1321.6152217697281,1326.1366344244627,1330.440898656082,1334.537886172577,1338.437075437803,1342.14756157997,1345.6780667189337,1349.036950609051,1352.2322215065074,1355.2715471810338,1358.1622660018895,1360.9113980369677,1363.525656111983,1366.011456783976,1368.3749311899119,1370.621935736998,1374.894189476175,1379.255771664527,1383.624932226564,1387.9422879760061,1392.1660178416978,1396.2680146690236,1400.230814211879,1404.0451546117515,1407.708046651148,1411.2212573296117,1414.5901276530421,1417.8226606339827,1420.9288279462319,1423.920053944327,1426.8088442534936,1429.6085332018588,1432.3303163113412,1434.9835919240136,1437.5762484326713,1440.1149057739744,1442.6051184642888,1445.0515462995068,1447.4580978657514,1449.8280511885964,1452.1641551595728,1454.4687147995326,1456.7436629314363,1458.9906204256472,1461.2109468365152,1463.4057829595456,1465.5760865950308,1467.72266259936,1469.8461881331407,1471.9472338705634,1474.0262818127903,1476.0837402458435,1478.1199562974627,1480.1352264750794,1482.1298055062405,1484.1039137516918,1486.0577434183333,1487.99146376311,1489.90522544851,1491.7991641847784,1493.6734037724711,1495.5280586408965,1497.3632359628032,1499.1790374128962,1500.975560627013,1502.752900409769,1504.5111497308742,1506.2504005439428,1507.9707444562391,1509.6722732732937,1511.3550794385155,1513.0192563847386,1514.664898811951,1516.2921029031943,1517.9009664887228,1519.4915891669098,1521.0640723890476,1522.6185195140533,1524.1550358381407
R,0.0,0.605277138862183,1.1589117292812068,1.684760689117701,2.211610478551118,2.7765504142317283,3.4298258501859644,4.241844743187855,5.313246055516245,6.7891823422873205,8.879121306963237,11.883310503644303,16.22618194955647,22.494877994608917,31.477440242964526,44.19068024539403,61.88477163350746,86.01371479991873,118.16953873577603,159.9898325107257,213.05617579436193,278.8013130416179,358.4371744528172,452.9084892431365,562.8710045726835,688.6901657156429,830.4550587329884,988.0026258866527,1160.9479502319084,1348.7173475623954,1550.5818886734871,1765.6897185355674,1993.096124425505,2231.7907456510206,2480.721637173754,2738.8161234045742,3004.9985292571973,3278.204971870888,3557.3954530408187,3841.5635207213054,4129.743776600772,4421.017502090021,4714.516661813418,5009.426525243689,5304.987125895725,5600.493755185857,5895.296665824876,6188.800138206493,6480.4610431529745,6769.7870158568585,7056.334339038047,7339.705618245483,7619.54731883117,7895.547222327361,8167.431849655174,8434.963889660723,8697.93966378404,8956.186651088236,9209.561092287875,9457.945686699939,9701.247392090043,9939.395334102133,10172.338829252458,10400.045523258143,10622.499644686171,10839.700372486841,11051.660314861843,11258.404096062477,11459.967047076294,11656.393995704226,11847.738151223712,12034.060078649574,12215.426757520423,12391.910720134685,12563.589264220354,12730.543735132349,12892.858872819168,13050.62221897667,13203.923580003144,13352.85454157965,13497.508030917625,13637.977922937307,13774.358686862355,13906.745069935083,14035.231815171062,14159.913410279558,14280.883865076343,14398.236514906872,14512.06384778006,14622.457353085663,14729.507389931317,14833.303073288711,14933.932176282195,15031.4810470877,15126.034539035276,15217.675952625385,15306.486988277553,15392.547708730513,15475.936510106067,15556.730100734834,15635.003486921418,15710.829964899565,15784.281118295195,15855.426820476954,15924.335241230705,15991.072857246454,16055.70446595385,16118.293202286106,16178.90055799211,16238.497825998236,16296.852782256376,16353.804259422708,16409.246967608637,16463.119313704283,16515.39366102587,16566.06857230162,16615.16266274341,16662.709759100846,16708.75511765211,16753.35250115463,16796.5619536301,16838.44814398525,16879.079176132913,16918.525785545575,16956.851203410017,16994.11222739353,17030.360126227584,17065.641404416125,17099.998449192815,17133.470078334547,17166.092004481015,17197.897229123522,17228.91637733501,17259.177982555015,17288.708729264737,17317.5336601439,17345.67635325575,17373.15907392711,17400.002905251185,17426.227860518844,17451.85298036127,17476.896416947053,17501.375507206874,17525.306836747808,17548.70629585764,17571.58912877937,17593.96997725103,17615.862919149964,17637.281502949874,17658.238778588428,17678.74732525053,17698.81927649422,17718.46634308037,17737.699833811977,17756.530674642327,17774.969426271855,17793.02630042064,17810.711174935426,17828.03360786668,17845.002850631263,17861.627860359647,17877.91731151247,17893.879606839248,17909.52288774205,17924.855044098353,17939.88372359012,17954.616340579996,17969.060084570356,17983.221928276467,17997.108635341378,18010.72676771684
G,5.0,7.903144805068642,12.247941541698319,18.744073802188293,28.44294390721245,42.892927979240234,64.35404325216737,96.08155798675688,142.67297374275066,210.4356910685788,307.66167711031255,444.59193315474045,632.7649185320734,883.4954425012836,1205.5771955797193,1602.8978663295295,2073.0466342049444,2607.6426889307795,3194.162905975851,3818.3280358138923,4466.139181982544,5125.155380408711,5785.0511429492735,6437.6824346610065,7076.889313699606,7698.194145765212,8298.485429814866,8875.729796260619,9428.727449855696,9956.912604779702,10460.194514559042,10938.83277024264,11393.340487700918,11824.409712986258,12232.854301714753,12619.5664334846,12985.483713554597,13331.56446908164,13658.769373628591,13968.047949481414,14260.328822552596,14536.512857630323,14797.468497963355,15044.02878521789,15276.989653654246,15497.109183715866,15705.107571118793,15901.667622618357,16087.43563248586,16263.022527103405,16429.005191099364,16585.92790873603,16734.303870088654,16874.616703900545,17007.322008621955,17132.84886063246,17251.60128446831,17363.959674387865,17470.28216009165,17570.905912089907,17666.14838425329,17756.308492628334,17841.667730756002,17922.491222583845,17999.028714676984,18071.51550986315,18140.17334473394,18205.211213601335,18266.82614160116,18325.203909664087,18380.519734056128,18432.938903136655,18482.617373903166,18529.702330795502,18574.332709124257,18616.639685373313,18656.747136508122,18694.77207030236,18730.825028577827,18765.010465137453,18797.427100059896,18828.16825191747,18857.322149377156,18884.972223547753,18911.1973823448,18936.072268058822,18959.6674992316,18982.049897869336,19003.2827029509,19023.42577112309,19042.535765413268,19060.666332732344,19077.868270887688,19094.189685775917,19109.676139379408,19124.370789147586,19138.31451930428,19151.546064585586,19164.10212687841,19176.017485198197,19187.32509941479,19198.056208108086,19208.240420909817,19217.905805664104,19227.078970717776,19235.78514263091,19244.0482395794,19251.890940703648,19260.411056331737,19269.206765044764,19278.25519707453,19287.544349812564,19297.072139048778,19306.845671623294,19316.880747462237,19327.201597263534,19337.840863345435,19348.839834879822,19360.24895465324,19372.128622593194,19384.550331731207,19397.598185418687,19410.530388067138,19423.346683095515,19436.046852986106,19448.630718579218,19461.098138356516,19473.449007714105,19485.683258226447,19497.800856902148,19509.801805432697,19521.68613943509,19533.45392768937,19545.10527137202,19556.640303286094,19568.05918708902,19579.362116518914,19590.549314620235,19601.62103296958,19612.577550902388,19623.419174741328,19634.14623702701,19644.759095751768,19655.258133597126,19665.64375717559,19675.91639627733,19686.076503122364,19696.124551618694,19706.061036627,19715.8864732323,19725.60139602304,19735.20635837805,19744.701931761767,19754.08870502806,19763.367283733056,19772.538289457236,19781.602359137138,19790.560144406914,19799.412310950014,19808.159537861196,19816.8025170191,19825.34195246955,19833.77855981977,19842.113065643636,19850.346206898117,19858.478730350987,19866.511392019936,19874.444956623112,19882.280197041197,19890.017893791035,19897.658834510836
H,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,20484.831757558706,19021.629489161656,17558.427220764606,16095.224952367556,14632.022683970506,13168.820415573457,11705.618147176407,10242.415878779357,8779.213610382307,7316.011341985257,5852.809073588207,4389.606805191157,2926.4045367941067,1463.2022683970563,5.9117155615240335e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta,11.667341991177846,11.667341991177846,11.655712607165476,11.638351515951276,11.612490299607765,11.57409211465386,11.51735278153598,11.434102769914352,11.313209746400894,11.140242588650977,10.897913214414826,10.568076567288259,10.136020501989957,9.596844601415567,8.961658050793329,8.25942456396746,7.5314032305076895,6.8200637827706245,6.158644879723108,5.566377196928099,5.049596735287263,4.605796887387857,4.227796535148265,3.9067402272574667,3.6338273831855927,3.4011226175767217,3.2018251039472876,3.0302645489096793,2.8817809553528573,2.752569845203928,2.639530788350447,2.5401340919589184,2.4523094131514562,2.3743552210979484,2.304866278887364,2.24267597681846,2.18681059746828,2.1364530357230347,2.0909139594256723,2.0496088097244067,2.0120393847365436,1.9777790268587925,1.9464606517938206,1.9177670267531641,1.8914228363006431,1.86718817537481,1.8448531870037377,1.8242336224665214,1.8051671483121237,1.7875102608966518,1.7711356973691983,1.755930254169203,1.7417929414994076,1.728633415978233,1.716370644571261,1.7049317615797266,1.69425108740565,1.6842692833896193,1.674932621515611,1.6661923514208632,1.6580041501120004,1.6503276422078241,1.6431259805118412,1.636365478348508,1.6300152864435686,1.6240471082442836,1.6184349485025387,1.6131548907171356,1.6081848996785548,1.6035046459024853,1.5990953491955358,1.5949396389824402,1.5910214293508251,1.5873258070469767,1.5838389308921828,1.5805479412907357,1.5774408786730867,1.5745066098655118,1.5717347615047623,1.5691156597257003,1.566640275444494,1.5643001746418017,1.5620874731213528,1.559994795281004,1.55801523648707,1.556142328689557,1.5543700089568862,1.5526925906445337,1.5511047369434632,1.5496014365818536,1.5481779814779308,1.5468299461631638,1.545553168813985,1.5443437337469492,1.5431979552470587,1.5421123626121225,1.5410836863077013,1.5401088451375697,1.5391849343438788,1.5383092145594492,1.537479101542005,1.5366921566267298,1.5359460778394392,1.5352386916179572,1.5345679450940126,1.5339318988922637,1.5333287204068828,1.532756677519592,1.5900830904258072,1.6466689451569414,1.7025528446747573,1.7577471483469675,1.8122633263637813,1.8661119277900764,1.9193025494590377,1.9718438007684271,2.0237432598976763,2.0750074171713004,2.125641601247298,2.175649883498829,2.225034955365347,2.2737979725445157,2.272566089575392,2.27134644193335,2.2701390165373634,2.2689437969607362,2.2677607635163395,2.2665898933419055,2.265431160485293,2.26428453598962,2.2631499879781964,2.2620274817391626,2.2609169798097724,2.2598184420602276,2.258731825777011,2.257657085745639,2.256594174332781,2.255543041567675,2.2545036352227914,2.2534759008936915,2.2524597820780228,2.2514552202536118,2.2504621549556103,2.2494805238526476,2.2485102628219638,2.2475513060234693,2.246603585972724,2.2456670336127766,2.2447415783848728,2.243827148297971,2.2429236699970714,2.2420310688303293,2.2411492689149277,2.2402781932017115,2.2394177635385564,2.238567900732462,2.2377285246103757,2.23689955407872,2.23608090718163,2.2352725011578998,2.2344742524966246,2.2336860769915527,2.232907889794137,2.2321396054652958,2.231381138025884,2.2306324010058827,2.2298933074923073,2.229163770175853,2.228443701396277,2.2277330131865307,2.2270316173156526
