county,NAICS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
NY-New York,7211,3585,3141,2535,3171,3329,3418,3629,3437,3000,2759,3564,3802,3788,3805,4110,3404,3057,3980,4257,4217,4028,4168,3377,3422,3430,4384,4420,4283,4286,3765,3246
NY-New York,7224,6650,5963,4584,5602,6387,6112,6771,6235,5834,5416,6314,6925,6952,7107,7743,6588,5435,7501,7717,7380,7547,8179,6217,6477,6503,8152,8007,7858,8149,7355,6088
NY-New York,7225,96050,90568,68339,81982,86970,84132,92719,87906,84147,79688,83754,94324,93931,95526,105303,93520,78245,97949,102372,100084,101518,110501,87323,88442,87294,105277,106864,103693,109450,104550,87105
NY-New York,7139,15738,14953,11555,14169,15109,14530,15878,14338,12807,13062,14719,16537,16654,16942,18336,15144,13385,17445,18114,17772,17794,18862,13805,15418,16132,19299,19003,18421,18754,17454,15432
NY-New York,7131,219,301,219,207,262,234,262,247,227,247,238,242,280,270,342,303,251,292,312,307,320,320,252,298,305,330,365,326,371,386,318
NY-New York,8131,5198,5022,3940,4114,4377,4475,4938,4257,4365,4827,4493,5113,4993,5290,5483,5132,4702,5375,5456,5266,5501,5922,4989,5964,5776,5833,5722,5653,5784,5801,5219
NY-New York,8121,2804,2742,2045,2304,2533,2378,2629,2542,2423,2401,2455,2764,2779,2748,3218,2690,2360,3049,3040,3001,2958,3132,2533,2999,2828,3179,3261,3063,3020,3054,2746
CA-Los Angeles,7211,5303,4424,3811,4353,4927,4809,4740,5129,5265,4360,4895,5053,5044,4929,5495,5424,4614,4989,5398,5330,5317,5864,5596,5114,5070,5546,5662,5756,5948,5877,4597
CA-Los Angeles,7224,2756,2234,1698,2248,2459,2442,2444,2689,2665,2140,2424,2484,2545,2566,3011,2716,2156,2611,2830,2865,2874,3100,2620,2266,2278,2838,3011,2883,3255,3103,2131
CA-Los Angeles,7225,97740,87638,70972,81454,85304,83376,85458,98005,98685,86349,81658,85137,86066,87817,100493,98025,81877,84560,92353,91701,93136,106903,97788,83145,77874,91583,94388,97678,108668,103429,78062
CA-Los Angeles,7139,11502,8880,6797,10422,11046,11193,11483,11819,11353,9323,11517,12328,12287,12724,13463,11979,9862,11945,13288,13726,14019,14640,12432,10785,10966,13825,14295,14870,15379,14931,11431
CA-Los Angeles,7131,430,439,358,401,406,414,430,428,475,461,407,446,453,479,540,485,448,429,481,521,483,529,496,500,477,529,536,594,604,580,402
CA-Los Angeles,8131,4934,4088,3543,3756,4036,4148,4110,4336,4536,4862,4055,4223,4536,4337,4829,4706,4533,4216,4751,4746,4695,4978,4840,4859,4461,4674,4947,5088,5321,5098,4761
CA-Los Angeles,8121,3563,2747,2043,3038,3205,3105,3237,3275,3104,2690,3154,3284,3307,3249,3586,3046,2411,3459,3609,3561,3491,3763,3194,2596,2753,3799,3668,3913,3949,3262,2553
FL-Miami-Dade,7211,2372,1931,1366,2150,2084,2248,2187,2361,1972,1373,2198,2364,2399,2261,2238,2119,1924,2556,2559,2605,2547,2794,2537,1972,2044,2783,2896,3034,3239,2969,2511
FL-Miami-Dade,7224,1084,888,618,884,958,942,936,1071,924,571,867,966,979,980,998,918,711,1119,1124,1165,1211,1353,1066,705,827,1218,1234,1390,1613,1350,925
FL-Miami-Dade,7225,30654,26628,19357,25267,26946,26477,26881,30712,29341,21121,24931,26818,27404,27014,28544,28672,22369,28071,30346,31062,31264,36893,32669,21549,22115,30152,33653,35757,40459,36813,27049
FL-Miami-Dade,7139,5922,4643,3242,5076,5431,5631,5604,6004,5110,3012,5221,5719,5716,5546,5280,4917,3902,5951,6171,6696,6547,7149,5609,3397,4029,6340,6625,7334,7751,6281,4824
FL-Miami-Dade,7131,177,143,128,115,162,153,150,155,134,87,173,169,187,155,113,96,96,154,163,207,184,191,128,86,81,167,167,191,231,154,126
FL-Miami-Dade,8131,1660,1420,1126,1271,1407,1460,1414,1652,1512,1298,1405,1452,1485,1470,1457,1549,1351,1513,1489,1609,1541,1808,1688,1277,1241,1639,1748,1896,1903,1769,1933
FL-Miami-Dade,8121,1837,1266,956,1644,1674,1731,1707,1852,1404,1173,1743,1786,1866,1855,1737,1466,1209,1972,2044,2105,2098,2185,1726,1259,1383,2186,2237,2282,2342,1952,1467
IL-Cook,7211,2355,1986,1563,1951,2047,2069,2129,2221,2030,1713,2237,2135,2297,2265,2298,2172,1858,2393,2263,2438,2335,2537,2279,2162,1975,2553,2556,2579,2797,2668,2226
IL-Cook,7224,3325,2985,2188,2538,2588,3045,3012,3033,3231,2427,2671,3088,3064,2868,3333,3147,2064,3131,3042,3325,3254,3648,3260,2943,2738,3432,3561,3506,4410,4345,3263
IL-Cook,7225,57337,52856,39318,43392,44613,48264,49341,53195,55321,43275,43814,48926,50089,46497,56710,54413,35137,48312,48886,53514,53629,61146,54896,47492,42903,54283,55955,57343,68111,65071,47486
IL-Cook,7139,8055,6970,5260,6071,5982,7285,7227,6875,7250,4626,6567,7578,7609,6493,7859,7103,4256,7512,7090,8155,8048,8768,7132,6792,6531,8467,8557,8331,10266,9744,8004
IL-Cook,7131,414,405,279,316,335,398,392,361,350,208,346,358,431,310,396,376,196,383,391,452,441,485,405,347,316,483,491,444,540,468,423
