series,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12
S,21624.65,21619.39639649084,21612.089470818835,21601.962351605394,21587.99380174995,21568.851482492297,21542.84564669549,21507.914832047714,21461.674342381273,21401.56056788229,21325.08887310069,21230.20265424307,21115.636133657325,20981.177201379713,20827.735952177965,20657.19963586936,20472.13818682765,20275.463809994548,20070.132041918205,19858.92793809345,19644.341383987787,19428.513876440767,19213.23348132212,18999.957709180348,18789.84979182931,18583.81920723382,18382.561285123724,18186.59333482996,17996.28629913727,17811.891801162783,17633.564884060506,17461.382927109382,17295.361269781,17135.466054802368,16981.62475003675,16833.73474776457,16691.670379133408,16555.288625994242,16424.433763838828,16298.941128325656,16178.64016341529,16063.356880620204,15952.915835435086,15847.141707821533,15745.860557939597,15648.900815516476,15556.094050791302,15467.275566437624,15382.284842884348,15300.96586374065,15223.167343344345,15148.742874605388,15077.55101215148,15009.455303175911,14944.324276237217,14882.031396483382,14822.454994303349,14765.478173190895,14710.988701596052,14658.878892700905,14609.045475359988,14561.389458866344,14515.815993722395,14472.2342301938,14430.557176090646,14390.701554942492,14352.587665502615,14316.13924332453,14281.283324994125,14247.950115468188,14216.072858860176,14185.587712923318,14156.433627406126,14128.552226393816,14101.887694698624,14076.386668320903,14051.998128969522,14028.67330260328,14006.365561933684,13985.030332812672,13964.625004415759,13945.1088431213,13926.442909979267,13908.589981657842,13891.51447475284,13875.182373343123,13859.561159674542,13844.619747855224,13830.32842044619,13816.658767832982,13803.583630266214
I,11.0,15.373603509162749,21.450640900433445,29.86170884184147,41.44132198993856,57.268335488397746,78.69270444613528,107.32810273821903,144.98234418560122,193.49753114973683,254.48942343935903,329.0164884218325,417.2616899338299,518.339687016736,630.3137612571452,750.4249766651758,875.4524275736709,1002.0906102008818,1127.2551294611555,1248.2788229290202,1363.0030712003613,1469.7903330513507,1567.487501525891,1655.3642735455937,1733.0430490129818,1800.4301896874329,1857.6536966225333,1905.0093511864955,1942.9156387842636,1971.8768856560112,1992.4536519058079,2005.2393167044686,2010.841828696495,2009.869697379408,2002.9214263546728,1990.577714518478,1973.3958659881614,1951.905949848272,1926.6083360158254,1897.9723046477322,1866.43548518628,1832.4039291664628,1796.2526600182646,1758.3265748303563,1718.9415987258637,1678.3860132509162,1636.9218969160165,1594.786629516414,1552.1944227083757,1509.337848035403,1466.3893405888762,1423.502662080722,1380.8143115681721,1338.444875618287,1296.500312507518,1255.073167260752,1214.2437160599252,1174.0810398875853,1134.6440282914207,1095.9823149232545,1058.1371470703107,1021.1421917983301,985.0242815984134,949.8041025991357,915.4968284943593,882.1127033629639,849.6575765338035,818.1333925891857,787.5386395124549,757.8687578773958,729.1165138552165,701.2723386836577,674.3246371061562,648.2600671499737,623.0637934731685,598.7197163730361,575.2106784145736,552.5186505076509,530.6248991366336,509.51013632671476,489.15465381749163,469.53844280655125,450.6413005240591,432.4429248035584,414.92299772427623,398.06125931605027,381.8375722393471,366.23197827951697,351.2247474261887,336.7964202453018,322.92784419244583
IH,147.0,85.80610713613214,50.44442260783242,30.1522024030959,18.70451012736771,12.51976999158217,9.56123700063207,8.700127104035262,9.345477731712716,11.22641657887796,14.259326282910195,18.460278809383727,23.880946194048274,30.558654068872464,38.4796646043386,47.55853120658786,57.6352757347612,68.48815916549202,79.85619265890509,91.46443849819929,103.04654785582372,114.36150138045537,125.20383222744775,135.40809703914869,144.84900712511453,153.43870060545052,161.1224086399721,167.87344581042188,173.68814656694383,178.58112166096203,182.5810289242019,185.72693298894427,188.06525470627025,189.64726962295808,190.52709494761427,190.76009786802405,190.4016592739418,189.50623222100023,188.12664155000328,186.31357859517934,184.11525212653686,181.57716320629424,178.74197735538957,175.64947230987542,172.33654375246527,168.83725481599834,165.18291796672344,161.4022001773634,157.52124417622287,153.56380008224164,149.5513629693904,145.50331289974258,141.437054766641,137.36815593366612,133.31048017116854,129.27631680411835,125.27650431264047,121.32054788588671,117.41673063387657,113.57221832122062,109.7931576098384,106.08476789189888,102.45142686493695,98.89675005306452,95.42366451515718,92.03447700591886,88.73093687128835,85.5142939677724,82.38535189760523,79.34451684947041,76.39184232894979,73.52707005475044,70.74966728680018,68.05886084105364,65.45366803375741,62.93292478533873,60.495311101284514,58.139374134582255,55.86354902166943,53.6661776715089,51.54552567546812,49.49979749419804,47.52715006672841,45.6257049765499,43.79355929955537,42.02879524936833,40.32948872679261,38.69371687186512,37.11956470926776,35.60513097063899,34.14853317059836
IN,0.44,0.8213089729407641,1.3266997788644113,2.007758658925355,2.934414699464007,4.200649823313228,5.931064032743567,8.287635302325766,11.475282530522982,15.743903303603165,21.38374578866135,28.710972720076292,38.041912991470085,49.6580193507154,63.76778829179189,80.47443649630227,99.7570552674974,121.4686886657752,145.3497628616902,171.05195243747966,198.16670815226945,226.25363184027356,254.86556782462782,283.56888166370265,311.95856872624995,339.66854341751275,366.3778062938999,391.81329565175855,415.75020438725073,438.0104515395872,458.45988318505937,477.00466242131796,493.587204295062,508.181922980708,520.7909858925315,531.4402114802986,540.175202260228,547.0577700529743,552.1626844443044,555.5747563989806,557.3862552638877,557.6946478755684,556.6006421575541,554.2065136717913,550.6146914597422,545.92657869133,540.2415837615281,533.6563382493681,526.264079365192,518.1541759955126,509.4117790891816,500.11757882451695,490.3476526904975,480.17339026119987,469.6614820110561,458.87396099001194,447.86828754125213,436.6974684948826,425.41020340826566,414.051051450128,402.66061344577514,391.27572442078184,379.9296527072554,368.6523023174473,357.470415851497,346.4077756966884,335.48540170178865,324.7217438784628,314.13286899863675,303.73264022778403,293.5328891647389,283.5435798536217,273.7729644971918,264.22773073736556,254.91314048130266,245.8331603435409,236.99058384896182,228.38714560040037,220.0236276606729,211.89995843362962,204.01530435424567,196.36815471523335,188.95639996848635,181.77740384498,174.82806963752375,168.10490098783598,161.60405751350694,155.32140560215458,149.25256468998387,143.39294933048552,137.73780734652675
D,0.01,7.826545754937723,12.389180873867419,15.071501536422094,16.674808132993128,17.669397651593574,18.33512115486227,18.84352827383672,19.306146924057575,19.8030813069942,20.40003231959822,21.158254607523077,22.1398574235942,23.40969761813151,25.034616786421683,27.08072603141808,29.609592937635277,32.67427844701768,36.31605279932057,40.56230847097672,45.42581846057442,50.90519299257051,56.98622638130318,63.6437874921834,70.84394794181301,78.54611727345082,86.70503308202697,95.27252069617741,104.19898647996122,113.4346418862935,122.93047527698064,132.638998859087,142.5148020538648,152.51494265471908,162.59920496973174,172.73025092356434,182.87368652357665,192.9980625884122,203.0748254115503,213.0782301829678,222.98522754252838,232.77533157265742,242.43047581928187,251.93486251538013,261.2748090265421,270.438594601297,279.41630975372783,288.1997100001293,296.7820751881155,305.158075273001,313.3236430937149,321.2758544635349,329.0128157069081,336.5335586322624,343.83794282360196,350.9265650540146,357.8006755664582,364.46210092685556,370.9131731279722,377.156664606849,383.19572883132247,389.0338461104816,394.67477428822974,400.1225039871987,405.3812180811063,410.455255086457,415.3490761786239,420.0672355523172,424.614353861843,428.99509449207613,433.2141424264796,437.2761854936104,441.18589778823264,444.94792507730676,448.56687201467435,452.0472910011666,455.3936725391031,458.61043694170434,461.7019272688227,464.67240337059883,467.52603693020404,470.26690740574566,472.8989987797154,475.42619703208527,477.85228826031994,480.18095737621485,482.41578731561344,484.5602587027306,486.6177499160472,488.59153750756667,490.48479693166564
R,0.0,53.876038135989376,85.39958502016879,104.04447695432437,115.35114330029019,122.59036455282114,127.73422667014403,132.025774533875,136.316406246837,141.26849977850304,147.47859906878756,155.55135119812294,166.13945979974008,179.95674056583965,197.76821688234574,220.36169373116132,248.50746165878974,282.9144535262924,324.19082030073196,372.8145395708846,429.1164703431943,493.2754642945913,565.32339071862,645.1572510790353,732.5556353645401,827.197241782342,928.6797702378517,1036.5380518251955,1150.2607246443172,1269.3050980943713,1393.110076647453,1521.1071619168104,1652.72964046732,1787.4201125598515,1924.636537798712,2063.856977445076,2204.583206820695,2346.343359295108,2488.6937487394985,2631.220001849495,2773.5376164654886,2915.292047558824,3056.1584092144353,3195.8408688510754,3334.071799095801,3470.6107431239943,3605.2432408107134,3737.779555619113,3868.053335677757,3995.920236873202,4121.256530914503,4243.957717126105,4363.937153116311,4481.124716378683,4595.465506249448,4706.91859340773,4815.455822216385,4921.060669613905,5023.727162942422,5123.458857997653,5220.267877682774,5314.174010912173,5405.203870818779,5493.390110849364,5578.7706969672445,5661.38823390549,5741.289343211891,5818.524090687743,5893.145460735345,5965.208875085096,6034.77175336445,6101.893112991053,6166.633205915504,6229.053189800495,6289.214831298485,6347.180239176027,6403.011625126566,6456.7710902123945,6508.520434978528,6558.320991384887,6606.233474806843,6652.317854456984,6696.633240681755,6739.237787684994,6780.188610325495,6819.541713727417,6857.3519345302075,6893.672892688518,6928.556952812331,6962.055194113033,6994.217388092558
G,11.0,16.253603509162748,23.560529181166466,33.68764839460917,47.65619825005358,66.79851750770786,92.8043533045172,127.73516795229177,173.9756576187315,234.0894321177152,310.5611268993164,405.4473457569386,520.0138663426826,654.4727986202951,807.9140478220431,978.4503641306453,1163.5118131723546,1360.1861900054591,1565.5179580818035,1776.7220619065606,1991.3086160122234,2207.1361235592417,2422.41651867789,2635.692290819664,2845.8002081706995,3051.830792766189,3253.088714876284,3449.0566651700487,3639.3637008627366,3823.7581988372253,4002.085115939503,4174.267072890628,4340.288730219012,4500.183945197645,4654.0252499632625,4801.915252235442,4943.979620866603,5080.361374005766,5211.216236161182,5336.708871674355,5457.009836584721,5572.293119379806,5682.734164564925,5788.508292178478,5889.789442060413,5986.749184483535,6079.555949208709,6168.374433562388,6253.365157115662,6334.6841362593605,6412.482656655666,6486.907125394622,6558.09898784853,6626.194696824098,6691.325723762792,6753.618603516627,6813.195005696661,6870.171826809115,6924.6612984039575,6976.771107299105,7026.604524640022,7074.260541133666,7119.834006277616,7163.415769806212,7205.092823909366,7244.94844505752,7283.0623344973965,7319.510756675483,7354.366675005887,7387.699884531825,7419.577141139837,7450.062287076696,7479.216372593886,7507.097773606196,7533.762305301389,7559.26333167911,7583.65187103049,7606.9766973967335,7629.284438066328,7650.61966718734,7671.024995584255,7690.541156878713,7709.207090020745,7727.060018342169,7744.135525247172,7760.467626656889,7776.088840325469,7791.030252144787,7805.32157955382,7818.991232167028,7832.066369733796
H,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678,10812.307934396678
beta,9.552006380295904,9.552006380295904,9.508117314287,9.447740929196902,9.365318321327123,9.253962858408059,9.105594758271405,8.911488606105065,8.663427527805101,8.355536918098446,7.9865447082124845,7.561738174057761,7.093572368228038,6.600184239143598,6.10206591147691,5.61819887329824,5.16316868511319,4.746036892074074,4.370764823039512,4.037466996746036,3.74381332617035,3.4861941586324456,3.2605329695259853,3.062781806426337,2.889184580839643,2.736390779842511,2.6014819013135577,2.4819518633048645,2.3756664234719844,2.2808157502866937,2.1958675443117093,2.1195241745294204,2.0506851188996507,1.988414865061599,1.931915887013008,1.8805060976430914,1.8336001296752975,1.7906938317279968,1.751351434505863,1.7151949199397938,1.6818952013477555,1.6511647901639328,1.622751682814688,1.5964342500036965,1.5720169508867465,1.5493267275238651,1.528209961764888,1.5085298984280022,1.4901644562008967,1.473004361914476,1.456951555355838,1.441917821126684,1.4278236116408147,1.4145970315317962,1.4021729587834164,1.390492282020789,1.379501236784526,1.369150826395147,1.3593963153125694,1.350196784796845,1.3415147422541114,1.3333157769648551,1.325568255987526,1.3182430549477797,1.311313319193464,1.3047542514432768,1.2985429226037222,1.2926581028914408,1.2870801107902923,1.2817906777061316,1.276772826466561,1.272010762055905,1.267489773183762,1.2631961434641001,1.2591170711356,1.2552405963864328,1.251555535461205,1.2480514208269409,1.2447184467610226,1.2415474197987777,1.2385297135435822,1.2356572273991748,1.2329223488336025,1.2303179188277478,1.2278372001995788,1.2254738485288488,1.2232218854365156,1.2210756739992077,1.219029896102098,1.2170795315538778,1.2152198388055806
