series,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29
S,22540.72197998979,22538.23464490607,22535.132118826456,22531.262522932837,22526.436635880502,22520.418797658513,22512.915645197834,22503.56218937266,22491.904647123614,22477.379336546972,22459.286831752834,22436.760467788048,22408.728201446193,22373.866800975018,22330.547404463614,22276.771727706055,22210.098729869504,22127.562521912383,22025.58395332217,21899.880930050043,21745.38644723925,21556.18890960848,21325.516769004975,21045.79863990431,20708.839815459676,20306.163956036038,19829.56989183602,19271.940592278832,18628.3052477371,17897.088515575928,17081.384321967125,16189.984450097594,15237.818706310845,14245.485755115515,13237.72068537109,12240.94481419325,11280.371451915276,10377.336129180798,9547.460709105491,8799.965259767692,8138.063147359017,7560.095323497433,7060.971666308884,6633.563129898348,6269.837431078937,5961.670795176626,5701.3595705734615,5481.896591032468,5297.083742966969,5141.5415387381745,5010.660631485166,4900.525381459948,4807.828066319778,4729.784297408955,4664.055020006361,4608.677338759187,4562.004632090852,4522.655492446547,4489.4706078227855,4461.476563580194,4437.855557407843,4417.920105602809,4401.091931310047,4386.884341563064,4374.887508436405,4364.756165644954,4356.199314355645,4348.971601436735,4342.866091245892,4337.708199968475,4333.350601041763,4329.668942763001,4326.558246006285,4323.929872096224,4321.708969157198,4319.832320374073,4318.246530132271,4316.9064944148495,4315.774110497802,4314.817188208171,4314.008531042338,4313.325160488005,4312.747661119956,4312.259627584302,4311.8471975616,4311.498657299843,4311.20410841125,4310.9551863967135,4310.744822852165,4310.567044566915,4310.416803782577,4310.289834773831,4310.182532665259,4310.091851033826,4310.015215382845,4309.950450025871,4309.895716301203,4309.8494603603485,4309.810369046401,4309.777332608439,4309.749413192535,4309.725818214219,4309.705877855997,4309.689026050802,4309.674784411268,4309.662748648461,4309.652577094389,4309.643981002379,4309.636716349929
I,5.0,6.237335083719405,7.78052739240643,9.70499143792178,12.104630630776786,15.096311195070955,18.82538585698032,23.472495217910634,29.261913662479085,36.471745823502346,45.446314161765685,56.61109958610933,70.49059103143905,87.72934374475341,109.11640431996763,135.61297999753663,168.38273283470446,208.82325758314948,258.5960117775768,319.6500321053104,394.2320068897784,484.8715427980998,594.3257977020826,725.4624773772251,881.0556824775521,1063.4676212818026,1274.1947801613678,1513.2753846782157,1778.5918830503938,2065.160644448967,2364.574676945529,2664.8308795786784,2950.788903470757,3205.424628798398,3411.8335413432224,3555.651027185258,3627.3116326669174,3623.5190472346667,3547.5147055013067,3408.1314784637793,3218.0007212565088,2991.468364803966,2742.7249307915235,2484.4522345041787,2227.0648746975457,1978.4652919254706,1744.1601935472677,1527.5831247014441,1330.5001915915816,1153.417347922481,995.9439181948688,857.0931886713691,735.5172066436968,629.6816738935958,537.9905328227912,458.8705808642673,390.8256423165349,332.4683713817062,282.5361631600415,239.89616661262295,203.54313113181823,172.59280015389734,146.2727744081849,123.91217055312154,104.93096104149978,88.82956357257547,75.17902396874142,63.611980895465976,53.81449586244248,45.5187631742489,38.49667130739898,32.55416175931184,27.526318076199203,23.273112467210204,19.67573728943387,16.633451750200365,14.060879054452423,11.885695008260592,10.046655173242328,8.4919136695634,7.1775924180046085,6.066564867836277,5.127423018926155,4.333600799849598,3.6626306225887157,3.0955132286988634,2.6161838101177404,2.211059872124825,1.8686584486417837,1.579272121731526,1.334694875636834,1.1279901654729345,0.953294732677215,0.8056526809406304,0.680875161686769,0.5754217282386752,0.4863000208474636,0.4109809564897911,0.3473270313145813,0.2935317114481883,0.24806819949002235,0.20964612793425125,0.17717495417228063,0.14973302082415316,0.12654140515161413,0.1069418166698745,0.09037791657483746,0.0763795294403237,0.06454929953048996
R,0.0,1.25,2.809333770929851,4.754465619031459,7.180713478511904,10.2068711362061,13.980948934973839,18.687295399218918,24.555419203696577,31.87089761931635,40.98883407519193,52.35041261563335,66.50318751216068,84.12583527002045,106.0581712062088,133.33727228620072,167.24051728558487,209.336200494261,261.54201489004834,326.1910178344425,406.1035258607701,504.6615275832147,625.8794132827396,774.4608627082603,955.8264820525666,1176.0904026719545,1441.9573079924053,1760.5060030327472,2138.8248492023013,2583.4728199649,3099.7629810771414,3690.9066503135236,4357.114370208194,5094.811596075882,5896.167753275482,6749.126138611287,7638.038895407602,8544.86680357433,9450.746565382997,10337.625241758324,11189.658111374269,11994.158291688396,12742.025382889387,13427.706615587269,14048.819674213313,14605.585892887699,15100.202215869067,15536.242264255883,15918.138045431244,16250.763093329138,16539.117430309758,16788.103409858475,17002.376707026317,17186.25600868724,17343.676427160637,17478.174060366335,17592.891705582402,17690.598116161535,17773.71520900696,17844.34924979697,17904.323291450128,17955.209074233084,17998.35727427156,18034.925467873603,18065.903510511882,18092.136250772255,18114.3436416654,18133.138397657585,18149.041392881452,18162.495016847064,18173.874707640625,18183.498875467474,18191.637415907302,18198.51899542635,18204.337273543155,18209.256207865514,18213.414570803063,18216.929790566675,18219.90121431874,18222.41287811205,18224.53585652944,18226.330254633944,18227.846895850904,18229.128751605636,18230.212151805597,18231.127809461246,18231.901687768423,18232.55573372095,18233.10849868898,18233.57566330114,18233.970481331573,18234.304155050482,18234.58615259185,18234.824476275022,18235.025889445256,18235.19610823568,18235.33996366774,18235.46153867295,18235.56428391207,18235.651115669898,18235.72449859776,18235.786515647633,18235.838927179615,18235.883220918156,18235.920654173362,18235.95228952465,18235.979024978817,18236.001619457962,18236.02071434032
G,5.0,7.487335083719405,10.589861163336282,14.459457056953239,19.28534410928869,25.303182331277057,32.80633479195416,42.15979061712955,53.81733286617566,68.3426434428187,86.43514823695762,108.96151220174269,136.99377854359975,171.85517901477385,215.17457552617643,268.9502522837373,335.6232501202893,418.1594580774104,520.1380266676251,645.8410499397529,800.3355327505485,989.5330703813145,1220.2052109848223,1499.9233400854855,1836.8821645301186,2239.558023953757,2716.1520881537726,3273.7813877109625,3917.4167322526946,4648.633464413867,5464.33765802267,6355.737529892202,7307.9032736789495,8300.23622487428,9308.001294618703,10304.777165796544,11265.350528074518,12168.385850808996,12998.261270884303,13745.756720222102,14407.658832630776,14985.626656492359,15484.750313680908,15912.158850091444,16275.884548910855,16584.05118481317,16844.36240941633,17063.825388957324,17248.638237022824,17404.180441251618,17535.061348504627,17645.196598529845,17737.893913670014,17815.937682580836,17881.66695998343,17937.044641230605,17983.71734789894,18023.066487543245,18056.251372167008,18084.245416409598,18107.86642258195,18127.801874386983,18144.630048679745,18158.83763842673,18170.834471553386,18180.965814344836,18189.522665634147,18196.750378553057,18202.8558887439,18208.013780021316,18212.371378948028,18216.05303722679,18219.163733983503,18221.792107893565,18224.01301083259,18225.889659615714,18227.475449857517,18228.815485574938,18229.947869491985,18230.904791781617,18231.71344894745,18232.39681950178,18232.97431886983,18233.462352405484,18233.874782428185,18234.223322689944,18234.517871578537,18234.766793593073,18234.977157137622,18235.154935422874,18235.305176207214,18235.43214521596,18235.539447324532,18235.630128955963,18235.706764606944,18235.771529963917,18235.826263688585,18235.87251962944,18235.91161094339,18235.94464738135,18235.972566797256,18235.996161775573,18236.016102133795,18236.03295393899,18236.04719557852,18236.05923134133,18236.069402895402,18236.07799898741,18236.08526363986
