series,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15
S,5416346.653948626,5416346.653948626,5409824.105844578,5399681.922047603,5387012.527564768,5372145.478976692,5355101.504777481,5335782.221948749,5314050.655742725,5289767.883925495,5262812.039928834,5233089.847174899,5200544.408546076,5165160.451635171,5126967.316857065,5086039.731026128,5042496.438095615,4996496.882655503,4948236.272987843,4897939.446039874,4845853.999925632,4792243.150780586,4737378.72035392,4681534.583444564,4624980.815107048,4567978.688845777,4510776.597432362,4453606.90242336,4396683.668713668,4340201.206093541,4284333.318981751,4229233.155824894,4175033.548474967,4121860.083450489,4069817.7359225173,4018992.6958267284,3969453.984151538,3921254.9868196663,3874434.948759869,3829020.432995681,3785026.734645972,3742459.235675879,3701314.6871140315,3661582.408313959,3623245.3962396057,3586281.3410161627,3550663.546815605,3516361.7594467746,3483342.9037950975,3451571.7355555585,3421011.412590603,3391623.991792385,3363370.857602791,3336213.088404744,3310111.766896087,3285028.240336262,3260924.336251803,3237762.538828245,3215506.130826047,3194119.3054544036,3173567.2522326005,3153816.220473848,3134833.5636482127,3116587.7675241856,3099048.464655466,3082186.4374723025,3065973.611955721,3050383.043617926,3035388.897282266,3020966.421950199,3007091.921859215,2993742.724673071,2980897.1476023016,2968534.462127074,2956634.857884444,2945179.4061863543,2934150.0235517947,2923529.435564981,2913301.141310022,2903449.378580014,2893959.090013826,2884815.890276059,2876006.034363836,2867516.3870974635,2859334.3938299115,2851448.052391831,2843845.886273934,2836516.919036575,2829450.6499267174,2822637.0306750084,2816066.4434398646,2809729.67986117,2803617.9211831056,2797722.719403551,2792035.9794062814,2786549.942031624,2781257.168041271,2776150.52293339,2771223.1625649957,2766468.519539621,2761880.290319633,2757452.4230239587,2753179.1058735554,2749054.7562485654,2745074.0103227436,2741231.7132424205,2737522.909818906,2733942.8357048766,2730486.9090268854,2727150.7224476603,2723930.0356333884,2720820.7681025644,2717818.992434407,2714920.927816124,2712122.933909554,2709421.505018908,2706813.2645424376,2704294.959691911,2701863.4564647772,2699515.7348548337,2697248.884288082,2695060.0992712975,2692946.675241596,2690906.0046060197,2688935.5729608317,2687032.9554808554,2685195.813469785,2683421.891062941,2681709.0120744845,2680055.076981566,2678458.0600383584,2676916.0065133357,2675427.0300435615,2673989.3101001168,2672601.089559146,2671260.6723733274,2669966.4213388595,2668716.7559533613,2667510.150360329,2666345.1313760527,2665220.2765951036,2664134.2125707646,2663085.6130669196,2662073.1973781614,2661095.7287150132,2660152.0126513597,2659240.8956313054,2658361.263532862,2657512.0402859696,2931830.196425742,3206058.263937081,3480197.843782756,3754249.2216464593,4028211.4064242104,4302082.211230057,4575858.342061895,4849535.473168019,5123108.297859028,5396570.549824714,5669914.993763585,5943133.386048272,6216216.406832814,6489153.564913735,6761933.07611034,7034541.715146513,7306964.640128322,7579185.187789734,7851184.636752289,8122941.935116831,8394433.387763873,8464485.567226171,8460370.6759945,8456114.660778206,8451705.888978546,8447138.360444875,8442409.127140054,8437516.88562887,8432461.212914558,8427242.155225258,8421860.010338716,8416315.215872793,8410608.295404505,8404739.835944792,8398710.482206875,8392520.939658515,8386171.981955038,8379664.46033603,8372999.313662376,8366177.578372531,8359200.397968418,8352069.031823507,8344784.863205569,8337349.406461379,8329764.313340537,8322031.37845199,8314152.543855891,8306129.902798671
E,47743.17190199122,38194.23071022866,37077.687225111134,39804.09530517369,44512.414934401386,50476.6944860064,57425.00541024876,65258.91812731707,73938.28133528662,83432.9217367828,93701.64522211772,104682.90677788762,116291.09132864347,128416.08265379579,140925.1756624339,153666.8207351435,166475.7620114084,179179.09522807592,191602.7343936834,203577.78316859622,214946.36439968983,225566.55935759353,235316.22835710604,244095.60738522824,251828.68561706907,258463.45643130978,263971.1955979,268344.9551324408,271597.47335372627,273758.69593957183,274873.0846112735,274996.8644323181,274195.33168678003,272527.96831578034,270062.97083743167,266873.6812633526,263035.9416787831,258626.06033022876,253719.22431847744,248388.26474620812,242702.7139321939,236728.1104383531,230525.51562955495,224151.2098804022,217656.5395184834,211087.88811466022,204486.7481807604,197889.8718227383,191329.48141259357,184833.52383129738,178425.95423656979,172127.0375709359,165953.65810845705,159919.62921884042,154035.99719416205,148311.33443550137,142752.0185415373,137362.4948912294,132145.5211842527,127102.39311389183,122233.15091635523,117536.76698642729,113011.31508968247,108654.12195253464,104461.90218808604,100430.87763138206,96556.88222396123,92835.45361464778,89261.91264003291,85831.43182135047,82539.0939705793,79379.94194263306,76349.02050652094,73441.41123966311,70652.26127871414,67976.80668929392,65410.39114746959,62948.48055878966,60586.67417693601,58320.71272414986,56146.483959822,54060.026092158434,52057.529380662534,50135.33623423531,48289.94007083877,46517.98316969838,44816.2537157061,43181.682207778234,41611.33737816172,40102.42174780749,38652.26692368516,37258.328727050335,35918.18222696068,34629.51674054582,33390.13085046447,32197.927480437476,31050.9090615535,29947.172815044672,28884.906171278242,27862.382339676078,26877.956040040342,25930.05940222518,25017.19803815855,24137.947287801937,23290.948638666414,22474.90631691627,21688.584046830667,20930.80197440985,20200.43375016187,19496.40376555255,18817.68453721181,18163.294232736538,17532.29433178948,16923.787416144904,16336.915082357224,15770.855970813353,15224.823905061416,14698.066135475432,14189.861681510478,13699.519767016653,13226.378343307802,12769.802694916518,12329.18412320678,11903.938703256043,11493.506109657008,11097.348507123594,10714.949502014037,10345.813151105474,9989.463024167602,9645.441317087802,9313.30801249567,8992.640085021181,8683.030748497671,8384.088742588376,8095.437656473579,7816.715287384879,7547.573031913542,7287.675308152333,7036.699006854109,6794.3329699070555,6560.277494535332,6334.243861736107,6115.953887559296,5905.139495925674,5701.542311762278,5504.9132733119695,5315.012262546618,5131.60775268118,4954.476471849229,4783.403082059518,4736.634098028025,4787.70687701676,4916.766753972351,5109.206912111892,5354.537773852844,5645.474860687107,5977.222386222866,6346.924689861916,6753.256882283889,7196.128051826667,7676.473795627507,8196.118803974849,8757.694174884575,9364.59774708374,10020.988865138283,10731.811595786456,11502.842532750947,12340.761026312854,13253.241034470906,14249.064894637399,15338.26023054533,16385.400848031884,17364.23059741839,18300.044690050174,19207.446684358205,20095.067219726076,20968.166150280274,21830.070887066177,22682.974112632517,23528.37840932967,24367.345993255392,25200.64067131109,26028.810050192413,26852.234509446258,27671.15759572922,28485.705957238275,29295.90332745209,30101.681071708546,30902.88670514674,31699.291177386018,32490.595378050926,33276.436126461005,34056.391801402446,34829.98770578725,35596.70122565164,36355.96682197328,37107.18088089103
I,0.0,8276.697506208677,12758.092734951591,15887.277165794014,18680.06926144218,21567.023764718942,24741.5269987023,28299.824767878585,32296.215248480807,36763.9974434392,41722.63021570799,47179.400050911616,53129.04017295544,59552.803387179905,66417.69990445994,73676.26373267855,81267.02858131056,89115.77148981139,97137.48509989545,105238.96105879766,113321.8100277753,121285.71147951562,129031.67953250807,136465.14675404684,143498.7008055897,150054.35234302306,156065.26007541694,161476.88468371436,166247.58329445307,170348.68794464925,173764.13401316534,176489.71815662706,178532.07089836305,179907.4281477946,180638.13979598193,180752.5997165796,180284.5751328672,179272.2507677241,177757.16752855765,175783.1604177412,173395.35696989714,170639.27119933808,167560.01132439804,164201.60852311598,160606.46657144118,156814.92724172026,152864.94308871994,148791.84726504007,144628.20896694827,140403.7627759845,136145.40034427418,131877.21342320522,127620.57803626462,123394.27055193979,119214.6074467237,115095.60160393808,111049.12902854668,107085.10084092456,103211.63632328338,99435.23361881114,95760.93541955444,92192.4876234453,88732.48949595781,85382.53434244393,82143.34008962043,79014.86949627349,75996.43997174232,73086.82318389554,70284.33479363364,67586.91476750563,64992.19880032881,62497.58143163603,60100.27146857646,57797.34033816317,55585.763987460945,53462.45893484262,51424.31305167402,49468.21162410646,47591.05921102689,45789.797778231434,44061.42155182247,42402.9889966785,40811.63228937721,39284.56461973338,37819.08562155779,36412.585201626105,35062.546006342345,33766.544738277094,32522.252509676848,31327.43439715085,30179.948340977,29077.74351373639,28018.858266173796,27001.417743164806,26023.631249318794,25083.78943192805,24180.26133855542,23311.491397408598,22475.996360655183,21672.362243874464,20899.241288809295,20155.348971375195,19439.461072409696,18750.41082481924,18087.086147524886,17448.426973852886,16833.422679697884,16241.109614849325,15670.56873926448,15120.92336474981,14591.337001436681,14081.011307572053,13589.184140459434,13115.127705852869,12658.146802703282,12217.577159862009,11792.783861142414,11383.159855012325,10988.124545123883,10607.122457872061,10239.621983198991,9885.114184919677,9543.111676929031,9213.147561754091,8894.774428034327,8587.563403642085,8291.103261292095,8004.99957362968,7728.873914930146,7462.363106684798,7205.118504490353,6956.805323797374,6717.102002208482,6485.69959614806,6262.301209851219,6046.621454740809,5838.385937376782,5637.330774272342,5443.20213197579,5255.7557909160505,5074.756731603433,4899.978741865491,4731.204043881031,4568.222939853499,4410.833475238491,4258.8411185089935,4112.058456506606,3970.3049044874588,3833.4064300281743,3701.1952900101155,3573.509779949695,3470.729073683225,3403.3758537109898,3375.810221524697,3388.7327706945543,3440.844498652944,3529.91942692446,3653.4757039265946,3809.178097836222,3995.065461216293,4209.667933726438,4452.057875959414,4721.863812314547,5019.266434749459,5344.988763121904,5700.287942027905,6086.953183292083,6507.312527802895,6964.250034012825,7461.234445619182,8002.360170643,8592.401399531236,9211.420655111888,9840.083487553546,10468.439444356783,11091.642380696714,11707.59530162267,12315.655224323827,12915.922242704204,13508.85069250573,14095.037928467886,14675.111005942377,15249.667270058555,15819.244556990236,16384.30758948383,16945.2431588837,17502.36000863543,18055.89117211309,18605.997534351558,19152.771949566075,19696.24355696527,20236.38210851648,20773.10221614856,21306.267476826382,21835.69446111323,22361.15656486277,22882.38773044549
A,0.0,1272.243685553887,2239.1407107707346,3137.6085867732854,4072.790136044229,5096.030111509149,6237.2745657746955,7518.0254505266275,8956.301721667543,10568.331638728174,12368.890283168515,14371.064006670445,16585.7756764199,19021.229803720988,21682.368380110915,24570.399437674474,27682.444244883678,31011.335537925872,34545.58524998239,38269.52585305772,42163.61582849024,46204.88826208525,50367.5131145443,54623.43881166102,58943.07736496323,63295.99879510121,67651.60446727448,71979.75425863461,76251.3285037396,80438.71177011952,84516.19122476477,88460.26734870028,92249.87886993616,95866.54696036625,99294.11699939403,102518.89782869382,105529.70032906781,108317.80395998617,110876.87043854588,113202.81857325893,115293.67119856525,117149.3831089325,118771.65735619063,120163.75601242471,121330.31040697421,122277.13487534871,123011.0471931403,123539.69810315505,123871.41167601309,124015.0376702378,123979.81657291955,123775.25760049987,123411.02961400719,122896.8646463785,122242.47354317617,121457.4730739462,120551.32377185943,119533.27769682414,118412.33528528757,117197.21044247512,115896.30304459379,114517.67804500302,113069.05041565624,111557.7751999937,109990.84200323967,108374.87329854498,106716.1259808894,105020.49565375512,103293.52318527995,101540.403120133,99765.99358019659,97974.8273309362,96171.1237308951,94358.80131897725,92541.4908280908,90722.5484443881,88905.06915888433,87091.90008282945,85285.65362002804,83488.72040855259,81703.28196117838,79931.32294859106,78174.64308217855,76434.86856421398,74713.4630826452,73011.73833570555,71330.86407830637,69671.87768781406,68035.69325148729,66423.11018167566,64834.82136797168,63271.420877961,61733.41122012245,60221.21018386686,58735.157272743236,57275.51974754364,55842.49829645834,54436.23234961813,53056.805055351906,51704.24793532098,50378.54523539653,49079.637988751936,47807.42780716725,46561.78041601002,45342.52894778055,44149.47700850383,42982.40153062666,41841.055425446175,40725.17004746255,39634.457482420585,38568.61267018767,37527.31537301172,36510.23199911724,35517.01729103144,34547.315887487064,33600.76376722662,32676.98958253343,31775.61588983876,30896.260284302512,30038.536444835696,29202.055095626733,28386.424889849954,27591.253220872455,26816.14696593394,26060.713166953283,25324.55965281315,24607.29560719048,23908.53208573432,23227.88248614268,22564.96297445613,21919.392870666477,21290.794996533765,20678.79598831251,20083.026576908658,19503.121837820556,18938.72141306004,18389.46970710323,17855.016058783003,17335.014890907263,16829.125839267068,16337.013862587108,15858.349334866205,15392.808121458169,14940.071640152068,14499.826908425921,14071.766577968203,13655.58895748749,13250.99802476108,12857.703428808745,12475.420483017268,12103.870149984965,11745.935546412964,11403.679296898148,11078.552440742422,10771.558738227033,10483.382276552838,10214.485665145412,9965.185212580827,9735.708478426992,9526.238614672455,9336.949024643412,9168.031107004936,9019.717228197069,8892.300572600629,8786.153141663324,8701.742893563742,8639.650815949668,8600.588589653144,8585.41741731052,8595.168546455958,8631.066003440315,8694.552066241684,8783.402530901016,8894.782496737715,9026.644517222887,9177.41219430992,9345.802172195057,9530.722592097158,9731.213937295717,9946.41350159228,10175.53312733595,10417.844488752455,10672.66874676309,10939.368808287887,11217.343200193904,11506.020998221366,11804.857489958646,12113.330383932194,12430.936451374446,12757.1885293042,13091.61283760346,13433.746576768151,13783.135781360033,14139.333409340754,14501.897650788158,14870.390441739139,15244.376170499032
IH,0.0,0.0,601.0013819258727,1391.9027931316996,2231.6976183477655,3084.934954268939,3955.4213346385022,4860.1475073176625,5819.261999772907,6852.313148854566,7976.859601473228,9207.913955715978,10557.632949106564,12035.049844119552,13645.799829692998,15391.851993326296,17271.28476348026,19278.146541182847,21402.438060084467,23630.241937800678,25944.01060711427,28323.00861991568,30743.891202571496,33181.389505992374,35609.06527549359,38000.094079660084,40328.03662158527,42567.5614018909,44695.08822988773,46689.329806255744,48531.71689022813,50206.70062142731,51701.932791819956,53008.3308668435,54120.039141436784,55034.145130706725,55750.454824398534,56271.26991864542,56601.14586851433,56746.62742756624,56715.96669429809,56518.83200479595,56166.0166708891,55669.15586039815,55040.45857217281,54292.46008015168,53437.798636979154,52489.01876506949,51458.40218598499,50357.826374330594,49198.64987338231,47991.622865364436,46746.82103032479,45473.60043024998,44180.570994144386,42875.5861302543,41565.74602990236,40257.41233216597,38956.23197114237,37667.16821179809,36394.53708311481,35142.04762769261,33912.84459676049,32709.552422336943,31534.319489521295,30388.861908510436,29274.506146079548,28192.230019071376,27142.70167779707,26126.31631562325,25143.23043327468,24193.393563666792,23276.577426712236,22392.402534920373,21540.362311144872,20719.84481091913,19930.152164771574,19170.51787196447,18440.122087376887,17738.105048770434,17063.578793336863,16415.637311021954,15793.365278333753,15195.845510762896,14622.165265063166,14071.421514875428,13542.725314868017,13035.205359987982,12548.010837790334,12080.313663309262,11631.310177686853,11200.22238387886,10786.298785280756,10388.814886106398,10007.073405830584,9640.40425398709,9288.164306092684,8949.7370164352,8624.53189890197,8311.983902911126,8011.552707816865,7722.721955862665,7444.998440824588,7177.911266891252,6921.0109900388325,6673.868752150818,6436.0754163763595,6207.240710692821,5986.992385313742,5774.975388440976,5570.851063878955,5374.296373191234,5185.003144367721,5002.677348369999,4827.038404418005,4657.818514461458,4494.762026933012,4337.624829596815,4186.1737710775915,4040.186110473389,3899.448994313196,3763.7589600124866,3632.9214649002965,3506.750439835983,3385.0678663984368,3267.7033766117297,3154.4938741660567,3045.28317609874,2939.921673914908,2838.266013149306,2740.1787903980007,2645.528266880149,2554.188097624425,2466.0370754111514,2380.95888863894,2298.841892323041,2219.578891471116,2143.0669361203963,2069.20712735776,1997.90443368101,1929.0675170952304,1862.6085683725146,1798.4431509363844,1736.4900528638766,1676.6711465284366,1618.9112554354813,1563.1380278297408,1509.2818166792563,1457.2755656653085,1407.0547008305145,1358.5570275589844,1311.7226325827858,1267.9849181571274,1229.2181813822026,1197.190716005622,1173.3229831814424,1158.6208408587536,1153.7017151363304,1158.8636018798186,1174.167736713498,1199.5191420729498,1234.7375234650037,1279.6158789170918,1333.9669059297055,1397.6586546591693,1470.6414277208405,1552.968019109187,1644.8092403528342,1746.4664369182256,1858.3824306026893,1981.1520763617043,2115.5334144814415,2262.4602379340663,2421.208059738095,2589.81180093829,2766.026919027683,2947.7630623837717,3133.248930007806,3321.065914881905,3510.122537974473,3699.606411999663,3888.931698461651,4077.6901833351626,4265.609069896921,4452.516124404697,4638.31169266858,4822.946676322868,5006.405466429207,5188.692894876372,5369.824386537956,5549.818630856237,5728.6922191845,5906.4558055272,6083.111441340544,6258.650810804553,6433.0541536205465,6606.289710375879
IN,0.0,0.0,1538.9082058577399,3701.428551263414,6151.194323387674,8786.531489875977,11599.66993210158,14619.854783202549,17890.24272762153,21458.207577751797,25370.861397608052,29672.516823668535,34402.80515233529,39594.97995708515,45274.27939312931,51456.36987068624,58145.958291003684,65335.68180565816,73005.38004064898,81121.83316575075,89639.0159822647,98498.87891784123,107632.6268799169,116962.43113274094,126403.48136723251,135866.26707567653,145258.9698410224,154489.85050037416,163469.525687315,172113.04480247345,180341.69865451785,188084.5126467166,195279.3985921323,201873.95860272576,207825.9510604356,213103.04394902027,217682.58877119664,221551.30056955534,224704.80381035915,227147.04279258763,228889.57489219456,229950.7738553318,230354.9731518585,230131.57870878238,229314.17769828645,227939.66639377983,226047.4160201981,223678.4913899372,220874.933175049,217679.11106884727,214133.15192021412,210278.4442197791,206155.2180839529,201802.19810276479,197256.32505747603,192552.54153149694,187723.6357857999,182800.13789888425,177810.26203350208,172779.8887426171,167732.5814241347,162689.6313410028,157670.12600832788,152691.03618495478,147767.31717089037,142912.02058565404,138136.41327160705,133450.10041946438,128861.15044238935,124376.21952468326,120000.67413755943,115738.71014597919,111593.4674265162,107567.13917724244,103661.07532800756,99875.87965508972,96211.50037028307,92667.31409352865,89242.20323278122,85934.62688752706,82742.68546577013,79664.17926081584,76696.661276088,73837.48461563182,71083.84477681795,68432.81719181506,65881.39036720537,63426.494968053325,61065.02918501626,58793.88071175185,56609.94564583001,54510.14461036394,52491.43637627636,50550.829247049645,48685.39044940959,46892.25375501772,45168.625540177745,43511.78947301622,41919.110000742505,40388.034793546925,38916.09628654279,37500.912446945826,36140.186880442205,34831.70837842397,33573.349996460296,32363.067743996737,31198.898955800567,30078.96040705442,29001.446226199343,27964.625652590184,26966.840679701298,26006.50361895736,25082.09461421105,24192.159132397526,23335.305451916396,22510.20216677989,21715.575721477497,20950.207988801467,20212.933900516997,19502.63913870891,18818.2578938619,18158.770694202827,17523.202309524288,16910.619731593284,16320.130232304879,15750.879499947201,15202.049853283117,14672.858532607988,14162.55606649777,13670.424712603699,13195.776970567113,12737.95416491006,12296.32509559494,11870.284753831358,11459.25310063312,11062.673905587004,10680.013643281527,10310.760444853959,9954.423102143008,9610.530121979038,9278.628828200724,8958.284509053545,8649.079607699423,8350.612953646229,8062.4990329887405,7784.367295438241,7515.861496204387,7256.63907087981,7006.370541564166,6764.738952549292,6531.439333970453,6306.17819190974,6092.491164880987,5895.38878735512,5720.009758871362,5570.923063809064,5451.833786106759,5365.5284321349145,5313.9524814388515,5298.352210310745,5319.4394896745835,5377.555926502489,5472.824116638023,5605.280886844893,5774.991643987005,5982.147318389637,6227.146576628688,6510.666452980043,6833.724616908788,7197.736354569419,7604.569118713031,8056.597267316657,8556.759408200794,9103.88683303007,9693.37512617113,10319.396957908582,10976.017723558754,11657.72131283677,12359.623452107644,13077.523799690862,13807.878647802892,14547.738069739866,15294.670559097747,16046.686888000622,16802.168796577622,17559.804866631912,18318.534234589064,19077.497950039662,19835.997394755028,20593.45902798324,21349.404699617382,22103.42680966622,22855.167656100784,23604.302385569466,24350.525033502003,25093.53720739294,25833.039027769773
D,51718.0,51718.0,51718.0,51730.17704134517,51758.3787366659,51803.59572781731,51866.100376916285,51946.2421712248,52044.71485185419,52162.62039433815,52301.45684801856,52463.078022433256,52649.64190117539,52863.55277857866,53107.39797419759,53383.878983578215,53695.737198447525,54045.675077084474,54436.27449091258,54869.91471368518,55348.69303554324,55874.351210920264,56448.21086807943,57071.120640907764,57743.41718473555,58464.90148271315,59234.831021386395,60051.927594004475,60914.399745886476,61819.97825813066,62765.962604467706,63749.27602253407,64766.526710564656,65814.0726766213,66888.08790523077,67984.62773699523,69099.68850192218,70229.26259912812,71369.3890629784,72516.19922706817,73665.95702990358,74815.09360785015,75960.23598988166,77098.22989099882,78226.15676928693,79341.34545245179,80441.378748562,81524.09553252664,82587.58884700325,83630.20057772328,84650.51326294182,85647.33957923864,86619.71001536051,87566.8592059617,88488.21135124004,89383.36509934746,90252.07821833105,91094.25233501414,91909.91797100198,92699.22006186296,93462.40410513511,94199.80304651371,94911.8249815464,95598.94172238249,96261.67825545381,96900.60309616722,97516.31953047331,98109.45772020222,98680.66763897902,99230.61279799162,99759.96471554085,100269.39808082843,100759.5865605297,101231.19919607928,101684.89734001954,102121.33208100485,102541.14210892768,102944.9519739702,103333.37069604882,103706.99068399017,104066.3869267602,104412.11642208532,104744.7178107926,105064.7111881078,105372.59806594881,105668.8614629113,105953.9661011449,106228.35869165263,106492.46829170486,106746.70672004545,106991.46901737875,107227.13394127338,107454.06448610258,107672.60841997636,107883.09883181202,108085.85468274937,108281.1813570554,108469.3712084889,108650.70409881981,108825.44792582914,108993.85913866489,109156.18323890145,109312.65526605789,109463.50026667686,109608.93374636164,109749.16210441629,109884.38305094177,110014.78600641365,110140.55248390707,110261.85645424995,110378.86469447563,110491.73712001853,110600.62710114938,110705.68176418766,110807.04227805605,110904.84412675886,110999.21736837625,111090.28688116712,111178.17259737058,111262.98972528649,111344.84896020497,111423.85668473791,111500.11515909024,111573.72270178852,111644.77386136523,111713.35957947662,111779.56734591008,111843.48134591739,111905.18260028762,111964.7490985544,112022.25592571001,112077.77538278162,112131.37710160359,112183.12815410274,112233.09315639567,112281.3343679802,112327.91178628683,112372.88323684105,112416.30445927315,112458.22918939739,112498.70923757077,112537.79456352793,112575.53334787856,112611.97206044142,112647.15552557995,112681.1269846939,112713.92815601306,112745.59929182989,112776.17923330076,112805.70546293694,112834.21415490037,112861.74022321214,112888.31736797535,112914.00833181968,112938.91383298335,112963.17041755248,112986.94341193669,113010.41852248852,113033.79396538714,113057.27399458154,113081.06410473121,113105.3678661311,113130.3851960838,113156.31181777237,113183.33965939652,113211.65797568668,113241.45501444204,113272.92009313422,113306.24599009058,113341.63158927532,113379.28474677731,113419.42537119254,113462.2887299633,113508.12901034807,113557.1857205909,113609.65855397301,113665.70172653098,113725.42710115718,113788.91065196559,113856.19961031363,113927.31909282554,114002.27775614076,114081.07238707645,114163.69150152194,114250.11808816306,114340.33164601403,114434.30965497036,114532.02860013305,114633.46465034646,114738.59407235512,114847.39344543077,114959.83972751678,115075.91021271798,115195.58241100282,115318.83387390475,115445.64198446833,115575.98372536966
