series,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,10809.11769797132,10807.415845635203,10805.475409053608,10803.263093755764,10800.741004941206,10797.866025644087,10794.589115000339,10790.854517618869,10786.598874443738,10781.75022497862,10776.22689039167,10769.936226914035,10762.77323920155,10754.619044093677,10745.339176665233,10734.78173286454,10722.775346665998,10709.127004905247,10693.619710258936,10676.01001271049,10656.025442923823,10633.3618979185,10607.681051040476,10578.607885188825,10545.728481242597,10508.588233068172,10466.690706402347,10419.497410647482,10366.428808495486,10306.866945151618,10240.16013159956,10165.630157156393,10082.58252486283,9990.32018523569,9888.161172929225,9775.460408565063,9651.635696693489,9516.197617311853,9368.78256925309,9209.187692261745,9037.405807197214,8853.657935303427,8658.420481211364,8452.443904863892
I,5.0,5.701852336116241,6.501918450488902,7.413850058235805,8.453168861145532,9.637514386035502,10.98692215257562,12.524135103530389,14.274951257955903,16.26861047148308,18.538222964136402,21.12124184894496,24.059981191640837,27.402180061184737,31.201611477391776,35.51873298260648,40.42137258462639,45.985439828452236,52.295646509072675,59.446214755702805,67.54154159122989,76.69677827830694,87.03826950066937,98.70378145218625,111.84242910797715,126.61419146080641,143.18887983447013,161.74439962244185,182.46412184994946,205.53316082382753,231.13334221112058,259.4366482120627,290.59695086321386,324.73990031770944,361.95093256063296,402.2615104126694,445.6339202017097,491.9452155430042,540.9712204931667,592.3718533858773,645.6793677732327,700.291366112373,755.4705469819604,810.3530139330403
R,0.0,1.0,2.1403704672232484,3.440754157321029,4.92352416896819,6.614157941197297,8.541660818404397,10.73904524891952,13.243872269625598,16.09886252121678,19.352584615513397,23.06022920834068,27.28447757812967,32.09647381645784,37.57690982869479,43.817232124173145,50.92097872069444,59.00525323761972,68.20234120331017,78.6614705051247,90.55071345626526,104.05902177451124,119.39837743017263,136.8060313303065,156.54678762074374,178.91527344233918,204.23811173450048,232.8758877013945,265.22476762588286,301.71759199587274,342.82422416063827,389.0508926028624,440.93822224527497,499.05761241791777,564.0055924814596,636.3957789935862,716.84808107612,805.974865116462,904.3639082250628,1012.5581523236962,1131.0325230008716,1260.168396555518,1400.2266697779926,1551.3207791743846
G,5.0,6.701852336116241,8.64228891771215,10.854604215556833,13.37669303011372,16.251672327232797,19.528582970980015,23.263180352449908,27.5188235275815,32.36747299269985,37.89080757964979,44.18147105728563,51.3444587697705,59.49865387764257,68.77852130608656,79.33596510677961,91.34235130532082,104.99069306607194,120.49798771238282,138.10768526082748,158.09225504749512,180.75580005281816,206.436646930842,235.50981278249273,268.3892167287209,305.5294649031456,347.4269915689706,394.62028732383635,447.68888947583235,507.2507528197003,573.9575663717588,648.4875408149251,731.5351731084887,823.797512735627,925.9565250420925,1038.6572894062556,1162.4820012778298,1297.9200806594663,1445.3351287182297,1604.9300057095736,1776.7118907741044,1960.4597626678913,2155.6972167599533,2361.6737931074254
