County/State,Fips Code,State Name,6d filter,County,County Name,Date,Date of Latest Data,State Fips Code,Avg Pos Tsts/Day,Cases per 1000,Cases per 1000 State,County Pop Density,Ct Testing Inc,Ct Testing Inc 7D Avg,Ct Testing Neg Inc,Ct Testing Neg Inc 7D Avg,Ct Testing Neg Rolltot,Ct Testing Pos Inc,Ct Testing Pos Inc 7D Avg,Ct Testing Pos Rolltot,Ct Testing Rolltot,Cumulative Cases,Cumulative Cty Cases,Cumulative Cty Deaths,Cumulative Deaths,Cur Date,Dhc County Icu Beds,Dhc County Licensed Beds,Dhc County Staffed Beds,Est Active Cases,Est Deaths,Hosp Est,Hosp. High Est,Hosp. Low Est,Hospitalization,ICU,ICU Est,ICU High Est,ICU Low Est,Ihme Allbed,Ihme Allbed Hi,Ihme Allbed Lo,Ihme Allbed Peak,Ihme Icubed,Ihme Icubed Hi,Ihme Icubed Lo,Ihme Vent,Ihme Vent Hi,Ihme Vent Lo,Latest Case Count,Live Data,Number of Records,Nyt Cases,Nyt Cases Inc,Nyt Deaths,Nyt Deaths Inc,Pct of Pop Tsted,Pct Pop Test Neg Rolltot,Pct Pop Test Pos Rolltot,Pct Pop Test Rolltot,Pct Testing Positive,Sah Period,State Day Count,State Pop Density,Total County Female Pop,Total County Land Area,Total County Male Pop,Total County Pop,Total State Female Pop,Total State Land Area,Total State Male Pop,Total State Pop,Total State Population,Vent Est.,Vent High est,Vent Low Est,Vent. Use
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,10/30/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,51,84,28,,,13,21,7,51,84,28,,13,21,7,11,19,6,0,0,1,0,0,0,0,,,,,,0,249,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,11,19,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,10/29/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,51,83,28,,,13,21,7,51,83,28,,13,21,7,11,18,6,0,0,1,0,0,0,0,,,,,,0,248,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,11,18,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,12/1/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,72,161,25,,,18,40,6,72,161,25,,18,40,6,16,35,6,0,0,1,0,0,0,0,,,,,,0,281,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,16,35,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/30/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,70,156,24,,,18,39,6,70,156,24,,18,39,6,15,34,6,0,0,1,0,0,0,0,,,,,,0,280,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,15,34,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/29/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,69,151,24,,,17,38,6,69,151,24,,17,38,6,15,33,6,0,0,1,0,0,0,0,,,,,,0,279,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,15,33,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/28/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,67,147,24,,,17,37,6,67,147,24,,17,37,6,15,32,6,0,0,1,0,0,0,0,,,,,,0,278,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,15,32,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/27/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,66,142,24,,,17,36,6,66,142,24,,17,36,6,15,31,6,0,0,1,0,0,0,0,,,,,,0,277,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,15,31,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/26/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,65,139,24,,,16,35,6,65,139,24,,16,35,6,14,30,6,0,0,1,0,0,0,0,,,,,,0,276,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,14,30,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/16/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,56,109,24,,,14,27,6,56,109,24,,14,27,6,12,24,6,0,0,1,0,0,0,0,,,,,,0,266,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,12,24,6,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,11/15/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,55,106,24,,,14,27,6,55,106,24,,14,27,6,12,23,6,0,0,1,0,0,0,0,,,,,,0,265,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,12,23,6,
