series,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29
S,353204.69994969456,353202.112219659,353198.4476109612,353193.2609465804,353185.9259768951,353175.564668736,353160.9517729447,353140.3888626602,353111.5435504954,353071.254687719,353015.31591915345,352938.2714979631,352833.2916221165,352692.234515215,352506.02825702063,352265.47651052993,351962.4668923447,351591.3487595686,351150.0611110962,350640.5982749543,350068.6561219386,349442.6460021504,348772.46316475625,348068.3654488994,347340.15327363956,346596.6805158259,345845.6345202157,345093.4980762922,344345.6169041539,343606.3181424207,342879.04581839277,342166.4943135089,341470.7305231803,340793.3011095844,340135.3243376731,339497.5675038435,338880.5115952061,338284.4049711989,337709.3077792596,337155.1286356799,336621.6548919778,336108.5776009253,335615.5121101246,335142.0150498917,334687.598346272,334251.7407770735,333833.89749584073,333433.5078725791,333050.00193790364,332682.8056666133,332331.3452953608,331995.0508353463,331673.35891336936,331365.71505196695,331071.57548079925,330790.4085561622,330521.69585289265,330264.9329824949,330019.63018266123,329785.3127161573,329561.52111104026,329347.81126916053,329143.7544656935,328948.93725891877,328762.9613264949,328585.4432419737,328416.01420318306,328254.31972231733,328100.0192860581,327952.7859927592,327812.3061726368,327678.2789959715,327550.4160735382,327428.4410528005,327312.08921282983,327201.10706041555,327095.251929412,326994.2915850068,326898.00383428833,326806.176144227,326718.60526796035,326635.09688008134,326555.4652214648,326479.53275402944,326407.12982571364,326338.094345844,326272.27147099114,326209.51330133487,326149.67858750286,326092.63244779536,326038.2460956684,325986.3965773132,325936.9665191415,325889.84388496587,325844.9217426434,325802.0980399412,325761.2753893686,325722.3608617155,325685.26578803174,325649.9055697777,325616.19949687814,325584.0705734096,325553.44535065524,325524.253767263,325496.42899624765,325469.9072985807,325444.6278831191,325420.532772628,325397.566675659,325375.676864052,325354.81305583636,325334.92730331066,325315.9738860909,325297.90920892154,325280.6917040505
I,5.0,7.085927661378124,10.039389294330562,14.218495798424893,20.12649049377931,28.467894509902493,40.22373889031455,56.7497756397142,79.89965337389384,112.16974899765557,156.85110829038086,218.15387777254085,301.2397268563525,412.06427172805553,556.9155639445994,741.5749999885707,970.1597990408428,1243.9122337085198,1560.3602597389493,1913.224599282243,2293.154623026525,2689.0226559520183,3089.333902722539,3483.3846011436544,3862.002643760696,4217.882982389132,4545.620239041028,4841.55607730375,5103.5363825292425,5330.641809516843,5522.9283903065825,5681.196179397579,5806.792423467316,5901.449392110609,5967.153900748762,6006.044335618704,6020.330782785952,6012.2341507014735,5983.94066838973,5937.568685038199,5875.1452160778035,5798.590143454218,5709.706374019228,5610.174591323001,5501.551508987332,5385.270756352937,5262.64570730265,5134.8737084319655,5003.0412794538115,4868.129952262966,4731.022489893276,4592.509286313957,4453.294795580759,4314.003876668506,4175.1879702853485,4037.331047652315,3900.855289868102,3766.1264710683035,3633.459029934631,3503.120822860073,3375.3375587512055,3250.296920468359,3128.152381605967,3009.026729971405,2893.0153109503844,2780.189005127185,2670.596955200999,2564.2690575198612,2461.2182335329585,2361.442496214298,2264.9268260946187,2171.6448710011314,2081.5604829833733,1994.6291052276852,1910.79902105563,1830.0124763810804,1752.2066862805184,1677.3147356218747,1605.2663830067506,1535.9887766148663,1469.4070899019873,1405.4450844960515,1344.0256070622745,1285.0710263673823,1228.5036162658528,1174.245889856725,1122.2208896173418,1072.3524379092587,1024.5653518702056,978.785626353032,934.9405882465242,892.9590252123336,852.7712915954681,814.3093940113778,777.5070588791087,742.2997839558891,708.624875732463,676.4214743691854,645.6305676890835,616.1949955945975,588.0594461384165,561.1704443546914,535.4763348439399,510.92725900227214,487.47512769228825,465.07359006835685,443.6779991922471,423.24537500557244,403.7343651625977,385.10520417008246,367.31967122945343,350.3410471302349,334.1340705018625,318.66489369335983,303.9010385164902
IH,5670.0,5000.948502119353,4410.951114557845,3890.7114836929086,3432.0448640393233,3027.752716242514,2671.5143525595063,2357.7943811168657,2081.765003314053,1839.2424097834992,1626.6364770426617,1440.9124792635012,1279.5622966209612,1140.5803189147605,1022.4358903329322,924.0305462077802,844.6267336611098,783.7386447316085,740.9875041093007,715.9403629933929,707.9642040499486,716.1267021974104,739.1604712012858,775.4879273938514,823.2895447735141,880.5936785611289,945.369202724196,1015.6085175815336,1089.3946545622578,1164.9507475443868,1240.6728868119635,1315.1487194473639,1387.1646000578417,1455.7040242636033,1519.9397603167574,1579.2216903713393,1633.0619678936844,1681.1187321601903,1723.1793098966407,1759.1435796189555,1789.0079715271663,1812.8504177955037,1830.8164472473943,1843.1065276640995,1849.9646922001243,1851.6684384006683,1848.5198549020583,1840.8379086341436,1828.951811520121,1813.195378146005,1793.902282978238,1771.4021261480964,1746.0172195982605,1718.06000973868,1687.8310581093974,1655.6175074659277,1621.691966869552,1586.311755549204,1549.7184513395582,1512.1376952790465,1473.7792093985129,1434.8369898022984,1395.4896418168446,1355.9008282516565,1316.2198056894845,1276.5820272107694,1237.109793081056,1197.9129337119684,1159.0895116710813,1120.7265316890102,1082.900649518631,1045.6788721662485,1009.1192434614248,973.2715101834506,938.1777650389719,903.8730637064793,870.3860139469906,837.7393354425872,805.9503895802507,775.0316788610015,744.9913159956707,715.8334630594438,687.558741327183,660.1646126089422,633.6457330575826,607.9942805345893,583.2002567019376,559.2517650622664,536.1352662011557,513.8358114978753,492.3372565679277,471.6224556849961,451.6734384040128,432.47156957316,413.9976938825337,396.23226605250954,379.1554677168677,362.7473120055752,346.9877367807113,331.8566874271271,317.334190047681,303.4004158617975,290.03573755607,277.2207782869849,264.9364539888389,253.16400959472838,241.88504973525062,231.08156443834594,220.7359503145889,210.83102767521157,201.3500539952157,192.27673410106982,183.59522743165138,175.2901526922249,167.34659019428048
IN,0.3018023742311,0.5689357146387162,0.9312901515837085,1.4302920862155635,2.1242248763390945,3.0950526840431074,4.4578494077833355,6.3736855275067565,9.066962660828441,12.848191782303648,18.142896942400117,25.52636992686477,35.761943300325285,49.83682391558935,68.9842987402911,94.67553277956328,128.56166130067226,172.35266552345328,227.63707965136334,295.67174396130036,377.19010115082085,472.2769325111474,580.335608478913,700.1442049911349,829.9750802621471,967.7454196532378,1111.170732133458,1257.902682506877,1405.6418776613823,1552.2230399701234,1695.6741322736882,1834.2530339438626,1966.4660391625437,2091.072349473153,2207.0782616442543,2313.724147533284,2410.4667139957064,2496.9584796061986,2573.025934365162,2638.647461760784,2693.931793004084,2739.0975206072953,2774.454011625925,2800.3839194154516,2817.327387535889,2825.767962778694,2826.2201798688075,2819.218743102024,2805.309205937725,2785.04003515643,2758.9559390824334,2727.5923375947186,2691.4708536806943,2651.095710956635,2606.950927993931,2559.498207777778,2509.175428681858,2456.3956515988957,2401.5465660554432,2344.990306071996,2287.063574079168,2228.078018285978,2168.320815470686,2108.055417207197,2047.5224230488348,1986.940549177689,1926.5076655125918,1866.401878279045,1806.7826386109434,1747.7918609095018,1689.5550374629174,1632.1823382641762,1575.769687086257,1520.399806714604,1466.1432278251164,1413.0592573591323,1361.1969034100302,1310.5957546221173,1261.2868129324518,1213.2932791792025,1166.631291673295,1121.3106182989266,1077.3353030868914,1034.704268504909,993.4118749422812,953.4484390419341,914.8007126598119,877.4523243172376,841.3841850628404,806.574860682766,773.0009121961549,740.6372065516599,709.4571994038527,679.4331917989791,650.5365625404536,622.737977938095,596.0075805734295,570.3151586381,545.630297324969,521.922513673054,499.16137618897744,477.31661048993954,456.3581921369817,436.2564277530032,416.98202544802933,398.50615550489874,380.8005022120653,363.837307666738,347.58940831120907,332.030264907983,317.1339866052254,302.8753496930681,289.22981160338196,276.1735206606892,263.6833220498318
D,0.01,124.61289349629097,234.51283240105528,331.44709553061386,416.9486667171013,492.37066330764526,558.9080088517496,617.6167246093836,669.43118707084,715.1796778983968,755.598536117112,791.3452048483516,823.0104366280952,851.1298660051201,876.1950526015402,898.6639186244572,918.9702466203033,937.5316108069868,954.7549093746094,971.0387166156347,986.7720924180618,1002.3301855955613,1018.0676563546008,1034.311313051208,1051.353295348336,1069.4457573349362,1088.797524591243,1109.5727870395176,1131.8916159548858,1155.8319556582103,1181.432702382143,1208.6975051297914,1237.5989752922399,1268.0830534091415,1300.073341503928,1333.4752625049027,1368.1799524682842,1404.0678266231873,1441.0117875293558,1478.8800640771624,1517.5386849053714,1556.8536002034693,1596.6924727842948,1636.926163575763,1677.4299389494577,1718.0844281053855,1758.7763584793681,1799.3990961524087,1839.8530167650144,1880.045730659316,1919.892184026352,1959.3146558268265,1998.2426682542578,2036.612826571064,2074.368602305404,2111.4600720714243,2147.8436226804847,2183.48163175132,2218.3421317034563,2252.3984638271777,2285.628928059379,2318.016433150337,2349.5481510735954,2380.215178801017,2410.0122099287373,2438.937218088532,2466.99115360455,2494.177654449435,2520.502772209072,2545.9747134745785,2570.6035968372794,2594.4012254614477,2617.380875045196,2639.5570968473266,2660.945535352858,2681.5627600685084,2701.426110878241,2720.5535563449957,2738.963564315332,2756.674984166507,2773.7069400284768,2790.078734314662,2805.809760903494,2820.919427326428,2835.4270853361163,2849.351969249794,2862.7131414867968,2875.5294447447936,2887.819460286181,2899.6014718336355,2910.8934346016513,2921.712949018651,2932.0772387216807,2942.0031324325378,2951.5070493502976,2960.604987720413,2969.3125162648107,2977.644768180589,2985.6164374370082,2993.2417771214186,3000.534599604578,3007.5082783144976,3014.1757509254953,3020.5495237856044,3026.6416774208515,3032.4638729692915,3038.0273594110245,3043.342981472842,3048.421188097651,3053.272041379459,3057.9052258745432,3062.330058208483,3066.555496907074,3070.5901523868083,3074.44229704763
R,0.0,544.683273418179,1025.1295147028,1448.9434383802914,1822.8415290471946,2152.760756588699,2443.956029414748,2701.088322515154,2928.3053951538063,3129.3170358879806,3307.4668145227924,3465.8023222944275,3607.1457265465597,3734.1659562903205,3849.4526894288165,3955.5902439385095,4055.226419101163,4151.127837729652,4246.210888098436,4343.538054261953,4446.274609484884,4557.609273662343,4680.650948555251,4818.318256589616,4973.237914284601,5147.663398304476,5343.419533363246,5561.87361134496,5803.9303172071695,6070.046056958569,6360.257821901719,6674.222000641334,7011.259190908599,7370.401823227939,7750.442150182053,8149.978812197087,8567.460739719081,9001.227591778894,9449.546272628371,9910.643325893829,10382.733194576589,10864.042469083008,11352.83033626734,11847.405500198698,12346.139878123915,12847.479389357544,13349.9521556751,13852.174423169074,14352.85450048839,14850.794989230724,15344.893560727669,15834.142510838887,16317.62730158546,16794.52427616698,17264.097712575513,17725.69636093918,18178.749591076186,18622.763259606214,19057.31539037451,19482.051747873273,19896.681370740353,20300.97212120135,20694.746296408248,21077.876338918813,21450.280675956525,21811.919710490954,22162.791981486553,22502.930505791144,22832.399309986657,23151.290157022206,23459.71946951858,23757.82544920433,24045.76538995436,24323.71318029519,24591.856989966367,24850.397134138027,25099.544108141,25339.516785030395,25570.540767945633,25792.846889020188,26006.66984650899,26212.246971818367,26409.817118224142,26599.61966323168,26781.89361675333,26956.87682754173,27124.805280611745,27285.91247870034,27440.428901145533,27588.581533906112,27730.5934647881,27866.68353828795,27997.06606480224,28121.950579286855,28241.541644772966,28356.03869646063,28465.6359224126,28570.522177159797,28670.880924805246,28766.890208474844,28858.722643210946,28946.545429638205,29030.520385950993,29110.8039959778,29187.547471271017,29260.896825350737,29330.992958399012,29397.97175085718,29461.964164523684,29523.096349883934,29581.489758527863,29637.26125962517,29690.5232595338,29741.38382371405,29789.946800209917
G,5.0,7.587730035609224,11.252338733383535,16.439003114222942,23.773972799506268,34.13528095857308,48.74817674987105,69.31108703439304,98.15639919919084,138.44526197560495,194.38403054111626,271.42845173145474,376.4083275780628,517.4654344796149,703.6716926739483,944.22343916465,1247.2330573498607,1618.3511901259901,2059.6388385984287,2569.1016747402946,3141.0438277560115,3767.0539475442515,4437.23678493836,5141.334500795236,5869.546676055065,6613.0194338686815,7364.065429478942,8116.201873402409,8864.083045540709,9603.381807273903,10330.654131301868,11043.205636185703,11738.969426514312,12416.398840110216,13074.375612021526,13712.132445851088,14329.188354488479,14925.294978495713,15500.392170435029,16054.571314014698,16588.045057716783,17101.122348769266,17594.187839569953,18067.684899802785,18522.101603422492,18957.959172621002,19375.802453853757,19776.19207711539,20159.69801179084,20526.89428308122,20878.354654333747,21214.649114348264,21536.341036325208,21843.98489772764,22138.12446889537,22419.2913935324,22688.00409680196,22944.766967199714,23190.069767033376,23424.38723353734,23648.178838654392,23861.8886805341,24065.945484001117,24260.762690775864,24446.73862319974,24624.256707720906,24793.685746511524,24955.380227377227,25109.680663636485,25256.91395693537,25397.393777057798,25531.420953723107,25659.28387615638,25781.25889689403,25897.610736864714,26008.592889279,26114.44802028255,26215.40836468774,26311.69611540619,26403.523805467536,26491.09468173419,26574.60306961322,26654.234728229752,26730.167195665108,26802.570123980928,26871.605603850538,26937.428478703398,27000.186648359657,27060.021362191677,27117.067501899182,27171.45385402612,27223.303372381353,27272.733430553017,27319.856064728672,27364.778207051124,27407.6019097533,27448.424560325933,27487.33908797901,27524.43416166278,27559.794379916802,27593.50045281636,27625.62937628489,27656.25459903924,27685.446182431424,27713.270953446787,27739.792651113774,27765.07206657536,27789.167177066443,27812.133274035496,27834.023085642435,27854.886893858067,27874.772646383793,27893.72606360353,27911.790740772896,27929.008245643912
H,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749,176676.9356736749
beta,12.215823716587122,12.215823716587122,12.206969797324755,12.194453272192813,12.176781952920615,12.151878461787563,12.11687310318136,12.067845287529705,11.999522708727474,11.904974425870483,11.77538352750806,11.600062401219388,11.36696785207577,11.064032408088812,10.681535385664011,10.215341256842168,9.670112344900934,9.060930835143296,8.411900382516444,7.7516677212979115,7.1076203077217555,6.501222887738316,5.945976710633641,5.4478628411241194,5.007168689565333,4.620593575785032,4.28299805864364,3.9886088887329305,3.7317378308847213,3.507151064669053,3.3102186968426213,3.136939716020046,2.983903850858788,2.8482265658316415,2.7274769826176604,2.619608633191336,2.522897364439695,2.435887732728991,2.357347744452987,2.2862311421653874,2.221646214402124,2.162830101451025,2.1091276601079185,2.0599740756487526,2.014880538000666,1.9734224174486772,1.9352294780054664,1.8999777530035642,1.8673827787411843,1.8371939400847093,1.8091897289040144,1.7831737540574908,1.7589713720652447,1.736426832055119,1.7154008482206913,1.6957685288543631,1.6774176037820303,1.66024690234441,1.6441650424334888,1.629089297890225,1.6149446171103818,1.6016627702356876,1.5891816060223718,1.5774444025351775,1.5663992983364212,1.5559987929265502,1.546199306925153,1.5369607939237557,1.528246397146364,1.520022145062591,1.5122566809453606,1.5049210220789508,1.497988344925618,1.491433793069386,1.4852343051887513,1.4793684606788142,1.4738163408577187,1.468559403961635,1.4635803723627694,1.458863130643434,1.4543926333295616,1.450154821234535,1.4461365454914847,1.442325498462654,1.4387101508102553,1.4352796940967076,1.4320239883548298,1.4289335141321196,1.4259993285687957,1.4232130251180004,1.4205666965593695,1.4180529009947824,1.415664630548203,1.4133952825209113,1.4112386327791329,1.4091888111740025,1.4072402788141731,1.405387807029264,1.4036264578784154,1.4019515660724944,1.4003587221911797,1.398843757087473,1.3974027273824094,1.3960319019617038,1.3947277493943415,1.3934869262002814,1.3923062659011165,1.3911827687933436,1.3901135923892978,1.3890960424754988,1.3881275647425506,1.3872057369446156,1.3863282615500223,1.3854929588477318,1.384697760477375
