state,RMSE_G,RMSE_D,RMSE_wtd_G,RMSE_wtd_D,RMSE_G2,RMSE_SIR,R2_G,R2_D,R2_wtd_G,"R2_wtd,D"
AZ-Maricopa,4164.645833342748,33.81871158622154,1106.0538391058433,12.503591365279595,640.7264148215685,866.0328607949865,0.9936109783719528,0.9986964252574148,0.9991465919110877,0.9997369493914485
CA-Los Angeles,13259.203388943264,245.40064437685427,4863.650253379966,44.77335461458545,4640.001653182185,6100.721571026833,0.9667077128633174,0.9842353071231663,0.9932808576778627,0.9991084454190007
CA-Riverside,2416.699420487304,32.08817227882055,663.4739403783485,10.258524365830016,981.1615608152048,1096.9392777799267,0.9765641369602297,0.9891553971894945,0.997516149890709,0.998405335125364
FL-Broward,2297.6438414439663,26.469269685672447,756.254765448656,8.908716621150989,782.3755042780377,930.4972118325686,0.9909274846418802,0.9935356525199373,0.9984822151787769,0.9990630970810149
FL-Miami-Dade,2060.714203578377,61.72832773985304,759.2949610560638,23.68873517327799,889.7160327787683,1839.8833911528031,0.998434607633012,0.9919816203665341,0.9996760347423743,0.998474023902886
GA-Fulton,1128.5825357812757,19.568774032501775,405.6957712883427,7.629777600983522,251.45279141941236,420.61031440223167,0.9778609143716708,0.9839001838821125,0.9960890492017853,0.9965677772177068
IL-Cook,4389.977827565593,149.9284093892908,927.4823059516577,32.35801346244231,3081.9849804337778,5765.768406743922,0.9882947537419303,0.9942414730998941,0.9991573545348107,0.9994491751786803
LA-Jefferson,904.7684295109226,27.727817540297917,296.0106436953829,3.1994763312132966,317.57500146666314,540.9959244151058,0.9579867404404767,0.9765053826640149,0.9956121454872351,0.9995130669316146
MA-Middlesex,734.3615396059259,29.68278814984484,184.30476026134392,4.706091885286715,371.8445504082142,1461.695882002268,0.993891739410715,0.9985708212755968,0.9993232623735403,0.9999290874995528
MD-Prince Georges,1816.5992490821973,20.375360382300627,484.45990725514156,3.4894711838602936,1452.1859318758961,1018.1051833344095,0.9485062995668782,0.9953108653940862,0.9947903067791896,0.9997347076058446
MN-Hennepin,877.303370484083,28.949193937710298,145.26984631607493,3.8056588243630776,140.8664476054432,122.01716584905472,0.9841825409671275,0.9926623821570277,0.999387171774487,0.9997438889683393
NC-Mecklenburg,3191.7154523748954,13.042406143417917,922.6620202268978,4.186854854354799,308.9910035544248,347.82348212229175,0.8633752793735496,0.9776932590361598,0.981380973411669,0.9968840323731233
NJ-Bergen,623.7451132045265,70.57781746896661,161.85985570141102,6.608213839322843,229.3401656726279,1284.1227311856755,0.990864604544322,0.9890512005978176,0.9991763176460527,0.9998161811835315
NJ-Hudson,738.0455220805975,61.72832215299131,75.69451930214184,5.337002880091123,292.5041316102047,1261.5331697632307,0.9869054966515683,0.9861548736761776,0.9998052123487224,0.9998089054041448
NV-Clark,1478.5980958314376,16.774508520387663,472.79379201105917,5.579631343813985,373.05186679709357,656.6892556692786,0.9937180092361174,0.9969779511984453,0.999069942370148,0.9995823676241506
NY-New York,17020.492421159714,1002.5174224437246,2604.0511375051624,136.60617689709153,4355.821552330921,19543.890118090596,0.9462061306083743,0.986801240548755,0.9982369563306942,0.999535882896692
OH-Franklin,1812.778369478644,21.200257251978197,559.3716147921658,9.339872708981153,210.94962708583773,294.8773632107246,0.9181275786574038,0.988100577191912,0.9887136603462902,0.9963676940796999
PA-Philadelphia,603.6419780635323,45.906314498339285,121.62267878556804,5.911311828222918,720.2453140489497,1956.8352952646828,0.9966646867957086,0.9952244571789575,0.9998120967577604,0.9998503127644119
TN-Shelby,1270.0459420357904,15.291425479096068,543.1225403047027,3.6744608732731807,574.693848860208,526.8654092213893,0.9770993209234385,0.9839775694318227,0.9941355564853663,0.9986301233242985
TX-Dallas,2064.868049511572,34.11743061261965,931.7710270127379,16.263808662292877,443.7162274416169,525.8555345842312,0.9916185124711306,0.9851149653408369,0.9974721352564138,0.9952509575521334
TX-Harris--Houston,2788.6489565020056,15.121380250221845,862.2956464969044,4.409813047975595,679.2164001582211,878.0711036264511,0.9829213905878265,0.9955108248780724,0.9974719059491237,0.9994948352933648
UT-Salt Lake,711.4489135963394,3.5423252885053587,171.39479151482044,1.2508645744437663,129.9914828750824,186.92269320889824,0.9914297009769256,0.9976832096488424,0.9992528681478586,0.9995707313617176
VA-Fairfax,1017.9095030424652,14.36946320436879,193.41797043468094,2.495439287407487,301.93103637859423,535.4544515048707,0.9710641846663064,0.9953592792774609,0.9982856297278674,0.9997258518575569
WI-Milwaukee,3586.3580706527114,23.367641502357483,1375.5522972676717,9.22492028558023,713.3704157294418,884.1763567337474,0.6390167939584164,0.9783686895189414,0.9469787514377822,0.994740758280036
