series,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
G_high,9.0,13.2234249523834,18.97318370065682,26.695979927375483,36.89329416459364,50.08028747684486,66.72278182823248,87.16365976934495,111.56015789519273,139.85422080718573,171.78576509211882,206.9407565789391,244.8146113945816,284.8719182291462,326.6536626227225,376.10769445735,427.3518444336851,479.71371418059874,531.4756082110628,577.3022903611685,621.3859751162386,664.7643712638294,707.3255719319322,748.9836357730949,789.6739534976513,829.4496648654556,870.6446551088281,911.6426489723748,955.5887747110307,989.6514726972674,1026.8015927480933,1064.8009188085662,1099.631087566297,1132.0870933304361,1169.247522879899,1203.5646128919825,1230.7122416995053,1264.5835366489139,1293.3234013237814,1328.5242007552304,1355.7562738841739,1387.774749715217,1416.4303260592515,1446.5430945443761,1475.0645240488532,1507.739475196019,1539.4533387133633,1569.3401115658814,1598.4524666970103,1625.6716726752823,1652.1391776740786,1677.015126198658,1702.342818595075,1726.1570397623186,1745.7508990016152,1766.780057212709,1788.4283921897443,1809.7728181934453,1830.881843567955,1849.489493192411,1866.5655628827114,1890.4385270949324,1912.0982474589578,1932.1920287955409,1952.8515219880708,1976.0152219189247,1998.7139643784453,2019.934885437331,2042.7974711970846,2065.8646314615994,2089.167874272526,2113.3975448952706,2137.7489597433446,2166.4624940300664,2198.8559724600736,2229.061596265304,2261.9088499345066,2294.957642434802,2331.9535141303386,2363.314110995469,2399.7557051172707,2447.2403677740485,2490.8802479435094,2538.5938661682926,2588.610204614228,2646.7772278626985,2707.5007739481716,2770.8829535053196,2837.0249611071945,2906.026475026399,2975.0822312433393,3048.651112153838,3128.0762671062785,3209.054665356427,3289.284146534654,3373.107673829448,3468.548571979988,3568.558221406518,3670.599622661804,3779.8177537557663,3891.0517168754773,4003.0316974247717,4123.140592322323,4248.884451148776,4385.289968920688,4521.858621934448,4664.709091258429,4810.62461065877,4964.594386556172,5123.107889222422,5288.4710440566605,5455.38903806747,5637.585652838022,5798.824427633372,5983.1263049210975,6148.222838827322,6332.688172325905,6515.777154828496,6721.3717788818485,6924.34737763162,7111.197987945409,7311.195484037713,7517.031088234446,7718.232389060481,7903.53593554944,8087.832011311353,8291.455193990689,8477.523252080555,8664.998173693439,8862.768547002648,9030.689309210173,9220.272228570055,9403.223948656545,9577.659769787755,9747.54991101377,9917.799841570817,10061.90893257021,10223.140043948848,10378.533085238518,10520.354978377281,10657.74911158025,10793.259206315657,10921.962581386124,11057.011084011869,11186.980320615117,11315.21248852807,11435.052856817842,11557.707997247871,11674.605071059661,11773.154694163944,11876.235800065204,11976.349376347096,12091.449537074865,12192.084962077208,12296.169009442396,12417.158254188449,12525.357718341736,12638.180766528223,12761.079661344615,12872.85035173963,12973.86219785942
G_low,9.0,11.822321156607298,15.251741655513316,19.356163467379684,24.249161593018208,30.007496934501532,36.743208574207095,44.55856686571041,53.59843789091039,63.33928498396633,74.60751989971325,87.05723666414742,100.99584923757187,116.85556630543638,135.11997960080163,155.5598554839948,178.31158926931056,203.49199668956413,231.19062659277043,261.0771677992807,293.14734820952276,328.13368871445385,365.4272480823894,403.89046526747234,445.74831150737174,489.8917747769759,536.1364971316309,584.2682425902813,633.500570415759,683.4526029789953,734.1620450191213,785.3274407820054,836.25517479512,886.999119404298,937.348938341734,988.4915194236797,1036.6208821020994,1084.8420654558242,1133.586979182281,1179.3324387178861,1218.8873818757488,1259.491429398309,1291.8656129061073,1323.983291086998,1354.0572330681007,1380.144863932294,1400.851689294835,1423.8350139403597,1445.914084529944,1464.0414619513433,1481.5119760985312,1498.1523041201087,1514.5685074932762,1528.74287896173,1541.094646555197,1552.386104441073,1565.3327138689376,1578.0748376942233,1589.9478317321523,1603.9361865617302,1618.6763393182418,1634.2176842673086,1646.6568699742577,1659.1267458044829,1672.2168009402894,1687.606943592578,1703.1409534538502,1718.8412835224678,1738.4773026677606,1756.2258004601797,1771.7081341054181,1791.0649605565154,1812.731659965027,1835.3177069348287,1859.4619044988115,1887.0535460664828,1913.0185556628658,1942.7578594383112,1969.7994923181977,2004.355516003718,2041.6340630535628,2076.5890771686986,2106.271490006937,2138.2428428153644,2172.7405472060827,2210.0221472206695,2257.115888797217,2308.9222790017907,2377.863825910452,2436.941341436814,2498.2903045744,2563.2830674062657,2633.2627695904134,2710.076614739093,2794.1995925185265,2883.8247558585563,2976.3941732475137,3068.8003493408605,3173.47925597252,3280.521577749172,3390.397372235814,3498.5032156024204,3612.2171826809,3732.7498894432238,3864.6951089458926,3999.8988553846443,4142.046351200513,4292.162219939332,4447.3783782658,4610.503563938962,4778.561452809094,4955.543293395074,5134.427170164234,5317.731577990614,5489.893846167912,5681.15020813581,5867.5514161448955,6051.439443069123,6239.903573074596,6432.797389969812,6623.352011753757,6815.1890524754235,7006.456256273529,7195.397974843157,7382.018086102122,7571.362786132612,7743.437681660049,7918.482710680834,8090.651709317987,8266.65112526093,8419.55560780187,8584.77073247946,8748.430021391992,8906.258956196432,9070.55743346651,9228.912388891837,9385.41401648632,9540.039366472281,9691.441234666117,9840.713927286311,9990.861172346555,10139.622560179423,10273.808230355427,10405.059283553323,10542.18782391047,10640.69449195583,10736.919521587872,10843.792286011387,10949.635178599085,11047.799259648655,11138.215648418687,11217.157359122664,11288.735582083335,11355.272117560682,11410.509704361817,11463.943999955409,11514.38078681329,11561.97515141024,11607.640685553646,11649.225645569744,11688.380923588084
D_high,0.01,0.01,0.09069263411297004,0.2160756766371595,0.37562347877008373,0.5613671412659931,0.7824831115454292,1.0434143925354766,1.3392801503042682,1.682860254699694,2.0792924017647976,2.5343875944880265,3.0575292582673703,3.63843991009117,4.327920167754079,5.100266151278598,5.968120692515091,6.947638124881571,8.076451670257587,9.368186131442037,10.87814328840606,12.550128898894924,14.471893830360822,16.54737204436581,18.78212011778348,21.0575091191755,23.562838753449327,26.25173610778699,29.073687601089414,31.91987923750186,34.87319165586493,37.932428743347096,41.05806428553522,44.31292065041812,47.59863082147767,50.86884465275622,54.197894027461906,57.48433216015403,60.88374988764398,64.22607960256197,67.6248386066312,70.9946317632294,74.43991315273003,77.72764733996075,81.04374326832259,84.32166453706189,87.49919540695451,90.66376818703206,93.75452408966989,96.90430696750771,99.91334880711639,102.84191792917431,105.69437618175452,108.61004008832484,111.49536565268704,114.39043714254858,114.69771222534948,115.05730446204628,115.43387561551722,115.86625658406072,116.45626728270865,116.96085218909931,117.51663832767983,118.00444336438919,118.51341587784945,118.96278109273904,119.33979177437763,119.75399888141474,120.12580888354769,120.5048614304236,120.89458888158177,121.2111197560219,121.5514522182849,121.90980055884923,122.28745907674522,122.67241216486934,123.04423955933481,123.40655141647945,123.75611721217633,124.0998472794804,124.43783808511778,124.79925471758395,125.22351174966317,125.65780102329869,126.00487786088745,126.40702153560501,126.86963503021455,127.34772308022463,127.8427687175104,128.35631750462483,128.88997943183622,129.44542993120783,130.0244098792404,130.62872445636754,131.22808095142565,131.8817067856067,132.5620801725911,133.16757393917382,133.84008310080975,134.7218146413157,135.59418624996925,136.60985007228706,137.53163470524515,138.56073374172644,139.6790363454492,140.80091828045212,142.02849990337572,143.32811393402605,144.66428990224253,146.03398208016057,147.52177021869343,149.18284711688852,150.81439595196443,152.63037639172592,154.4572788725473,156.4423861794784,158.4867638836041,160.63778488307622,162.8597630213162,165.05225479699496,167.31518038041636,169.62343520181275,172.0929012218714,174.56363401165862,177.0478079059288,179.53020650956788,182.0364482473889,184.5617058442608,187.09320509356226,189.8457940019652,192.6337358237633,195.28235440872038,197.84572263159424,200.67348045460233,203.35483133257833,205.85260947942385,208.49974656490713,211.2693215469497,214.06129186395543,216.66384089015355,219.35362927415764,222.00822207814454,224.70666984341992,227.29266070939974,229.81581158765795,232.0382849242105,234.41621126742206,236.59117769511096,238.95759926761738,241.34397625251137,243.8572796901424,246.11648592732774,248.9367943115546,251.45521258128193,253.958676414747,256.6747183140509,259.7539041640491,262.3068628347133,265.0505193155019,267.44685158893554,269.5206960686986
D_low,0.01,0.01,0.018367422646058052,0.03744543614551934,0.07047973197877772,0.12177053595343854,0.1972574438755079,0.30398416025908526,0.4437297818091097,0.6292018257988012,0.8736070139983977,1.1741071338928468,1.544442753534069,1.9964710510697548,2.5481476737621938,3.2075568388416027,3.9467646312551237,4.78295514005416,5.733339752736629,6.896786929432591,8.222256610309378,9.705782563104355,11.354032703562613,13.149787526287877,15.087703782460057,17.209046530109223,19.508898692406646,21.999462370202508,24.67219200932869,27.492727499202125,30.405402352658047,33.45989640617257,36.578923282900874,39.78519586742664,42.894279997471386,46.23443036301438,49.68528671645277,53.12334515330425,56.55517980343476,59.87106938881846,63.17700767818567,66.61597694688916,69.89035132348077,73.15793570860264,76.29650762093311,79.33321754904395,82.34137800128538,85.16934032849281,87.86084848142835,90.63137183361236,93.04171079282912,95.55668987026128,97.74903793105113,99.8755372327822,101.77008900654894,103.56376480039938,105.90667213951079,107.00991430138052,107.89650365956675,108.43373108422844,108.74172903744147,109.0924754830246,109.46088785660493,109.86131024841701,110.19932992960092,110.51732087527932,110.82004915697333,111.1352461822666,111.45543658863475,111.78168501505105,112.1149451001941,112.4317776487377,112.72547618354024,113.02501810998913,113.35118611683934,113.67007009107861,113.97908970074491,114.30235281233007,114.64705512507895,115.00433745769702,115.37553727021162,115.76207197525379,116.16544504851443,116.5872516362803,117.02918352324599,117.47936746667766,117.88425934867695,118.2980013272985,118.78220896975766,119.32538490147665,119.90054625598422,120.50491926339437,121.15746637209841,121.73664780643038,122.5104940404149,123.27046329858146,124.0244813059662,124.83785021640922,125.65067891318027,126.64425267423276,127.67902041120018,128.67990486664675,129.7444940277404,130.87613721625516,131.9672217557083,133.21947916794133,134.58379745495404,135.9307842226026,137.29460744135596,138.79296130350158,140.47766655392394,142.2814396536486,143.9984736871762,145.67638598343925,147.43525379238275,149.31129546337598,151.2725067223746,153.19776894779673,155.24684304712946,157.2874019861968,159.359281794652,161.49236112621088,163.7904741172476,165.9292694513149,168.01110017924307,170.22616308931245,172.5095283722659,174.85967532971145,177.2504820877775,179.75292277699947,182.29175042211895,184.8221142285531,187.45503417457314,190.1908523172756,192.7646482004126,195.44871723646116,198.15227159305792,200.5114197751268,203.07353593434897,205.6526029413487,208.24601333008258,210.79145677902167,213.30408057987879,215.76208779329104,217.95239384202907,220.06377562386874,222.11151328304769,223.98700239601382,225.9167907199685,227.8370640883239,229.72961711448994,231.59490018157805,233.43343228976977,235.0729403979311,236.75260868960964,238.13394008946824,239.58137248597075,240.74086604979522,242.16033858159255,243.3559837361289,244.7493551170071
G_high_100,9.0,15.673001725041814,26.211079255721536,42.08686610206985,64.58508161063857,94.30256249168701,130.87297965213008,173.13853440168043,219.59042291410276,268.75557100725257,319.3927443936572,370.5377927939406,421.476121266241,471.6937455516853,520.8297378578928,568.6371515143569,614.9530269445197,659.676033734067,702.7499912812104,744.1517499983851,783.8822598482352,821.95996027932,858.4158644967687,893.2898866765369,926.6280868934435,958.4805983527287,988.9000654112251,1017.9404664918684,1045.6562287585803,1072.1015651213488,1097.32998142488,1123.474226105261,1150.1061379641988,1181.3949498656143,1211.042550996066,1239.109283112751,1265.657940824122,1290.752641241703,1314.4579237834748,1350.4887685496215,1388.8990774709296,1425.3075795454388,1459.7471591128808,1492.263105103724,1522.9105197659471,1552.540529253696,1582.9435230445235,1611.5647833182006,1638.4696672759787,1663.7275593885095,1689.94337177931,1716.2262733242999,1741.469642229813,1768.7460139267719,1794.5319636659374,1818.8841937177963,1842.5528809655214,1865.494644643154,1887.8055288805483,1909.5749168926518,1930.886543139609,1951.8194051505352,1972.4485922348385,1992.8460458671902,2013.0812645726103,2033.221964555217,2053.334706029638,2073.4854941661765,2093.74036269966,2114.165947535749,2134.83005708113,2155.80224549236,2177.154394550491,2198.961309392905,2226.2698533958596,2259.592927895075,2298.2227727040167,2338.3669505812545,2380.1139789876543,2423.5556402853085,2468.786851330154,2515.905489186255,2565.0121691996296,2616.209972100718,2669.6041173972726,2725.301581082673,2783.4106566212063,2844.04045927678,2907.3003751108376,2973.299457364987,3047.1162656722495,3128.660089701048,3213.4901934545724,3301.640021794098,3393.1325015909756,3487.9796584120136,3586.1823584626595,3687.730180940097,3792.601422637552,3905.7848895294746,4023.620043367967,4144.999511980545,4269.8181165048345,4397.956961709723,4529.284718979371,4663.659029771358,4800.927994921482,4940.931715482892,5083.503852293408,5228.473173953065,5376.976354995561,5548.583775283615,5722.173732822629,5897.4561365552245,6084.359649102994,6281.3354137938,6478.194431322078,6674.5626831547925,6870.1014788980165,7064.5072363972895,7257.510685515686,7448.875622011322,7638.397325218542,7826.655750354642,8044.036514250365,8254.788741030936,8458.288968766865,8654.074285651446,8851.526214805826,9057.493897904304,9255.344164391536,9444.887933253825,9626.032357288623,9798.767420762813,9963.153306574555,10119.30873741154,10267.400400699253,10407.63349628372,10555.206065916775,10703.690741605025,10844.624668146656,10978.19912799659,11104.631373078159,11224.158576651742,11337.03255801864,11443.515226362422,11543.87468364942,11638.381923957642,11785.696327993026,11931.63489914607,12072.88914723335,12209.396873076385,12341.125448231227,12468.0688499951,12590.244765389465,12707.691803959326,12820.46684887564,12928.642566921426,13032.305090443926,13131.551878175578,13235.610831127273
G_low_100,9.0,11.73455634919038,15.038040278381963,19.020248147378524,23.808355086890685,29.266046570672692,35.585671753430155,42.93839909682625,51.46937372616647,60.608149299649355,70.8160438295127,82.3187874858755,95.2474921364293,109.73777529588118,125.92752828713562,143.95408014449634,163.9507526227305,186.0428469347503,210.33265097074784,236.1203226840475,264.164817793201,294.524334456727,327.23161016036795,362.29029545332816,399.6720141455115,439.31435223983635,481.11997628678677,524.9570159131981,570.6607606942381,618.0366273814116,666.8642608042793,716.9025516003834,767.8952954392724,819.5771872826999,871.6798419643156,923.9375564450412,976.0925738464971,1027.8996673493752,1079.1299254772703,1129.5736822158585,1179.042590503733,1227.370882476622,1274.415892934448,1311.7264332158634,1328.9014207668913,1343.5203790483188,1357.3831965594622,1370.52686427159,1382.9868591737734,1394.7971605295363,1405.9902747241988,1416.5972667860256,1426.6477970034891,1436.1701613415844,1445.1913345925514,1453.7370153890633,1462.2281423994507,1471.1492325361833,1480.5345097213358,1490.4216936143257,1500.8523078461524,1511.8720152160415,1523.5309801576475,1535.8842582009302,1548.7913066489525,1562.13656163193,1576.3347580045133,1591.4630299875487,1607.6071801982885,1624.8623932185676,1643.3339740736521,1663.1380959543585,1684.4025359227892,1707.2673708011364,1731.885598024855,1758.4236381421533,1787.06166722469,1817.4013272365764,1844.875659526149,1874.434137537366,1906.2807491797987,1940.635233942412,1977.7328628097823,2017.823774584986,2061.1717778776997,2108.052532060376,2158.7510326947045,2213.5583489554397,2272.7675934359563,2336.66914830746,2405.545224496404,2479.663888926756,2559.27275374874,2644.5925742553636,2722.8890750495825,2806.1413967653243,2895.9956531985454,2992.7773074006304,3096.774704910707,3208.229155943981,3319.2941412665778,3426.327476740727,3540.1761362286406,3660.997863821329,3788.8999001385027,3919.3509777173954,4048.0935823037726,4183.514455870795,4325.641814281364,4474.458348854874,4629.9000752081565,4791.856213124818,4960.17011047375,5134.641176056787,5315.02774139368,5501.050733147211,5692.398008627372,5888.729188031952,6089.680809135925,6294.871632397578,6503.907935484821,6685.679272060545,6859.118862555773,7033.612970866238,7209.011689486255,7379.071593564281,7543.076360300509,7707.931965913409,7873.531609142837,8039.77230847061,8206.555079576578,8373.785072292347,8541.371670160488,8709.228555772808,8877.273745065828,9045.429593705232,9213.622778603545,9381.78425749532,9549.849209349726,9695.679636732279,9829.332524464015,9961.38622348134,10091.867752337173,10220.806572128238,10348.234264139259,10474.184237308311,10593.718125782241,10708.774457812742,10821.894097533119,10899.255755860022,10949.855464893088,10997.230130069278,11041.569735094195,11083.055304645415,11121.85898067208,11158.144164790421,11192.065712895917,11223.770170243431,11253.396037096967,11281.074056650823,11306.927518302555
D_high_100,0.01,0.01,0.1184705372074175,0.27655646732682754,0.467740717352107,0.6891394341456296,0.9424550983017803,1.2311408853930033,1.5595264609152535,1.9325611740902593,2.3557484799650923,2.8351351135337266,3.377309736128604,3.9893942702642597,4.679019884854846,5.454282213756445,6.323671257814703,7.295971987730352,8.64074829583669,10.193499950703064,11.906548694176522,13.776478027291132,15.797669261196,17.962652771268203,20.262474353428914,22.687051837462406,25.225505506295328,27.866452878727106,30.598263715633543,33.409274801224825,36.28796641263817,39.2231037476968,42.20384722754899,45.21983576655203,48.39580725095328,51.68125551984201,55.164235780651055,58.671373776835964,62.16505869232109,65.62877368671857,69.04736977299513,72.40720278466321,75.69621388115516,79.02905384368076,82.3799940273633,85.65018408164256,88.88207406442066,92.14952585804923,95.46668081389076,98.68431963753653,101.79729489645881,104.80165724765787,107.69456680752413,110.47419823916647,113.13964278614156,115.88175061250024,116.29800697742509,116.7092793534208,117.11499104577948,117.51471572182436,117.90815828240234,118.34115211427032,118.85815367563227,119.35371240768087,119.8300480390363,120.28924513231681,120.73326689146991,121.28431494887222,121.8941513093541,122.46988165331375,123.01478931156981,123.53195686073305,124.02428730791357,124.49452411645468,124.9452701917922,125.3790059338609,125.798106448918,126.20485799891124,126.60147375027279,126.99010886598262,127.37287496467889,127.75185394835955,128.12911117581453,128.50670793254633,128.88671312002654,129.27121405845193,129.662326268818,130.06220207360488,130.4730378325113,130.89707961261246,131.33662708335555,131.79403542821902,132.27171507865685,132.77212910358642,133.29778812978847,133.85124272472643,134.51551714333203,135.2304741097199,135.9790472076359,136.76301128022632,137.58413497881833,138.44417278855272,139.3448566477255,140.28788727417034,141.2749253187303,142.30758246965738,143.38741263254565,144.60235252214483,146.13043783551635,147.71853817306615,149.36565749422476,151.07043264553567,152.83114287974882,154.6457255465766,156.51179751360735,158.42668169954155,160.38743795948906,162.39719630602687,164.6284069211405,166.89843483301885,169.2025026226301,171.53576966986927,173.89338788238157,176.27055382746036,178.66255639884295,181.06481938392244,183.4729385225802,185.88901992013572,188.50022010272096,191.11663903214694,193.7762391868023,196.76723272172177,199.7149184124783,202.6097890540431,205.44350226038367,208.20887110256285,210.89983260124757,213.5113989469276,216.03959582726486,218.66084950576175,221.39133126734274,224.19365914407598,226.96206121153662,229.69361051323963,232.38567520794777,235.03590731825807,237.6422305607916,240.20282751057917,242.71612631937055,245.180787177441,247.59568868100737,249.95991424253316,252.93348880612456,256.31556792619267,259.70083926573125,263.0864141989279,266.4694799300767,269.8473067397199,273.21725408063094,276.576775612883,279.92342326473585
D_low_100,0.01,0.01,0.014235141790226155,0.025000357459769793,0.04575319098218705,0.08150370519038709,0.1391502453396226,0.22762197921557453,0.35771623905197303,0.5416293058225937,0.7566758721816871,1.0191690204258963,1.349745266553454,1.760791923347975,2.2654113485490193,2.8769955375714082,3.6087429344576476,4.473162457730866,5.481608850782374,6.643885012930946,7.958929312160596,9.311266935203493,10.826610665277455,12.512508858549985,14.374580401724117,16.416235963231173,18.6384792940395,21.008914702892813,23.50048486494407,26.157455350327403,28.972583219189183,31.936537193568704,35.03812989757109,38.264596418077694,41.60190294416183,45.03506966056466,48.54849353431944,52.126258797695606,55.75242546415591,59.16074729881098,62.55635753081077,65.98518866917215,69.03992742852766,71.9136399279409,74.74886233727382,77.54164554351199,80.28850670677791,82.9864042770519,85.63271225933639,88.22519414967154,90.76197689176325,93.24152514027674,95.52674283914101,97.54968716163218,99.48269651377298,101.32731350990731,103.53783747490026,104.88578909991652,105.29506347414299,105.70163928440304,106.10038458472773,106.48959910806381,106.86920802397799,107.23988408673198,107.60262435172048,107.95854917817766,108.30880968977289,108.65454795057536,108.99688259283859,109.33690659211432,109.67569072378106,110.01428958212784,110.3537486783607,110.69511192999211,111.03942923888262,111.38776403840097,111.74120077442063,112.10085232035863,112.46786733763064,112.84343759156562,113.22880522463257,113.62526997640099,114.03419632414825,114.45702049992452,114.8952573193952,115.35050673504175,115.82446000152024,116.31890531451381,116.83573275685481,117.37693835790009,117.94462704531233,118.5410142440783,119.16842585768491,119.82929635310336,120.52616466706759,121.26166765865216,122.03853085484542,122.85955627382863,123.72760716653288,124.64558959133329,125.61643082879488,126.6430547510725,127.72835438015315,128.87516199530222,130.08621727616267,131.36413408632632,132.71136660483933,134.13017559233018,135.6225956276336,137.19040416506596,138.83509323932765,140.5578445844407,142.35950883793035,144.24058937682372,146.2012311851314,148.24121499175754,150.35995675224294,152.49638223655242,154.39204139807484,156.35813759562149,158.39348247633205,160.4965958718357,162.6480704996907,164.80427745814438,166.9711314054306,169.1257582399294,171.335438081983,173.59905456900353,175.91538641673253,178.28311579795832,180.7008369317071,183.16706479360738,185.68024386467727,188.23875684281896,190.840933248629,193.4850578645807,196.16937895406105,198.83176287407215,201.3648962584551,203.89109221207835,206.40491632166984,208.3331631289258,210.23361698804365,212.10602781520842,213.9502886406178,215.76642318277726,217.5545738199888,219.31499005302516,221.0480175296511,222.75408768123174,224.433708004052,226.0874530030006,227.5276019866752,228.90017590070923,230.22110232391208,231.49144386913352,232.71233773689838,233.8849824390179,235.01062571772167,236.09055360179426,237.12608053724676
