series,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,33619.55,33608.577678866975,33598.5393967232,33583.64651566875,33560.77570868357,33526.02594972676,33474.23269521213,33399.02903131778,33293.37303626987,33150.51641158173,32965.10986291388,32733.989649276915,32456.390190911974,32133.67130523355,31768.812746805917,31365.883434311367,30929.586754752643,30464.908715787184,29976.861694191204,29470.306204580396,28949.832750874793,28419.688589875084,27883.737445749895,27345.443016694328,26807.869348638855,26273.69287126418,25745.222201353452,25224.42281354085,24712.94443542543,24212.14960085584,23723.142235184914,23246.795481629088,22783.778232680233,22334.580023088758,21899.534085258158,21478.838474773827,21072.575251648093,20680.727758288474,20303.196073363964,19939.81074572975,19590.344927581416,19254.525033565707,18932.040054650504,18622.549653691214,18325.691165016844,18041.085613913754,17768.342864306287,17507.065994745735,17256.85499441047,17017.309862471644,16788.033186088473,16568.63226459859,16358.720840246728,16157.920489097147,15965.861719621773,15782.18482084737,15606.540496867354,15438.590319953566,15278.007030410616,15124.474707666943,14977.688833857406,14837.356268286514,14703.195148634777
E,0.0,10.972321133025687,18.33454635452214,28.7557856210664,44.61329813246896,68.48224856703737,103.57325812283273,153.5162747027261,221.730940371051,310.5092519412166,420.18520331667014,548.8257767443215,692.5712400270818,846.3778200434635,1004.8119404029412,1162.6760642194654,1315.4058218573464,1459.2674344252707,1591.4113912092203,1709.8350153739893,1813.2940768313365,1901.1910498754357,1973.4576729310772,2030.4423588211562,2072.8081976734597,2101.444173755422,2117.390268439469,2121.77596252939,2115.7710129872457,2100.5470766321073,2077.2486615262865,2046.9719219695826,2010.7499201637756,1969.5431208620857,1924.2340418822557,1875.625139180313,1824.439152020836,1771.3212672398718,1716.8425797642824,1661.504429081068,1605.7432788487827,1549.9358804561741,1494.404522473033,1439.4222181076925,1385.2177234675455,1331.980312010309,1279.8642563498722,1228.9929886790246,1179.4629264888763,1131.3469618618892,1084.6976211260614,1039.549907700968,995.9238450591909,953.82673929708,913.2551822078133,874.1968162627362,836.6318827639373,800.534573815466,765.8742078175604,732.6162470309845,700.7231744744587,670.1552460735279,640.8711326235168
I,5.0,4.649036353313738,6.9987647251625145,10.97914411502435,17.221782497579213,26.893747102259365,41.70824654988527,64.04127820313093,96.98737547539682,144.25787999749454,209.86262296446174,297.61143288202436,410.57526920824546,550.6681761261844,718.4397119528749,913.0756563846603,1132.5513058924585,1373.8708650149338,1633.3381840546335,1906.8215844311278,2189.99096530898,2478.516710185628,2768.227378659258,3055.227686690545,3335.9807458181654,3607.35965354538,3866.6738089886244,4111.675114601524,4340.548743817147,4551.89255159197,4744.688570522565,4918.269423014851,5072.2819193521445,5206.649616357986,5321.535685893493,5417.307085021315,5494.500725350844,5553.792101233536,5595.96664787638,5621.893953899131,5632.504841610971,5628.771246181325,5611.688766495154,5582.26172110829,5541.490518343348,5490.361136824651,5429.836508851653,5360.849601671695,5284.297999089248,5201.039796467608,5111.890634880878,5017.621714060024,4918.9586381619265,4816.580962763978,4711.1223254783645,4603.171055930855,4493.27117338764,4381.923691937422,4269.588163793621,4156.684400961168,4043.5943242301837,3930.663896251668,3818.2051023681133
R,0.0,0.350963646686262,0.6772921971134602,1.1685545951619023,1.939210686382494,3.1480546039401025,5.03580011515351,7.963415776360998,12.45864788368505,19.26645647956005,29.392310804990018,44.12314109674033,65.01329985270013,93.83269859680405,132.48560083826774,182.91484508450947,247.006117497552,326.5029847726131,422.93873054494316,537.5871956144894,671.4322069848943,825.1536500638556,999.1275026597726,1193.4369377939736,1407.8917078695229,1642.0533014350228,1895.2637212184582,2166.6761093282394,2455.2858077701803,2759.960770920088,3079.4705327662386,3412.513173386484,3757.73992780385,4113.777239691174,4479.246186966099,4852.779301024551,5233.034870980232,5618.708873238121,6008.544698995377,6401.3408712900555,6795.956951958833,7191.317839796796,7586.4166563813105,7980.316407092805,8372.150593172264,8761.12293725129,9146.506370492192,9527.641414903548,9903.934080011406,10274.853379198861,10639.92855790459,10998.746113640418,11350.946676532154,11696.221808841794,12034.310772692048,12364.997306959038,12688.106446981066,13003.501414293543,13311.0805979782,13610.774644340901,13902.543667437947,14186.374589388286,14462.27861637359
G,5.0,5.0,7.676056922275975,12.147698710186251,19.160993183961704,30.041801706199465,46.74404666503877,72.00469397949192,109.44602335908186,163.5243364770546,239.25493376945175,341.7345739787647,475.5885690609456,644.5008747229886,850.9253127911427,1095.9905014691699,1379.5574233900106,1700.373849787547,2056.276914599577,2444.4087800456177,2861.423172293875,3303.6703602494845,3767.354881319032,4248.66462448452,4743.872453687689,5249.412954980403,5761.937530207083,6278.351223929763,6795.834551587327,7311.853322512058,7824.159103288804,8330.782596401335,8830.021847155995,9320.42685604916,9800.781872859592,10270.086386045867,10727.535596331076,11172.500974471657,11604.511346871757,12023.234825189187,12428.461793569804,12820.089085978121,13198.105422876464,13562.578128201094,13913.641111515612,14251.48407407594,14576.342879343843,14888.49101657524,15188.232079100651,15475.893175666466,15751.819192785466,16016.367827700442,16269.90531469408,16512.802771605773,16745.433098170415,16968.168362889897,17181.377620368712,17385.42510623097,17580.668761771827,17767.459045302076,17946.13799166814,18117.038485639965,18280.483718741714
