series,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,24561.137757875844,24558.731979920074,24555.650105941913,24551.70238657193,24546.645981253354,24540.170207890034,24531.87776133131,24521.26084204641,24507.670886248838,24490.28029818232,24468.034261284938,24439.590367430053,24403.24349496747,24356.833167475495,24297.630678238038,24222.203808927527,24126.258387048427,24004.45880075193,23850.2347705563,23655.59030748159,23410.94422796373,23105.05110881581,22725.07750187874,22256.938401784053,21686.02593243718,20998.46975415281,20183.029173744213,19233.594369904582,18152.040594463237,16950.851189369707,15654.611495726233,14299.393794665928,12929.443634083553,11591.48795917947,10328.065009737065,9171.86698171929,8142.71177019992,7247.603583710174,6483.1459365884575,5838.995762532083,5301.194464388086,4854.72960384584,4485.177696291289,4179.570267602329,3926.720301868485,3717.2271262864165,3543.3183820468885,3398.628672437394,3277.9701988410857,3177.1221405967635,3092.6489953999726,3021.7494171860712,2962.1330620941076,2911.9214691418406,2869.5687960164196,2833.7985953271505,2803.5533824502013,2777.9543327318843,2756.2689755633896,2737.88519994968,2722.290249514395,2709.0536735225933,2697.813426720132,2688.264486695028,2680.1494937074526,2673.2510233238895,2667.3851837756765,2662.3962932614363,2658.152441690896,2654.54177989206
I,5.0,6.405777955769499,8.206496342775974,10.512916444201236,13.466738473938163,17.24916414247084,22.091777872701975,28.290341583060894,36.22222906401868,46.36837131773243,59.340733951565156,75.91648101613839,97.08005727549249,124.07437331237149,158.46198788735603,202.19645962039493,257.7025895754155,327.96165795682884,416.59335656109124,527.9191483235827,666.9813981767268,839.4782376893004,1051.5561970885108,1309.3840577654955,1618.4197155592708,1982.2919507317838,2401.274140994024,2870.4541166348504,3377.917068749225,3903.52306009291,4419.058141717803,4890.464214434547,5282.321532130013,5563.812900608093,5714.473269928879,5727.776643960879,5611.376526688073,5384.209407840204,5071.82517339388,4701.610312771479,4299.089548361179,3885.7364992311896,3478.141106939502,3088.1203142405616,2723.3462171262936,2388.1701492831035,2084.444863666011,1812.245600542303,1570.4549540301505,1357.2120214684426,1170.242762371545,1007.0937881111374,865.2913855808737,742.4447014169659,636.3084342589935,544.8169480964639,466.09877135412046,398.4780668016135,340.4678106097854,290.75802410153807,248.2013697165156,211.79767176501406,180.67838421447243,154.09164739668208,131.38831090492124,112.00911910750017,95.47313483421294,81.36739838161054,69.3377702758287,59.080878019499224
R,0.0,1.0,2.2811555911539,3.922454859709095,6.025038148549342,8.718385843336975,12.168218671831143,16.586574246371537,22.244642562983717,29.489088375787453,38.76276263933394,50.63090942964698,65.81420563287466,85.23021708797316,110.04509175044745,141.73748932791867,182.17678125199765,233.71729916708077,299.30963075844653,382.6283020706648,488.2121317353814,621.6084113707268,789.5040589085869,999.815298326289,1261.6921098793882,1585.3760529912424,1981.8344431375992,2462.089271336404,3036.1800946633743,3711.7635084132194,4492.468120431801,5376.279748775361,6354.372591662271,7410.836898088273,8523.599478209891,9666.494132195667,10812.049460987842,11934.324766325457,13011.166647893499,14025.531682572275,14965.853745126571,15825.671654798807,16602.818954645045,17298.447176032947,17916.07123888106,18460.74048230632,18938.37451216294,19355.263484896142,19717.712605004603,20031.803595810634,20303.246000104322,20537.29455257863,20738.71331020086,20911.771587317035,21060.26052760043,21187.522214452227,21296.48560407152,21389.705358342344,21469.400971702667,21537.494533824625,21595.646138644934,21645.286412588237,21687.64594694124,21723.781623784136,21754.599953263474,21780.877615444457,21803.279439265956,21822.3740662328,21838.64754590912,21852.515099964286
G,5.0,7.405777955769499,10.487651933929875,14.435371303910333,19.491776622487507,25.967549985807818,34.259996544533124,44.876915829432434,58.46687162700239,75.85745969351989,98.1034965908991,126.54739044578535,162.89426290836712,209.30459040034464,268.5070796378035,343.93394894831357,439.87937082741314,561.6789571239095,715.9029873195377,910.5474503942474,1155.193529912108,1461.086649060027,1841.0602559970973,2309.1993560917845,2880.111825438659,3567.6680037230262,4383.1085841316235,5332.543387971255,6414.097163412599,7615.286568506129,8911.526262149604,10266.743963209909,11636.694123792284,12974.649798696366,14238.072748138771,15394.270776156547,16423.425987675917,17318.534174165663,18082.991821287378,18727.141995343754,19264.94329348775,19711.40815403,20080.96006158455,20386.567490273508,20639.41745600735,20848.91063158942,21022.81937582895,21167.509085438443,21288.16755903475,21389.015617279074,21473.488762475867,21544.38834068977,21604.004695781732,21654.216288734,21696.56896185942,21732.339162548687,21762.58437542564,21788.183425143954,21809.86878231245,21828.25255792616,21843.847508361447,21857.08408435325,21868.324331155713,21877.873271180815,21885.98826416839,21892.886734551954,21898.752574100166,21903.741464614406,21907.985316184946,21911.595977983783
