State - County,Ratio
AZ-Maricopa,0.9836027365397619
CA-Los Angeles,0.7706868648762509
CA-Riverside,0.8033633637291965
FL-Broward,0.9098070125362602
FL-Miami-Dade,0.8483405166576674
GA-Fulton,0.8059444496888847
IL-Cook,0.3837868050992317
LA-Jefferson,0.8710593266202876
MA-Middlesex,0.2433611885005413
MD-Prince George's,0.4385146087770422
MN-Hennepin,0.5292018321974918
NC-Mecklenburg,0.8383040008915116
NJ-Bergen,0.3026883371253439
NJ-Hudson,0.45019325695473955
NV-Clark,0.8338431770131861
NY-New York,0.13876672150589286
OH-Franklin,1.0001495872279484
PA-Philadelphia,0.3287285302609466
TN-Shelby,0.8038624275416287
TX-Dallas,0.8904746613693679
TX-Harris,0.8631619405772033
UT-Salt Lake,0.8990236566127532
VA-Fairfax,0.18846376143465643
WI-Milwaukee,0.5108058230890017
