series,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,32263.672937725816,32260.195457045276,32255.15102546306,32247.855649612047,32237.350416873862,32222.315488815428,32200.981636098368,32171.065245639988,32129.773535228054,32073.944396061168,32000.377790900184,31906.355167103495,31790.229995108908,31651.873182444255,31492.775622351543,31315.76887118009,31124.50624378414,30922.914081500567,30714.7634102277,30503.410695694918,30291.68538592156,30081.87664727397,29875.77507241742,29674.738247001118,29479.761690485157,29291.545680064708,29110.55394542321,28937.06320735402,28771.20398904926,28612.993729685055,28462.363388845428,28319.178680702316,28183.25694283467,28054.380488294326,27932.30713972676,27816.778512457986,27707.526502399018,27604.27834346542
I,6.0,8.734870143797126,12.698200625034474,18.42194021240793,26.647118465758503,38.38397469976997,54.967103407803094,78.08030217202786,109.70813673311119,151.9588728492373,206.71776798862365,275.15525967855456,357.2248991601695,451.36854947421523,554.6009361011913,662.9656041331706,772.174024341098,878.1954255120531,977.6532340673157,1068.003349783392,1147.543569418912,1215.3226503959509,1271.0056576312227,1314.7321174444946,1346.9863533921161,1368.4879873326718,1380.104122174032,1382.7815497548454,1377.4960765824135,1365.2158191476815,1346.8755512825321,1323.359596748096,1295.4912045413407,1264.0267559564218,1229.6535065740584,1192.9898587551486,1154.5873955907327,1114.934093598082
IH,0.3778994527412154,0.4914818184105372,0.6978713950349578,1.0095277443957447,1.4636996003543636,2.118254975865969,3.054214967023725,4.379988556859454,6.23421044006859,8.78354337747114,12.210865340803132,16.689882199352922,22.346521355889184,29.215706359119842,37.20979739722037,46.11443097033309,55.61598711350832,65.35009798327371,74.95337726764092,84.1039371540694,92.5447945894143,100.091499852116,106.62870194997258,112.10063541472502,116.49932706349557,119.85288472513557,122.21508067384003,123.65668978567236,124.25861634670524,124.10663660067365,123.28750677642779,121.88617762072514,119.98387971127482,117.65687879619732,114.97573683781053,112.00494769334826,108.80284477681472,105.42170141037317
IN,0.36471108400278235,0.6930608230863944,1.1549139842209188,1.81163258795705,2.750795522320552,4.0962937599593605,6.021074041755138,8.761964051964581,12.634529922339254,18.0435083313596,25.481435414251237,35.50633764224706,48.691752039709925,65.55121114412248,86.45233715544605,111.54464024224788,140.72223072645275,173.62909700524142,209.69971033438682,248.21967900748385,288.3911918936544,329.3925101342386,370.4259999938833,410.7531919652996,449.7177223746321,486.75810607101386,521.4125797787284,553.3181245842254,582.2054651240704,607.8914871048772,630.2701796883125,649.3029216110988,665.0086958924157,677.4546343016713,686.7471524089342,693.0238312087447,696.4461247018098,697.1929181578183
D,0.01,0.08557989054824308,0.18387625423035053,0.3234505332373421,0.525356082116491,0.8180960021873638,1.2417469973605575,1.8525899907653025,2.7285877021371934,3.9754297901509115,5.732138465645139,8.174311533805765,11.51228797367635,15.981592244854188,21.824733516678158,29.26669299612223,38.48957919018885,49.612776612890514,62.68279620954526,77.67347166307344,94.49425909388732,113.00321801177019,133.0215179821934,154.3472583721879,176.7673854551329,200.06725086783203,224.03782781285915,248.48084394762716,273.2121819047616,298.0639051741027,322.8852324942374,347.54273384952296,371.919969373668,395.9167453159229,419.44812107516236,442.44326844272445,464.8442579813941,486.60482693675704
R,0.0,0.22509854144282085,0.5396605409808192,1.0033475725168792,1.688161718149291,2.693440009350974,4.159772750251616,6.285457850956945,9.346548236851767,13.719797853175086,19.905550153054733,28.544590105107325,40.42009262420853,56.43530659599648,77.56212174048285,104.76530874059577,138.9174831071728,180.72406964853636,230.6730201559739,289.014414959626,355.7663473451354,430.7390225945169,513.5685982878716,603.7540980647384,700.6930694920285,803.7136392012009,912.1019923998928,1025.1251328361725,1142.0492192553506,1262.1539705501707,1384.7436891756226,1509.1554377308016,1634.764855909194,1760.9900455980232,1887.2938916398364,2013.1851297046094,2138.2184228127926,2261.9936646941105
G,6.0,9.477480680541124,14.521912262757523,21.817288113770946,32.322520851955204,47.35744891038964,68.69130162745013,98.60769208583014,139.899402497764,195.72854166465004,269.2951468256339,363.3177706223236,479.4429426169095,617.7997552815642,776.8973153742747,953.9040665457255,1145.1666939416766,1346.758856225251,1554.9095274981185,1766.2622420309006,1977.9875518042593,2187.7962904518486,2393.8978653083996,2594.9346907247013,2789.911247240661,2978.12725766111,3159.1189923026086,3332.609730371799,3498.4689486765574,3656.6792080407618,3807.3095488803883,3950.4942570235003,4086.4159948911492,4215.292449431493,4337.3657979990585,4452.894425267832,4562.1464353268,4665.394594260398
H,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226,16131.842976549226
beta,15.699910914255803,15.699910914255803,15.645386914550055,15.566964184828825,15.454928062182846,15.296401722503948,15.075097224118938,14.771845241942959,14.366582300756908,13.84241760078635,13.191670619223432,12.42215582787111,11.56029389414049,10.64786841188823,9.732632536048133,8.857186977568812,8.051439992325475,7.3308359957046,6.69890394564563,6.151391009366729,5.68001233827641,5.275072959974692,4.926997152107307,4.627074285436554,4.3677296192901744,4.142541981494942,3.9461444841836792,3.7740833819415016,3.622672749088705,3.4888617053687274,3.3701200091412398,3.2643425723460164,3.169771183833899,3.084930967603246,3.0085790511982546,2.939663165732609,2.877288240315694,2.8206893967570874
