County/State,Fips Code,State Name,6d filter,County,County Name,Date,Date of Latest Data,State Fips Code,Avg Pos Tsts/Day,Cases per 1000,Cases per 1000 State,County Pop Density,Ct Testing Inc,Ct Testing Inc 7D Avg,Ct Testing Neg Inc,Ct Testing Neg Inc 7D Avg,Ct Testing Neg Rolltot,Ct Testing Pos Inc,Ct Testing Pos Inc 7D Avg,Ct Testing Pos Rolltot,Ct Testing Rolltot,Cumulative Cases,Cumulative Cty Cases,Cumulative Cty Deaths,Cumulative Deaths,Cur Date,Dhc County Icu Beds,Dhc County Licensed Beds,Dhc County Staffed Beds,Est Active Cases,Est Deaths,Hosp Est,Hosp. High Est,Hosp. Low Est,Hospitalization,ICU,ICU Est,ICU High Est,ICU Low Est,Ihme Allbed,Ihme Allbed Hi,Ihme Allbed Lo,Ihme Allbed Peak,Ihme Icubed,Ihme Icubed Hi,Ihme Icubed Lo,Ihme Vent,Ihme Vent Hi,Ihme Vent Lo,Latest Case Count,Live Data,Number of Records,Nyt Cases,Nyt Cases Inc,Nyt Deaths,Nyt Deaths Inc,Pct of Pop Tsted,Pct Pop Test Neg Rolltot,Pct Pop Test Pos Rolltot,Pct Pop Test Rolltot,Pct Testing Positive,Sah Period,State Day Count,State Pop Density,Total County Female Pop,Total County Land Area,Total County Male Pop,Total County Pop,Total State Female Pop,Total State Land Area,Total State Male Pop,Total State Pop,Total State Population,Vent Est.,Vent High est,Vent Low Est,Vent. Use
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,8/19/2020,,51,,0.00,0.00,2937.394173466,2642,2721.571428571,2525,2572.857142857,205143,117,148.714285714,17230,222373,145976,20800,586,3158,,142,1673,2807,17230,538,,,,65,21,,,,65,65,65,,21,21,21,19,19,19,0,1,1,17230,76,538,1,,0.178628618,0.015003052,0.193631670,5.46%,0,166,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,19
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,8/20/2020,,51,,0.00,0.00,2937.394173466,2511,2653,2374,2510.142857143,207063,137,142.857142857,17328,224391,145976,20800,586,3158,,142,1673,2807,17330,539,,,,64,21,,,,64,64,64,,21,21,21,19,19,19,0,1,1,17330,100,539,1,,0.180300462,0.015088386,0.195388847,5.38%,0,167,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,19
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,8/13/2020,,51,,0.00,0.00,2937.394173466,2991,2593.714285714,2813,2412,193830,178,181.714285714,16703,210533,145976,20800,586,3158,,142,1673,2807,16703,530,,,,66,21,,,,66,66,66,,21,21,21,20,20,20,0,1,1,16703,61,530,1,,0.168777804,0.014544166,0.183321970,7.01%,0,160,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,20
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,8/14/2020,,51,,0.00,0.00,2937.394173466,2274,2590.857142857,2078,2429,194956,196,161.857142857,16816,211772,145976,20800,586,3158,,142,1673,2807,16816,531,,,,66,21,,,,66,66,66,,21,21,21,20,20,20,0,1,1,16816,113,531,1,,0.169758271,0.014642561,0.184400831,6.25%,0,161,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,20
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,7/23/2020,,51,,0.00,0.00,2937.394173466,3355,3022.142857143,3197,2836,165894,158,186.142857143,15126,181020,145976,20800,586,3158,,142,1673,2807,15126,511,,,,69,22,,,,69,69,69,,22,22,22,20,20,20,0,1,1,15126,48,511,1,,0.144452484,0.013170990,0.157623475,6.16%,0,139,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,20
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,7/31/2020,,51,,0.00,0.00,2937.394173466,2741,3069,2570,2876.714285714,177352,171,192.285714286,15616,192968,145976,20800,586,3158,,142,1673,2807,15616,520,,,,67,22,,,,67,67,67,,22,22,22,20,20,20,0,1,1,15616,10,520,1,,0.154429557,0.013597659,0.168027216,6.27%,0,147,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,20
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,8/2/2020,,51,,0.00,0.00,2937.394173466,2177,2804.285714286,2008,2622.714285714,180087,169,181.571428571,15768,195855,145976,20800,586,3158,,142,1673,2807,15768,523,,,,67,22,,,,67,67,67,,22,22,22,20,20,20,0,1,1,15768,79,523,1,,0.156811063,0.013730013,0.170541076,6.47%,0,149,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,20
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,6/17/2020,,51,,0.00,0.00,2937.394173466,2100,3295,1995,3171.285714286,103424,105,123.714285714,13153,116577,145976,20800,586,3158,,142,1673,2807,13153,429,,,,81,27,,,,81,81,81,,27,27,27,25,25,25,0,1,1,13153,50,429,1,,0.090056625,0.011452997,0.101509622,3.75%,0,103,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,25
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,6/19/2020,,51,,0.00,0.00,2937.394173466,2413,2095.285714286,2283,1973.428571429,106250,130,121.857142857,13244,119494,145976,20800,586,3158,,142,1673,2807,13244,432,,,,84,28,,,,84,84,84,,28,28,28,26,26,26,0,1,1,13244,35,432,1,,0.092517369,0.011532236,0.104049605,5.82%,0,105,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,26
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,7/5/2020,,51,,0.00,0.00,2937.394173466,2181,2525.857142857,2043,2400.571428571,138544,138,125.285714286,14153,152697,145976,20800,586,3158,,142,1673,2807,14153,496,,,,101,32,,,,101,101,101,,32,32,32,29,29,29,0,1,1,14153,81,496,1,,0.120637425,0.012323749,0.132961174,4.96%,0,121,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,29
