State - County,Ratio
AZ-Maricopa,0.9545190754085445
CA-Los Angeles,0.550714633889504
CA-Riverside,0.7281594551516214
FL-Broward,0.9090207459809114
FL-Miami-Dade,0.8416063089912641
GA-Fulton,0.8308461351735631
IL-Cook,0.41673071295846864
LA-Jefferson,0.8340557618610854
MA-Middlesex,0.25664821133278115
MD-Prince Georges,0.2199140915568596
MN-Hennepin,0.5215067480268729
NC-Mecklenburg,0.7835061491776
NJ-Bergen,0.11113031181806585
NJ-Hudson,0.2047913292561303
NV-Clark,0.7931691243801969
NY-New York,0.06124172214871881
OH-Franklin,0.5590024543288747
PA-Philadelphia,0.3733453188582889
TN-Shelby,0.6282712126800101
TX-Dallas,0.788626859487617
TX-Harris--Houston,0.8259855996906869
UT-Salt Lake,0.7683017602671218
VA-Fairfax,0.4572515169018278
WI-Milwaukee,0.3064576759996833
