series,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29
S,46610.100000000006,46606.555554406565,46601.536715203685,46594.43711216864,46584.4078961868,46570.2675626763,46550.38482506447,46522.53287167054,46483.72013026889,46430.01643647998,46356.4168668469,46256.817685169124,46124.20941106043,45951.19404781341,45730.86768392593,45457.9561159382,45129.902983218504,44747.5236473042,44314.96827010712,43839.03131051146,43328.09898342734,42791.08604145525,42236.60072064923,41672.41689675886,41105.22003378139,40540.5486070883,39982.853145426205,39435.6139413983,38901.47935051322,38382.40297420431,37879.768944189964,37394.501075863926,36927.15524778852,36477.9961355897,36047.06016046388,35634.20668873673,35239.15942180155,34861.53970207264,34500.893212972136,34156.71131009879,33828.448004356294,33515.53343170122,33217.384488137126,32933.41317983144,32663.03313304736,32405.66462318135,32160.7384131125,31927.698635298413,31706.00490706721,31495.13383227383,31294.580013214607,31103.85667305538,30922.49596992154,30750.049068337557,30586.08602117888,30430.195505141473,30281.98444448785,30141.07755112704,30007.116803635825,29879.760883392915,29758.684582386184,29643.57819431163,29534.146898187002,29430.110141752248,29331.201030341388,29237.165725619496,29147.762857530266,29062.76295194991,28981.947875855883,28905.110301264893,28832.05318874932,28762.589290985426,28696.540676503686,28633.738273588504,28574.021434100192,28517.237516857604,28463.241490117736,28411.895552612965,28363.068772552273,28316.63674395578,28272.48125966875,28230.49000038927,28190.556239040452,28152.578559821963,28116.460591284624,28082.110752785335,28049.442013695945,28018.371664758535,27988.82110099991,27960.715615639696,27933.98420444851,27908.559380035105,27884.37699556393,27861.376077426663,27839.49866641335,27818.689666949937,27798.896703990005,27780.069987168474,27762.16218184451,27745.12828667955,27728.925517414234,27713.513196525157,27698.85264845874,27684.907100155116,27671.641586589823,27659.022861075173,27647.019310076696,27635.600872312803,27624.738961917872,27614.406395460574,27604.577322620054,27595.22716033298
I,7.0,9.924374167344556,14.064096106929398,19.917878552006343,28.18273633976993,39.82659706262501,56.18142969770687,79.05674034409823,110.86650664178688,154.74946430502564,214.64107379248824,295.22699879520036,401.6835834517222,539.1171592086638,711.6876451327604,921.5567598272205,1167.9768905047574,1446.8949269700267,1751.281989770201,2072.0875320952573,2399.4709633188804,2723.934850704871,3037.1295761578895,3332.2795046870197,3604.2976098610584,3849.6944709793815,4066.377712547665,4253.410541251689,4410.771083552686,4539.134157580946,4639.684274690241,4713.961336609779,4763.736774891435,4790.916307725089,4797.465096102207,4785.35127871662,4756.504318256456,4712.785121434474,4655.96541180139,4587.714298567231,4509.5903832187705,4423.038078726087,4329.387089553663,4229.854222610191,4125.546877966419,4017.4677112539503,3906.520073749286,3793.5139268197972,3679.1719992623184,3564.136012850333,3448.972846153751,3334.1805418439367,3220.194090199923,3107.3909429527093,2996.0962281918733,2886.5876498095895,2779.100064667428,2673.8297379762807,2570.9382827865447,2470.556293398884,2372.786685248476,2277.707755645137,2185.3759808734285,2095.828565734236,2009.0857617723816,1925.1529702867385,1844.0226458416867,1765.6760154560975,1690.084627988898,1617.2117475082948,1547.0136036556141,1479.440511218123,1414.4378703261177,1351.9470579015479,1291.906220218398,1234.2509756961294,1178.915036341553,1125.8307555847352,1074.929609622722,1026.1426187917425,979.4007149340864,934.6350602093843,891.7773223204878,850.7599106801268,811.516177634421,773.9805884813816,738.0888636749409,703.7780962859227,670.9868474988895,639.6552226561388,609.7249301155291,581.1393249655848,553.843439437866,527.7840016713405,502.909444315032,479.1699043021736,456.51721499021164,434.9048917350777,414.2881118541021,394.6236898287372,375.8700485049605,357.9871869649654,340.9366456677117,324.68146938736373,309.186168416916,294.41667844876184,280.3403194940416,266.9257541577819,254.1429455466344,241.9631150500026,230.35870020311594,219.3033128118014
IH,971.0,491.18714359937707,248.72578818719558,126.31052081490526,64.65535260839827,33.815027751633366,18.688881271061128,11.695769362825384,9.075283753930474,9.022839076171827,10.751642998607158,14.021336415599098,18.89782785008575,25.6214923495193,34.51810925614863,45.918779149684404,60.077364842050926,77.09230689680086,96.85124936736449,119.01623343320134,143.05437584266667,168.30264391310044,194.04593180739488,219.5887197205151,244.30834925508353,267.68654279845066,289.3216986179392,308.92708445438075,326.3202657386191,341.40813433318385,354.1706104094126,364.64492268990887,372.91148891827254,379.08182304535865,383.2885317545664,385.67726326533784,386.40037829677186,385.6120841570214,383.46477949273014,380.10638122153154,375.6784358658179,370.3148489670314,364.1410954856451,357.27379980460387,349.8205958302302,341.8801958923442,333.5426120739543,324.88948571196937,315.994490560262,306.9237829098115,297.7364781772171,288.48513840569274,279.21625902248,269.9707462683774,260.7843791249069,251.6882514464649,242.70919146623103,233.87015697186888,225.19060530916255,216.68683802385695,208.37232043819273,200.2579768141484,192.35246200832233,184.6624106961248,177.19266535337528,169.9464842457519,162.9257307021375,156.13104494574537,149.5619997341057,143.21724102118375,137.0946148065036,131.19128128064017,125.50381731651225,120.0283082936493,114.76043017960548,109.69552273016319,104.82865460879776,100.15468116671113,95.66829556804078,91.36407389091077,87.23651478399663,83.28007421031569,79.48919576504913,75.8583370123169,72.38199224689137,69.05471205074625,65.87111998097444,62.825926694836994,59.91394178938364,57.1300836070675,54.4693872349161,51.927010902974445,49.49824096776129,47.17849564824313,44.96332766520035,42.8484259197139,40.82961633272161,38.90286195507174,37.06426244613344,35.310053008715094,33.63660285870141,32.04041329936603,30.518115462672014,29.06646777296624,27.682353182240384,26.362776220510575,25.104859899804673,23.905842505689215,22.763074306171696,21.674014204134295,20.636226356154474,19.64737677760968
IN,0.3400714260966806,0.6245702268722244,1.0046486494125666,1.5237311696660971,2.242374350215987,3.2451010476349236,4.649645354755517,6.619211125525604,9.378241086488124,13.231775726982399,18.587492380792725,25.977639059088734,36.07512388452908,49.69436723692988,67.76477525798127,91.26597124435567,121.12251359282023,158.07155413923837,202.5328766611902,254.51619171436573,313.5899326709539,378.91498522194576,449.3279577759988,523.449935800402,599.7981680779449,676.8850704940447,753.2966300967479,827.7482532334598,899.1197566205634,966.4729485900466,1029.0557354266778,1086.2964719801407,1137.7917391852222,1183.2901015654331,1222.6737947645222,1255.9397695663854,1283.1810904315898,1304.5693501788962,1320.3385067463098,1330.7703591584498,1336.1817444238607,1336.9134431724142,1333.320719454233,1325.7653812113813,1314.609226163044,1300.208728313323,1282.910819268011,1263.0496232338273,1240.9440128997849,1216.8958638567065,1191.1888967172679,1164.0880078989196,1135.8390016113133,1106.668646613059,1076.7849915651582,1046.377882199766,1015.6196319990325,984.6658056414847,953.6560811551578,922.7151625692104,891.953719941993,861.4693380318657,831.3474586371344,801.6623048316014,772.4777780274547,743.8483210682934,715.8197424478432,688.4299983150195,661.7099302089782,635.6839575091914,610.3707244212432,585.7837019804383,561.9317460699258,538.8196128417383,516.4484332185548,494.81614835883903,473.91790810348334,453.7464345011263,434.2923525429002,415.5444902347663,397.49015010460835,380.11535418839446,363.4050644704029,347.34338067122656,331.9137171876973,317.098960894016,302.88161141565513,289.24390538896597,276.1679261214015,263.6356999710539,251.6292806707132,240.1308227315552,229.12264497534895,218.58728516205818,208.50754660210094,198.8665375694174,189.64770426289644,180.83485799957316,172.41219726323675,164.36432517653984,156.6762629132188,149.33345951943028,142.3217985692925,135.62760203928528,129.23763174900552,123.13908868169092,117.31961046671269,111.76726727770038,106.4705563739112,101.41839548870816,96.60011524739559,92.00545077701008
D,1.0,90.64496596501097,135.99249919922016,158.9554392781714,170.61671872150302,176.5858504249383,179.70773200259129,181.4331327497266,182.51291323012322,183.35076441781004,184.18377379153938,185.17639034218624,186.47087255203212,188.21556373064547,190.58099916797343,193.76779085638123,198.00711875960297,203.5536000433653,210.67094013391926,219.61247149664447,230.60032545689486,243.8074363256505,259.345525703005,277.2602949640995,297.5332334869068,320.0883453859181,344.8017861876262,371.51263461764097,400.0334976161817,430.16013934206416,461.67972799548966,494.37757796043195,528.0424406626471,562.4704918799902,597.4682026161956,632.8542864307344,668.4609034635869,704.1342801487377,739.7348796955483,775.1372351089431,810.2295354258201,844.9130375854286,879.1013609963325,912.7197092056758,945.7040527933935,978.0002993506138,1009.5634698190797,1040.35689526424,1070.351444068606,1099.524786346058,1127.8606999122808,1155.3484202549573,1181.9820355111774,1207.7599263834204,1232.6842501329336,1256.760467219297,1279.9969087586496,1302.404382711673,1323.9958165551075,1344.7859341128624,1364.7909642052564,1384.028378802303,1402.5166584271499,1420.275082639325,1437.3235435269369,1453.6823802466618,1469.3722327658004,1484.4139130784858,1498.828292285739,1512.6362020445679,1525.8583490033184,1538.5152409480304,1550.6271234869687,1562.2139261973884,1573.2952172497282,1583.8901656097496,1594.0175099986884,1603.6955338653863,1612.9420456928078,1621.7743640245562,1630.2093066552209,1638.2631834819124,1645.9517925634236,1653.290418978402,1660.2938361149945,1666.9763090619072,1673.3515998049688,1679.4329739643629,1685.233208835917,1690.7646025254523,1696.038983988412,1701.0677238079886,1705.8617455639742,1710.4315376616908,1714.7871655058382,1718.9382839180116,1722.8941497091826,1726.6636343296884,1730.2552365293834,1733.6770949696531,1736.937000737098,1740.0424097159312,1743.0004547825909,1745.817957791826,1748.501441328624,1751.057140204889,1753.4910126838085,1755.8087514183856,1758.0157940937588,1760.1173337656803,1762.1183288899385,1764.0235130396231
R,0.0,390.5034630609331,588.1163240796596,688.2953894427144,739.3349932194203,765.699932462975,779.8275580355164,788.1023461733906,793.8869964448864,799.0687914201397,804.8592216157812,812.220021644908,822.1032526273041,835.5974410869327,854.0208586853108,878.9746544102585,912.353200508363,956.3040360724685,1013.1347453863073,1085.1763321751755,1174.6254907093655,1283.3941138052862,1412.9903593325869,1564.4447194952018,1738.2826769637147,1934.5370346800084,2152.7890985499216,2392.2276164706377,2651.716117384839,2929.861717375554,3225.0807787143217,3535.658686321923,3859.802379980011,4195.685211620534,4541.484285724737,4895.410784710299,5255.733959176149,5620.799533434342,5989.043280717994,6359.000487271159,6729.311968135544,7098.7272312739315,7466.105317799111,7830.413778762817,8190.726185625663,8546.218513434527,8896.164683403278,9239.931505097862,9576.973217567927,9906.82579318937,10229.101137250986,10543.481289967222,10849.712715159674,11147.600740870983,11437.004201232356,11717.830315609515,11990.029830046915,12253.59243699776,12508.54248198431,12754.93495992838,12992.851799206006,13222.398427821023,13443.70061329307,13656.90156577257,13862.159292404567,14059.644189959161,14249.536862138366,14432.026147680843,14607.307345352494,14775.580622077967,14937.049590790099,15091.920045013441,15240.398837722889,15382.692892603272,15519.008336459621,15649.549742173615,15774.519472255843,15894.117113695178,16008.538995447358,16117.977780528347,16222.622125279437,16322.656398946823,16418.260457266282,16509.609464262063,16596.87375695747,16680.21874815271,16759.80486285361,16835.78750433347,16908.317046180597,16977.538847026688,17043.593284968018,17106.61580898289,17166.73700491722,17224.0826738561,17278.773920924577,17330.927252766847,17380.654682141085,17428.063838238217,17473.258081488737,17516.336621762908,17557.39463899789,17596.52340540125,17633.810408485097,17669.339474279546,17703.190890159494,17735.44152679508,17766.16495880504,17795.431583753743,17823.308739187756,17849.860817457007,17875.149378109447,17899.233257687083
G,7.0,10.544445593441237,15.563284796320705,22.662887831366863,32.69210381321089,46.832437323709954,66.71517493553463,94.56712832946994,133.3798697311186,187.08356352003307,260.68313315311207,360.28231483088575,492.89058893957656,665.9059521865945,886.2323160740779,1159.1438840618034,1487.1970167814975,1869.5763526958028,2302.1317298928852,2778.0686894885475,3289.001016572665,3826.0139585447578,4380.499279350779,4944.683103241142,5511.879966218612,6076.551392911707,6634.246854573804,7181.486058601712,7715.620649486793,8234.697025795698,8737.331055810047,9222.598924136088,9689.944752211492,10139.103864410308,10570.039839536132,10982.89331126328,11377.940578198457,11755.560297927375,12116.206787027875,12460.388689901218,12788.651995643717,13101.566568298796,13399.715511862887,13683.686820168572,13954.066866952653,14211.435376818663,14456.361586887513,14689.4013647016,14911.095092932803,15121.966167726183,15322.519986785408,15513.243326944634,15694.604030078473,15867.050931662456,16031.013978821133,16186.904494858538,16335.115555512162,16476.022448872973,16609.98319636419,16737.339116607098,16858.41541761383,16973.521805688382,17082.95310181301,17186.989858247765,17285.898969658625,17379.934274380517,17469.337142469747,17554.337048050103,17635.15212414413,17711.98969873512,17785.046811250693,17854.510709014587,17920.559323496327,17983.36172641151,18043.07856589982,18099.86248314241,18153.858509882277,18205.20444738705,18254.03122744774,18300.463256044233,18344.61874033126,18386.609999610744,18426.54376095956,18464.52144017805,18500.63940871539,18534.98924721468,18567.657986304068,18598.728335241478,18628.278899000103,18656.384384360317,18683.115795551505,18708.540619964908,18732.723004436084,18755.72392257335,18777.601333586663,18798.410333050077,18818.203296010008,18837.03001283154,18854.937818155504,18871.971713320465,18888.17448258578,18903.586803474856,18918.247351541275,18932.192899844897,18945.45841341019,18958.07713892484,18970.080689923318,18981.49912768721,18992.36103808214,19002.69360453944,19012.52267737996,19021.872839667034
H,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264,23295.531329902264
beta,10.126987409832106,10.126987409832106,10.114936826851151,10.097922499351224,10.073951714002186,10.040282801188793,9.993193073921422,9.927722464165981,9.83743994267373,9.714332117700794,9.548987250714575,9.331320549552723,9.052089308023426,8.705258687788312,8.290801963471788,7.816873913064799,7.2999893339662485,6.76247690798276,6.227959007847395,5.716799201138517,5.243295875233259,4.815148097162935,4.434555130540244,4.099948308322775,3.8076212279103427,3.552942847387369,3.331127501747815,3.1376589415857503,2.968484769149529,2.8200750011347075,2.6894082898614413,2.5739245758160783,2.471466005398629,2.380217460730906,2.298651984882658,2.2254830774662686,2.159624141579043,2.10015457219496,2.046291668726605,1.997367492637017,1.952809844162861,1.9121266312933265,1.8748930141658167,1.8407408125431548,1.809349756334127,1.780440237443607,1.7537672861524507,1.7291155482554093,1.7062950821241845,1.685137829453699,1.6654946412412786,1.6472327628558237,1.6302336999638838,1.6143914014749132,1.5996107072586288,1.585806017740367,1.5729001500465554,1.5608233515101493,1.5495124463391872,1.5389100953261976,1.5289641518112056,1.5196270998493502,1.5108555627892648,1.5026098723315378,1.494853689680477,1.4875536716857432,1.4806791759402875,1.47420199969559,1.4680961482053374,1.462337628739446,1.4569042670422627,1.451775543458476,1.4469324463315394,1.4423573406034391,1.4380338498207144,1.4339467499874792,1.4300818739080823,1.426426024835318,1.4229668983891222,1.4196930118391633,1.4165936399556973,1.413658756729129,1.4108789823420673,1.408245534850072,1.405750186090371,1.4033852213928666,1.4011434027158403,1.3990179348708904,1.39700243453859,1.3950909018088065,1.3932776940082092,1.3915575016026729,1.3899253259845312,1.3883764589743015,1.386906463883911,1.3855111580039332,1.384186596391024,1.382929056843995,1.3817350259678112,1.3806011862344996,1.3795244039586225,1.3785017181127133,1.3775303299149988,1.376607593127966,1.3757310050118887,1.374898197882471,1.374106931226252,1.373355084331497,1.3726406493959662,1.371961725076244,1.3713165104463316,1.3707032993358828
