series,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,45466.350000000006,45464.56731015574,45462.39842208474,45459.760146719535,45456.55160364899,45452.65056769915,45447.90911300314,45442.14844442277,45435.152801328666,45426.6623208926,45416.3647617404,45403.88602042747,45388.77943131938,45370.51393611607,45348.461355732106,45321.8832090299,45289.91781319097,45251.56877640164,45205.69644816493,45151.0143938752,45086.09343751429,45009.37614785628,44919.204654144676,44813.86415594669,44691.643243584826,44550.91007967454,44390.20073346496,44208.3129326938,44004.39591740264,43778.025789557614,43529.25642068176,43258.63877608311,42967.20593587674,42656.42608158376,42328.130038911644,41984.42266907604,41627.58811046357,41259.997820596756,40884.028178600915,40501.99180275042,40116.08430447306,39728.346288025205,39340.63913014584,38954.63238905438,38571.800466916655,38193.426234315295,37820.60958674174,37454.27924174193,37095.20643485285,36744.01949451,36401.218552465005,36067.18987170683,35742.219450696,35426.505696839165,35120.171060778004,34823.27259338954,34535.81143579079,34257.74128449194,33988.97589349906,33729.39568603709,33478.853553255125,33237.17991774559,33004.18713739819,32779.67332106406,32563.4256224684,32355.22307330056,32154.839010782194,31962.043149500274,31776.603342039216,31598.287068041194,31426.86268680946,31262.10048446066,31103.773542924555,30951.65845476633,30805.53590484422,30665.191137185524,30530.414323138506,30401.00084480641,30276.751505965454,30157.472681084026,30042.976411671538,29933.080457969416,29827.60831293372,29726.38918453042,29629.257951553947,29536.055097473174,29446.626626193156,29360.823963084822,29278.503844168074,29199.52819592779,29123.76400788932,29051.08319977333,28981.362484783578,28914.483230350073,28850.3313174495,28788.79699945115,28729.774761286037,28673.163179606614,28618.86478449207,31386.274473188296,34148.30068616063,36907.296855345776,39663.263941693804,42416.11822177789,45165.69183083055,47911.7316238192,50653.895962073504,53391.749071378836,56124.752609065035,58852.25403154973,61573.47127605051,64287.47316463427,66993.15480818636,66869.71858505637,66743.27480191534,66613.8877716007,66481.63102346135,66346.58718206701,66208.84777838235,66068.5129939524,65925.69133958628,65780.49927095376,65633.06074440309,65483.50671714642,65331.97459672427,65178.60764533349,65023.55434517171,64866.96773140321,64709.004699679164,64549.8252953454,64389.59199154274,64228.46896335155,64066.621364959916,63904.21461655247,63741.413707236534,63578.382519856445,63415.283183010804,63252.275454996234,63089.5161437705,62927.15856637321,62765.352050577916,62604.24148088958,62443.966890357624,62284.663099058525,62126.45939952149,61969.4792888342,61813.84024667788,61659.6535581061,61507.02417950228,61356.0506458272,61206.82501700006,61059.43286104257,60913.953271453465,60770.45891616695,60629.01611537954,60489.68494550118,60352.5193664944,60217.56736990459,60084.8711449516,59954.46726014258,59826.386857974816,59700.655860421095,59577.2951830252,59456.32095557839,59337.74474749597,59221.57379616394,59107.811236676745,58996.45633153649,58887.50469902992,58780.9485391409,58676.776855991346,58574.975675932765
I,6.0,7.302689844266631,8.887362727720978,10.814649074708838,13.158020219276775,16.00641455157825,19.467356083467536,23.67063617716015,28.772628377091788,34.961298542988345,42.4619538117559,51.543738819743226,62.52682882225126,75.7901777197847,91.779543886167,111.01532707748184,134.0994967502056,161.72057379951934,194.6552561322682,233.76488993141317,279.98465509781374,334.30317234800026,397.7304122717626,471.2524774880077,555.7731916508359,652.0445002290505,760.5902864203063,881.6308642778453,1015.0174104267782,1160.186145437657,1316.1406226784939,1481.467017462862,1654.382496272209,1832.811750863405,2014.4828534664473,2197.0315950247327,2378.1036260352225,2555.4456258192163,2726.979617749521,2890.8576241800592,3045.4965125230137,3189.594807969029,3322.134381210868,3442.3703718054617,3549.812664198749,3644.201883664208,3725.482380544625,3793.774135100861,3849.3450111818775,3892.584350630176,3923.9785446247565,3944.0889418129486,3953.5322474787463,3952.96342153728,3943.0609838754594,3924.514572553883,3898.0145643483256,3864.2435504993146,3823.869457452248,3777.540108318038,3725.879032434556,3669.4823453493236,3608.9165380687746,3544.717031357402,3477.3873674444694,3407.3989272167514,3335.1910755577765,3261.171650795073,3185.7177261925267,3109.176582095146,3031.866836759268,2954.0796921673273,2876.0802583300488,2798.1089258218685,2720.382761678231,2643.096908402668,2566.4259697774733,2490.525370527369,2415.532679726137,2341.5688902294737,2268.7396484236024,2197.1364302518377,2126.837660867386,2057.909776401296,1990.4082272656638,1924.378423165183,1859.856620591986,1796.8707540529608,1735.4412126454727,1675.5815638741176,1617.2992268026576,1560.5960967744365,1505.4691240222312,1451.9108485339566,1399.9098935518134,1349.4514200660167,1300.5175446258515,1253.0877227352044,1207.1391000309325,1162.646833363788,1080.5915504193513,1011.4129452154458,953.5648554731207,905.7713427638191,866.9937226110653,836.4032329406436,813.3590567650207,797.3914106794467,788.1894537432713,785.5938468409371,789.5938907508015,800.3292853085067,818.0966775509564,843.3612993748279,868.6017265908763,893.7565497146047,918.7625118881975,943.5548518559549,968.0676733179043,992.2343369497,1015.9878708818646,1039.26139500856,1061.9885541582112,1084.1039549158963,1105.5436007481355,1126.24532004914,1146.149181805024,1165.1978937569183,1183.3371782301324,1200.5161211762813,1216.6874904377933,1231.8080197764452,1245.8386557949043,1258.7447655069632,1270.4963029620635,1281.0679339867029,1290.4391187539356,1298.594152518036,1305.522165441606,1311.2170829859042,1315.6775488228882,1318.9068126524792,1320.9125856661337,1321.7068666852954,1321.3057422200989,1319.7291638409768,1317.0007063363776,1313.147310147788,1308.1990115338765,1302.1886638248923,1295.1516529930457,1287.1256105913694,1278.1501269095102,1268.266466966882,1257.5172917182672,1245.9463865904315,1233.5983992063634,1220.5185878914153,1206.7525822974383,1192.3461572307667,1177.345020530838,1161.7946156208584,1145.7399391422487,1129.2253738919874,1112.2945371073683,1094.9901439865127,1077.3538861953223,1059.4263249921394,1041.246798499646,1022.85334256871,1004.2826246100237,985.5698897153991
IH,0.0,0.24,0.40069887751860056,0.5367961987175954,0.675466747695668,0.831944980693218,1.0166814714844956,1.2387056856355398,1.5072947828740295,1.832901282828906,2.227773205409652,2.706464620281431,3.286326500851099,3.9880165426495546,4.836039758684377,5.8593141123283115,7.091739922016462,8.572734628917598,10.347674029416364,12.468156939705283,14.991983797478714,17.982714397647797,21.508652067724398,25.641100406378314,30.45176580718,36.00924575517159,42.37465593978274,49.59660431880424,57.70589678993608,66.71051896809203,76.59153287682336,87.3005119042916,98.75899177992669,110.86015693019681,123.47266485765135,136.44621074145346,149.61821874663826,162.82095523214576,175.8883939899512,188.66229512552843,200.99714172767307,212.76376737539434,223.85166996184924,234.1701261245861,243.64829241923815,252.2345101379391,259.895030602445,266.6123577752368,272.3833745451877,277.2173850866776,281.1341728744072,284.16214485934796,286.33660810103186,287.69820597298525,288.2915265222594,288.1638850162854,287.3642754176172,285.94248078599253,283.94832979755694,281.43108517641826,278.4389494405623,275.01867365228685,271.2152555912908,267.0717147589287,262.628932747773,257.9255486829072,252.99790060061787,247.88000473795114,242.60356573987957,237.1980117373683,231.69054910471684,226.1062324684759,220.4680462165301,214.7969943500858,209.11219603984898,203.4309846976172,197.76900876286015,192.1403327374141,186.55753728655822,181.03181746738156,175.57307835086584,170.1900274773497,164.89026373033096,159.6803623347465,154.56595578632505,149.55181060130838,144.64189984337463,139.8394714392308,135.14711233803013,130.56680860420687,126.10000155997214,121.74764011383137,117.51022942615484,113.38787607297489,109.38032987559217,105.48702256691917,101.70710346634554,98.03947233376132,94.48280957063037,91.0356039320142,137.67790366979358,153.9982886587013,156.47151429997302,153.05714272814902,147.5584176299829,141.75828645817427,136.46524236476344,132.02470305213535,128.56856329035173,126.13666930363442,124.73582431040609,124.36851033752343,125.04712116571703,126.80146950354764,129.6834013568847,133.11664077021422,136.81352811220188,140.62786409617948,144.48273588374968,148.33513487714075,152.15862798020666,155.93488817893143,159.64957300844324,163.29033699742473,166.84589142984203,170.30557783179276,173.65919294869275,176.89693612435798,180.00941533586732,182.98768022087026,185.82326620563802,188.50824161742838,191.0352535222112,193.39756996843926,195.58911731935854,197.60451189987901,199.43908550326336,201.08890451141463,202.55078253492138,203.82228660100014,204.90173702080443,205.78820115728382,206.4814813927971,206.98209766256815,207.29126497589098,207.4108663917195,207.34342194900623,207.09205407514816,206.66045000861806,206.05282177495081,205.2738642495161,204.32871182686117,203.22289419585263,201.9622916934376,200.55309067864562,199.00173933351695,197.31490425998203,195.4994282022795,193.5622891841665,191.51056130972938,189.3513774367388,187.0918938928108,184.73925736762337,182.3005740795063,179.7828812821724,177.19312114742047,174.53811703245697,171.82455211613413,169.0589503669014,166.2476597865795,163.39683785811064,160.51243911210236
IN,0.24,0.4465183825663521,0.6763336527446098,0.9374750592755461,1.239276933562857,1.5927102582343622,2.0107730255106198,2.5089508805741327,3.105760771230551,3.823391348052671,4.688454429711293,5.732861592303674,6.994838317453549,8.52008438469693,10.363082302359903,12.588544236635663,15.272970560661655,18.506268108222212,22.39334193968626,27.055530068787665,32.631696885928754,39.27874145923537,47.17121920810004,56.4997327181191,67.46773833442515,80.28646181701407,95.16773932759925,112.31480978361233,131.9113714659435,154.10954257230406,179.01766860947555,206.68912229059026,237.1132774881464,270.20967715029934,305.8260761964363,343.7405916499162,383.6677263424128,425.26763790451264,468.1577614404897,511.92578337070614,556.1429915327482,600.377156696569,644.2042895302644,687.2188248988357,729.0419823191214,769.3282191159168,807.7698231568654,844.0997842395523,878.0931410946976,909.5670306201275,938.3796740224922,964.4285272527646,987.6478057937263,1008.0055707230125,1025.5005372097796,1040.1587404612221,1052.0301691200955,1061.185453147633,1067.7126727991003,1071.714337598369,1073.3045692243243,1072.6065097860605,1069.749966860462,1064.869298632882,1058.1015362469152,1049.584735767301,1039.4565487428163,1027.8529979988484,1014.9074437930453,1000.7497246589122,985.5054569933092,969.2954775894204,952.235413772722,934.4353664779671,915.9996924404843,897.0268726091493,877.6094548769181,857.834060233262,837.7814424448446,817.526592346607,797.1388787608573,776.6822189471429,756.2152723142791,735.7916518943557,715.4601487854134,695.2649654149816,675.2459540622438,655.4388576045457,635.8755499272366,616.5842738577464,597.5898748589252,578.9140290466647,560.5754643863417,542.5901741752601,524.9716221374833,507.73093864651935,490.8771077533696,474.41714483534594,458.3562647975018,442.69804085596513,427.44455401316316,411.03682006508325,394.1509313713583,377.30681435990056,360.90082468084256,345.23247632090187,330.52634856416375,316.9500576915734,304.6290450470768,293.6588184241255,284.1151880707062,276.06296022543705,269.5634882133255,264.6814320385379,261.4910404747627,259.75534712380386,259.267987617623,259.8488565339634,261.3403839205307,263.6043460432891,266.5191367376591,269.9774358437821,273.8842198831298,278.1550675859581,282.71471928199594,287.49585467083415,292.438058223431,297.48694554364965,302.59342753477256,307.71309225291327,312.80568695772774,317.8346851511226,322.7669253781229,327.57231029431455,332.2235560182163,336.6959831156655,340.9673417329475,345.0176644278115,348.82914116093843,352.38601172002564,355.6744715670499,358.6825877369537,361.40022198172153,363.81895885491934,365.9320368744625,367.7342812909903,369.2220373303694,370.3931030756267,371.2466614097056,371.7832106592325,372.004493764121,371.9134259513089,371.514021016051,370.8113164136996,369.8112974414131,368.5208208452507,366.94753822605725,365.09981963971296,362.98667779590835,360.6176932566667,358.00294102329616,355.15291888010137,352.0784778366568,348.79075497923003,345.3011090073771,341.6210586950079,337.76222447736836,333.73627332730985,329.5548670466774,325.22961406227347,320.7720247811636,316.1934705274832
D,0.01,0.01,0.021408716252064725,0.04045646540260869,0.06597378005409202,0.09808298197977898,0.13763058290502228,0.18595987635043165,0.24484338338057815,0.31649462707235865,0.40362400479669375,0.5095241396903247,0.6381795017696703,0.7943993624357159,0.9839749838675032,1.21386250632806,1.4923927235750274,1.8295079256738833,2.2370241626970926,2.72891448299072,3.321604752621175,4.034268457625285,4.889100482644797,5.9115426009991845,7.13042609652865,8.577990910980498,10.289737857945576,12.304072965844954,14.66171290642481,17.40483875037195,20.576011175100884,24.216890616360736,28.366835487094328,33.06147429774923,38.331357939732484,44.200793765762604,50.68694419084039,57.79924337342267,65.53915203231303,73.90023861174103,82.86854941403456,92.42321340339731,102.5372194480064,113.17830355277964,124.30988906805302,135.89203170768295,147.88233152077584,160.23678426854656,172.9105540150117,185.85865664820304,199.03655034234163,212.40063370518757,225.90865570634764,239.52004368302818,253.1961570087526,266.9004746086153,280.59872460129617,294.2589640980452,307.85161671345713,321.34947473390724,334.72767221427563,347.9636345796522,361.03700962847773,373.9295841879454,386.62519007393286,399.10960246269093,411.37043329219676,423.3970218768656,435.18032453776453,446.7128047180371,457.9883247658102,469.0020403200635,479.7502980244644,490.2305371158456,500.4411952839143,510.3816190733508,520.051978995406,529.4531894305209,538.5868333337645,547.4550916987075,556.0606776907114,564.4067753257386,572.496982544156,580.3352585092705,587.9258749463705,595.2733713288512,602.3825137127382,609.2582570188741,615.9057105625778,622.3301066332049,628.5367719303009,634.531101668562,640.3185361703003,645.9045397712921,651.2945818735457,656.4941199864951,661.5085846062498,666.3433657906953,671.0038012963538,675.495166150892,676.3468111162085,677.6347983259521,679.0754639725654,680.5392668322526,681.9711279874497,683.3515481531521,684.6777076527272,685.9543503241753,687.189451414247,688.39222005525,689.5722381439361,690.7391512216799,691.9026280494052,693.0724533327925,694.2586906776679,695.4718887131662,696.7172049632399,697.9971058742171,699.3126901870336,700.6643371172,702.0520235315397,703.4754790132608,704.9342616949681,706.4277955344219,707.9553889965639,709.516244939543,711.1094665106777,712.734061405068,714.3889456319331,716.0729473374071,717.7848109363067,719.5232016567209,721.2867105253395,723.0738597815981,724.8831086870163,726.7128596837816,728.561464849394,730.4272325899259,732.3084345121547,734.2033124139438,736.1100853325117,738.0269565914612,739.9521207895043,741.8837706766254,743.8201038668421,745.759329340676,747.6996736948076,749.6393871010728,751.5767489418519,753.5100730939203,755.4377128378709,757.3580653752115,759.269575940099,761.1707414973486,763.0601140227724,764.9363033660396,766.7979797000506,768.6438755642712,770.4727875125576,772.2835773787066,774.0751731752938,775.8465696433194,777.5968284717701,779.3250782074554,781.030513876395,782.7123963386503,784.3700513988246,786.0028686945448,787.6103003850816,789.1918596619245,790.7471191026004,792.2757088883553
R,0.0,0.03348161743364786,0.21577394102605543,0.5104764823632585,0.9096586704230987,1.4202795283704985,2.05844583350398,2.847302957521416,3.8166713567691737,5.0035933064677405,6.453432807943105,8.221390400525785,10.374395538306354,12.993385874378573,16.176003336831766,20.039743037344873,24.72558685258231,30.40213913603821,37.270255571013735,45.56811470191124,55.57662195187932,67.62495548122462,82.09596182510386,99.4309908398175,120.1336345262209,144.7717216132554,173.97684698941805,208.4407159601086,248.9076910082934,296.163164713972,351.01774397835277,414.2876816427895,486.7724630958936,569.2308591745924,662.3570086280901,766.7581397420937,882.9353742213132,1011.2687170739414,1152.0068961868058,1305.2622559615456,1471.0105003294702,1649.0947665304066,1839.2333097031694,2041.0299845639574,2253.986705078183,2477.517121058957,2710.9608474335464,2953.597696873867,3204.6614843103744,3463.3530825048133,3728.8525056709946,4000.329880662916,4276.955232224146,4557.907061244526,4842.379734605743,5129.589733970448,5418.780830721873,5709.228266977077,6000.242029738578,6291.169308136177,6581.396223431153,6870.34891888708,7157.494092452795,7442.339049998771,7724.431351018498,8003.358112569777,8278.745031024386,8550.255175090973,8817.587597697555,9080.475808749328,9338.68614556742,9592.016072994038,9840.292440731668,10083.36972146789,10321.12824971329,10553.47247803168,10780.329264448827,11001.646202265012,11217.390001243231,11427.544927173794,11632.111305102413,11831.104090028504,12024.551507610116,12212.4937663299,12394.981841662267,12572.076332016488,12743.846385596487,12910.368696799553,13071.726570358596,13228.009051102921,13379.31011695881,13525.727932623162,13667.364161211379,13804.323331096428,13936.71225511205,14064.639499282883,14188.214898262133,14307.549114698364,14422.753239812497,14533.938432540586,14641.215594683947,14769.685942483697,14904.02749331539,15037.24996169576,15166.415376449444,15290.54268252882,15409.58408283227,15523.927357157843,15634.156377755586,15740.938464173443,15844.974183052318,15946.978078682821,16047.674977276034,16147.804461135718,16248.13003942626,16349.451502519296,16452.247444399167,16556.823840014455,16663.388438750215,16772.08855150205,16883.030701724238,16996.291231443494,17111.922347293956,17229.955828261678,17350.405503260987,17473.269057616995,17598.52945578226,17726.156132208587,17856.10603402992,17988.324564108916,18122.74645436159,18259.296588888526,18397.8907902613,18538.43657833801,18680.833908218607,18824.975891899318,18970.749506591445,19118.03629139837,19266.71303302167,19416.65244034771,19567.72380712062,19719.793661414034,19872.726400254007,20026.384907503852,20180.631152983005,20335.326770743228,20490.333614453346,20645.514287936046,20800.732649045454,20955.85428526159,21110.746959597174,21265.281025654465,21419.329810926807,21572.769967703465,21725.481791201146,21877.349504805363,22028.26151255493,22178.11061923952,22326.79421870012,22474.214451123342,22620.278330300807,22764.897841983606,22907.99001459829,23049.47696370522,23189.285911672505,23327.349184110255,23463.604184661064,23597.993349775163,23730.46408511355,23860.96868522139,23989.46423809854,24115.912516265675
G,6.0,7.78268984426663,9.951577915262309,12.589853280467846,15.798396351012489,19.699432300856103,24.440886996871647,30.201555577241667,37.197198671346115,45.68767910741001,55.98523825961664,68.46397957254443,83.57056868063192,101.83606388394546,123.88864426791054,150.46679097011872,182.432186809041,220.7812235983712,266.6535518350816,321.335606124808,386.25656248572164,462.97385214373327,553.1453458553357,658.4858440533218,780.7067564151906,921.4399203254723,1082.149266535052,1264.0370673062155,1467.9540825973759,1694.3242104423969,1943.0935793182462,2213.7112239168937,2505.14406412327,2815.9239184162425,3144.219961088357,3487.9273309239584,3844.7618895364267,4212.352179403239,4588.32182139908,4970.35819724958,5356.265695526939,5744.003711974796,6131.710869854158,6517.717610945621,6900.5495330833455,7278.9237656847035,7651.740413258257,8018.0707582580635,8377.14356514715,8728.330505489997,9071.131447534992,9405.160128293164,9730.130549303998,10045.844303160831,10352.178939221993,10649.077406610453,10936.538564209206,11214.60871550806,11483.374106500938,11742.954313962908,11993.496446744868,12235.1700822544,12468.162862601797,12692.676678935926,12908.924377531586,13117.126926699426,13317.510989217792,13510.30685049971,13695.74665796077,13874.062931958792,14045.487313190526,14210.249515539326,14368.576457075435,14520.691545233658,14666.81409515577,14807.158862814465,14941.935676861483,15071.349155193577,15195.598494034533,15314.877318915962,15429.373588328448,15539.269542030572,15644.741687066267,15745.960815469567,15843.092048446038,15936.29490252681,16025.723373806828,16111.526036915162,16193.84615583191,16272.821804072193,16348.585992110662,16421.266800226655,16490.987515216406,16557.86676964991,16622.018682550482,16683.553000548833,16742.575238713947,16799.18682039337,16853.485215507913,16905.564076843242,16963.02641390246,17023.518794748874,17087.040258432404,17153.674528379877,17223.589469358783,17297.038226401688,17374.36243817894,17455.99787890517,17542.48289125053,17634.470018797387,17732.741324328163,17838.227985775964,17952.034892255433,18075.47111538542,18201.914898526447,18331.30192884108,18463.558676980425,18598.602518374766,18736.34192205943,18876.676706489376,19019.498360855505,19164.690429488022,19312.1289560387,19461.682983295374,19613.21510371752,19766.5820551083,19921.635355270082,20078.22196903858,20236.185000762624,20395.36440509639,20555.597708899055,20716.720737090243,20878.568335481876,21040.975083889323,21203.775993205258,21366.807180585343,21529.90651743098,21692.914245445554,21855.67355667129,22018.03113406858,22179.83764986387,22340.94821955221,22501.222810084164,22660.526601383262,22818.730300920302,22975.710411607593,23131.349453763913,23285.536142335688,23438.16552093951,23589.139054614592,23738.364683441734,23885.756839399222,24031.236428988326,24174.730784274838,24316.17358506225,24455.504754940608,24592.670333947393,24727.622330537208,24860.3185554902,24990.72244029922,25118.802842466983,25244.533840020704,25367.894517416596,25488.868744863405,25607.444952945825,25723.615904277853,25837.378463765042,25948.733368905298,26057.68500141186,26164.24116130088,26268.41284445044,26370.214024509016
H,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,39472.839700441764,36653.351150410206,33833.86260037865,31014.374050347094,28194.88550031554,25375.396950283986,22555.908400252432,19736.41985022088,16916.931300189324,14097.44275015777,11277.954200126216,8458.465650094662,5638.977100063108,2819.4885500315536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta,5.942299480888767,5.942299480888767,5.940203296330227,5.937654992008227,5.9345581335744955,5.930796234429834,5.926228832240269,5.920686915438428,5.913967649747359,5.905828382760539,5.895979953507174,5.884079412587926,5.869722377858438,5.8524354232823015,5.831669136831539,5.806792795787371,5.77709199288584,5.741770982443169,5.699961945332389,5.650743688186701,5.5931723249330085,5.526326006573877,5.449364511751511,5.361602291414124,5.262590386723649,5.152198897365846,5.030688243122823,4.898755620234685,4.757544124081847,4.608606705919199,4.453824942714596,4.295291611896796,4.135173527581203,3.975574582644944,3.8184174650634297,3.665356935541225,3.5177300331898937,3.376541511455799,3.2424778652229658,3.115941045799265,2.997092998448429,2.8859036595387995,2.782197154579348,2.68569300838623,2.5960408673668174,2.5128484305551186,2.435703025199639,2.364187643884648,2.2978923944647733,2.236422297127084,2.1794022657577203,2.126479980873415,2.077327227205058,2.031640145779074,1.9891387446282967,1.9495659256064608,1.912686216021745,1.878284340588606,1.8461637288275938,1.816145022937848,1.788064629061538,1.7617733388707109,1.737135037022859,1.7140255020688835,1.6923313029468985,1.6719487895693568,1.65278317369454,1.6347476948851871,1.617762865617239,1.6017557893066148,1.5866595450247718,1.5724126328694643,1.5589584742712737,1.546244961897234,1.5342240542244918,1.522851410275349,1.5120860604144966,1.5018901094999078,1.4922284690449812,1.483068615388184,1.4743803711767003,1.466135707752704,1.458308566285978,1.4508746957262517,1.4438115058546794,1.4370979338982934,1.4307143233359725,1.424642313671344,1.418864740078932,1.4133655419463538,1.4081296794390503,1.4031430573062846,1.3983924552291724,1.3938654640845498,1.3895504275634223,1.3854363886405991,1.3815130404436322,1.3777706811150792,1.3742001723030455,1.3707929009514903,1.4319102250527538,1.490699480226319,1.5473901829489418,1.6020609844325668,1.654781225226808,1.705610720958847,1.7545995670989727,1.8017879049440046,1.847205601011282,1.8908717990591888,1.9327943084525996,1.9729687951790236,2.0113777432178543,2.0479891550476323,2.0387989639559962,2.029469979335465,2.0200118086979155,2.0104345427729293,2.000748706451514,1.990965205901004,1.9810952724591961,1.9711504039668295,1.96114230423488,1.9510828213657438,1.9409838856550021,1.9308574477930616,1.920715418064223,1.9105696072055929,1.900431669541075,1.8903130489482622,1.8802249281501744,1.8701781817516754,1.8601833333640738,1.8502505170830523,1.8403894435066805,1.8306093704037016,1.820919078069221,1.8113268493367398,1.8018404541533533,1.7924671385696669,1.7832136179481897,1.7740860741539748,1.7650901564590584,1.7562309858677987,1.747513162553072,1.7389407760830342,1.7305174181141758,1.7222461972280438,1.714129755595512,1.7061702871631415,1.6983695570702355,1.69072892202194,1.6832493513625215,1.6759314486131134,1.6687754732592606,1.661781362594938,1.6549487534510472,1.6482770036572576,1.6417652131062184,1.6354122443084014,1.6292167423439203,1.623177154134524,1.6172917469745096,1.6115586262734622,1.6059757524765315,1.6005409571394054,1.595251958145273,1.5901063740599457,1.5851017376289986,1.5802355084273683,1.5755050846773964,1.570907814255913
