series,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
G_high,5.0,6.763865105149768,9.004047200308037,11.847918795761299,15.470080504163938,20.076196475094857,25.932804154155573,33.37817841724798,42.841354521761104,54.86602054534076,70.1404182396029,89.52150644800963,114.05993364169827,145.25898682479453,184.80343912988073,234.87722434149327,298.20684406308516,378.0754220504843,478.6031869090359,604.8444599557683,762.8541334208024,959.825531848592,1204.1528613297694,1505.414245983451,1874.2350351668638,2325.4543881250333,2872.711182459255,3527.744688442966,4301.161748031173,5182.339002196737,6188.90818140758,7322.038037006688,8579.057514159682,9953.597068325194,11436.077048879173,13014.439311753538,14770.454887822143,16527.450751884728,18442.04295247844,20397.974521473276,22261.70580350031,24137.241719281436,26112.134006454446,28172.476018471738,30066.954637406452,31902.42466446567,33767.62758592267,35544.49492829564,37433.053233639264,39211.59238839288,40924.66750911862,42532.045595207484,44270.42242348772,45931.430201354306,47569.555669442256,49260.20834843768,50724.07029799633,52135.28200186261,53567.27007473137,54973.835469008525,56422.38875540149,57809.80556521447,59143.82926051014,60412.09786029724,61614.337986385726,62727.121680681164,63818.13291844439,64876.68260426824,65856.92652748719,66898.46909146965,67814.597286162,68701.8992837194,69661.54736082266,70619.70958585896,71494.8076901152,72326.05459697418,73139.43725605153,73903.19674053979,74578.09782132051,75259.30163735163,75843.91906994568,76404.06612973493,77025.90117445665,77663.64351101662,78299.87255105321,78879.72578347207,79394.66931987117,79907.61576287806,80377.0508192197,80868.36775776991,81339.43331905153,81845.64604954403,82275.21892514716,82713.74551364085,83180.94372895654,83628.9287667041,84058.46746632074,84444.61157871348,84758.95864336948,85070.74301456292,85383.36585056609,85772.87340423545,86124.48117036476,86483.00323444462,86854.03241223052,87238.42424709241,87592.93103251801,87974.05225057574,88434.55655668481,88874.802090974,89329.82323237625,89836.0472323484,90230.3817858412,90682.3890127312,91142.81701435692,91651.72908955975,92169.34954211445,92672.74559310019,93127.15954139475,93696.48677944564,94301.9849999336,94735.2831992362,95356.38672588399,95932.85975830465,96506.7463555652,97053.93122410667,97682.51653105418,98387.42417295642,99004.8362183872,99582.44274883953,100142.22879321098,100786.39613276927,101473.3528293117,102160.23529142549,102812.12331146849,103532.27678058362,104216.70532996792,104899.59990700873,105579.89523713368,106203.75432360526,106817.31516076537,107460.8343082786,108154.16219753219,108843.10042384657,109455.24443163662,110151.99553366427,110880.21814476006,111626.24310341338,112366.64590287089,113101.15584735096,113889.15396084967,114681.76113601892,115436.70404185825,116250.85352217245,116967.85200566969,117738.08806257641,118441.90369566296,119172.0023151216,119862.6436509076,120621.11975433976,121401.28347476342,122078.61968047328,122721.63831571401,123550.37346455792,124294.6000368291,125086.9116084758,125900.08056820297,126740.89792324093,127487.46051407278,128348.53053070874,129225.91811581403,129983.7054163512,130787.44744664125,131505.9507355243,132405.81566315005,133204.18468028592,134056.2654887318,135151.86627479643,136321.15825929184,137632.1448275107
G_low,5.0,6.473488748021047,8.258065262433771,10.42043723176428,13.046430794994968,16.212574806194482,20.044143784385202,24.67314052105794,30.292648996959063,37.09257717986506,45.35651209788729,55.3600351948251,67.42981251829828,82.05427678363343,99.73324542517142,121.17642202254864,147.1456538084042,178.55405385681502,216.39651028266456,262.2391899486713,317.05626208256786,382.897254299911,462.2111426343065,558.0100756722557,673.0247625491556,810.8650959565675,975.7142320306712,1172.7036525461986,1407.0815881401793,1684.9406640166874,2013.0208374857646,2398.6042854973084,2849.3754539388015,3373.2126457098007,3977.9085872737387,4670.826572265543,5464.762261198971,6363.0745428694045,7357.058317441066,8457.163957935853,9665.089964997711,10972.357168939561,12380.219340278736,13880.011918923816,15477.075680003962,17137.096376748712,18860.86001532625,20637.40404723749,22475.686199985837,24335.808910416094,26199.369827921815,28082.02506715044,29980.46490579142,31865.07862437623,33741.05731005448,35599.733764832206,37433.52574031065,39238.40456339701,41002.38229214463,42727.288322078464,44438.38145674892,46109.01324829353,47686.60770689013,49224.6019701229,50676.08739764671,52080.99335229147,53440.793033309084,54751.63603929998,56006.11222603395,57206.8063593402,58414.02688955304,59444.97490148171,60521.59753297564,61445.55284404157,62428.7290111231,63413.56493584622,64296.19883869668,65063.01105615892,65910.30945887102,66599.40526236108,67302.10165174751,67958.46974333335,68589.70238920757,69196.68574483856,69783.09100906647,70386.06992765897,70876.62234996993,71298.78447962337,71814.47378328285,72273.33571868861,72747.0424460333,73176.68239586637,73590.96121084043,73923.4522086988,74299.10139955275,74676.8263522603,75039.7041413018,75388.30374077853,75709.10749229466,76062.92144310486,76429.17321509613,76804.21033705203,77151.82530906786,77538.20161397017,77893.58864349943,78311.36163637206,78706.37392349126,79143.32616183817,79636.54873727818,80140.6145410154,80717.17799288759,81226.51349023191,81700.23504115707,82213.44264480003,82658.17056019606,83141.62186269161,83707.49903726704,84278.33667864346,84793.25348366161,85312.88002985517,85818.6923271513,86364.11467183243,86883.38525672106,87373.34090470216,87902.32930968536,88464.45731984892,88998.47928162929,89537.8327019125,90091.70294270631,90716.82024840538,91274.04507713312,91888.86331018478,92457.08050880142,93027.2382825807,93594.51714450578,94160.7595982028,94709.76338906413,95244.77446626172,95798.87538208817,96335.82214388275,96765.07264006019,97425.99863801525,97902.15751334518,98403.11335363369,99098.21114648854,99710.22986918426,100242.61357903345,100753.0850993101,101353.94508679358,101971.93026557876,102597.88713651759,103112.67643564282,103687.57351244976,104134.30384723633,104730.50588334531,105274.65821763988,105791.5486433375,106221.86154776321,106701.81878699966,107208.75092932845,107661.77271064228,108105.17792496292,108643.71406857083,109196.11750801446,109568.99061995216,110068.3415192236,110397.67011301739,110714.68947859827,111105.37692580382,111576.10885062788,111894.77207404016,112292.11753858521,112933.15300407176,113297.25135738186,113540.80396850522,113833.0717723329,114206.20989698665,114574.52023295041,114910.33219741836,115195.69345384951
D_high,0.01,0.04246558038402917,0.07291908480819449,0.10390866292975953,0.13724186785060788,0.17476640664645623,0.21869022965517662,0.2707531369732572,0.3338623607976179,0.4133010716673323,0.5095529320997451,0.6289150736346736,0.7830378291640783,0.9795320585597772,1.233878400519438,1.5513966728945814,1.9593120457827913,2.4604144215979646,3.1152104430568146,3.9363608863658706,4.979525420378609,6.29890626655445,7.945011603516782,10.044181068862299,12.684258565618467,15.995365246150923,20.133992995499106,25.285954059786448,31.66821804608097,39.45940067313464,48.94292212916478,60.44373123783241,74.27038326041361,90.73208979922823,110.14498616886732,132.8157367747874,159.0222109714817,188.98390420160098,222.92913238980972,260.9931905389027,303.26773013440936,349.7878927360817,400.53321834997655,455.43051047069656,514.3582128251829,578.7703973757131,645.9228380814772,716.4334400810397,789.7810784311675,865.8785540562435,944.4071439717243,1026.9173052634403,1113.4678442108075,1203.689622907831,1290.2276111214792,1377.8790782025003,1466.3712625739406,1558.1983694981418,1649.3211193307868,1743.6210542512395,1836.713799057963,1931.1244099195212,2020.4187141057878,2116.254672369222,2207.0190042822537,2292.675067247625,2386.1174274216532,2468.8982932611625,2562.2803176860502,2648.339855590708,2729.3585919164625,2808.804715917741,2896.67008148476,2967.964468033591,3040.2518181384007,3118.187858914282,3194.318785642399,3271.1120273023457,3341.0713407354233,3411.664256459622,3477.611320736371,3542.9906155461135,3607.351925295849,3669.5309330497435,3733.5011958066207,3795.5932627347506,3854.8588934863346,3914.2257304712,3970.815521839978,4025.6251080116535,4081.1212409316454,4134.112498148658,4188.072317443528,4240.3776212576395,4287.02362114397,4326.851283706563,4375.56122714143,4421.414836670393,4431.286005135811,4444.30050010857,4459.22639221557,4470.904717185031,4484.7338377875685,4494.918736179553,4506.372117786906,4516.784531310733,4521.391545690958,4528.119044214373,4535.21803953537,4545.49594917399,4555.534396102793,4563.335650219909,4570.345307291025,4579.333468374173,4590.232805933518,4595.574672345247,4602.429649658863,4606.617078453779,4613.240228276253,4620.769543499894,4631.816070718317,4641.813397992781,4650.095451854744,4658.522420961282,4666.6258036816835,4673.987782096186,4681.520556649839,4689.225695261764,4699.821418112081,4712.172115910475,4724.647679064248,4739.505549280213,4752.956451138563,4765.125496632106,4780.158614457662,4792.947851245657,4811.291250526966,4824.769297364835,4836.563672326642,4857.978395891214,4878.609671997727,4898.456516949753,4914.932142286284,4934.995368988057,4949.404898594829,4966.669517935018,4983.166872292408,4996.833214542897,5014.2056812705305,5031.231267456526,5054.456843249893,5075.922095927705,5094.502097025347,5115.9606849225875,5132.001336207036,5156.050812072013,5180.826529827034,5205.724014570496,5228.276042871559,5246.998119485576,5273.249653910013,5296.307413287167,5318.741154144541,5344.822331787242,5363.315323343808,5391.435891967083,5419.99564126304,5439.084133674145,5456.7188084942245,5486.625552400969,5506.570206981687,5528.9236574979695,5561.140395763659,5587.598774516641,5613.592338096587,5642.197033594165,5670.761780260803,5699.2748341162,5736.680123136111,5765.139979815068
D_low,0.01,0.034532336308044816,0.058799747665169086,0.08398938553130895,0.11150323075065355,0.1417799950591044,0.17753433044392725,0.21979832730493454,0.27060267906490354,0.33159907431233965,0.4061477869913155,0.4944375199382998,0.6037164703784953,0.7347926726406153,0.8928967243149422,1.0802429776823939,1.3097428366030706,1.5877428066980726,1.924082251633886,2.3332112560255553,2.8261664531264774,3.432384482721079,4.151789662256329,5.009107486795396,6.0534679717191775,7.328645353979521,8.891807154740105,10.764200647525133,13.050802993431809,15.730584479551002,18.910143301651182,22.748625512477815,27.363856000108882,32.89100239332691,39.46761959274206,47.26641837375293,56.478929688557386,67.31439579939014,79.99757614878966,94.77700431869184,111.86218486867794,131.5343397399965,154.06295967241394,179.71795893728074,208.65918621308754,240.99867361608818,276.9654690632993,316.6813060961071,360.227372595746,407.9991351696853,460.0842819431674,515.5060712146839,574.7022501108457,637.6076272323822,705.573135372709,774.0678389036955,847.1111582663182,921.8795809549077,998.5990458376041,1076.02683340004,1161.072162888944,1247.099590864158,1333.8050413546164,1421.616909826251,1507.9459810798583,1590.7130626525604,1674.2305218731278,1764.209636466913,1853.980721752998,1941.9140852887485,2027.321095443769,2111.6520199962974,2195.9842219450748,2276.8989515199396,2357.540491969698,2436.7041992748645,2515.468057395647,2590.2180335343714,2658.5490077894865,2723.614344888272,2786.130593291046,2858.7212671623606,2926.261506864507,2987.0931683737704,3053.9883530529464,3120.8801497502805,3186.7776532300645,3245.598273598387,3296.897974231402,3351.2840687987164,3402.987760335719,3446.9890624971717,3489.3924320989336,3530.2355689187802,3572.511659866924,3622.2115305662587,3665.650338913471,3702.02873161774,3763.6180271654325,3802.285616508064,3826.261887122136,3849.244975326799,3876.8710622453623,3895.729104579589,3912.2860237784844,3928.9215433012346,3951.8680661848057,3972.1532085972967,3981.379206250626,3995.912038003175,4010.908439090175,4019.4170066648016,4028.3448139303273,4041.0319639638433,4058.831020188346,4070.929045189546,4079.313999135304,4089.749961122129,4100.7403364280135,4107.560451006169,4115.348399172025,4127.355191519251,4142.054361212558,4155.486174487099,4169.782639143863,4181.4674982913175,4190.339921806549,4201.926166054255,4210.755143787881,4223.865551104427,4239.815326082299,4245.87448850976,4256.624471142385,4268.233144766398,4276.320975950493,4289.096591299651,4298.165349245064,4306.388604224266,4313.847569696486,4321.74988693257,4328.649625588482,4337.936971432795,4343.376760242184,4351.732439851915,4358.773032087909,4365.448620894281,4372.147354423628,4382.53307616059,4392.024777364489,4396.826283040251,4399.354354374321,4407.661134006316,4416.289119809549,4424.212659829523,4431.7932171573775,4433.468401938343,4441.956884228969,4447.965280002199,4453.4257669341505,4460.199844626538,4466.963266907201,4471.0955731130425,4477.382231736314,4483.81274214828,4489.980048519986,4493.481486251101,4496.970486813438,4500.445906680597,4510.799648228691,4519.943686174145,4525.5338623255775,4532.698525188551,4536.5828800567515,4543.925357596885,4551.472571675986,4557.316230728322,4563.104940618569,4568.8380270729585,4575.300607157115,4582.645086582846
