series,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,23477.11285779359,23474.234489127688,23470.562021966896,23465.884295559787,23459.93885417834,23452.402396085643,23442.881172207202,23430.90249830895,23415.909179340077,23397.259340758097,23374.234728073177,23346.060638881863,23311.93985216665,23271.100838025046,23222.857155684043,23166.670963418834,23102.21040512864,23029.38997726706,22948.385739778947,22859.622777308825,22763.73857231543,22661.53055822253,22553.89772854423,22441.78495211503,22326.135785039358,22207.856437971775,22087.79106246784,21966.70698329141,21845.28783102429,21724.132454101386,21603.757740715337,21484.60385857527,21367.040804321,21251.375486833764,21137.85883122671,21026.69258502956
I,8.0,10.238368665899388,13.091766333418002,16.72215143385557,21.32982070059356,27.159893137243103,34.50832556470314,43.72633341777786,55.221545713231514,69.45366063815365,86.92198047202217,108.14231122557375,133.6117130427393,163.76179014092668,198.90452927065414,239.17835919421196,284.5046487488684,334.5647047105408,388.80376582180975,446.4624270261884,506.6296378574891,568.307280921788,630.4755281263461,692.1502623054391,752.4274083966783,810.5125627925249,865.7369332730575,917.5620577876455,965.5762454317556,1009.4855227201193,1049.1013942885572,1084.327164885541,1115.1440459489652,1141.5978397602864,1163.7866681865187,1181.8499809287491
IH,0.32,0.4468930471386935,0.5867460606876149,0.7563393893907082,0.9688054629504907,1.2373636945187436,1.5770608805405828,2.0057019621350802,2.544395941796666,3.2178185603477125,4.054142682594787,5.084512089285541,6.341908799719722,7.859293935059975,9.667002092444609,11.789541646471234,14.242168317422427,17.027786373891892,20.134799747827465,23.536419675151215,27.19164711640702,31.04778226217754,35.044002793578976,39.115397057597974,43.19686025058785,47.226412660933995,51.147700661623766,54.911626053082315,58.47718091530607,61.81163629984472,64.89025490479219,67.69568756677863,70.21718682510135,72.4497393309087,74.39318917823348,76.05139941868362
IN,0.32,0.6327539850937463,1.027960779204782,1.528354497762871,2.162632806764501,2.9668554174302155,3.986070272359318,5.276143530538411,6.905724946406352,8.958214943997648,11.533513372593696,14.749230060789301,18.74094394457399,23.66104634384716,29.675742029155867,36.95995173405265,45.69017247307312,56.035759451749136,68.14948530182508,82.15847285235203,98.15659018663962,116.19913783956598,136.3002394361896,158.43290566536663,182.53139366979565,208.49528625756716,236.194663918937,265.47579732631493,296.1668996857081,328.08360647216085,361.03396893410707,394.82284495389786,429.25564336224,464.1414277302101,499.2954172457998,534.5409401108004
D,0.01,0.043106952861306565,0.08934216237901399,0.15004645666883332,0.22829674576791947,0.32852861074816375,0.45654530295667684,0.6197068036800134,0.8272151796620014,1.0904564187418826,1.4233694418470983,1.8428079127398376,2.368847606685837,3.0249765931952934,3.838093073917741,4.838233644494977,6.057970518076645,7.531454252850701,9.293135880390818,11.376266712025727,13.81132651424185,16.62455332456738,19.836732898948696,23.462358363194056,27.50920713362276,31.97832093384982,36.864329114394046,42.15603072304591,47.83714514578681,53.88714912086536,60.28213327480031,66.99562893196007,73.99937248566968,81.26398840527027,88.75958248290259,96.45624438079645
R,0.0,0.1672460149062537,0.40502049100054016,0.721670456122979,1.1344478991709257,1.6678208480041987,2.353683565824192,3.232473770503516,4.354796672414229,5.783366474250526,7.595123751354481,9.883357623337156,12.75959223321819,16.35491275551445,20.8203356433728,26.325808155524488,33.05749260750811,41.21317573749804,50.995931262789675,62.60649421904885,76.2350838033844,92.05354522296112,110.20862599429778,130.81698228696408,153.9622033035516,179.69383717694114,208.02816835773928,238.95036261209555,272.41755559074943,308.3624890792199,346.69736567600086,387.31767288014845,430.10580485061723,474.9343757331564,521.6691694734326,570.1717079250094
G,8.0,10.878368665899389,14.550835826689953,19.22856223380096,25.1740036152474,32.710461707944425,42.23168558638392,54.210359484634886,69.20367845351078,87.85351703549142,110.87812972041223,139.0522189117256,173.17300562693703,214.01201976854355,262.25570210954515,318.44189437475535,382.9024526649488,455.7228805265306,536.7271180146429,625.4900804847663,721.374285478162,823.58229957106,931.2151292493612,1043.3279056785618,1158.9770727542361,1277.256419821817,1397.3217953257515,1518.4058745021841,1639.8250267693059,1760.98040369221,1881.3551170782575,2000.508999218326,2118.0720534725933,2233.737370959832,2347.254026566887,2458.420272764039
H,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753,11752.453644415753
beta,7.7618693225665885,7.761869322566567,7.73909721249962,7.710235897429412,7.673784656511042,7.627949182423891,7.570629038372252,7.499433394346942,7.411741852479407,7.30482938109852,7.1760719901113035,7.023239108435846,6.844856738463504,6.64059335897551,6.411586815975904,6.160612046270143,5.892005358153953,5.611318337652296,5.3247566503046295,5.038529057793679,4.758254637625047,4.488542600083951,4.232791558538258,3.9931888529129838,3.770850444044827,3.5660327947045136,3.3783603751594242,3.2070327555153666,3.050994156559199,2.909061696116453,2.7800161070357854,2.6626618569674045,2.5558640841194804,2.4585689253799905,2.369812509324501,2.288722573713475
