series,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,256184.2599145739,256182.69204397124,256180.76057200687,256178.38126522445,256175.45042207564,256171.8403971178,256167.3941084421,256161.91830368084,256155.17531359795,256146.8729680925,256136.65228708877,256124.07248850306,256108.59277861536,256089.55030985863,256066.13361321815,256037.35074734275,256001.99137067425,255958.58196197578,255905.33352650146,255840.0813836711,255760.21711089124,255662.6135113509,255543.54469284898,255398.6051057416,255222.63378076174,255009.65304052332,254752.83447314103,254444.5085115014,254076.23671663698,253638.96652071542,253123.285098347,252519.7806093161,251819.50449960798,251014.508840294,250098.41131521246,249066.92326822414,247918.269766187,246653.4394797767,245276.22619968522,243793.05734824185,242212.63868048115,240545.46947282096,238803.2936083978,236998.5489767809,235143.86447004616,233251.63616383146,231333.69696427893,229401.08017010993,227463.86817706752,225531.1126626391,223610.8110434152,221709.92464517066,219834.4258693852,217989.36395237382,216178.94123472605,214406.59394105372,212675.07320972133,210986.5234937537,209342.55650838444,207744.31967820443,206192.55859202152,204687.67335667764,203229.7689950297,201818.7001927142,200454.1107901507,199135.46846095062,197862.09503063766,196633.19288138638,195447.86786722104,194305.14913531943,193204.00621653727,192143.3637145616,191122.11388988013,190139.1274030457,189193.26245212127,188283.3725120049,187408.31285865782,186566.94603905827,185758.14642787314,184980.80399421928,184233.82738629795,183516.14642794334,182826.71410904254,182164.50814118315,181528.53214060067,180917.8164923791,180331.41894276522,179768.42496026785,179227.94790081558,178709.1290075422,178211.1372716708,177733.1691774,177274.44835058897,176834.2251283361,176411.7760641948,176006.40338172484,175617.43438730063,176662.27475863765,177717.78361266857,178770.59671620998,179820.60820009315,180867.71095518555,181911.79660317226,182952.7554689425,183990.4765546909,185024.84751584879,186055.754638967,187083.08282167747,188106.71555486796,189126.53490720858,190142.42151217637,191154.25455772868,192161.9117787824,193165.26945266128,194164.20239767848,195158.58397502705,196148.28609415426,197133.17922180137,198113.13239489277,199088.01323746212,200057.68798180562,201022.02149405424,201980.87730435803,202934.11764187593,203881.60347476395,204823.19455535343,205758.7494707081,206688.12569874566,207611.17967010452,208527.76683593073,209437.74174175225,210340.95810760002,211237.26891452403,212126.52649764216,213008.58264584522,213883.28870826788,214750.49570761778,215610.0544604377,216461.81570435513,217305.63023235239,218141.34903406692,218968.82344410635,219787.9052973358,220598.447091067,221400.3021540486,222193.32482212497,222977.37062039867,223752.296451697,224517.9607911079,224070.61230910345,223404.77825005117,222736.126987304,222064.963841978,221391.5937179274,220716.32052194703,220039.44660279158,219361.27221076796,218682.09497945497,218002.20943090235,217321.90650545945,216641.47311718497,215961.19173559526,215281.339994321,214602.1903270611,213924.0096310517,213247.05895810493,212571.59323312138,211897.86099983842,211226.10419344704,210556.55793959228,209889.45037916512,209225.00251819944,208563.42810210434,207904.9335133894,207249.71769197992,206597.97207716762,205949.8805702018,205305.61951649436,204665.35770638884,204029.25639342994
I,5.0,6.160010021806018,7.588996933079368,9.349253176068148,11.517457958736681,14.187979497986486,17.476924661890823,21.527099694362104,26.514078700235935,32.65361469785688,40.21067125014665,49.51040028944615,60.951442053235034,75.02197269821092,92.31896826661699,113.57118053806808,139.66631567437975,171.6828474459216,210.9267497443711,258.9731512416926,317.7124360440905,389.3995598434696,476.70423221413125,582.7580463136436,711.1925642418572,866.1598220122335,1052.3238997734068,1274.8095740145363,1539.0924542155474,1850.8156216687698,2215.522097141145,2638.3017602916016,3123.3660123233667,3673.5820964453937,4290.017756003571,4971.559976237043,5714.672810357159,6513.345142419771,7359.251075912475,8242.110243683135,9150.202537177915,10070.970360516088,10991.635860768269,11899.769495075874,12783.764622187671,13633.194195578846,14439.044894470779,15193.838241155228,15891.656696154625,16528.09614446477,17100.165984959014,17606.15565698899,18045.483058253336,18418.536734931913,18726.520434396043,18971.305827774228,19155.296996267636,19281.3086004261,19352.458440773265,19372.074282889072,19343.614275255946,19270.599959832613,19156.56070293293,19004.988310212346,18819.300598566602,18602.81275314276,18358.71538050762,18090.058266047665,17799.73894585183,17490.495304705022,17164.901508658586,16825.366670760268,16474.13573080782,16113.29210404387,15744.761719610779,15370.318127699962,14991.588405197508,14610.059633867731,14227.085763379806,13843.894704413296,13461.595525290768,13081.185649651772,12703.557973125979,12329.507834256558,11959.739789490674,11594.87415426667,11235.45328241713,10881.947564562748,10534.76113314607,10194.237267465938,9860.663496712985,9534.276402737849,9215.266127248386,8903.780590451706,8599.929429935652,8303.787669911593,8015.399131892644,7734.779598523268,7739.823791278014,7747.330592358841,7757.292049385455,7769.701817499705,7784.555114284693,7801.848675162243,7821.5807091372735,7843.750854757661,7868.3601361581395,7895.410919056789,7924.906866572694,7956.852894733455,7991.255127541407,8028.120851467694,8067.45846924382,8109.277452820924,8153.5882953678665,8200.402462180373,8249.732340374845,8301.591187242244,8355.993077139548,8412.952846798855,8472.486038937228,8534.608844053888,8599.338040305476,8666.690931354768,8736.685282093584,8809.339252146663,8884.67132707002,8962.700247164867,9043.444933836525,9126.92441343699,9213.157738539881,9302.163906607575,9393.96177602221,9488.56997946528,9586.00683464432,9686.290252380153,9789.437642083962,9895.465814670319,10004.390882970029,10116.228159725364,10230.992053269802,10348.695961014739,10469.352160886821,10592.971700881291,10719.564286919154,10849.13816921882,10981.700027416098,11117.254854689829,11255.805841173995,11397.354256960532,11536.40356408666,11671.843227666774,11803.53476400486,11931.346507371545,12055.15387467574,12174.83959908639,12290.293932283308,12401.414815232505,12508.108017588975,12610.28724602672,12707.874221980654,12800.798729456654,12888.998633723635,12972.419871844251,13051.016416128426,13124.750211705976,13193.591089511143,13257.51665605311,13316.512161412633,13370.570346956489,13419.691274298939,13463.882137063478,13503.157057009763,13537.536866090393,13567.0488759912,13591.726636687768,13611.609685521018,13626.743288256777,13637.178173549291,13642.97026217758
IH,0.0,0.2,0.33287752226344225,0.4474913268290651,0.5674589360012603,0.7060593948149825,0.872809099893527,1.0764670788898223,1.3265328590484202,1.6341368634161764,2.012721847451665,2.478698807649871,3.0521696999846677,3.7577719303900072,4.6256854048523675,5.692838522029316,7.004348661172909,8.615232174167936,10.592416290531391,13.01707833668696,15.987323367069994,19.62118595943614,24.059900794006275,29.47132409668298,36.053298209887224,44.03662979892231,53.68719778439336,65.30652759070841,79.22998553107917,95.82160355159326,115.46450707790436,138.5460748604017,165.4373990815513,196.46739070803446,231.8929558361723,271.86788669818884,316.41416025132514,365.39984114403103,418.5274377914815,475.3352832537114,535.2125447045871,597.4263024796787,661.1573488298027,725.5403559979297,789.7039870022775,852.8072226230656,914.0693363934951,972.7922205952075,1028.3748843903502,1080.3207664116208,1128.2389960706587,1171.840942505809,1210.9333834608337,1245.4094883211378,1275.2386069137824,1300.455636439991,1321.1505327924356,1337.4583548524154,1349.5500865582887,1357.6243709249688,1361.9002089562234,1362.610619473288,1359.9972181389635,1354.3056507408146,1345.7818032080118,1334.6687057531103,1321.2040485479579,1305.6182296644479,1288.132861328197,1268.9596669194443,1248.299707971858,1226.3428872407621,1203.2676804661903,1179.2410555812337,1154.4185437266894,1128.944431494966,1102.952048339554,1076.56412707257,1049.893218866047,1023.0421472135844,996.1044879410547,969.1650646216266,942.3004506930511,915.5794712328734,889.0636987557486,862.8079385886842,836.8607003837967,811.2646531697626,786.0570620452727,761.2702052003441,736.9317704317127,713.0652307118007,689.6901986900614,666.822760262147,644.475787546097,622.6592317639961,601.3803966495004,580.6441930924445,247.751991463166,126.34594336927897,82.09540193568198,66.00037707508936,60.187053432057056,58.135555454425926,57.467605049374995,57.31566650577967,57.36328608922401,57.495035346830996,57.668820297107835,57.86930329276987,58.09091245030884,58.33164377014831,58.5908001169866,58.868166250144256,59.16370767974656,59.47746059502441,59.809491485162575,60.15988217633437,60.52872413360189,60.91611613557539,61.322163172003584,61.74697577955624,62.190669529021804,62.65336455880416,63.13518511588888,63.636259089654025,64.15671753275699,64.6966941665916,65.25632487003453,65.83574715068566,66.43509959802728,67.05452131805413,67.69415134902377,68.35412805806817,69.03458851850068,69.73566786775105,70.45749864596657,71.20021011542926,71.96392756105797,72.7487715723907,73.55485730757454,74.38229374003092,75.23118288860823,76.10161903218629,76.99368790985262,77.90746590793252,78.84301923531908,79.80040308871818,80.77966080959308,81.7808230347649,82.80390684279662,83.823371657383,84.82473946808017,85.80208546899843,86.75263650559779,87.67480197370918,88.56745663400709,89.42967994339554,90.26066176433079,91.0596686182127,91.82603187908951,92.55914382839009,93.25845643801523,93.92348101332153,94.55378801888067,95.1490068450608,95.70882543273225,96.2329897319405,96.72130299212114,97.17362488966552,97.58987050188912,97.97000913781196,98.31406303676727,98.62210594613029,98.89426158955827,99.13070203711798,99.33164598857437,99.49735698093718,99.62814153112255,99.7243472242889
IN,0.20786058083924228,0.4121092683603236,0.6610328960782553,0.9650371075443254,1.3369363610931702,1.792510161322723,2.351186906446117,3.036884204954544,3.8790408183238623,4.9138829519161025,6.185976635292175,7.750128591574628,9.67371044772755,12.039495464625299,14.94911310790419,18.52724443424442,22.926699731224005,28.33453779924777,34.979401444799706,43.140252556645265,53.156687069138684,65.44098718911665,80.4920143738207,98.91094708149339,121.41870433605308,148.8746498198363,182.29582338936873,222.87548797060978,271.9992195372367,331.25615024917767,402.4423935123279,487.55328763722514,588.7610959689398,708.3754123374515,848.7848952395921,1012.3810849530139,1201.4676947315234,1418.1614105212973,1664.292242824767,1941.312277795208,2250.220992765865,2591.5132679188805,2965.1533383068,3370.5748580660993,3806.704600053244,4272.005473438063,4764.533622288877,5282.00426530494,5821.861426586987,6381.347539560767,6957.569866179239,7547.561608495359,8148.336409556785,8756.935605674804,9370.468097123228,9986.143063750555,10601.295989474058,11213.408600968143,11820.123395126684,12419.253447606465,13008.788177453795,13586.895703163424,14151.922372905155,14702.38999278753,15236.99121653357,15754.58350087466,16254.181975228974,16734.951522903837,17196.19832465997,17637.361074128134,18058.00203815416,18457.798103392463,18836.531923010087,19194.083253803507,19530.42055395799,19845.59289469578,20139.72222478669,20412.99601498474,20665.660299590705,20898.013124238612,21110.398402412295,21303.200177893566,21476.837286131613,21631.758404234344,21768.437476769726,21887.36950270143,21989.066667459723,22074.054803271592,22142.87016036389,22196.056471442113,22234.162291876983,22257.73859825336,22267.336628309222,22263.505945782723,22246.792714263353,22217.738164785183,22176.877242586208,22124.7374191714,22061.83765654507,22000.240570602007,21940.025901195568,21881.27167198076,21824.0542870639,21768.448624098706,21714.52812391051,21662.36487672329,21612.02970505756,21563.592243360414,21517.121014422555,21472.683502630738,21430.346224097662,21390.17479370527,21352.23398909129,21316.587811602934,21283.299544235844,21252.43180657073,21224.04660671457,21198.205390247946,21174.96908617478,21154.39814986581,21136.552602982232,21121.492070361346,21109.275813841658,21099.962763000683,21093.611542774903,21090.280497927622,21090.027714327298,21092.91103699587,21098.988084884135,21108.31626232897,21120.95276714542,21136.954595305408,21156.378542153994,21179.2812001137,21205.71895282774,21235.74796569376,21269.42417274103,21306.80325980616,21347.940643965074,21392.891449182283,21441.7104781428,21494.452180236643,21551.170615671734,21611.91941569715,21676.751738926094,21745.7202237558,21818.87693689044,21896.273317982697,21977.960120420175,22063.987348293897,22154.40418959826,22249.030474896837,22347.64299818555,22450.016674943377,22555.924858211743,22665.1396601845,22777.432277921962,22892.57332181313,23010.33314542992,23130.48217544489,23252.791240319704,23377.031896513996,23502.97675101344,23630.399779030475,23759.076635790818,23888.784961382935,24019.304677715012,24150.418276694465,24281.911098817392,24413.57160142947,24545.191615994572,24676.56659378251,24807.495839462135,24937.78273215995,25067.234933617146,25195.664583148882,25322.888479178542,25448.728247186114,25573.010493973477,25695.566948210213
D,0.01,0.01,0.02352287860879851,0.046030190234629266,0.07628704469062739,0.1146554362257424,0.16239521365916612,0.22140967119174038,0.29419433936271533,0.38388705348018637,0.49437822565088485,0.6304671917327125,0.7980629071508265,1.0044335088825547,1.2585129771536272,1.571275888215175,1.9561937095796467,2.4297884929733544,3.0123021873627955,3.7285019857163744,4.608643836657567,5.689617002520044,7.016291581970627,8.643087170856035,10.635772861856045,13.073494737551632,16.05100473310876,19.681032025533295,24.096693250389794,29.453780632958022,35.93270019760108,43.73976276179736,53.10747152211097,64.29342084778682,77.57744422344751,93.25674568348767,111.63892783073864,133.03307922665658,157.73936770398154,186.0378463825099,218.17735305210388,254.36542441183525,294.7600412425154,339.46379409021773,388.52076488994,441.91612065551993,499.57816339671155,561.3824067770828,627.1571623305455,696.690105960285,769.7353388740275,846.0205338019086,925.253847873539,1007.1303736129515,1091.3379802570146,1177.5624646497565,1265.4919831882855,1354.8207745827933,1445.252209467756,1536.5012194528624,1628.2961672746865,1720.380223289748,1812.512313280733,1904.4676997267172,1996.0382542976067,2087.032474091166,2177.275288545474,2266.6076983753096,2354.886282521243,2441.9826040999706,2527.782541776036,2612.1855688675464,2695.103998852148,2776.4622127363223,2856.1958809620046,2934.2511901148146,3010.5840826307417,3085.159515935849,3157.950745960796,3228.9386387154277,3298.111012557697,3365.4620129182285,3430.991520522062,3494.704593560753,3556.6109437917034,3616.7244461605205,3675.0626812417327,3731.6465095605536,3786.499676682672,3839.648447830807,3891.121270697904,3940.948465070479,3989.1619378458317,4035.794922018651,4080.8817382216957,4124.457577428174,4166.5583034571355,4207.220273965147,4285.740083346075,4319.24328440252,4336.328892951488,4347.4305544986555,4356.355705371869,4364.494727545699,4372.356328138351,4380.127602608562,4387.878330613962,4395.635498157826,4403.410481993864,4411.208966557768,4419.034562193807,4426.890125767205,4434.778243144759,4442.701405920502,4450.662076581735,4458.662712951732,4466.705777747593,4474.793742677671,4482.929090515572,4491.114316403614,4499.351928841823,4507.644450527862,4515.994419107136,4524.404387853545,4532.87692628716,4541.414620729822,4550.020074797696,4558.695909829041,4567.4447652450945,4576.269298841832,4585.172187010215,4594.15612488249,4603.223826402042,4612.378024314226,4621.621470075622,4630.956933679062,4640.387203391852,4649.915085404542,4659.543403387661,4669.274997953867,4679.112726022993,4689.059460087571,4699.118087376475,4709.291508914464,4719.582638475517,4729.994401428004,4740.529733469924,4751.191579252628,4761.982890891647,4772.906626363528,4783.965747787795,4795.163219593489,4806.498552388519,4817.969298937017,4829.572210798807,4841.303664523391,4853.1598215648,4865.136691212317,4877.230158271299,4889.435997993188,4901.749886442003,4914.167409264289,4926.684069925545,4939.295297782098,4951.996456104687,4964.782850078501,4977.649734771636,4990.5923230528115,5003.60579343588,5016.685297828352,5029.825969161951,5043.022928884406,5056.271294293141,5069.566185692981,5082.902733361517,5096.27608430734,5109.681408807869,5123.113906715025,5136.56881351852,5150.041406157976
R,0.0,0.003611893318160983,0.11077291782185972,0.288698129586932,0.529212778570751,0.8361735465607403,1.2203508307221838,1.697610824461381,2.2886148397878507,3.0192854955295054,3.921740107380992,5.035591771222632,6.409611431244176,8.103791693973733,10.191882180041027,12.764488429402697,15.932846704086025,19.83340726659942,24.63337898618031,30.537407362880145,37.795573946503644,46.712913809255724,57.660643341791534,71.08926475043285,87.54365474331385,107.68013826284675,132.28537633339099,162.29664205193,198.822705983475,243.1640983367813,296.8309788787105,361.55628028755234,439.30129665072,532.2506145220005,642.7934086394334,773.4888133588108,927.014415796948,1106.0988220662493,1313.4414512367612,1551.624775798258,1823.0256669730657,2129.7329470072455,2473.477577609499,2855.580295143648,3276.919330975382,3737.918599027719,4238.554794325879,4778.380471212282,5356.559428624642,5971.910556118145,6622.95654565654,7307.974388191957,8025.045206625004,8772.101620240051,9546.97142173857,10347.416841486436,11171.169063710939,12015.957950571548,12879.537134844266,13759.704776076915,14654.320354192523,15561.317912718,16478.716172867207,17404.62592897308,18337.255112398198,19274.911880342384,20216.00605168701,21159.049176777055,22102.653493572423,23045.52998998269,23986.485762056785,24924.420830332045,25858.324552138292,26787.271745944014,27710.418624775935,28626.998619144244,29536.31815554235,30437.75244423552,31330.741319484183,32214.785166354468,33089.44096065491,33954.31844212614,34809.07643563942,35653.41933068701,36487.09372574618,37309.8852410583,38121.61550088711,38922.13928432221,39711.34184210123,40489.13637567333,41255.46167376434,42010.27990098123,42753.57453247227,43485.348428303405,44205.62204099314,44914.43174954094,45611.82831326863,46297.8754388509,46972.64845402596,47479.882389470295,47925.34295793764,48347.63193434526,48760.852454346306,49170.17207355359,49577.499710916825,49983.55642248519,50388.63074912946,50792.854235502055,51196.30192203326,51599.028992850166,52001.08413589997,52402.51440900658,52803.367008152374,53203.68990636192,53603.53208116007,54002.9435924649,54401.97560639944,54800.68039981637,55199.11135819172,55597.32297146808,55995.370829481195,56393.31161752925,56791.20311225088,57189.10417783454,57587.07476252884,57985.17589540319,58383.46968330057,58782.01930792049,59180.88902296826,59580.14415130543,59979.851082034904,60380.07726745322,60780.89121980152,61182.36250774545,61584.56175251353,61987.56062362238,62391.43183411643,62796.24913524891,63202.08731053016,63609.02216906887,64017.13053813112,64426.49025484193,64837.1801569539,65249.2800726073,65662.87080900621,66078.03413993596,66494.8527920471,66913.4104298327,67333.79163922633,67756.08190974944,68180.36761513894,68606.73599238716,69035.25837748061,69465.99498885727,69898.99917136671,70334.31894494606,70771.9975743336,71212.07378584931,71654.58185954874,72099.55167996313,72547.00877569919,72996.97435884703,73449.465368084,73904.49451677437,74362.0703464111,74822.19728538822,75284.87571295371,75750.10202813488,76217.86872340055,76688.16446280935,77160.97416438315,77636.27908643798,78114.05691759948,78594.28187022675,79076.92477696626,79561.95319015688,80049.33148380781,80539.02095787242,81030.97994454438,81525.16391630564
G,5.0,6.56787060264526,8.499342567012482,10.878649349423856,13.809492498253247,17.419517456071432,21.865806131772572,27.34161089302035,34.08460097591954,42.386946481359615,52.60762748508313,65.18742607078676,80.66713595850302,99.70960471524327,123.12630135572897,151.90916723112045,187.26854389960312,230.67795259807085,283.9263880724061,349.1785309027822,429.04280368262124,526.6464032229591,645.7152217248813,790.6548088322697,966.6261338121283,1179.6068740505514,1436.4254414328295,1744.7514030724788,2113.023197936889,2550.293393858441,3065.9748162268497,3669.479305257739,4369.755414965849,5174.751074279828,6090.848599361377,7122.336646349704,8270.990148386853,9535.820434797164,10913.033714888625,12396.202566331982,13976.621234092696,15643.790441752888,17385.966306176044,19190.710937792926,21045.395444527672,22937.623750742372,24855.562950294898,26788.179744463898,28725.391737506307,30658.14725193474,32578.448871158635,34479.33526940318,36354.834045188654,38199.89596220001,40010.31867984779,41782.66597352012,43514.1867048525,45202.73642082015,46846.70340618941,48444.94023636943,49996.701322552326,51501.586557896226,52959.49091954414,54370.559721859645,55735.149124423144,57053.791453623235,58327.16488393619,59556.067033187464,60741.39204735281,61884.110779254406,62985.25369803658,64045.896200012234,65067.146024693684,66050.13251152809,66995.99746245255,67905.88740256891,68780.947055916,69622.31387551557,70431.11348670069,71208.45592035454,71955.43252827587,72673.11348663048,73362.54580553128,74024.75177339069,74660.72777397318,75271.44342219474,75857.84097180863,76420.83495430602,76961.31201375829,77480.13090703168,77978.12264290306,78456.09073717386,78914.8115639849,79355.03478623777,79777.48385037907,80182.85653284902,80571.82552727325,80945.0390630223,81307.58411607743,81672.82491962209,82040.86734282497,82411.81849481862,82785.78675391799,83162.88179523383,83543.2146165715,83926.89756249964,84314.0443464675,84704.77007084306,85099.19124473863,85497.42579948404,85899.5931016023,86305.81396313604,86716.21064916838,87130.90688237558,87550.02784444441,87973.70017418191,88402.05196214077,88835.21274157973,89273.3134755744,89716.48654009111,90164.86570283366,90618.58609767108,91077.78419445334,91542.59776402151,92013.16583821955,92489.62866471612,92972.12765644751,93460.80533549603,93955.80527122322,94457.27201248308,94965.35101374761,95480.18855498591,96001.93165514796,96530.7279791159,97066.72573799889,97610.07358266228,98160.92049039842,98719.41564466454,99285.70830783315,99859.94768692195,100442.28279229345,101032.86228934008,101631.83434319671,102239.34645655155,102855.54530065598,103480.57653966566,104114.58464847802,104757.71272426572,105410.10229194087,106071.89310382129,106737.72716287359,107406.37842562077,108077.54157094676,108750.91169499735,109426.18489097773,110103.05881013318,110781.2332021568,111460.41043346979,112140.29598202239,112820.59890746528,113501.03229573977,114181.3136773295,114861.16541860378,115540.31508586367,116218.49578187306,116895.44645481983,117570.91217980337,118244.64441308634,118916.4012194777,119585.94747333245,120253.05503375962,120917.5028947253,121579.0773108204,122237.57189953534,122892.78772094482,123544.53333575714,124192.62484272296,124836.88589643041,125477.14770653594,126113.24901949485
H,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,73953.24549835079,72535.19159126474,71117.13768417868,69699.08377709263,68281.02987000658,66862.97596292052,65444.92205583447,64026.868148748414,62608.81424166236,61190.760334576305,59772.70642749025,58354.6525204042,56936.59861331814,55518.54470623209,54100.490799146035,52682.43689205998,51264.38298497393,49846.32907788787,48428.27517080182,47010.221263715765,45592.16735662971,44174.113449543656,42756.0595424576,41338.00563537155,39919.951728285494,38501.89782119944,37083.843914113386,35665.79000702733,34247.73609994128,32829.68219285522,31411.62828576917,29993.574378683115,28575.52047159706,27157.466564511007,25739.412657424953,24321.3587503389,22903.304843252845,21485.25093616679,20067.197029080737,18649.143121994683,17231.08921490863,15813.035307822574,14394.98140073652,12976.927493650466,11558.873586564412,10140.819679478358,8722.765772392304,7304.71186530625,5886.657958220196,4468.604051134142,3050.550144048088,1632.4962369620343,214.4423298759807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
