state,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,h,Hiding_init,c1,I_initial,metric1,metric2,r1,r2,reopen
England,33.111526075004846,0.2,0.20112408983685187,0.07518126630078982,0.04272374517123593,0.07668081524934069,0.4620238553424445,0.01857836540634007,0.17234365380991454,0.11959753414100792,0.05408992339277916,0.5,0.9000000000000001,4.0744479048031454e-07,0.06341038285279729,0.044405533423259314,0.9234911342233132,0.947582941988398,2021-04-28
Northern Ireland,1.5638073208251977,0.2,0.8930240105338881,0.19999999927690826,0.11476668545459927,0.04014905571258631,0.3505938394949785,0.009325607422865206,0.18905496889199386,0.5702680597944311,0.07142857142857142,0.17257395940905446,0.9500000000000002,0.011423425706636441,0.02132555410511416,0.012759878200293057,0.9843584445847438,0.9928178102944059,2021-04-22
Scotland,76.17828361414199,0.27092975719557616,0.842532432848126,0.10812671618361797,0.19903212257230235,0.053017516583659184,0.4999816377764858,0.044432048123413455,0.14105372109130318,0.1931067869830493,0.07139946112694015,0.25061441408725577,0.91,2.264150900308104e-19,0.09572723045720072,0.07490283350513349,0.7962135558895571,0.8445480891689418,2021-04-27
Wales,10.800427806318558,0.233558736784658,0.5216793798059693,0.05267559135141578,0.1977978178980216,0.04,0.1890835207751934,0.023024634095878224,0.10737005644967397,0.12522609088998,0.07133538820488937,0.19989530195999056,0.91,0.0022235197314388992,0.024487564512435882,0.019830922655106192,0.9762673049703806,0.9826494255472428,2021-04-26
