state,RMSE_G,RMSE_D,RMSE_wtd_G,RMSE_wtd_D,RMSE_G2,RMSE_SIR,R2_G,R2_D,R2_wtd_G,"R2_wtd,D"
AZ-Maricopa,4236.793483883277,33.65611282619646,1127.5673809983841,12.976896521497565,601.6481115527998,827.7991914202321,0.9933963000496714,0.9987075753091038,0.9991131560164243,0.9997168370036734
CA-Los Angeles,13250.084250039836,244.2927077458753,4857.769747049346,44.489952107640214,4095.9118757609385,6084.316074278922,0.9667221755730143,0.9843604236790713,0.9932905406313942,0.9991186000367304
CA-Riverside,2423.216566514958,31.12044860781074,674.9920355167944,9.618886751383497,901.678245229592,1054.0519769661191,0.9762079999462316,0.9897627191570598,0.9974083963054117,0.9985916309086803
FL-Broward,2397.952847974086,25.421215092474487,792.2607398062571,8.879466584087307,779.9326519599424,977.0943804685487,0.9901887308612483,0.9940142347992884,0.9983400672021775,0.999069308077382
FL-Miami-Dade,1933.0229691842187,62.73032856806548,742.5409382940736,23.91164495698618,857.6028365537599,1933.384547421385,0.998609733225202,0.9917459972183771,0.9996897398854898,0.9984455423970381
GA-Fulton,1233.3883397237296,20.075437517488275,444.7167045505665,8.092271247291722,310.8250789405891,425.90907282212845,0.9738914535015665,0.9829072466756275,0.9953618970196043,0.9961549789041206
IL-Cook,4388.291225477637,149.92923417900224,927.5016402760302,32.356666095205085,3057.110060433398,5761.119127254232,0.9883037912075381,0.9942414140105532,0.9991573180859838,0.99944921857768
LA-Jefferson,904.7076604992683,27.72609654898353,295.930078193984,3.197336077939279,453.96675319931023,540.975819766151,0.9579952694950699,0.9765095924128667,0.9956147905594556,0.9995137191548464
MA-Middlesex,272.400153393617,28.20509818027212,75.91392874003402,4.432080329025681,370.0816432512321,1236.3973311371885,0.9990781145837614,0.9987211444102925,0.9998701571001813,0.999936871188333
MD-Prince George's,1794.6523150682042,22.12254487926387,457.9569883383355,3.4814776503076734,1357.908821316745,1063.8958668934413,0.9504798566511411,0.994505912351199,0.9953509860286203,0.9997362193909864
MN-Hennepin,877.5694574455724,28.786162893935007,145.3222871983854,3.800805978535101,189.2486745543646,120.50437465981075,0.9841732454036594,0.9927448604350053,0.9993867353656164,0.999744540216052
NC-Mecklenburg,3258.785870102572,13.382331976468345,937.233715092416,4.431969662833074,333.5950149175451,355.75025595595343,0.8626456064303104,0.9766565724274159,0.9814695209088888,0.9965267564830421
NJ-Bergen,718.8308791105069,96.83721576786522,133.24987887205614,27.733828585058514,282.0096714521396,1261.5663568081054,0.9872252464162129,0.9825671309720483,0.9994377089263997,0.9974646173373932
NJ-Hudson,912.0126089150739,67.43060489999573,93.56003341500339,12.607814762085775,567.5651286217671,1341.296615114845,0.9788489608660079,0.9850431767423924,0.9996904342872738,0.9990716038134375
NV-Clark,1487.2210915476,16.617115849772215,474.0040770478925,5.588542297344164,377.15040495365025,652.4627144979138,0.9936454605677355,0.9970356452919527,0.9990651758832257,0.9995811389360495
NY-New York,3451.241894944136,207.90067373670803,695.2279163160075,22.535648563879228,507.3686000697163,2647.4039856036125,0.8657140308288725,0.9697259328701945,0.992546240501461,0.9993026029744161
OH-Franklin,1814.0723705452212,21.163807113017825,559.3768181070579,9.314705011997427,255.3530630080766,294.9549114215287,0.9180135675943574,0.9881865853523547,0.9887141356046656,0.9963874704817083
PA-Philadelphia,610.8895455844363,46.25094393397871,118.86685666848224,6.91066198192757,1058.764778288445,1952.0696100786745,0.9965410510145336,0.9950641802409987,0.9998207340654822,0.999792252969677
TN-Shelby,1172.7345758036204,18.65579617896293,442.1994433036717,3.15788811140643,646.7720509747531,701.5320739582642,0.9815709897580012,0.9774289477055768,0.9961717521808702,0.9989891639755589
TX-Dallas,1737.6535575297723,50.74533691296496,801.0098074626311,22.316559545327625,495.7981196928189,550.3642654914945,0.994475851513993,0.9769519968631878,0.9982642687833231,0.9937526322063698
TX-Harris,2928.245384463981,112.0862416070299,908.1828546717284,44.707599020621764,1019.9022647403148,1350.4304552336455,0.9922693255492446,0.9695317822890211,0.9988770742664235,0.9932649367527264
UT-Salt Lake,718.3260925113608,3.5889369027420024,167.91886049987787,1.2589192978960986,157.49086660402554,198.71060736938088,0.9912230186226337,0.9976179342543803,0.9992835011223246,0.9995664908317227
VA-Fairfax,1017.8322616827784,14.42202986159218,192.71453742369064,2.5168270307901226,559.2512938556795,538.3087394713178,0.9710847414841531,0.9953274247795812,0.9982988284068565,0.999721193630989
WI-Milwaukee,3596.663818077158,24.339643427869035,1370.2206460285745,8.55943765162048,709.936835898505,882.3074219654216,0.6366720998217159,0.9788431144520489,0.947370397259169,0.9958832215942971
