series,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,52504.58970741405,52485.45179855087,52469.58962145587,52445.6332358904,52407.90607423422,52348.80217583594,52257.287317234164,52118.023488324274,51911.17449546956,51613.58666705228,51201.77446878056,50656.09957235061,49964.46948590629,49124.04705290852,48140.77120625272,47027.534082671235,45801.961158682236,44484.36003913858,43096.05301459761,41658.12146087895,40190.5172281793,38711.47691097603,37237.17600057799,35781.56734020322,34356.35692011827,32971.07823839247,31633.233784258497,30348.478618398552,29120.82656580907,27952.86425864042,26845.962227690678,25800.475503982663,24815.928822400238,23891.183588348358,23024.58534908755,22214.091677113225,21457.38119448637,20751.945010337477,20095.16216834393,19484.360858830845,18916.86718542384,18390.043225322566,17901.316014479555,17448.19894699813,17028.306919044404,16639.366383949182,16279.221325594403,15945.836007268894,15637.295216275506,15351.802602309937,15087.67760043251,14843.351336914408,14617.3618374307,14408.34879076329,14215.048065997702,14036.286135751248,13870.974520907243,13718.104342395569,13576.74104161772,13446.019312157976,13325.138270575386,13213.356882581385,13109.989652137456,13014.40257442136,12926.009348764564,12844.267844191569,12768.676807794707,12698.772804613323,12634.127376758677
E,0.0,19.13790886318012,32.13457688095976,51.2794690694085,81.32858266169654,128.25519494573552,200.56647033754797,309.799586621061,470.2624495213039,697.43812750894,1004.8232799905599,1400.046512635911,1882.0483675330156,2440.672683531449,3058.5078867395946,3713.7962252744064,4383.304384268358,5044.595632593962,5677.5779934274815,6265.408765856496,6794.896623383611,7256.540625642795,7644.323506264738,7955.35160911494,8189.411396628878,8348.493796307004,8436.322643953834,8457.911635938435,8419.165006182482,8326.530143598919,8186.705174285642,8006.400817200984,7792.153295005028,7550.183494638944,7286.296711042674,7005.816990148425,6713.550161712036,6413.769994045878,6110.222411822929,5806.143317727781,5504.286191129252,5206.9562607974,4916.04863605224,4633.088314336412,4359.27045396087,4095.4997056435263,3842.4277366726683,3600.4883611277,3369.9299143189546,3150.844686047882,2943.1953622476426,2746.8385246562275,2561.5453295490524,2387.019534745806,2222.9130739491507,2068.839393114488,1924.3847684659922,1789.117822825675,1662.5974484230153,1544.379332140309,1434.0212646556388,1331.0873992650202,1235.151610113285,1145.8000837302443,1062.6332625663,985.2672449215979,913.3347324290316,846.4856041667446,784.3871855633397
I,5.0,4.181954752029975,6.363258186833742,10.133664939589021,16.153753713809085,25.688139535558612,40.688910650268134,64.06254927613801,99.96746642897094,154.02403468584836,233.25135454636586,345.54098589712044,498.63558514593853,698.852407965793,949.95447313968,1252.4821096783987,1603.6294670754664,1997.5710452843612,2426.0750087763345,2879.247963636312,3346.2933159328404,3816.2057617943815,4278.357993828135,4722.960466159563,5141.392025592152,5526.410044742503,5872.25495614256,6174.667077669734,6430.834347878233,6639.288821877604,6799.768088013129,6913.05557446633,6980.81132591574,7005.4024539055645,6989.740239255643,6937.128874670626,6851.12912363788,6735.43875088873,6593.790442473689,6429.867058566766,6247.233420104394,6049.283388082335,5839.200717821553,5619.93202718739,5394.17017776562,5164.346405045626,4932.629625267532,4700.931474148755,4470.915781258865,4244.011341708904,4021.4270053034,3804.168256063562,3593.0545977842003,3388.7371913720153,3191.7163057300254,3002.358245456963,2820.911505869526,2647.5219795574103,2482.2470998832914,2325.068856756361,2175.905659929093,2034.6230562864966,1901.0433313610774,1774.954042779208,1656.115545587804,1544.2675773740236,1439.1349756104514,1340.4326014570054,1247.8695439458563
R,0.0,0.818045247970025,1.502250890394782,2.5433375146639223,4.201296804334172,6.844197096826105,11.047009192077034,17.704083192582793,28.185295994220844,44.54087816698538,69.74060409657109,107.9026365304163,164.43626882881966,246.0175630082972,360.3561412820624,515.7772897900193,720.6946973879964,983.0629903971542,1309.8836906126317,1706.811517042295,2177.882539918306,2725.3664090008497,3349.732206743194,4049.710291936329,4822.429365074754,5663.607627972082,6567.778323059165,7528.532375407334,8538.763787544272,9590.906483297113,10677.154217424608,11789.65781176408,12920.696264093054,14062.820170521194,15208.967408028195,16352.552165481784,17487.529227577776,18608.435952141976,19710.414684773514,20789.218472288667,21841.202910756576,22863.306833211762,23853.024339060714,24808.37041889213,25727.842156643168,26610.377212775726,27455.311019879457,28262.33386486871,29031.448795560733,29762.931077347333,30457.289739430504,31115.231589779858,31737.627942650102,32325.484190532945,32879.912261737176,33402.105933091356,33893.31891217129,34354.8455626354,34788.004117490025,35194.1222063594,35574.524512253935,35930.52236928115,36263.40511380223,36574.43300648324,36864.83155049538,37135.78704092686,37388.443191579856,37623.89869717697,37843.20560114617
G,5.0,5.0,7.865509077228524,12.677002454252943,20.35505051814326,32.53233663238472,51.73591984234517,81.7666324687208,128.15276242319177,198.56491285283374,302.991958642937,453.4436224275368,663.0718539747583,944.8699709740902,1310.3106144217422,1768.2593994684178,2324.3241644634627,2980.6340356815153,3735.958699388966,4586.059480678607,5524.1758558511465,6541.572170795231,7628.090200571329,8772.670758095892,9963.821390666906,11190.017672714584,12440.033279201725,13703.199453077068,14969.598135422504,16230.195305174717,17476.922305437736,18702.71338623041,19901.507590008794,21068.22262442676,22198.707647283838,23289.68104015241,24338.658351215654,25343.874703030706,26304.2051272472,27219.08553085543,28088.436330860968,28912.590221294093,29692.225056882264,30428.302446079517,31122.012334408784,31774.72361782135,32387.940645146988,32963.26533901747,33502.3645768196,34006.94241905624,34478.71674473391,34919.39984584342,35330.6825404343,35714.221381904965,36071.62856746721,36404.464178548325,36714.230418040825,37002.36754219281,37270.25121737332,37519.191063115766,37750.43017218303,37965.14542556764,38164.44844516331,38349.38704926245,38520.94709608319,38680.054618300885,38827.57816719031,38964.33129863398,39091.07514509203
