series,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10
S,109542.02155790718,109539.93739566363,109537.50557379854,109534.66812741657,109531.35743742823,109527.49462631739,109522.98768867113,109517.72931310235,109511.59434527985,109504.43683382633,109496.08659171974,109486.34519539919,109474.98133188908,109461.72539077593,109446.26318267369,109428.22864879566,109407.19540736292,109382.66696184863,109354.06537363102,109320.71817783373,109281.84329655621,109236.5316792902,109183.72737754567,109122.20474173327,109050.54241627916,108967.09380815379,108869.95372050435,108756.92088505556,108625.45620525391,108472.63665098895,108295.1049433496,108089.01545708021,107849.97717696048,107572.99510481505,107252.41226251378,106881.85541038032,106454.18883286936,105961.48205405952,105394.99912722938,104745.21914093991,104001.89966913302,103154.19682634313,102190.85698699311,101100.495528928,99871.97641904025,98494.90217828657,96960.21581906962,95260.90401325902,93392.77385544013,91355.25498462253,89152.15685136087,86792.29163849472,84289.86234638462,81664.51894891384,78941.0081395498,76148.385244239,73318.81603447547,70486.06101827999,67683.79072163359,64943.91290526482,62295.09212473671,59761.60798583167,57362.63975064536,55111.996740903334,53018.25225691041,51085.19525730434,49312.49366689389,47696.46405839166,46230.85843606264,44907.602442891344,43717.44402392972,42650.493079822634,41696.64888658706,40845.92275158556,40088.669283177805,39415.74196604077,38818.58866416274,38289.301227319746,37820.63129314037,37405.982140050895,37039.3843384783,36715.46110724083,36429.387755525364,36176.848371380496,35953.99197162066,35757.389611696795,35583.99342308819,35431.09815994653,35296.305562022426,35177.49164967136,35072.77693718952,34980.49946610346,34899.19050765147,34827.55275409795,34764.440804756356,34708.84374959282,34659.86965738856,34616.73178404767
I,5.0,5.834162243558433,6.807443547759969,7.943029042789642,9.267961770437923,10.813782438674123,12.617274475269788,14.721331425236057,17.17596639142278,20.039486247096413,23.3798567919155,27.276288914479686,31.821080195963678,37.12175126012288,43.303521547324415,50.51217503852952,58.91737271163682,68.71647504800382,80.13894450362395,93.45140417501605,108.9634344087732,127.03419307259051,148.07994654898042,172.5825957241439,201.09927224721537,234.27306231077804,272.84488438252635,317.66649873568247,369.71455385340266,430.10546965502147,500.11080988061946,581.1725936798535,674.9177253796099,783.170366180135,907.960616936372,1051.5273148357446,1216.3120636377641,1404.9408265381521,1620.1885467337588,1864.921396339797,2142.0105190617305,2454.210732086184,2803.997888414662,3193.3598743761086,3623.5390156698313,4094.7285025060505,4605.7327360964955,5153.611357882972,5733.338676231112,6337.5228779909285,6956.240291754858,7577.04543168229,8185.213365871818,8764.253421874642,9296.700875770031,9765.148552138318,10153.430623867273,10447.827984095948,10638.141284718353,10718.483779907534,10687.683615458765,10549.246850499107,10310.903373060642,9983.820539537504,9581.609888646055,9119.264416090611,8612.149902478404,8075.142035361027,7521.962148849793,6964.727604808639,6413.704122568108,5877.229036033162,5361.765970260441,4872.05061269683,4411.291427930379,3981.3958880848227,3583.2002179416486,3216.687600299224,2881.1856344037897,2575.5383788923223,2298.251585741837,2047.6119205438536,1821.7822921233546,1618.876103237387,1437.013477187881,1274.362467814772,1129.1680394696825,999.7712927439234,884.6210674820436,782.2797129625936,691.4244972037862,610.8458439889018,539.4433414436639,476.22025963626,420.27714406879363,370.80491321512505,327.07777711560703,288.44620617760074
R,0.0,1.25,2.7085405608896083,4.4104014478296,6.396158708527011,8.713149151136491,11.416594760805022,14.57091337962247,18.251246235931482,22.545237833787176,27.55510939556128,33.40007359354016,40.21914582216008,48.174415871151,57.45485368618172,68.28073407301282,80.9087778326452,95.6381210105544,112.81723977255535,132.85197589846135,156.21482694221535,183.45568554440865,215.21423381255627,252.23422044980137,295.37986938083736,345.6546874426412,404.2229530203357,472.43417411596727,551.8507987998879,644.2794372632386,751.805804676994,876.8335071471488,1022.1266555671122,1190.8560869120147,1386.6486784570484,1613.6388326911415,1876.5206614000776,2180.5986773095187,2531.8338839440567,2936.8810206274966,3403.1113697124456,3938.613999477878,4552.1666824994245,5253.16615460309,6051.506123197118,6957.390877114575,7981.073002741088,9132.506186765211,10420.909026235953,11854.243695293731,13438.624414791464,15177.68448773018,17071.945845650753,19118.24918711871,21309.31254258737,23633.487761529876,26074.774899564454,28613.132555531272,31225.08955155526,33884.62487273484,36564.24581771173,39236.16672157642,41873.47843420119,44451.20427746635,46947.159412350724,49342.56188451224,51622.37798853489,53775.415464154496,55794.20097299475,57674.6915102072,59415.87341140936,61019.299442051386,62488.606701059674,63829.04819362478,65047.06084679899,66149.88370378158,67145.23267580279,68041.0327302882,68845.20463036302,69565.50103896396,70209.38563368705,70783.9485301225,71295.85151025846,71751.2970832893,72156.01610909865,72515.26947839562,72833.86009534932,73116.15210521674,73366.09492840272,73587.25019527323,73782.82012351387,73955.67624781482,74108.38770881204,74243.24854417295,74362.30360908201,74467.37289509921,74560.07412340298,74641.84356768189
G,5.0,7.084162243558433,9.515984108649578,12.353430490619242,15.664120478964934,19.526931589810616,24.03386923607481,29.292244804858527,35.427212627354265,42.58472408088359,50.93496618747678,60.67636250801984,72.04022601812376,85.29616713127388,100.75837523350613,118.79290911154234,139.82615054428203,164.35459605855823,192.95618427617933,226.30338007347743,265.1782613509886,310.4898786169992,363.29418036153675,424.8168161739453,496.47914162805273,579.9277497534192,677.067837402862,790.1006728516497,921.5653526532906,1074.38490691826,1251.9166145576132,1458.0061008270022,1697.044380946722,1974.0264530921495,2294.6092953934203,2665.166147526886,3092.8327250378416,3585.5395038476704,4152.022430677815,4801.802416967293,5545.121888774175,6392.824731564062,7356.164570914086,8446.526028979197,9675.045138866946,11052.119379620623,12586.80573883758,14286.11754464818,16154.247702467062,18191.766573284658,20394.86470654632,22754.729919412464,25257.159211522565,27882.502608993345,30606.013418357394,33398.63631366819,36228.20552343172,39060.960539627216,41863.23083627361,44603.108652642375,47251.92943317049,49785.41357207552,52184.38180726184,54435.02481700386,56528.769300996784,58461.82630060286,60234.527891013306,61850.55749951553,63316.163121844555,64639.41911501585,65829.57753397748,66896.52847808457,67850.37267132013,68701.09880632164,69458.35227472939,70131.27959186643,70728.43289374447,71257.72033058746,71726.39026476683,72141.03941785631,72507.63721942891,72831.5604506664,73117.63380238185,73370.17318652672,73593.02958628656,73789.63194621041,73963.02813481902,74115.92339796068,74250.71599588478,74369.52990823584,74474.24462071768,74566.52209180375,74647.83105025574,74719.46880380926,74782.58075315086,74838.17780831439,74887.15190051866,74930.28977385955
