series,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,29236.38572036614,29233.599498811862,29229.818275842652,29224.687097061185,29217.724698584563,29208.27882619648,29195.465972968057,29178.090290441625,29154.534823364356,29122.616261032723,29079.392143132896,29020.907117147795,28941.862948096736,28835.19665497397,28691.554572990484,28498.66126040256,28240.607639099286,27897.13288334971,27443.063291011436,26848.21287055621,26078.247294612138,25097.22834189708,23872.664063941076,22383.621149815222,20631.41761798891,18650.359687372187,16513.47578754645,14327.261158309957,12212.830397221634,10278.736711154366,8597.58433304257,7197.143136367868,6067.173279568232,5174.454119988145,4477.31767217944,3935.254879803735,3513.448241538241,3183.9257716269467,2925.0350034827643,2720.3296591904536,2557.4124022544092,2426.942863530406,2321.8568980011028,2236.7777539887425
I,5.0,6.786221554278324,9.21020021263347,12.499338951574398,16.961869637882977,23.01536809838864,31.225147707136113,42.355800692139155,57.440107630981785,77.87064843642062,105.52063664896177,142.9015353042704,193.36539729447543,261.3586109583466,352.7289707501639,475.07648918805256,638.1148126537176,853.9666058725495,1137.2428770363122,1504.6447220842774,1973.6813536114948,2559.9640356042532,3272.5355064394075,4107.071319277379,5037.860587248214,6011.346400415294,6945.961020157973,7742.983445362869,8308.817517378619,8581.147699970163,8546.070538087926,8237.297627145042,7719.807958515669,7068.565526392622,6351.988868922803,5623.653887513947,4920.729748276652,4266.106268532616,3671.775782970275,3142.1259706685305,2676.618033470869,2271.763965500698,1922.4971379298618,1623.07685435625
R,0.0,1.0,2.357244310855665,4.1992843533823585,6.699152143697239,10.091526071273835,14.694599690951563,20.939629232378785,29.41078937080662,40.898810897002974,56.4729405842871,77.57706791407946,106.15737497493355,144.83045443382863,197.10217662549798,267.6479707755308,362.6632686131413,490.28623114388483,661.0795523183947,888.5281277256571,1189.4570721425125,1584.1933428648115,2096.1861499856623,2750.693251273544,3572.1075151290197,4579.679632578663,5781.948912661722,7171.141116693317,8719.73780576589,10381.501309241614,12097.730849235646,13806.94495685323,15454.40448228224,16998.366073985373,18412.0791792639,19682.47695304846,20807.20773055125,21791.35368020658,22644.574933913103,23378.930090507158,24007.355284640864,24542.67889133504,24997.03168443518,25381.53111202115
G,5.0,7.786221554278324,11.567444523489137,16.698623304956758,23.661021781580217,33.10689416966248,45.91974739808768,63.29542992451795,86.85089700178841,118.76945933342361,161.99357723324889,220.47860321834986,299.52277226940896,406.1890653921753,549.8311473756619,742.7244599635833,1000.7780812668589,1344.2528370164341,1798.3224293547066,2393.172849809934,3163.138425754007,4144.1573784690645,5368.721656425069,6857.764570550922,8609.968102377232,10591.026032993954,12727.909932819692,14914.124562056182,17028.555323144505,18962.649009211775,20643.801387323572,22044.242583998275,23174.21244079791,24066.931600377997,24764.068048186702,25306.130840562408,25727.937478827902,26057.459948739197,26316.35071688338,26521.05606117569,26683.973318111734,26814.442856835736,26919.52882236504,27004.6079663774
