series,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,15333.98927465688,15331.367704059983,15328.125563236401,15324.116357264696,15319.159223189672,15313.030980689027,15305.456404232567,15296.096350926216,15284.533320458228,15270.253966792678,15252.628032929215,15230.883152683205,15204.074977142,15171.05216936874,15130.416015751196,15080.474793822854,15019.193708851566,14944.142290469781,14852.442781721818,14740.725428690126,14605.099841312824,14441.1557964573,14244.011797904479,14008.434722778604,13729.05751088681,13400.72153092454,13018.96221461747,12580.636316745173,12084.65326387475,11532.722317794713,10929.971194882597,10285.251536157983,9610.952135898226,8922.21754058016,8235.61696554211,7567.483622827501,6932.271280631601,6341.284224642696,5802.015620806494,5318.134992463386,4889.989392967444,4515.391733167376,4190.473933683526,3910.4475653399604,3670.194706079686,3464.6756889747,3289.177769051591,3139.4430469566687,3011.713805843882,2902.7265495694987,2809.677547046712,2730.1751122425676,2662.1880345203353,2603.995514263952,2554.1413176831056,2511.3932496856546,2474.708118325111,2443.20187726017,2416.1244106790177,2392.8383553310914,2372.80136624523,2355.5512841917157,2340.693729731569,2327.8917176030855
I,6.0,7.421570596897349,9.179397301100508,11.352723812585056,14.039313125092196,17.359693000718494,21.462330857034942,26.529917991978692,32.78696486157187,40.5089255548074,50.03307430730845,61.77133969185611,76.22524729469133,94.00300560901135,115.83855810475328,142.612068412145,175.37073970100414,215.34801014258852,263.9779168620329,322.89968652131813,393.94533659435666,479.1003141310084,580.4242498576283,699.9164750119783,839.3103919013749,999.7842934833712,1181.5867510937674,1383.5952987473106,1602.8592918682714,1834.2183795746553,2070.12582657184,2300.820319982086,2514.9556562454254,2700.6991203144057,2847.1598712895748,2945.8612397462703,2991.901333992916,2984.5081231832373,2926.8751023827926,2825.3807102493415,2688.450167695416,2525.357793956401,2345.2040346489703,2156.189596062742,1965.204536110468,1777.6826459933607,1597.6440367177972,1427.8499514691603,1270.009202288115,1124.994618104875,993.0446970066866,873.9381924094937,767.1376316498274,671.9026255762454,587.3762970418429,512.6491056309251,446.8044158652833,388.94977375716775,338.2372855868864,293.87588381743524,255.13769613980975,221.36023896536196,191.9457456324362,166.35860863443227
R,0.0,1.2000000000000002,2.6843141193794704,4.520193579599572,6.790738342116583,9.598600967135022,13.070539567278722,17.36300573868571,22.66898933708145,29.226382309395824,37.3281674203573,47.334782281818995,59.68905022019022,74.93409967912848,93.73470080093075,116.90241242188141,145.4248261043104,180.49897404451121,223.5685760730289,276.36415944543546,340.9440967496991,419.73316406857043,515.5532268947721,631.6380768662978,771.6213718686934,939.4834502489683,1139.4403089456425,1375.757659164396,1652.4767189138581,1973.0485772875124,2339.8922532024435,2753.9174185168117,3214.081482513229,3717.072613762314,4257.212437825196,4826.64441208311,5415.816660032364,6014.196926830947,6611.098551467594,7196.473571944152,7761.549713994021,8299.239747533104,8804.311306324384,9273.352113254177,9704.590032466725,10097.63093968882,10453.167468887492,10772.69627623105,11058.266266524883,11312.268106982505,11537.26703060348,11735.875970004818,11910.663608486717,12064.091134816683,12198.471659931933,12315.946919340302,12418.476740466487,12507.837623639543,12585.627578390977,12653.275035508354,12712.05021227184,12763.077751499803,12807.349799292875,12845.738948419363
G,6.0,8.62157059689735,11.863711420479978,15.872917392184629,20.83005146720878,26.958293967853518,34.532870424313664,43.8929237306644,55.455954198653316,69.73530786420322,87.36124172766576,109.10612197367512,135.91429751488155,168.93710528813986,209.57325890568404,259.5144808340264,320.79556580531454,395.8469841870998,487.5464929350619,599.2638459667537,734.8894333440559,898.833478199579,1095.9774767524004,1331.554551878276,1610.9317637700683,1939.2677437323396,2321.02706003941,2759.352957911707,3255.33601078213,3807.266956862168,4410.018079774284,5054.737738498898,5729.037138758655,6417.77173407672,7104.372309114771,7772.505651829381,8407.71799402528,8998.705050014185,9537.973653850388,10021.854282193495,10449.999881689439,10824.597541489507,11149.515340973358,11429.541709316924,11669.794568577197,11875.313585682185,12050.811505605294,12200.546227700217,12328.275468813004,12437.262725087387,12530.311727610173,12609.814162414317,12677.80124013655,12735.993760392934,12785.847956973781,12828.596024971232,12865.281156331775,12896.787397396716,12923.864863977868,12947.150919325793,12967.187908411655,12984.437990465169,12999.295544925315,13012.097557053798
