series,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,81435.3,81432.59524521285,81428.64700959812,81422.88757890846,81414.49449699259,81402.28121573913,81384.54626866634,81358.87121728309,81321.86211898178,81268.8429562969,81193.53949631691,81087.84518644217,80941.83374886974,80744.24376516689,80483.63031546219,80150.16218519752,79737.6486507282,79245.04945236244,78676.80914424454,78041.91290298715,77352.16323836303,76620.377401447,75858.98903874985,75079.2005739737,74290.60679586326,73501.13441488546,72717.15660852636,71943.68457833643,71184.57829221063,70442.74674294672,69720.32504955339,69018.82494101921,68339.25965233009,67682.2461310593,67048.0879719137,66436.8423793409,65848.37408183939,65282.39867415956,64738.51743195465,64216.24526231976,63715.03313221391,63234.28605257969,62773.37748210538,62331.660842928155,61908.47870345836,61503.170074192596,61115.07617526833,60743.544965030036,60387.934663370645,60047.61645917856,59721.97655556577,59410.41767786959,59112.36014628396,58827.24259626554,58554.522414687715,58293.67594738249,58044.1985236608,57805.604335193784,57577.426199920286,57359.21523613671,57150.540467399835,56950.98837514894,56760.16241288495,56577.68249321223,56403.184456957584,56236.31953185265,56076.75378683633,55924.16758685128,55778.25505203025,55638.72352435842,55505.29304422941,55377.695838759406,55255.67582326867,55138.98811696406,55027.39857354806,54920.68332722735,54818.6283543879,54721.02905103635,54627.689825972215,54538.42370954749,54453.051977783936,54371.40379155129,54293.31585045741,54218.63206106226,54147.203218998766,54078.8867045638,54013.5461913293,53951.051367316766,53891.277668276016,53834.106022610365,53779.42260749535,53727.118615744934,53677.090032988184,53629.23742472988,53583.465732880046,53539.68408134981,53497.80559032388,53457.74719883329,53419.42949526552,53382.77655546255,53347.71578807106,53314.17778682204,53282.09618943047,53251.4075428183,53222.051174376546,53193.96906899457,53167.1057515962,53141.40817493386,53116.825612402856,53093.309555648484,53070.813616748856,53049.29343476611,53028.706586468026,53009.012501031124,52990.172378544754,52972.14911214423,52954.90721360858,52938.41274226633,52922.63323705969,52907.53765162453,52893.09629225006,52879.28075858828,56544.37920312428,60208.62716827401,63871.78929668127,67533.79794968275,71194.57019406889,74854.00570424984,78511.9842853549,82168.36292045067,85822.9722275215,89475.6121890969,93126.04698826653,96773.9987478227,100419.13992255715,104061.0840360041,104021.05906316388,103979.31489866607,103935.78770512555,103890.41216404267,103843.12152276332,103793.8476505037,103742.52110400968,103689.07120341327,103633.42611883431,103575.51296825477,103515.25792716433,103452.58635043839,103387.42290686407,103319.69172667392,103249.31656238108,103176.22096313386,103100.32846272051,103021.56278125703,102939.84804048232,102855.10899246538,102767.27126139973,102676.26159802068,102582.00814603335,102484.44071978376,102383.4910922435,102279.09329221283,102171.18390947852,102059.70240649449,101944.59143498706,101825.79715572625,101703.26955955112,101576.96278759597,101446.83544853632,101312.85093056335,101174.97770570537,101033.18962404854,100887.46619536729,100737.79285566302,100584.16121612655,100426.56929208916,100265.0217096088,100099.52988745301
I,5.0,7.304754787148661,10.668610018912148,15.574551907068422,22.721669670375327,33.11721735019896,48.2027870349807,70.02161545542718,101.42898452029803,146.33382844355424,209.9305821480549,298.83044545095987,420.93544738730105,584.8505952991659,798.6759973799298,1068.2500478542022,1395.3035784951974,1776.2784905813396,2202.416519452727,2661.119439153903,3137.97954864571,3618.727021670096,4090.617222633642,4543.156309599091,4968.297582941608,5360.306157284088,5715.459471060453,6031.694743565557,6308.265450206113,6545.435763453539,6744.222595770585,6906.184896643119,7033.255393600782,7127.608483383504,7191.557963858427,7227.478919322556,7237.748903278264,7224.704398695828,7190.609289005071,7137.632715519555,7067.834228383837,6983.154569747346,6885.410774641872,6776.294551847747,6657.373127169723,6530.091906261906,6395.778452685217,6255.647386708696,6110.805897431389,5962.259629828969,5810.918763055436,5657.604139707181,5503.053340116239,5347.926622925355,5192.812674669152,5038.234128000842,4884.652821482469,4732.47478423089,4582.054936765919,4433.70150560822,4287.680153896441,4144.217833835622,4003.5063693927577,3865.7057795140563,3730.9473534075787,3599.336490239905,3470.9553160370347,3345.865090739115,3224.108418301024,3105.7112725087677,2990.684850837078,2879.0272682401182,2770.725102271645,2665.754800394523,2564.083959778959,2465.672489317351,2370.473663011407,2278.435073322048,2189.499492520416,2103.6056495435078,2020.6889293435813,1940.6820012287424,1863.5153822243205,1789.1179410415286,1717.4173478216944,1648.3404744309228,1581.8137497109578,1517.763473746615,1456.116094887638,1396.798452962279,1339.737991840311,1284.862944243502,1232.1024914607717,1181.3869004022142,1132.647640219869,1085.8174805325154,1040.830573115846,997.6225187571657,956.1304208243633,916.2929269613799,878.0502601959621,841.3442406293053,806.1182987705268,772.3174814810566,739.8884514043259,708.7794806739554,678.9404396184115,650.3227811112794,622.8795211533806,596.5652162154829,571.3359378178747,547.1492447751941,523.9641534912579,501.74110664886166,480.44194060332103,460.02985175558183,440.4693621507852,421.72628452097393,403.76768696593945,386.5618574438211,370.0782682227854,354.28754042675075,339.16140879151766,330.6064129593592,323.70787917585176,318.4229587139984,314.7269554385984,312.61421284741925,312.0993210124559,313.21871889855476,316.0327800436455,320.62848647555404,327.1228178886077,335.6670116321001,346.45188539938573,359.7144604432134,375.7461809014849,392.4277639873109,409.7797007104121,427.8225964277492,446.5771162563501,466.0639250625235,486.3036218191821,507.3166681445839,529.1233108622724,551.7434984537254,575.1967913125294,599.5022657520863,624.6784117681466,650.7430246130456,677.7130903004419,705.6046652276343,734.4327501770099,764.2111590385922,794.9523826815996,826.6674484938108,859.365776202619,893.0550306900044,927.7409726141377,963.4273077516459,1000.1155360752037,1037.8048016793994,1076.4917447619023,1116.1703569548642,1156.831841381097,1198.4644788787482,1241.0535018947012,1284.5809775886137,1329.0257017142371,1374.3631048504756,1420.565172539767,1467.600380854284,1515.433648849982,1564.026309283869,1613.3360988606655,1663.3171691414345,1713.920119089394,1765.0920500482305
IH,0.0,0.2,0.36355568365277136,0.5564710522261186,0.8215462288762764,1.2020170416227853,1.7536013828495634,2.5538446101566477,3.712146505824199,5.381755192729439,7.773711177994681,11.171096906823891,15.93937196203231,22.525023519994672,31.431570759835274,43.16268747945733,58.13163409023972,76.55510652636659,98.3681038989429,123.19710151943623,150.40488648346044,179.18777568676637,208.6881998776274,238.09036937372377,266.68343433664836,293.89187603853463,319.28093817797117,342.5465853052008,363.497817994477,382.03662142195856,398.1385881057869,411.8356852846948,423.2016777267441,432.3401958280069,439.3751936291761,444.4434532505379,447.68878568064173,449.25760876946663,449.2956277454525,447.9453895724868,445.3445245742855,441.62452503557626,436.9099407004149,431.3178957389919,424.9578516227722,417.9315562428675,410.3331322670728,402.2492677903814,393.7594803163755,384.93643143791235,375.8462746056982,366.5490223537339,357.0989225060009,347.54483538906777,337.93060605490916,328.2954270834763,318.6741887696851,309.09781447136004,299.5935796564284,290.18541378164616,280.8941845951334,271.73796480801104,262.7322813481002,253.89034760830975,245.22327924792873,236.74029420775906,228.44889766887454,220.3550527270207,212.46333757611708,204.7770899996703,197.2985399619341,190.02893107438018,182.96863168989873,176.11723634906656,169.47365827134178,163.0362135503914,156.80269767789034,150.7704549847988,144.93644155391337,139.29728212283305,133.84932146272553,128.58867068565814,123.51124890194853,118.6128206191067,113.8890292455505,109.33542703542093,104.94750178550089,100.72070057144337,96.65045078820691,92.73217873873492,88.96132599545015,85.33336374100574,81.84380527787792,78.48821688073858,75.2622271510406,72.1615350198217,69.18191653231636,66.31923053649865,63.56942338709839,60.92853276688228,58.39269071801056,55.958125968018564,53.62116562737638,51.37823632860384,49.225864870513554,47.16067842528213,45.179404360666325,43.2788697247512,41.45600043610502,39.70782021808894,38.031449312297916,36.42410300266397,34.883089978608965,33.40581056276565,31.989754826171918,30.632500611461957,29.331711482411016,28.085134616219275,26.89059865312906,25.746011516343156,24.649358213735706,23.598698631509507,22.592165328741302,19.988957376217364,18.500756830290676,17.596372718089032,17.017600747065806,16.638828245591412,16.399116215883005,16.269363906928227,16.236461490859817,16.295676728724168,16.44704203184461,16.69369653979718,17.041197544464442,17.497329386454666,18.072187819338637,18.778440298989395,19.565630404613792,20.409887797324615,21.300211041492346,22.23182796846435,23.20298094318535,24.213369399818674,25.263394227153498,26.35379003497193,27.485444965271903,28.659311096902677,29.87635852444634,31.137550405703944,32.44382799132322,33.79610032304129,35.19523603415306,36.64205601723156,38.137326370588085,39.681751350097954,41.27596620794969,42.92052987739092,44.61591750268218,46.36251283557739,48.16060053305269,50.010358400179335,51.91184962909974,53.86501509099583,55.86966574315616,57.92547521789841,60.03197266420148,62.18853591639308,64.39438506704153,66.64857652321722,68.94999762642016,71.29736191662057,73.6892051199419,76.12388193745662,78.59956370930949,81.11423702389018,83.66570333603721,86.2515796512748
IN,0.2,0.3921683793478348,0.6690020009396478,1.0695495522616394,1.6506500967343443,2.494880556613941,3.7218744601625824,5.504244397126931,8.089573244868497,11.829960281221839,17.22007461270045,24.942992438779388,35.91948998326605,51.35036878091714,72.7336095496791,101.83253925159732,140.5749720784392,190.88246594571177,254.459010256782,332.5915388356083,426.0126625803625,534.8499966944495,658.6553661616394,796.4883602255302,947.0256391537362,1108.6738147027684,1279.6724972754266,1458.181328329494,1642.3495030443808,1830.3688296220464,2020.51248852445,2211.1619556898436,2400.8244433682544,2588.1429276477556,2771.900498968487,2951.02045155548,3124.563244761562,3291.721230709337,3451.811846799199,3604.269813625495,3748.6387527044503,3884.5625384738673,4011.7766202590633,4130.099488089265,4239.424407931089,4339.711514285645,4430.980318937526,4513.3026721692895,4586.796195553468,4651.618192388875,4707.960032074532,4756.041997512932,4796.10857944978,4828.4241980502,4853.269329632892,4870.937015057291,4881.72972556473,4885.956561738919,4883.930761535669,4875.9674939273655,4862.3819155280535,4843.487468542088,4819.594399459823,4791.008479066185,4758.029905499979,4720.952373278614,4680.062292365922,4635.638142495839,4587.949949061726,4537.258867932905,4483.816867561638,4427.866497692507,4369.640734880315,4309.362895862024,4247.246610613266,4183.495847651835,4118.30498483094,4051.8589194958104,3984.3332124607746,3915.894260802512,3846.69949496127,3776.897596097951,3706.62873007353,3636.0247948007373,3565.209678068666,3494.2995232612234,3423.403000682341,3352.621582466637,3282.0498192957975,3211.7756173601415,3141.88051420344,3072.4399522686954,3003.5235491248095,2935.1953635002874,2867.514156381733,2800.53364655305,2734.3027600572077,2668.8658731571586,2604.2630484570614,2540.5302639201996,2477.699634586813,2415.7996268541892,2354.8552652335393,2294.888331544045,2235.91755654462,2177.958804038924,2121.0252475194998,2065.1275394430477,2010.2739732512116,1956.470638270224,1903.721567638683,1852.02887942594,1801.392911114354,1751.8123476272679,1703.284343091243,1655.80463652606,1609.3676616594407,1563.966651065577,1519.5937348275013,1476.2400339232586,1433.8957485348785,1392.5502414774012,1352.1921169428103,1312.809294750749,1274.6264293435008,1237.6627911713235,1201.9351821411142,1167.4587583835562,1134.2478562839135,1102.3168344446754,1071.6809467712856,1042.3572647967012,1014.3656708461416,987.7299478784553,962.478997050904,938.6482205139835,916.2811149872344,895.4311317066786,876.0648575478422,858.1510074212191,841.6603455163468,826.5656074463288,812.8414230405987,800.464239535265,789.4122449127276,779.6652911455651,771.2048171041538,764.0137708932438,758.0765313899961,753.3788287649434,749.907663778167,747.6512256558741,746.5988083676633,746.7407251422728,748.068221079631,750.5733837397161,754.2490516141607,759.0887204147778,765.0864471442475,772.2367519480797,780.5345177835575,789.9748879805577,800.5531618107312,812.2646882252417,825.1047579667893,839.0684943085705,854.1507427206793,870.3459598126994,887.6481019492552,906.0505139824191,925.5458185903898,946.1258067549919,967.7813299505186,990.5021946524156,1014.2770598054959,1039.0933379169714,1064.9371004588393,1091.7929882763626
D,0.01,0.01,0.038635966989462346,0.09068980976902322,0.17036524317971574,0.28799409663180736,0.46009869825521366,0.7111790548149917,1.076838104578302,1.6083426285824507,2.3789014488042897,3.49194013219764,5.091415943497109,7.373612590184703,10.598741739961856,15.09910885348982,21.27913532268092,29.60241309693896,40.56356061375799,54.647889494088645,72.28723015562873,93.82217697759975,119.47825312500687,149.35819513893716,183.44793492841143,221.63162503991498,263.71101534346815,309.4256073736129,358.47137091937674,410.5169285035339,465.21686890255853,522.2222862337009,581.1888516781764,641.782798044517,703.6851959242595,766.5948636280281,830.2302039078534,894.3302103493701,958.6548406218062,1022.9849144449489,1087.1216613893469,1150.8860169125821,1214.1177435158609,1276.674436712186,1338.4304618339168,1399.2758568888294,1459.1152281309562,1517.8666582823691,1575.460642052273,1631.8390594529108,1686.9541941713983,1740.7678017350042,1793.2502302557102,1844.3795950399822,1894.1410072077795,1942.5258556063663,1989.5311406701358,2035.1588584201477,2079.415432478732,2122.3111917652136,2163.859891414587,2204.078274402578,2242.9856713527074,2280.6036360314592,2316.9556140967325,2352.0666427446895,2385.9630789947346,2418.6723544568595,2450.2227545361206,2480.643220142624,2509.9631700897676,2538.212342476863,2565.4206534633067,2591.6180719492017,2616.8345087810376,2641.0997192002455,2664.4432173468253,2686.894201719639,2708.4814905792937,2729.2334663588335,2749.17802822179,2768.342551976633,2786.7538566215,2804.438176853417,2821.421140932296,2837.7277533419838,2853.3823817388093,2868.40874772259,2882.829921006187,2896.6683165976256,2909.945694643742,2922.683162616465,2934.901179552401,2946.6195620835474,2957.8574920218402,2968.633525283093,2978.965601956776,2988.8710573472117,2998.3666338292605,3007.468493377521,3016.192230642665,3024.552886461799,3032.5649617018607,3040.242431346071,3047.5987587434847,3054.6469099507835,3061.3993681037186,3067.8681477630967,3074.0648091869925,3080.0004724870096,3085.685831631953,3091.131168267295,3096.3463653233202,3101.3409203889096,3106.1239588315675,3110.7042466475837,3115.0902030291563,3119.2899126379302,3123.3111375767535,3127.161329053543,3130.8476387330043,3134.376929773604,3137.755787548635,3138.1189681299643,3138.4403008156287,3138.7377099184255,3139.020580585316,3139.294147197556,3139.5616248486326,3139.825249006561,3140.08678732994,3140.347796730198,3140.6097580456085,3140.8741526354743,3141.142512322367,3141.416458265161,3141.697736759976,3141.98825639732,3142.290129403515,3142.604656892183,3142.932756249072,3143.275168006242,3143.632555980706,3144.005555734598,3144.3947979983036,3144.8009199466983,3145.224570563886,3145.6664131113057,3146.12712615555,3146.6074038579754,3147.107955863193,3147.6295069468974,3148.172796498093,3148.7385778695066,3149.327617610133,3149.940694584388,3150.5785989779592,3151.2421311885373,3151.9321005989505,3152.6493242302126,3153.3946252723435,3154.1688314913686,3154.9727735116207,3155.8072829732782,3156.6731905659944,3157.5713239404636,3158.5025055008537,3159.467550082162,3160.467262517755,3161.502435103591,3162.5738449668884,3163.6822513483144,3164.828392808034,3166.0129843672635,3167.2367145981993,3168.5002426763976,3169.8041954107966,3171.149164267599
R,0.0,0.007831620652165285,0.12318673139001146,0.33115877022808343,0.651271768260002,1.126675215811831,1.8253697574289218,2.847899199396166,4.340338642657914,6.513157157019026,9.667234295537675,14.22833862908057,20.790525854162812,30.16663464284585,43.4397651083994,62.00343136372553,87.57202928524634,122.14207148720465,167.89366153324625,227.0411280098141,301.66243377180786,393.5456275241007,504.0819194522503,634.2161916890243,784.4486127763467,954.8721120492535,1145.2294696163326,1354.9771570897271,1583.3475656250448,1829.4051140522295,2092.094409143256,2370.280235129459,2662.779981295973,2968.389464036931,3285.903175705968,3614.1299329025187,3951.904780532312,4298.097877316457,4651.620963873839,5011.431904517772,5376.537700734184,5745.996297250948,6118.917438777423,6494.462784683669,6871.845447984154,7250.329092128169,7629.226692710908,8007.89905001924,8385.753121275859,8762.240227712788,9136.854180527176,9509.129360821571,9878.638781388323,10244.992152329864,10607.833967747561,10966.84162686954,11321.72359985219,11672.217645944911,12018.08908964298,12359.129158780857,12695.153387165967,13026.000083262777,13351.528865561673,13671.619264567771,13986.16939079021,14295.094667676394,14598.326628097118,14895.811772729894,15187.51048849478,15473.396025057626,15753.453527320185,16027.67912175674,16296.07905442618,16558.66887848114,16815.47268900735,17066.52240305284,17311.857082745046,17551.522299441367,17785.569536913397,18014.055631624833,18237.042248226706,18454.595388459737,18666.7849317213,18873.68420562296,19075.369584933032,19271.92011736665,19463.417174753104,19649.94412817596,19831.586045746168,20008.429411730867,20180.56186582172,20348.071961385413,20511.04894159597,20669.582532403347,20823.762751345483,20973.67973126172,21119.423558013987,21261.084121368684,21398.750978236705,21532.51322751147,21662.459395785496,21788.677333264655,21911.25411923623,22030.275976481928,22145.828194060516,22257.99505791649,22366.85978880151,22472.504487023973,22575.01008356946,22674.45629716072,22770.921596850345,22864.48316976281,22955.21689362444,23043.197313741082,23128.49762410295,23211.189652315094,23291.34384806964,23369.029274892982,23444.313604917003,23517.263116438517,23587.94269404555,23656.415831102477,23722.744634398943,23786.989830779534,23848.391285558202,23907.55348233508,23964.816067693602,24020.39024588554,24074.42500922862,24127.03944237193,24178.338642057002,24228.42174752109,24277.386200405337,24325.330237110466,24372.354594879638,24418.563921275912,24464.068142256925,24508.98393483248,24553.436402696905,24597.52411330769,24641.332474062252,24684.940246901584,24728.422740095488,24771.853389661304,24815.304559054082,24858.84795805311,24902.554874778663,24946.496314596912,24990.743091186625,25035.365891573245,25080.435325574632,25126.021964601525,25172.1963720914,25219.029126564197,25266.590837664568,25314.952155255443,25364.183771486416,25414.35641569745,25465.54084199547,25517.80780933956,25571.228053981176,25625.872254124497,25681.810986696946,25739.11467614995,25797.853535244718,25858.09749781689,25919.91614355727,25983.378614892987,26048.553526104206,26115.508864865773,26184.311886459982,26255.029000966068,26327.72565379305,26402.46619998479,26479.313772788588,26558.330147040957,26639.575597984945,26723.10875619233
G,5.0,7.70475478714866,11.65299040188404,17.412421091553284,25.805503007425663,38.01878426087933,55.75373133367698,81.42878271692192,118.43788101822693,171.457043703107,246.760503683092,352.45481355784136,498.46625113025937,696.0562348331083,956.6696845378054,1290.1378148024721,1702.6513492718034,2195.2505476375613,2763.4908557554554,3398.3870970128496,4088.136761636969,4819.922598553012,5581.310961250166,6361.099426026307,7149.693204136751,7939.16558511456,8723.143391473652,9496.615421663591,10255.721707789393,10997.553257053307,11719.974950446636,12421.475058980817,13101.040347669928,13758.053868940713,14392.212028086316,15003.45762065912,15591.925918160632,16157.901325840458,16701.782568045368,17224.054737680257,17725.266867786104,18206.01394742032,18666.922517894636,19108.639157071862,19531.821296541657,19937.129925807418,20325.22382473168,20696.755034969978,21052.365336629366,21392.683540821457,21718.32344443424,22029.882322130423,22327.939853716056,22613.05740373447,22885.777585312295,23146.624052617517,23396.101476339212,23634.69566480623,23862.87380007973,24081.084763863306,24289.759532600183,24489.311624851078,24680.137587115063,24862.61750678778,25037.11554304243,25203.98046814736,25363.546213163685,25516.132413148727,25662.044947969764,25801.57647564159,25935.0069557706,26062.604161240608,26184.624176731344,26301.311883035953,26412.90142645195,26519.61667277266,26621.671645612103,26719.270948963658,26812.610174027788,26901.876290452514,26987.248022216067,27068.896208448714,27146.98414954259,27221.667938937742,27293.09678100123,27361.413295436192,27426.753808670703,27489.248632683237,27549.02233172399,27606.19397738964,27660.877392504655,27713.181384255073,27763.209967011822,27811.062575270127,27856.83426711996,27900.615918650197,27942.49440967613,27982.552801166716,28020.87050473449,28057.523444537455,28092.58421192895,28126.12221317797,28158.203810569536,28188.892457181708,28218.24882562346,28246.330931005436,28273.194248403808,28298.891825066148,28323.47438759715,28346.990444351522,28369.486383251155,28391.006565233904,28411.593413531984,28431.28749896889,28450.12762145526,28468.150887855787,28485.392786391436,28501.887257733688,28517.66676294033,28532.762348375487,28547.203707749955,28561.019241411745,28574.23611301065,28588.303463995828,28603.456651723478,28619.763314856922,28637.306386605705,28656.18619255967,28676.522927589514,28698.45960862866,28722.165617692743,28747.840972252274,28775.721489217547,28806.0850457963,28839.259187196767,28875.630389884733,28915.655362724967,28957.399527222784,29000.926720763295,29046.30226184617,29093.59290312552,29142.866775385148,29194.193321879167,29247.643222475577,29303.288307054547,29361.201457634077,29421.45649872451,29484.128075450455,29549.29151902477,29617.02269921492,29687.397863507762,29760.493462754977,29836.385963168326,29915.15164463181,29996.866385406527,30081.605433423465,30169.443164489112,30260.45282786817,30354.706279855498,30452.273706105087,30553.223333645346,30657.621133676013,30765.53051641031,30877.01201939434,30992.122990901764,31110.91727016258,31233.44486633772,31359.75163829287,31489.87897735251,31623.86349532549,31761.736720183464,31903.524801840296,32049.24823052155,32198.921570225815,32352.553209762278,32510.14513379967,32671.69271628003,32837.18453843582
H,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,51496.414425888775,47818.099109753864,44139.78379361895,40461.46847748404,36783.15316134913,33104.83784521422,29426.52252907931,25748.2072129444,22069.891896809488,18391.576580674577,14713.261264539664,11034.945948404751,7356.630632269838,3678.315316134926,1.3642420526593924e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
