series,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,25664.281765914482,25624.280703295186,25591.064876082877,25556.011222706034,25515.698089823214,25468.41565066988,25413.24681257866,25349.725908954042,25277.680179920015,25197.140304039287,25108.281902964925,25011.383965135545,24906.798175108524,24794.925960823155,24676.201216812246,24551.077257412973,24420.01694045344,24283.48517953793,24141.943267519477,23995.844583946244,23845.63136889394,23691.73232534551,23534.56087035079,23374.513897682773,23211.970946017984,23047.293689959748,22880.825688730518,22712.892340665843,22543.80100187088,22373.84123535163,22203.285163181867,22032.387899229307,21861.388043944473,21690.50822593697,21519.955677692895,21349.922834949175,21180.587951030706,21012.115718947094,20844.657895294036,20678.353921053855,20513.331535275494,20349.707378363728,20187.587582343116,20027.068346002176,19868.2364932821,19711.170013664603,19555.938583644744,19402.604068655863,19251.22100505171,19101.837061951734,18954.493482924438,18809.225507624895,18666.062773619942,18525.02969873129,18386.145844305727,18249.42625988504,18114.88180979853,17982.519482239702,17852.342681417555,17724.35150339338,17598.54299622707
E,0.0,40.00106261929656,68.69730725357275,95.98908800278129,125.45674375547091,158.56425663821426,195.8174643717768,237.2136257396213,282.4574025263224,331.0833873276078,382.53381443180035,436.21057137234766,491.510428235761,547.8485686012081,604.6737858516614,661.477732506833,717.7999540300735,773.2299652840212,827.4072811873635,880.0200599339737,930.8028331240197,979.533663812502,1026.0309768801183,1070.150236033051,1111.780590733007,1150.8415791362127,1187.2799458869329,1221.0666136559441,1252.1938326919003,1280.6725219603795,1306.5298076627926,1329.8067593103508,1350.5563195285438,1368.8414209784946,1384.7332818997593,1398.3098705769587,1409.6545283382516,1418.8547403768657,1426.0010436486582,1431.1860612633927,1434.5036530973998,1436.0481727663573,1435.9138215754176,1434.1940905840952,1430.9812824657417,1426.366105391388,1420.4373317142413,1413.281514766157,1404.9827575951108,1395.6225279690534,1385.279514443795,1374.0295187391155,1361.9453800872514,1349.096927611066,1335.5509571557664,1321.3712293385918,1306.618485896276,1291.3504817012972,1275.6220300860978,1259.4850593607928,1242.98867863563
I,22.0,21.12,24.794782578032194,31.564863902544417,41.1477464765749,53.676762888104236,69.44532273023432,88.79225207780166,112.04251424201455,139.47470475177656,171.30369053187437,207.6727237994327,248.65174801106295,294.23975201054355,344.3696886905796,398.9149138870578,457.6964127678686,520.4903059187152,587.0352897970774,657.0397830318185,730.1886335728019,806.1493010898387,884.5774709733498,965.1220856494995,1047.4297991883516,1131.1488748758493,1215.9325543593245,1301.441932480615,1387.3483749403974,1473.3355171935536,1559.1008829731613,1644.3571599592372,1728.8331686275092,1812.2745584399618,1894.444263425175,1975.1227469546893,2054.108063233679,2131.2157607493277,2206.278650700621,2279.146461298042,2349.6853967904744,2417.7776181616664,2483.32066064675,2546.2268015531436,2606.422390329445,2663.847151408118,2718.4534690488,2770.205662223813,2819.0792565100605,2865.0602589756913,2908.144441169217,2948.3366345266686,2985.650041802418,3020.1055674951567,3051.7311696762117,3080.5612351270233,3106.635979250765,3130.000871834543,3150.70608939851,3168.8059945720483,3184.358642680642
R,0.0,0.88,1.7248,2.716591303121288,3.9791858592230644,5.625095718286061,7.77216623381023,10.549979143019604,14.101669226131671,18.583369795812253,24.162357985883315,31.01450560715829,39.3214145591356,49.267484479578115,61.03707455999986,74.81186210762304,90.76845866310535,109.07631517382009,129.8959274105687,153.3773390024518,179.65893032372455,208.86647566663663,241.11244771023019,276.4955465491642,315.10042997514415,356.9976219426782,402.2435769377122,450.88087911208515,502.9385564113098,558.4324914089257,617.3659120966678,679.7299474155942,745.5042338139637,814.657560559064,887.1485428966624,962.9263134336694,1041.931223311857,1124.095545841204,1209.3441762711773,1297.595322299202,1388.7611807511237,1482.7485966227428,1579.4597013492094,1678.7925277750794,1780.6415998372051,1884.898495450383,1991.4523815067078,2100.19052026866,2210.9987467576125,2323.761917018015,2438.3643273770426,2554.690105023811,2672.6235704048777,2792.0495720769745,2912.853794776781,3034.9230415638294,3158.1454909689105,3282.4109301389412,3407.610965012323,3533.6392085882635,3660.3914483711455
G,22.0,22.0,26.519582578032193,34.2814552056657,45.12693233579796,59.30185860639028,77.21748896404455,99.34223122082126,126.14418346814621,158.0580745475888,195.46604851775768,238.687229406591,287.97316257019855,343.50723649012167,405.40676325057944,473.7267759946808,548.4648714309739,629.5666210925352,716.931217207646,810.4171220342702,909.8475638965263,1015.0157767564751,1125.68991868358,1241.6176321986636,1362.5302291634957,1488.1464968185273,1618.1761312970364,1752.3228115926997,1890.2869313517067,2031.7680086024789,2176.4667950698285,2324.087107374831,2474.3374024414725,2626.9321189990255,2781.592806321837,2938.0490603883586,3096.039286545536,3255.3113065905322,3415.6228269717985,3576.7417835972446,3738.4465775415983,3900.526214784409,4062.7803619959595,4225.019329328223,4387.06399016665,4548.745646858501,4709.905850555507,4870.396182492472,5030.078003267672,5188.822175993705,5346.508768546259,5503.026739550479,5658.273612207295,5812.15513957213,5964.584964452991,6115.4842766908505,6264.781470219674,6412.411801973482,6558.317054410832,6702.4452031603105,6844.750091051786
