series,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,29687.547776822394,29678.596928482853,29670.27541060139,29648.813374161677,29623.39730077561,29574.765469849302,29514.198721430363,29421.70495157974,29311.98455722001,29172.015572928492,29016.57708537192,28840.56499594018,28654.22957670928,28456.836185458804,28253.997023887874,28046.472216270027,27837.08922788019,27626.789708467662,27417.019355316363,27208.510383890985,27002.03897101513,26798.092570142744,26597.102620513804,26399.36711890169,26205.124530648354,26014.542288778775,25827.743102367425,25644.80773880445,25465.786271319135,25290.70250608308,25119.559793969038,24952.344592178535,24789.02990610453,24629.57781881635,24473.94169437523,24322.067921744336,24173.8973840718,24029.366657804007,23888.409014102333,23750.955246950183,23616.9343638091,23486.274159925466,23358.901697230354,23234.74370309331,23113.726902328683,22995.77829306802,22880.825375482487,22768.79634071973,22659.62022624154,22553.227042715946,22449.5478768004,22348.514973462487,22250.061800919957,22154.123100808272,22060.6349257902,21969.534666491294,21880.76106936748,21794.254246876826,21709.95568112957
E,0.0,8.95084833954092,4.311527486055239,19.530467145630823,16.66640154480992,41.16526378255422,42.124662693576695,73.62187230490042,76.73771052511049,105.59040133507754,108.13386578897742,127.56799265079111,129.1848111671328,139.51844662376612,140.33473632306868,144.65468364178957,144.5775230249364,145.52862209310828,144.57336235070773,143.73993809281995,142.07575457353482,140.29629870903236,138.1370457483711,135.8499455521132,133.38165572313255,130.82710603392871,128.1884917872707,125.50677116930956,122.79428902620526,120.07178191029695,117.35041512102868,114.64208026258524,111.95490169111804,109.29616200932074,106.67131761086694,104.08489912315679,101.54038263491427,99.04051755612326,96.58737743294537,94.18251049227169,91.82700964853416,89.52159748996684,87.26668361150676,85.06241907568324,82.90873876150347,80.8053985260494,78.75200570600627,76.74804523852595,74.79290155820618,72.88587723281282,71.02620872338201,69.21307978611183,67.4456328490059,65.72297868759655,64.04420464816424,62.4083816378494,60.814570060949166,59.26182485528247,57.74919975762832
I,8.0,7.661833574070634,20.29880044954497,25.683850629845885,52.87831262028368,74.77607256034884,131.22257741792077,186.67225390638697,285.3860239304455,384.43882094665105,521.0833062908214,655.6346589482685,812.6390559963352,965.347906148065,1126.5647466196297,1282.1488101759594,1437.4114991017989,1585.999380791026,1729.683525918691,1865.910809608354,1995.1728573049663,2116.5611547585895,2230.241617227487,2335.990114453765,2433.956814034687,2524.208296009904,2606.945784447547,2682.365176313699,2750.7133953531943,2812.2448029973316,2867.233035167136,2915.9563283399484,2958.6983767703155,2995.7426468058625,3027.3711676611206,3053.861947813528,3075.487804452582,3092.515055946531,3105.20274432111,3113.8019641847914,3118.5554380095846,3119.697210735002,3117.452480341566,3112.0375186042165,3103.6596740549644,3092.5174361415498,3078.8005504840935,3062.6901734260096,3044.3590578749645,3023.9717629950424,3001.684882019599,2977.6472832549343,2952.000360302494,2924.8782881773764,2896.408282610961,2866.7108602998373,2835.9000982754906,2804.083890905992,2771.3642033266788
R,0.0,0.33816642592936563,0.6620382854055011,1.520084885240004,2.605761881689838,4.840970630186963,8.001815280532972,13.54869903136519,21.439485146827934,33.50298161217183,49.75351937067537,71.78012928315337,99.49433294964768,133.84523859175948,174.65126999182047,222.27206673461816,276.46952681546725,337.2300654705956,404.2715332366316,477.386645230235,556.2601939287632,640.5977532120257,730.0664933327312,824.3405979148247,923.0847764162196,1025.9700859997865,1132.670398220152,1242.8680905349338,1356.2538211238584,1472.5286858316858,1591.404532565191,1712.6047760413257,1835.8645922564303,1960.9311491908595,2087.563597175174,2215.5330081413704,2344.6222056630945,2474.6255455157298,2605.3486409660036,2736.6080551951445,2868.2309653551706,3000.054808671957,3131.926915638965,3263.704136049183,3395.252461677243,3526.4466490867762,3657.1698451498055,3787.3132174381267,3916.7755911476843,4045.4630938785926,4173.288809279012,4300.172440318859,4426.0399827509345,4550.823409149146,4674.460363773064,4796.893868393409,4918.072039118471,5037.947814184291,5156.478692608514
G,8.0,8.0,20.96083873495047,27.203935515085888,55.48407450197351,79.6170431905358,139.22439269845373,200.22095293775214,306.8255090772734,417.94180255882287,570.8368256614967,727.4147882314218,912.1333889459828,1099.1931447398244,1301.21601661145,1504.4208769105774,1713.881025917266,1923.2294462616214,2133.9550591553225,2343.2974548385887,2551.433051233729,2757.158907970615,2960.3081105602178,3160.330712368589,3357.041590450906,3550.1783820096903,3739.6161826676985,3925.2332668486324,4106.967216477052,4284.773488829017,4458.637567732327,4628.561104381273,4794.562969026745,4956.673795996721,5114.934764836294,5269.394955954897,5420.110010115675,5567.140601462259,5710.551385287112,5850.410019379934,5986.786403364753,6119.752019406957,6249.379395980529,6375.741654653398,6498.912135732206,6618.964085228325,6735.970395633897,6850.003390864134,6961.134649022647,7069.434856873633,7174.97369129861,7277.8197235737925,7378.040343053428,7475.701697326523,7570.868646384026,7663.604728693247,7753.972137393962,7842.031705090283,7927.842895935193
