series,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,5617.832811803191,5616.336573069447,5614.527544100676,5612.3405778908555,5609.6970707056735,5606.502234179765,5602.641838371487,5597.9783343621175,5592.346254567271,5585.546780154714,5577.341359786591,5567.444265307664,5555.513982410925,5541.143364129099,5523.8485312440025,5503.056598727522,5478.092457484218,5448.165066694514,5412.354038691926,5369.597752307062,5318.6848359198275,5258.251629634544,5186.789149551887,5102.664063576055,5004.159084099388,4889.538691661737,4757.145760614915,4605.532831299934,4433.627750268024,4240.926617460315,4027.6974434108674,3795.1667732362216,3545.6515531319988,3282.5940919243535,3010.464042971454,2734.511030830826,2460.383250881755,2193.6630153294805,1939.3970138992697,1701.7050809702992,1483.5322626349184,1286.5716636962904,1111.3444235029738,957.3927596865894,823.5299514033334,708.0961994487551,609.1845505203722,524.8186346051863,453.07840276714717,392.17923345382684,340.5140131186696,296.6685294030448,259.41929838648036,227.72096909395495
I,6.0,7.256238733744284,8.775018153165178,10.610983636859553,12.830051476566993,15.511685943413205,18.751614313954665,22.665053750766585,27.390531395582656,33.09438455231653,39.97602953834619,48.27408283573968,58.27340241904959,70.31308460411375,84.79539410504563,102.195510857324,123.07183166633496,148.0763491893859,177.96432322439887,213.60203668028618,255.9708716003095,306.16524302158115,365.381113383375,434.89095482387245,516.0002961075847,609.9806767009316,717.9743806797161,840.8683347675092,979.1386824087181,1132.6742679200784,1300.5964712527234,1481.1032825772604,1671.3743713783929,1867.5768577309025,2065.0038323745657,2258.3566912202114,2442.1502035204735,2611.184430931929,2761.0030551248624,2888.2548658488386,2990.8974895502656,3068.222188906883,3120.720541543924,3149.8433836985514,3157.7124566338653,3146.837710323089,3119.8758508385486,3079.446732720193,3028.0090952494243,2967.7879007527677,2900.741605057814,2828.5574245711264,2752.664358604846,2674.2561135531773
R,0.0,0.24,0.5302495493497714,0.8812502754763785,1.3056896209507607,1.8188916800134405,2.4393591177499685,3.189423690308155,4.096025840338819,5.191647096162125,6.515422478254786,8.114463659788633,10.04542697321822,12.376363069980204,15.188886454144754,18.58070221834658,22.66852265263954,27.591395919292935,33.51444988686837,40.63302281584433,49.177104283055776,59.41593914706816,71.6625488679314,86.2777934032664,103.67343159622129,124.31344344052468,148.71267050856193,177.43164573575058,211.06637912645095,250.2319264227997,295.5388971396028,347.5627559897117,406.8068872928021,473.6618621479378,548.3649364571739,630.9650897521566,721.299357400965,818.985365541784,923.4327427790611,1033.8728649840555,1149.403059618009,1269.0389592000195,1391.7678467562948,1516.5966684180519,1642.5904037659939,1768.8989020313484,1894.7724104442718,2019.5674444778138,2142.7453137866214,2263.8656775965983,2382.5771936267092,2498.606857829022,2611.749154811867,2721.8557291560605
G,6.0,7.496238733744284,9.305267702514948,11.49223391233593,14.135741097517752,17.33057762342664,21.190973431704627,25.854477441074735,31.48655723592147,38.28603164847865,46.491452016600974,56.3885464955283,68.3188293922678,82.68944767409394,99.98428055919037,120.77621307567055,145.74035431897448,175.66774510867882,211.4787731112672,254.23505949613048,305.14797588336523,365.58118216864926,437.0436622513064,521.1687482271388,619.673727703806,734.2941201414561,866.687051188278,1018.2999805032597,1190.205061535169,1382.906194342878,1596.1353683923262,1828.666038566972,2078.181258671195,2341.23871987884,2613.3687688317395,2889.3217809723674,3163.449560921438,3430.1697964737127,3684.4357979039232,3922.1277308328936,4140.300549168274,4337.2611481069025,4512.488388300219,4666.4400521166035,4800.302860399859,4915.736612354437,5014.6482612828195,5099.014177198005,5170.754409036044,5231.653578349365,5283.318798684521,5327.1642824001465,5364.413513416711,5396.111842709236
