series,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,4070.935764370175,4068.4035157291864,4065.0997048667305,4060.790927289919,4055.174356422243,4047.8579269766756,4038.3354471921866,4025.9557616590473,4009.885257320387,3989.063495630421,3962.1528006949666,3927.4845901531708,3883.008585724565,3826.2563509907714,3754.338336817178,3664.003645390741,3551.8023818363495,3414.397005439292,3249.0620413334896,3054.37657313386,2831.037238337234,2582.6025896651204,2315.863084788681,2040.5058106933925,1767.9121077360178,1509.2957457919001,1273.7737637554328,1067.0662501327488,891.2157293570395,745.2130726679039,626.0763913404246,529.9172823635869,452.7292917995528,390.8465624312273,341.1407642010968,301.0541615672813,268.5494518184201,242.02825041261835,220.24617382323163
I,6.0,7.833039365462854,10.22402793127036,13.34134964761833,17.40318794502023,22.691538984774823,29.56966301357903,38.50345143784043,50.08696071231793,65.07184448345933,84.39939987917961,109.23213654692013,140.97878713234175,181.3020759302503,232.0920745767585,295.37994411651357,373.1591415491457,467.07846244313583,577.9824943258444,705.3128423381137,846.4586302163618,996.2513246224532,1146.8928016770803,1288.5970616113068,1411.0242615863647,1505.2070815816303,1565.3199381132679,1589.613081753577,1580.2182339860808,1542.0703495822086,1481.5020489194922,1405.0144955105018,1318.4692914896812,1226.7043611737568,1133.456314793783,1041.4557226430834,952.5945155050352,868.1052300681513,788.7227684915215
R,0.0,0.6992092755257878,1.6120315721741643,2.8034874326373256,4.3582200029118985,6.386298408724684,9.030654164409613,12.476551273287326,16.963546337469786,22.800424256294523,30.38356379602891,40.21903767008432,52.948391513268646,69.37733744915347,90.50535297623875,117.55217486292082,151.97424098468002,195.4602964877472,249.89122871084118,317.2463488982014,399.43989581657917,498.08185008260136,614.1798779044134,747.8328920654754,897.9993950477922,1062.4329369966442,1237.8420625014737,1420.2564324838486,1605.5018010270542,1789.652342120062,1969.3573241102577,2142.003986496086,2305.7371810809404,2459.3848407651903,2602.338685375295,2734.42588015981,2855.7917970467192,2966.802283889405,3067.9668220554213
G,6.0,8.53224864098864,11.836059503444522,16.144837080255655,21.761407947932128,29.077837393499507,38.60031717798864,50.98000271112776,67.05050704978773,87.87226873975385,114.78296367520852,149.45117421700445,193.92717864561038,250.67941337940377,322.59742755299726,412.9321189794344,525.1333825338257,662.538758930883,827.8737230366855,1022.559191236315,1245.898526032941,1494.3331747050545,1761.0726795814935,2036.4299536767821,2309.023656634157,2567.6400185782745,2803.162000614742,3009.869514237426,3185.720035013135,3331.722691702271,3450.8593730297503,3547.018482006588,3624.206472570622,3686.0892019389476,3735.795000169078,3775.881602802893,3808.3863125517546,3834.907513957556,3856.689590546943
