series,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
S,2866.588796142133,2860.2047681161484,2855.1089197198157,2850.2276522000366,2844.952969628057,2838.886075770608,2831.7100437911654,2823.124257244311,2812.808384251705,2800.400313050747,2785.480561522583,2767.5596852368903,2746.067292945227,2720.3424798606216,2689.62632719312,2653.0578545132093,2609.675578906952,2558.427675410023,2498.194611783471,2427.828912927271,2346.217124960918,2252.3686481951027,2145.534252799335,2025.3530146079797,1892.0194360968105,1746.4525175779609,1590.4366263943775,1426.6932888046895,1258.838907452428,1091.192560279382,928.4253041873043,775.0860213782117,635.0866130459384,511.26019684241624,405.0996986858263,316.73571859438965,245.13966364973683,188.47393143211278,144.48328517198797,110.83624204590998,85.36589938215076,66.2022058342755,51.81591005235785,41.004734009690225,32.8498470166697,26.66267913470696,21.933739130892352,18.28877274491055,15.45369252437911,13.22771238987906,11.463334093526628,10.051699908746876,8.911985797772475,7.9837626414918486,7.2215048309552845,6.590638902729054,6.064692016553393,5.623225150347883,5.250326965209545,4.933509514107345
E,0.0,6.384028025984647,10.841473619719075,14.638593777526225,18.449416971753134,22.671369132026946,27.58026419826699,33.408024325294754,40.3830948853716,48.75285659779203,58.79732246617719,70.83846650525177,85.24701214638984,102.4471240163565,122.91856428222275,147.19518053391113,175.8579380867774,209.52004777502907,248.801106624078,294.2866948178697,346.4698133024357,405.67130873800784,471.938573259975,544.9259541253325,623.7669372239684,706.9571620204213,792.2773370019623,876.7929408914541,956.9680281545701,1028.917572512159,1088.7930713530209,1133.2530470268114,1159.9271506564037,1167.7608517942856,1157.145264771447,1129.794718385739,1088.411301491818,1036.2359035602603,976.6029594643591,912.5897066440011,846.8010786433603,781.2846643268995,717.5424936761272,656.5994203511821,599.0943653090844,545.3720966601387,495.56382699793943,449.6524106841273,407.522249836246,368.9960049871214,333.8607827847617,301.88633869106525,272.83741893293313,246.48190019592045,222.59596798686496,200.9672371164047,181.3964602909399,163.6982811280514,147.7013512003846,133.24803353144836
I,5.0,4.0,3.8384028025984644,4.154869604050679,4.787755060993166,5.6751457459698464,6.807253509978572,8.203829227809557,9.90386581477712,11.961402140358857,14.444407372066289,17.43525814427075,21.03205316594178,25.350343747392408,30.524987399549577,36.711846347861936,44.08899513168066,52.85698991402227,63.23759670872072,75.47018802938437,89.80481990529447,106.49083725447915,125.7598006773841,147.80169786790478,172.73395370685708,200.5638566878825,231.1468015523481,264.14517494207473,298.9954340428052,334.89315004970115,370.8062772909768,405.5243289680835,437.744767877148,466.18852936735874,489.72690867331556,507.4960534157972,518.9763145712117,524.0221818061511,522.8413358009469,515.9333645871934,504.00566233415486,487.88463773165995,468.4361766180179,446.503190662027,422.8624945647398,398.19943218270026,373.0967554121741,348.03378702953324,323.39227069203935,299.46604153725605,276.472433728517,254.56402526128977,233.83985407813833,214.35562515580398,196.13269014423523,179.16574891407467,163.4293228429002,148.88310430341414,135.47631155553645,123.15118436446762
R,0.0,1.0,1.8,2.567680560519693,3.398654481329829,4.356205493528462,5.491234642722431,6.852685344718146,8.493451190280057,10.474224353235481,12.866504781307253,15.755386255720511,19.242437884574663,23.448848517763018,28.5189172672415,34.62391474715142,41.966284016723804,50.78408304305994,61.35548102586439,74.00300036760854,89.09703797348541,107.05800195454431,128.35616940544014,153.50812954091697,183.06846911449793,217.61525985586934,257.7280311934459,303.9573915039155,356.78642649233046,416.58551330089153,483.56414331083175,557.7253987690272,638.8302645626438,726.3792181380734,819.6169240115452,917.5623057462083,1019.0615164293677,1122.85677934361,1227.6612157048403,1332.2294828650297,1435.4161557824684,1536.2172882492994,1633.7942157956313,1727.4814511192349,1816.7820892516402,1901.3545881645882,1980.9944746011283,2055.613825683563,2125.2205830894695,2189.899037227877,2249.792245535328,2305.086732281032,2355.99953733329,2402.7675081489174,2445.638633180078,2484.8651712089254,2520.6983209917403,2553.3841855603205,2583.160806421003,2610.2560687321106
G,5.0,5.0,5.638402802598465,6.7225501645703725,8.186409542322995,10.031351239498308,12.298488152701003,15.056514572527702,18.397317005057175,22.435626493594334,27.310912153373536,33.19064439999126,40.27449105051643,48.79919226515541,59.043904666791065,71.33576109501334,86.05527914840445,103.6410729570822,124.59307773458511,149.4731883969929,178.90185787877988,213.54883920902344,254.11597008282422,301.3098274088217,355.802422821355,418.17911654375183,488.874832745794,568.1025664459902,655.7818605351356,751.4786633505926,854.3704206018085,963.2497277371106,1076.5750324397918,1192.5677475054322,1309.3438326848607,1425.0583591620054,1538.0378310005794,1646.8789611497612,1750.502551505787,1848.162847452223,1939.4218181166232,2024.101925980959,2102.230392413649,2173.984641781262,2239.64458381638,2299.5540203472883,2354.0912300133023,2403.6476127130964,2448.612853781509,2489.3650787651336,2526.2646792638457,2559.650757542322,2589.8393914114286,2617.1231333047217,2641.771323324314,2664.030920123,2684.127643834641,2702.2672898637347,2718.6371179765397,2733.407253096578
