State - County,beta,gamma,gamma2,a2
CT-New Haven,"7.988, (7.831, 12.88)","0.04, (0.04, 0.068)","0.061, (0.04, 0.081)","0.149, (0.068, 0.178)"
DE-New Castle,"5.183, (4.537, 8.995)","0.04, (0.04, 0.081)","0.04, (0.04, 0.07)","0.061, (0.01, 0.071)"
DE-Sussex,"6.268, (6.147, 6.855)","0.042, (0.04, 0.045)","0.04, (0.04, 0.043)","0.04, (0.017, 0.043)"
DC-District of Columbia,"5.442, (5.323, 6.756)","0.04, (0.04, 0.059)","0.057, (0.04, 0.06)","0.084, (0.029, 0.082)"
FL-Broward,"36.545, (9.681, 94.134)","0.045, (0.04, 0.057)","0.04, (0.04, 0.142)","0.01, (0.01, 0.057)"
FL-Duval,"10.704, (5.072, 35.124)","0.04, (0.04, 0.09)","0.052, (0.04, 0.14)","0.01, (0.01, 0.04)"
FL-Hillsborough,"6.019, (3.986, 58.117)","0.043, (0.04, 0.2)","0.055, (0.04, 0.2)","0.01, (0.01, 0.087)"
FL-Lee,"7.747, (4.838, 24.594)","0.04, (0.04, 0.195)","0.075, (0.04, 0.173)","0.019, (0.01, 0.097)"
FL-Miami-Dade,"8.253, (5.049, 47.476)","0.04, (0.04, 0.115)","0.042, (0.04, 0.2)","0.05, (0.01, 0.074)"
FL-Orange,"66.015, (14.317, 100.0)","0.04, (0.04, 0.195)","0.059, (0.04, 0.2)","0.01, (0.01, 0.023)"
FL-Palm Beach,"7.352, (5.481, 100.0)","0.04, (0.04, 0.2)","0.059, (0.04, 0.2)","0.11, (0.01, 0.2)"
FL-Pinellas,"14.571, (3.644, 41.104)","0.04, (0.04, 0.2)","0.04, (0.04, 0.2)","0.1, (0.01, 0.125)"
FL-Polk,"6.947, (4.003, 40.467)","0.188, (0.04, 0.2)","0.04, (0.04, 0.2)","0.043, (0.01, 0.1)"
GA-Cobb,"4.895, (4.507, 23.545)","0.04, (0.04, 0.132)","0.04, (0.04, 0.154)","0.082, (0.01, 0.175)"
GA-DeKalb,"6.716, (4.433, 19.921)","0.04, (0.04, 0.126)","0.04, (0.04, 0.079)","0.042, (0.01, 0.049)"
GA-Fulton,"5.896, (4.76, 31.813)","0.04, (0.04, 0.163)","0.04, (0.04, 0.144)","0.07, (0.01, 0.12)"
GA-Gwinnett,"17.326, (5.606, 31.269)","0.04, (0.04, 0.101)","0.04, (0.04, 0.123)","0.041, (0.01, 0.048)"
IL-Cook,"6.304, (5.789, 10.191)","0.04, (0.04, 0.081)","0.042, (0.04, 0.085)","0.068, (0.01, 0.103)"
IL-DuPage,"5.202, (4.771, 6.485)","0.064, (0.04, 0.095)","0.061, (0.04, 0.094)","0.065, (0.018, 0.11)"
IL-Kane,"4.87, (4.815, 6.049)","0.04, (0.04, 0.068)","0.04, (0.04, 0.069)","0.045, (0.01, 0.049)"
IL-Lake,"5.752, (5.022, 11.541)","0.04, (0.04, 0.09)","0.04, (0.04, 0.097)","0.041, (0.01, 0.07)"
IL-Will,"7.718, (7.282, 22.384)","0.04, (0.04, 0.109)","0.053, (0.04, 0.092)","0.08, (0.014, 0.099)"
IN-Lake,"7.122, (6.546, 17.393)","0.04, (0.04, 0.115)","0.04, (0.04, 0.101)","0.063, (0.012, 0.089)"
IN-Marion,"8.266, (7.838, 20.31)","0.04, (0.04, 0.094)","0.04, (0.04, 0.088)","0.085, (0.015, 0.099)"
IA-Polk,"4.795, (4.398, 5.44)","0.04, (0.04, 0.061)","0.059, (0.04, 0.07)","0.044, (0.011, 0.052)"
KY-Jefferson,"7.644, (5.518, 45.589)","0.04, (0.04, 0.087)","0.04, (0.04, 0.066)","0.069, (0.01, 0.075)"
LA-East Baton Rouge,"16.023, (8.573, 36.052)","0.061, (0.04, 0.106)","0.04, (0.04, 0.11)","0.073, (0.01, 0.149)"
LA-Jefferson,"24.639, (17.229, 36.202)","0.044, (0.04, 0.056)","0.04, (0.04, 0.045)","0.07, (0.025, 0.078)"
LA-Orleans,"29.613, (17.761, 36.773)","0.04, (0.04, 0.057)","0.04, (0.04, 0.053)","0.089, (0.029, 0.094)"
MD-Anne Arundel,"8.021, (6.65, 22.295)","0.04, (0.04, 0.067)","0.043, (0.04, 0.055)","0.063, (0.015, 0.067)"
MD-Baltimore,"5.872, (5.114, 13.911)","0.04, (0.04, 0.089)","0.04, (0.04, 0.073)","0.082, (0.012, 0.091)"
MD-Baltimore City,"5.87, (5.624, 12.558)","0.04, (0.04, 0.064)","0.04, (0.04, 0.054)","0.066, (0.013, 0.072)"
MD-Montgomery,"5.705, (5.266, 7.922)","0.04, (0.04, 0.074)","0.072, (0.04, 0.078)","0.106, (0.02, 0.104)"
MD-Prince George's,"5.942, (5.892, 6.514)","0.04, (0.04, 0.048)","0.04, (0.04, 0.047)","0.048, (0.01, 0.051)"
MA-Bristol,"6.414, (5.449, 9.444)","0.04, (0.04, 0.072)","0.04, (0.04, 0.081)","0.035, (0.01, 0.093)"
MA-Essex,"7.0, (6.512, 10.172)","0.04, (0.04, 0.066)","0.044, (0.04, 0.064)","0.092, (0.01, 0.096)"
MA-Hampden,"8.145, (7.332, 17.593)","0.04, (0.04, 0.098)","0.051, (0.04, 0.075)","0.16, (0.013, 0.179)"
MA-Middlesex,"8.634, (6.485, 11.64)","0.055, (0.04, 0.095)","0.04, (0.04, 0.078)","0.084, (0.01, 0.134)"
MA-Norfolk,"9.532, (6.573, 10.91)","0.055, (0.04, 0.07)","0.04, (0.04, 0.07)","0.068, (0.04, 0.176)"
MA-Plymouth,"9.029, (6.613, 10.618)","0.04, (0.04, 0.067)","0.042, (0.04, 0.06)","0.054, (0.015, 0.1)"
MA-Suffolk,"7.16, (7.108, 7.835)","0.04, (0.04, 0.042)","0.04, (0.04, 0.042)","0.032, (0.015, 0.061)"
MA-Worcester,"6.028, (5.648, 8.273)","0.045, (0.04, 0.081)","0.061, (0.04, 0.075)","0.052, (0.01, 0.114)"
MI-Kent,"4.782, (4.605, 8.418)","0.04, (0.04, 0.099)","0.04, (0.04, 0.098)","0.033, (0.01, 0.048)"
MI-Macomb,"15.912, (12.926, 48.34)","0.046, (0.04, 0.066)","0.052, (0.04, 0.058)","0.196, (0.093, 0.2)"
MI-Oakland,"12.239, (11.53, 39.176)","0.04, (0.04, 0.065)","0.056, (0.04, 0.063)","0.167, (0.068, 0.173)"
MI-Wayne,"15.04, (14.911, 30.828)","0.044, (0.04, 0.052)","0.046, (0.04, 0.05)","0.185, (0.121, 0.2)"
MN-Hennepin,"6.196, (5.13, 10.641)","0.051, (0.04, 0.132)","0.117, (0.04, 0.129)","0.2, (0.024, 0.2)"
MO-St. Louis,"13.137, (8.431, 43.673)","0.042, (0.04, 0.08)","0.042, (0.04, 0.051)","0.136, (0.029, 0.15)"
NE-Douglas,"3.87, (3.782, 4.154)","0.04, (0.04, 0.042)","0.04, (0.04, 0.04)","0.01, (0.01, 0.016)"
NV-Clark,"19.939, (8.617, 100.0)","0.04, (0.04, 0.139)","0.04, (0.04, 0.097)","0.019, (0.01, 0.08)"
NJ-Bergen,"10.371, (9.623, 11.58)","0.04, (0.04, 0.044)","0.04, (0.04, 0.046)","0.115, (0.059, 0.121)"
NJ-Burlington,"6.241, (5.923, 10.019)","0.04, (0.04, 0.061)","0.04, (0.04, 0.066)","0.022, (0.011, 0.088)"
NJ-Camden,"5.977, (5.645, 7.932)","0.04, (0.04, 0.059)","0.04, (0.04, 0.066)","0.075, (0.013, 0.092)"
NJ-Essex,"10.77, (10.108, 12.287)","0.04, (0.04, 0.046)","0.04, (0.04, 0.051)","0.129, (0.047, 0.139)"
NJ-Hudson,"10.212, (9.681, 11.009)","0.04, (0.04, 0.043)","0.04, (0.04, 0.046)","0.082, (0.031, 0.085)"
NJ-Mercer,"6.532, (6.423, 7.272)","0.04, (0.04, 0.048)","0.042, (0.04, 0.048)","0.096, (0.024, 0.099)"
NJ-Middlesex,"8.385, (7.883, 10.507)","0.04, (0.04, 0.045)","0.04, (0.04, 0.058)","0.082, (0.015, 0.093)"
