beta,gamma,gamma2,a1,a2,a3,h,Hiding_init,k,k2,eta,c1,metric1,metric2,r1,r2,reopen
30.213066600081383,0.04,0.2,0.010778691555144024,0.015326287830232236,0.06887548098040978,0.01430548675111016,1.3110594985036295,0.31014234312825045,0.5593614285519015,0.013692092152952234,0.9,17.1468999540794,0.47496987354533765,0.3551472451396078,0.788099422942113,2020-05-26
11.74785030324396,0.2,0.19705432910668322,0.4884060227314604,0.037918328423354956,0.17975553755048823,0.04096143544199513,0.3631672882839534,0.6316891205308165,0.5458079099109443,0.045143517517458674,0.92,5.863309398940591,28.17264513987399,0.3795180708405218,0.7646698254399631,2020-05-26
18.993828651209657,0.04028238520416114,0.2,0.01612589570831895,0.01,0.13579692027312198,0.0161789047878592,1.1336896902550062,0.21457592813819895,1.210423210596372,0.021802373586845083,0.93,10.777122502295077,6.005330035605572,0.5438910721692904,0.7416326029159045,2020-05-26
11.78314852809663,0.19991028130988772,0.2,0.4999872246017609,0.03857288311806655,0.1790533152601157,0.015151767947014571,0.26729363906889164,0.15875372379634597,1.2438631985281845,0.04642518216112513,0.93,11.244253575293639,1.2311272805587798,0.3984496353280914,0.654863557818957,2020-05-26
10.248017407110014,0.2,0.18637832405122773,0.4590046344243582,0.035331153198000904,0.16772670766656728,0.004279021327186303,1.155774458645623,0.5039016696136595,0.4631762996673612,0.049671420672747164,0.9,5.366075908646983,0.7680212849263315,0.412218629847515,0.703250285410621,2020-05-26
31.089140135851643,0.048323408149577675,0.19905707742919926,0.01,0.01,0.027075784181145993,0.07094726129269713,0.9763840602492687,1.7127204721636349,0.17438949197706832,0.01401174373427559,0.9,20.81437994112647,0.8412949225000075,0.31522694019099373,0.7012519962315781,2020-05-26
8.293543334327026,0.10480451356854233,0.19518479248836693,0.5,0.07305160650734033,0.13271415394048341,0.01388888283821138,0.9325052922933921,1.4511554532406232,0.14603452413728443,0.05,0.9,7.438927130116762,0.8492133210699918,0.5245169884520551,0.7218757626269032,2020-05-26
5.987578388813182,0.04,0.05734469084406175,0.021394002754559622,0.01,0.13392297807764006,0.0043315764396566,4.999995834323987,0.1,0.4307008127609771,0.05,0.9900000000000001,6.794872651377789,1.0691783852289882,0.4531765116445564,0.6714300267209226,2020-05-26
6.552628528699446,0.04,0.04178660028588059,0.08391966202596349,0.01,0.0833035808880865,0.005913266083778174,3.6665667103750406,0.10543057148937131,1.8403245938634445,0.047913881387931054,0.9900000000000001,47.2902098598473,2.3764744054081293,0.5676223198197348,0.7068743653815179,2020-05-26
87.93439311644099,0.04,0.11258774262777493,0.011565874880673814,0.01,0.01695709535765204,0.07142857142857142,1.2717087298090182,1.1856883943807657,0.25563618285965095,0.005153929726030543,0.92,39.39143181596226,0.7725169658799877,0.14654513767594046,0.751411842714691,2020-05-26
15.59344693915567,0.1893657704885666,0.2,0.12246994099446146,0.01,0.19689314899105034,0.039152086425570484,0.5035836225300688,0.6333889525577044,0.5448408507053116,0.03412653039634645,0.91,6.042609452581885,7.2300177553324705,0.43296560585010146,0.6546442737061748,2020-05-26
28.67278327708777,0.04,0.05490217897347046,0.1739833610673786,0.03003618252131529,0.030444088651318438,0.013333522044626615,1.2758470814405036,0.10002352208707636,1.9882084020466144,0.009018470353915132,0.91,3.30400060903693,32.47050174234965,0.42175077889110124,0.7628444300052339,2020-05-26
14.31867324911187,0.1772656605901692,0.2,0.4617538123656697,0.03734356398133466,0.011292454963265709,0.00726886685339682,0.6359944205671032,0.216070656601317,1.3381261121387584,0.03577786223185651,0.9,6.557832763199691,2.322784477243757,0.4538110649784196,0.7151224980631679,2020-05-26
5.90804910098348,0.046457017661518496,0.06119242436405373,0.5,0.07246213898578477,0.15166130369438413,0.011363634730703258,1.3884221736487758,0.9567849411612188,0.19621846481339447,0.04366852299220922,0.9700000000000001,4.499107280718873,1.6296908943162962,0.4247543283174099,0.7367097334948083,2020-05-26
6.162486850297752,0.04,0.04,0.11983449600530918,0.01359768276948778,0.034939316451250736,0.05170644982142928,0.8030939025634903,0.1313612174754068,1.358439697215967,0.05,0.9900000000000001,13.000850901636074,1.8981973300263832,0.4736976059402861,0.6467157315444851,2020-05-26
13.044033092352228,0.052446823961808185,0.19995268862021046,0.01,0.01,0.08391104896652297,0.003399921732658536,4.999839283459409,0.18903474670995785,0.46542105580572696,0.03274750368521444,0.9500000000000001,123.53673781712375,2.929088574326692,0.6203723952674105,0.7303000248022928,2020-05-26
7.640207745173548,0.047657556992998756,0.04,0.4997493904416888,0.04808430851275832,0.13487366409750762,0.005726439246479227,4.1344190750621985,2.0,0.21331480781418138,0.03413372723627754,0.9700000000000001,138.2517236807166,0.7109314928850281,0.3549127923817398,0.707706171165273,2020-05-26
15.386000470539127,0.2,0.2,0.5,0.03503671220567675,0.0670313528719219,0.03625929129773044,0.521617633822859,0.953976221721933,0.594056526820779,0.03546126368160913,0.91,5.640319884721649,4.2453749074385705,0.31509000429287104,0.6836043657045128,2020-05-26
9.526124171123346,0.08172968697851395,0.18709462596734952,0.45803483430448305,0.07163466043832092,0.0495460531706272,0.0123457791212678,0.8129006294221782,0.1278950015998598,1.9999766521095932,0.04250378463994478,0.9400000000000001,34.792605245995006,4.915594271669717,0.4961092502320559,0.7411222536232875,2020-05-26
14.021394152008943,0.061960183572636114,0.2,0.025174141504970007,0.013592720152806631,0.08535758441275157,0.020833198030707118,1.3886816186003725,0.12080416164755468,1.3779106754674146,0.034554968409917584,0.9800000000000001,8.170781995586138,1.4373717635140746,0.5208339299658343,0.7137372579144963,2020-05-26
