series,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
G_high,7.0,9.746048136033467,13.340845255525004,18.0392649474589,24.162470921554757,32.10600710717658,42.43120940361228,55.721388649353,72.75466681345051,94.42679085042039,121.76180516785341,156.26414607864038,199.13770852824544,251.7566486936733,315.4251098473875,391.2541938574952,480.03643524528997,581.2601144015184,693.7564673051066,817.6587469875672,951.8565659524078,1094.763468108627,1241.3232135684912,1394.3143922887537,1563.0369023139756,1727.0520760636657,1895.0927302686746,2065.9490684645757,2245.178832728102,2435.1036708945985,2625.7866576485053,2803.674806532431,2973.4296414906976,3145.825495218203,3325.4426821129523,3504.8139377476664,3686.525994826807,3845.792392769171,4026.7287329001315,4197.686992263841,4353.675499427748,4513.6199208970975,4668.74593551264,4820.516545071204,4974.536889439392,5137.5083195029365,5280.090407492032,5430.383756211954,5566.781990590141,5700.958289472352,5830.945351710429,5957.225855301436,6073.326927239629,6196.386938813861,6309.02851551798,6427.517019663683,6526.404240123913,6639.284401492074,6746.155537504955,6841.990253954618,6945.35923334809,7043.62441950003,7134.148550620231,7218.5961160956485,7319.4802443440785,7391.453968701067,7467.3647282091315,7548.226565542255,7632.07835436593,7703.3618752605535,7758.4150435168585,7824.374627886693,7891.523380069385,7959.88196293782,8018.690159592886,8078.225033791238,8135.581903650682,8190.673791729647,8243.584848641163,8294.39664835204,8343.188203877251,8391.814096209344,8435.013985327494,8478.193691154549,8519.644194814191,8561.992749886575,8601.5840407198,8636.13420937712,8672.955828424323,8711.288793438833,8749.043805961126,8785.147209167213,8815.167871861016,8840.803141602986,8867.661683641407,8890.06872880671,8911.520707695845,8939.73162704323,8967.74004452795,8989.188967311833,9015.298926199453,9044.41803018536,9087.688852812273,9140.993379350259,9206.819032677686,9285.910091863178,9396.175735566347,9539.268783685437,9689.795785616012,9903.539304027423,10176.123522330608,10559.098457373759,11034.527032695763,11750.872728219018,12608.547734997148,13637.528270662675,14898.654893896692,16326.930766798421,18006.36785940338,19860.55819304145,21846.84946631078,23848.968367607238,25987.369884480737,28047.094390801343,30193.942990675154,32296.961281084084,34390.63026802474,36402.15571182512,38327.54317747766,40203.94549842481,42053.81205978144,43909.047471155085,45661.54016123932,47262.310706162076,48810.967833698815,50343.92366485995,51789.9761958016,53126.174996672446,54490.794765796076,55727.50589379508,56921.664919264724,58064.72557235181,59063.45715937336,60006.73204096581,61079.39132027003,61998.2068363976,62963.79328884128,63858.47017427035,64641.36439645123,65385.494874272415,66108.65239372994,66796.33307438274,67582.29297636688,68271.49672455667,68861.14552321257,69494.71313662869,70110.07167075649,70735.46643751537,71344.71344426105,71903.89867943262,72438.18228172057,72971.09306376301,73469.71345178476,73945.28952822038,74395.94687181577,74806.35586921588,75257.94573494495,75679.8863076475,76075.34544537908,76438.71206567765,76787.24080665245,77121.59685162143,77431.93299824654
G_low,7.0,8.980766458679623,11.318758457409858,14.069527045580042,17.29899124421341,21.11525403538858,25.596054304613794,30.886425815909146,37.0960404756872,44.35541497748426,52.87857537113619,62.840157121128264,74.48650972081703,88.15680973618048,104.08635348428318,122.65409034068428,144.25779299580526,169.34156348219614,198.3965700166042,231.96003956551684,270.48772280236415,313.9392792780275,363.51244065909157,419.847422846254,483.58810694191965,555.408247088901,635.7656782771655,725.3255485925368,824.4867684793619,933.5804184219064,1052.8018452434983,1182.1918989201984,1320.4803731454128,1463.5951762939494,1614.237369618419,1771.6865327518635,1935.1370735731225,2103.724415396563,2276.6036579596307,2466.0593334921455,2659.7074668711844,2849.5341239408617,3035.4044565330055,3231.6111223448247,3412.914073845426,3586.0213956094694,3766.9216747346613,3940.7240707317724,4111.869282508207,4280.03437082255,4438.3267903977085,4557.092246341574,4702.941171591127,4841.3727055898,4971.761876166901,5085.016656549101,5206.576128439746,5293.289932372105,5372.571534174557,5447.915027577509,5522.628763817709,5573.009547090415,5621.3823480827,5686.522424804488,5754.883926328717,5821.633620498801,5885.482013197593,5946.9655757834125,6006.162611546273,6063.149905234348,6118.002609248103,6170.79415436951,6221.596181665504,6270.478492630472,6317.509015004984,6362.7537820338775,6406.276923211853,6436.883171638319,6461.198965301782,6484.514338431796,6506.870246145961,6528.305995330181,6548.859307158141,6568.566377753773,6587.461936978231,6605.579305336238,6622.950449007794,6639.606033020473,6655.57547258503,6677.310790955438,6693.8098143560255,6707.762086052025,6721.148180467477,6733.991018607951,6746.312599557225,6761.928763142116,6779.320442459566,6796.024263417461,6812.067208233229,6827.475222914125,6847.149090249788,6872.416933885129,6904.329420679102,6944.274515107539,6994.1041237456,7056.302174080971,7134.211742167887,7269.846199989902,7451.364452962651,7596.166141025533,7853.204231288426,8220.017668991286,8682.729453733325,9243.74825564607,9857.91549669483,10669.441679399748,11640.250639039537,12773.075053963674,14049.913713589334,15559.761687942444,17207.179066929097,18961.40701196293,20748.234169797222,22680.195190524333,24540.038280682107,26468.873353739906,28357.954696940873,30190.85120353104,32072.497531329616,33839.83185327481,35654.98632186326,37386.94008943106,39077.514347812445,40659.51314278993,42221.74868465419,43737.92675164054,45203.083233758385,46607.34795639778,47876.004393983385,49138.478204436804,50234.02519829823,51489.3956193962,52600.388081682,53615.864137885794,54500.424828280826,55351.536805055344,56215.80991151732,57012.374520383666,57770.822687374646,58458.01996682545,59180.84578995963,59837.784167380654,60440.87710527325,60994.99311508141,61533.181214871074,62021.56014771773,62463.619448048245,62841.09233295144,63255.386222386434,63554.226321174676,64000.06033070108,64309.22788396663,64559.71357530032,64840.01743664863,65160.81354978779,65467.06492622209,65699.529979897,65919.8674462788,66191.14994893062,66391.07212151872,66597.02026470166,66741.33608876383,66862.98165565117
D_high,0.01,0.16167871109439574,0.28322108455932926,0.3870083518033169,0.47871664143401166,0.5661513621017782,0.6509129266486792,0.7409208862042009,0.8422708500412275,0.9585221269797564,1.1054260990291982,1.2836816544683847,1.5171469448787303,1.808344792929271,2.185192743138205,2.6353796529070865,3.2105809320644374,3.9239473354630143,4.861712050278976,5.940201385603196,7.233165347058085,8.764714961379758,10.556889266778915,12.628832355736144,14.996150145506121,17.72953813306284,20.840705334552535,24.301301703753428,28.11150421122704,32.266735355259286,36.758055937764304,41.65513216734308,46.97824949293373,52.62948625787239,58.31604889337604,64.25268897009221,70.71011442308897,77.17844209822641,83.77347535292799,90.15301205931894,97.08146989245462,104.42204075344551,111.67767269087206,119.073415993646,126.11557825904637,133.3869175149045,140.77744655523986,148.12026223517708,155.19347657630396,162.40664031224284,169.56840661049762,177.23045643441276,184.31173240765915,191.51297053676888,199.0449090386044,205.82338282970406,212.2544370765419,218.5673299279547,225.53272405914998,232.53338292668306,238.7563403973694,244.90249119515897,251.21021487821946,257.4835269654102,263.31329681551296,268.7578012690459,274.79286855374085,280.215883822928,285.3755937811014,290.97507710449696,296.027158552055,300.9251118803657,306.23063331928523,311.2091668257847,316.18118697307807,320.0684694945147,324.3185876997279,329.07594320873216,333.33925196846593,337.0309696272678,340.99120373636214,344.7434960883423,348.1199391090311,351.66879425358826,355.1025213854573,358.4238762852141,361.63563351418685,364.894143478959,367.74149049115306,370.64115161464224,373.67539060157776,376.34156012094155,378.97165683901164,381.4562859584443,383.68246565817765,385.8246676110456,387.8856937186088,390.1654811782478,392.4816918089685,394.44035477591007,396.26039132479673,397.6281180823753,398.92918030407037,399.94758409378227,400.6351137898087,401.2689346635493,401.9489577353271,402.56882513897034,403.14846825803255,403.7088250889227,404.19775864515594,404.7088977018482,405.3647259970984,406.1872562882922,407.08029962918243,408.32659229521266,409.8610605093717,411.63619355384395,414.0845860166079,416.9766705615596,420.71336808303533,425.4231844968838,430.51264749028144,436.39096788663295,443.30275726824647,451.248301784356,460.3133191057798,470.8863693370483,482.17182002290065,495.30292853194834,510.0149600931765,525.5047479983112,540.5971364484191,557.7454966474648,574.9922169501302,593.8185608304719,613.5234580148234,633.7261393778715,654.3790368694509,675.9990614906401,698.1127682702572,720.0535779429767,742.023709738329,764.0304589671322,786.8843455653399,808.9855284892024,831.3174112267848,853.6059917526755,875.9154263543974,897.7540731144953,920.0741153717936,941.1868537722403,963.0435347939095,985.2930869996817,1007.7992995393447,1028.1869793471585,1048.0694988422135,1068.46023464011,1088.4397187211027,1107.841483777313,1125.994720893825,1143.7202079708263,1161.0157148761275,1178.9470699533306,1195.4305272857002,1211.447814896022,1229.2438695722242,1247.06144475471,1264.4523314930293,1279.6633997208373,1294.4518296991816,1308.8231343386176,1321.995316033302
D_low,0.01,0.12834923454920266,0.22627558131989955,0.3095649861543083,0.3806306567058514,0.4477673463792283,0.5131522729912714,0.5813630429443111,0.6549990274993938,0.7368865664418792,0.8304553175304923,0.9342345994126301,1.0602307098450887,1.2071186431601615,1.3805789666134924,1.586759088934176,1.8267351335787096,2.1182036682214744,2.4652750871909705,2.8650634712398504,3.3170623596068096,3.8437073757587297,4.4452355160561225,5.1831395668500715,6.051672191609355,6.999051096147993,8.107931183267194,9.358945411679361,10.72597284724785,12.332567054859776,14.171692188525812,16.31512786352699,18.7169190039649,21.391260412912494,24.350019966197866,27.59052700515508,31.111323764293807,34.95310406973869,39.10282045254144,43.58235493558978,48.36860370273162,53.39773407678464,58.69627556269977,64.12478631579306,69.70350688988495,75.87062009745311,82.25806599856668,88.64478938619848,95.18818348814233,102.35417285905844,109.7633678436098,116.86343082394926,124.32965081854577,131.30196159792746,138.56374699120929,145.6291492066734,152.93279461723947,159.79106305647667,166.74556500573436,173.70855937915243,180.61172113269265,187.50763419440344,194.19343053985418,200.85203524665403,207.63632424313178,214.30339011437772,220.4429057306403,226.41819900979692,232.3554088982201,238.12079596858868,243.75501044875915,249.23905870456053,254.29900659407926,259.4677859998328,264.22877241332435,268.53624618985947,273.10125219177417,277.8117193025941,282.1019150491082,286.4681814886473,290.80191764004286,294.96717146774563,298.8006128652754,302.0676017790897,305.38583997661675,308.47288058612264,311.44347056583376,314.34540805692717,317.06387600492496,320.19777142262205,322.63278613239,324.97409906485564,327.3678971330854,330.0570860815672,332.2923680088582,334.22800419877126,336.0226586928384,337.75011865916866,339.52098080334844,341.2278141656295,343.1693612109369,344.6780806678157,346.05030304812016,347.22030518747124,348.21424382242867,349.0774600957591,349.8525979521826,350.6371282807397,351.38903166397023,352.1417811472528,352.92966537246434,353.6065795844567,354.2251166239553,355.1369729544962,356.2862052778071,357.69299840840335,359.34528551009225,361.6027604916162,364.28223011444845,367.0531759098715,370.68772594532044,375.0825626604621,380.4702981875014,387.1788605043084,394.7566177519468,403.21058290194526,412.3818730578804,423.67659050966546,434.2108138131524,446.1131666060376,458.87638051018865,473.34533554965446,488.662035009149,503.29778804680194,518.7149032945373,534.9790411821829,551.75820393897,568.9388014647451,586.5260136173655,604.1493770316628,621.6312451513445,639.7063132256771,657.9866533311812,676.1449599822299,693.4054220979197,710.789592290032,727.6935737553707,746.3932190414964,763.2876529601576,779.255975915131,796.3845042209851,813.3462464158606,830.2629253425869,846.841807945578,863.1581737737453,878.9655787468228,894.2023104034954,909.451462351875,924.3894760253348,939.0930714754569,952.1829246364703,964.8841199909621,978.547517414678,991.2612455948826,1004.0110124648545,1016.4670911830732,1028.6308869212512,1040.7748676585556,1052.619237243531,1064.165628265637,1074.6300807530956,1084.9585412588688,1094.6825080305443
