series,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
S,25427.148193959645,25422.3643781774,25416.24998677431,25408.435891586985,25398.45116912181,25385.695413562007,25369.403763672828,25348.60288203546,25322.055800412945,25288.19323067512,25245.028698189413,25190.054794526644,25120.118156587978,25031.27176474808,24918.605287075345,24776.058180820164,24596.2270683865,24370.189758732948,24087.38448370609,23735.605301353462,23301.20241425413,22769.604903612908,22126.301890522223,21358.405294032716,20456.841784356264,19419.0500227376,18251.78157813445,16973.274761177538,15613.846988550773,14214.068440374906,12820.307606848894,11478.45762773502,10227.557218452106,9095.196057004565,8095.839814263889,7231.984577536874,6497.104380919065,5879.111973821109,5363.388656271012,4934.962470357158,4579.822161515003,4285.555528502933,4041.5421756940664,3838.892510442806,3670.265521878853,3529.6456335445105,3412.1217927938264,3313.6887545271247,3231.0773820289487,3161.6140544886193
I,10.0,12.783815782244988,16.341444028886915,20.88725041043272,26.69452279352212,34.111373794619645,43.580748924874975,55.665480777271036,71.07946624432854,90.72614273329106,115.74544667233793,147.57026100064,187.99284673917703,239.24066923124036,304.059013057725,385.794316701359,488.46656579475325,616.8105622893524,776.2537248583382,972.7821622392996,1212.6286168907695,1501.7004041538376,1844.6633364137529,2243.627265620509,2696.465322172861,3194.964019356954,3723.2396600887123,4257.098545027882,4765.106608649071,5211.863835095123,5563.251901602111,5792.451500395561,5884.861609599364,5840.250449127032,5671.556602042301,5401.100518360856,5055.760611306494,4662.600896143151,4245.804034464617,3825.069413485548,3415.1958396305936,3026.423304716545,2665.1519965821026,2334.7712625169424,2036.4439985775066,1769.775087196348,1533.3439105077625,1325.1081666729117,1142.6979058365052,983.6216522095337
R,0.0,2.0,4.556763156448998,7.8250519622263806,12.002502044312925,17.341406603017347,24.163681361941276,32.879831146916274,44.012927302370485,58.2288205512362,76.37404909789441,99.523138432362,129.03719063249,166.63575998032542,214.48389382657348,275.2956964381185,352.4545597783903,450.147872937341,573.5099853952115,728.7607303668792,923.3171628147392,1165.842886192893,1466.1829670236607,1835.1156343064113,2283.841087430513,2823.134151865085,3462.126955736476,4206.774887754218,5058.194596759795,6011.215918489609,7053.588685508634,8166.239065829056,9324.729365908168,10501.701687828041,11669.751777653448,12804.063098061908,13884.283201734079,14895.435323995378,15827.955503224008,16677.11631011693,17442.13019281404,18125.169360740158,18730.454021683465,19263.484420999885,19730.438673503275,20137.727473218776,20491.682490658044,20798.351272759595,21063.372906094177,21291.912487261478
G,10.0,14.783815782244988,20.898207185335913,28.712302372659103,38.697024837835045,51.452780397637,67.74443028681625,88.5453119241873,115.09239354669901,148.95496328452722,192.11949577023233,247.09339943300196,317.030037371667,405.8764292115657,518.5429068842984,661.0900131394774,840.9211255731434,1066.9584352266932,1349.7637102535493,1701.5428926061786,2135.9457797055084,2667.54329034673,3310.8463034374126,4078.7428999269196,4980.306409603373,6018.098171222038,7185.366615825187,8463.8734327821,9823.301205408865,11223.079753584732,12616.840587110744,13958.690566224617,15209.590975507532,16341.952136955073,17341.308379695747,18205.16361642276,18940.04381304057,19558.036220138525,20073.75953768862,20502.185723602473,20857.326032444627,21151.592665456697,21395.606018265564,21598.255683516825,21766.882672080777,21907.50256041512,22025.026401165804,22123.459439432507,22206.070811930684,22275.534139471012
