series,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22
S,12600.98208465671,12597.45038271115,12593.555406347456,12589.260298458847,12584.52457317467,12579.303782667152,12573.549158660642,12567.207227937555,12560.219401440709,12552.521536978034,12544.043476063429,12534.70855610114,12524.433099967786,12513.125886096324,12500.687603453667,12487.010297363799,12471.976813998777,12455.460253578092,12437.323444917532,12417.418456981719,12395.586166539451,12371.655904902573,12345.445211028484,12316.759722933499,12285.39324430539,12251.128028269444,12213.735325233753,12172.97624631187,12128.602997590344,12080.360542960134,12027.988753732296,11971.225101063399,11909.807941482315,11843.480435634863,11771.995124847195,11695.119168448387,11612.640216404528,11524.3728564956,11430.165533367302,11329.907789416568,11223.53762664621,11111.048737412024,10992.497304498484,10868.00803223145,10737.779046002717,10602.085293346572,10461.280100623151,10315.794588963861,10166.134732564846,10012.875949687359,9856.6552462984,9698.161075133174,9538.121217219441,9377.28912510891,9216.429273830483,9056.30213548555,8897.64941869164,8741.180191897125,8587.558442467065,8437.392518906898,8291.226773001548,8149.5355754680695,8012.719736606687,7881.105234472865,7754.944046476909,7634.416801644427,7519.63692195922,7410.655900946196,7307.46937218453,7210.0236445223545,7118.222418560101,7031.933444814704,6950.99493290884,6875.221569190592,6804.4100445280965,6738.344032843475,6676.798593358914,6619.543995344018,6566.348983703799,6516.983517679478,6471.221024067863,6428.840211570502,6389.626495004599,6353.373077909102,6319.881740222215,6288.963374738236,6260.4383124090455,6234.136472574972,6209.897370140645,6187.570007730684,6167.012677086657,6148.092690474329,6130.68605969839,6114.677137485378,6099.958233491547,6086.429215006567
I,10.0,11.031701945561185,12.16875282286521,13.421672505757154,14.801979663494084,16.322275255139736,17.996330447863407,19.839178558984266,21.867210416084657,24.098272274737766,26.551765120659365,29.24874380278227,32.21201398544154,35.466224360543364,39.037950913064634,42.95576927466742,47.25031032102193,51.954293161451886,57.102528531647906,62.73188433455012,68.88120369318025,75.59116440676318,82.9040671791615,90.86353847935642,99.51413248762486,108.90081540166486,119.06831458694113,130.06031486208948,141.9184848680933,154.68131828127912,168.38277793879843,183.05073612299464,198.70521167333,215.35641460244972,233.00262173950483,251.6279227034358,271.19989407143544,291.66728046250495,312.957783475177,334.976081557118,357.6022239381964,380.69055718783244,404.06935080441536,427.5412853703461,450.8849502564926,473.8574653485139,496.1982917348058,517.6342304603947,537.8855292443111,556.6729298107196,573.725400746998,588.7882217254758,601.6310242078396,612.0553602664113,619.9013714782354,625.0531669536088,627.4425920091165,627.0511708013534,623.9101275310753,618.0985192084737,609.7396353117044,598.9959240172568,586.0627818743255,571.1615885395661,554.5323794006308,536.4265293829546,517.0997767224236,496.80585355484106,475.7909189277975,454.288916858023,432.517913605771,410.6774089497252,388.946568618157,367.4832901818662,346.4239922988956,325.88400590879235,305.95844391615555,286.723430952013,268.23758485422917,250.5436546649925,233.67023461035868,217.63348845513005,202.43883290725103,188.08254177593483,174.5532440188386,161.83329849810784,149.90003620277133,138.72686698615175,128.28425267394073,118.54055191541676,109.46274458058897,101.01704504776998,93.16941456176731,85.88598313433712,79.13339134458423,72.87906199341778
R,0.0,2.5,5.257925486390296,8.3001136921066,11.655531818545889,15.356026734419409,19.436595548204345,23.9356781601702,28.895472799916263,34.362275403937424,40.38684347262186,47.0247847527867,54.336970703482265,62.38997419984265,71.25653028997849,81.01601801824464,91.7549603369115,103.56753791716697,116.55611120752994,130.8317433404419,146.51471442407944,163.7350153473745,182.6328064490653,203.35882324385568,226.07470786369478,250.95324098560098,278.1784448360172,307.9455234827525,340.46060219827484,375.9402234152982,414.61055298561797,456.7062474703176,502.4689315010662,552.1452344193987,605.9843380700111,664.2349935048873,727.1419741807462,794.941947698605,867.8587678142312,946.0982136830255,1029.842234072305,1119.2427900568541,1214.4154293538122,1315.432767054916,1422.3180883975026,1535.0393259616258,1653.5036922987542,1777.5532652324557,1906.9618228475545,2041.4332051586323,2180.601437611312,2324.0327877980617,2471.2298432294306,2621.6375992813905,2774.6514393479933,2929.6267822175523,3085.8900739559544,3242.7507219582335,3399.5135146585717,3555.4910465413404,3710.015676343459,3862.450585171385,4012.199566175699,4158.715261644281,4301.505658779172,4440.13875362933,4574.2453859750685,4703.520330155675,4827.721793544385,4946.669523276334,5060.24175249084,5168.371230892282,5271.040583129714,5368.277225284253,5460.14804782972,5546.754045904444,5628.225047381642,5704.714658360681,5776.395516098684,5843.4549123122415,5906.090825978489,5964.508384631079,6018.916756744861,6069.526464971674,6116.547100415657,6160.185411420367,6200.643736044894,6238.118745095587,6272.800461842125,6304.87152501061,6334.506662989464,6361.872349134611,6387.126610396554,6410.418964036995,6431.890459820579,6451.673807656725
G,10.0,13.531701945561185,17.426678309255507,21.721786197863754,26.457511482039973,31.678301989559145,37.43292599606775,43.774856719154464,50.76268321600092,58.4605476786752,66.93860859328123,76.27352855556897,86.54898468892381,97.85619856038602,110.29448120304313,123.97178729291208,139.00527065793344,155.52183107861887,173.65863973917786,193.56362767499203,215.3959181172597,239.32617975413768,265.5368736282268,294.2223617232121,325.5888403513196,359.8540563872658,397.2467594229583,438.00583834484195,482.37908706636813,530.6215416965773,582.9933309244163,639.7569835933122,701.1741431743961,767.5016490218484,838.986959809516,915.8629162083231,998.3418682521817,1086.60922816111,1180.8165512894084,1281.0742952401436,1387.4444580105014,1499.9333472446865,1618.4847801582275,1742.974052425262,1873.203038653995,2008.8967913101394,2149.7019840335597,2295.18749569285,2444.847352091865,2598.1061349693514,2754.32683835831,2912.821009523537,3072.86086743727,3233.6929595478014,3394.5528108262283,3554.6799491711604,3713.33266596507,3869.8018927595863,4023.4236421896467,4173.589565749814,4319.7553116551635,4461.446509188642,4598.262348050025,4729.876850183847,4856.038038179803,4976.565283012284,5091.345162697492,5200.326183710516,5303.512712472182,5400.958440134357,5492.759666096611,5579.048639842008,5659.987151747871,5735.76051546612,5806.572040128615,5872.638051813236,5934.183491297797,5991.438089312694,6044.633100952913,6093.998566977234,6139.7610605888485,6182.14187308621,6221.355589652113,6257.60900674761,6291.100344434497,6322.018709918476,6350.543772247666,6376.84561208174,6401.084714516067,6423.412076926028,6443.9694075700545,6462.889394182383,6480.296024958322,6496.304947171334,6511.023851165165,6524.552869650145
