series,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12
S,28753.80406646554,28749.331592427923,28743.977767381482,28737.56948029273,28729.899864941366,28720.721824727963,28709.74036169677,28696.60350920376,28680.891643086925,28662.10492298887,28639.64859638973,28612.815887146415,28580.76819416856,28542.512353371254,28496.874780075268,28442.472427322653,28377.680692026348,28300.59870666316,28209.01290852417,28100.360428023443,27971.694733529857,27819.65716144876,27640.459479195513,27429.884466898868,27183.313573978434,26895.792789243125,26562.1495380188,26177.173999842395,25735.87673417086,25233.8296640555,24667.58801753636,24035.17591752725,23336.598288595877,22574.319069465244,21753.625644508003,20882.789796064448,19972.94495015879,19037.633728852124,18092.037094849915,17151.96472770358,16232.745380848204,15348.184565085978,14509.742880934535,13726.035586898235,13002.68118627022,12342.458280865803,11745.684595515188,11210.716790381195,10734.479758281035,10312.958685079375,9941.615209329306,9615.71303558731,9330.55509245184,9081.643752948374,8864.77937059849,8676.112449219025,8512.162889400312,8369.817149404389,8246.311538650485,8139.207577282276,8046.36352359327,7965.904784779898,7896.194922045467,7835.808259053228,7783.504627864729,7738.20647577705,7698.978360759909,7665.008745967269,7635.593938821001,7610.123989082377,7588.070350580533,7568.975114427321,7552.441632066719,7538.126360805919,7525.7317803022715,7515.000244462825,7505.708648553439,7497.663805583499,7490.698439033924,7484.667710676596,7479.446212622949,7474.92536191515,7471.011144034984,7467.622158761792,7464.687927969492,7462.147430317167,7459.947832452945,7458.043390403539,7456.3944983393
I,10.0,11.972474037615596,14.333180574651767,17.158172519742358,20.538244741169787,24.58172376927964,29.417755858151025,35.20016938662461,42.11199315680503,50.37071496565816,60.234362823383755,72.00848136085203,86.05405399849379,102.79638129617561,122.73485926811851,146.453497203705,174.63185819908398,208.0558790124991,247.627707398362,294.37326104950057,349.44564028071136,414.12180229163374,489.7890339719709,577.9167877756237,680.0084837521524,797.5271475494224,931.788611886393,1083.8169970911986,1254.1600134899347,1442.667080232808,1648.241956693746,1868.5935675294204,2100.022804578437,2337.2963225644608,2573.6656668805877,2801.0850986039954,3010.6586698586516,3193.305223700655,3340.5755517777006,3445.50403097961,3503.347370090084,3512.07134332979,3472.4951916487857,3388.0786877728888,3264.4134164576817,3108.532967747677,2928.173411161374,2731.0978635050237,2524.560429728928,2314.941395498357,2107.5495223738367,1906.564315522373,1715.0811797772508,1535.222224336403,1368.2810506021874,1214.8777093311055,1075.1078418170428,948.6766213587036,835.0130767729313,733.3637689479074,642.8668803999367,562.6088991133234,491.6665370694235,429.1365657943068,374.15605553422904,325.9151937383503,283.66451032090407,246.71799753331842,214.45330529625653,186.3099287108165,161.7860850349564,140.43479992942906,121.85958230767463,105.7099579915562,91.67704899731471,79.48932258743218,68.90858784996021,59.72628385741004,51.76007944263256,44.85078793930301,38.85958900812335,33.66554246389247,29.16337472808476,25.261516319255364,21.88036803174159,18.95077367613077,16.41267812132028,14.213950640395764,12.309355044535412
R,0.0,2.5,5.4931185094038995,9.07641365306684,13.36595678300243,18.500517968294876,24.645948910614784,32.00038787515254,40.800430221808696,51.32842851100995,63.92110725242449,78.97969795827044,96.98181829848345,118.49533179810689,144.19442712215078,174.8781419391804,211.49151624010665,255.14948078987766,307.16345054300245,369.07037739259295,442.6636926549681,530.0251027251459,633.5555532980543,756.0028117910471,900.482008734953,1070.484129672991,1269.8659165603467,1502.813069531945,1773.7673188047447,2087.3073221772283,2447.9740922354304,2860.034581408867,3327.182973291222,3852.188674435831,4436.512755076947,5079.929171797094,5780.200446448092,6532.865113912755,7331.191419837919,8166.335307782344,9027.711315527247,9903.548158049769,10781.565993882217,11649.689791794413,12496.709463737636,13312.812817852056,14089.946059788976,14821.98941257932,15504.763878455577,16135.903985887808,16714.639334762396,17241.526715355856,17718.167794236448,18146.93808918076,18530.74364526486,18872.81390791541,19176.533335248187,19445.310295702446,19682.479451042123,19891.232720235355,20074.573662472332,20235.290382572315,20375.942607350647,20498.859241618004,20606.14338306658,20699.68239695014,20781.161195384724,20852.07732296495,20913.756822348278,20967.37014867234,21013.947630850045,21054.394152108784,21089.50285209114,21119.96774766806,21146.395237165947,21169.314499415275,21189.18683006213,21206.413977024622,21221.345547988974,21234.285567849634,21245.49826483446,21255.21316208649,21263.62954770246,21270.920391384483,21277.235770464296,21282.70586247223,21287.443555891263,21291.546725421595,21295.100213081692
G,10.0,14.472474037615596,19.826299084055666,26.234586172809202,33.90420152417222,43.08224173757452,54.06370476876582,67.20055726177716,82.91242337861374,101.69914347666813,124.15547007580827,150.98817931912248,183.03587229697723,221.2917130942825,266.9292863902693,321.3316391428854,386.1233744391907,463.2053598023768,554.7911579413644,663.4436384420935,792.1093329356795,944.1469050167798,1123.3445872700254,1333.9195995666707,1580.4904924871053,1868.0112772224134,2201.6545284467397,2586.6300666231436,3027.9273322946797,3529.9744024100364,4096.216048929176,4728.628148938287,5427.205777869659,6189.4849970002915,7010.178421957534,7881.014270401089,8790.859116306743,9726.17033761341,10671.76697161562,11611.839338761954,12531.05868561733,13415.619501379557,14254.061185531,15037.7684795673,15761.122880195315,16421.34578559973,17018.119470950347,17553.08727608434,18029.324308184503,18450.845381386163,18822.188857136232,19148.09103087823,19433.2489740137,19682.160313517164,19899.02469586705,20087.691617246517,20251.64117706523,20393.986917061153,20517.492527815055,20624.596489183263,20717.440542872268,20797.899281685637,20867.60914442007,20927.995807412306,20980.299438600807,21025.597590688485,21064.825705705625,21098.795320498266,21128.210127644532,21153.680077383156,21175.733715885,21194.82895203821,21211.362434398812,21225.67770565961,21238.07228616326,21248.803822002705,21258.09541791209,21266.140260882028,21273.105627431603,21279.13635578893,21284.357853842575,21288.878704550374,21292.79292243054,21296.181907703733,21299.116138496032,21301.656636148356,21303.85623401258,21305.760676061986,21307.409568126222
