state,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,8,12,17,21,33,41,41,74,110,122,145,202,288,482,546,623,801,1090,1370,1626,2154,2380,2619,3025,4106,4743,5440,5955,6373,6729,7549,9131,10203,10882,11852,12261,12550,13621,14578,15267,16354,17434,17841,18297,19388,20153,21070,21779,22480,23201,23425,24206,24936,25834,26369,27693,28442,28661,29359,29944,30723,31585,32149,32581,33779,33954,34806,35362,35901,36722,37147,37521,38253,38811,39775,40645,41474,42233,42881,43304,43935,44565,45225,45841,46316,47050,47858,48180,48874,49834,50608,51349,51840,52464,53225,53955,54885,55780,56794,57639,58249,59055,60009,60908,61992,63756,64578,65790,67651,69375,71092,72993,74977,76810,78821,81285,84225,87709,90492,93316,95505,97055,100458,103881,106301,111205,114391,116923,120569
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,4,6,7,10,15,17,27,38,49,57,78,89,95,105,121,149,174,198,216,245,270,315,350,371,387,410,435,442,465,486,498,503,516,529,540,552,573,579,583,588,591,595,599,603,605,606,608,612,617,618,618,619,619,624,625,627,627,629,630,632,633,636,636,637,637,638,638,639,640,642,642,643,643,643,643,644,647,648,651,652,652,652,653,655,664,673,675,676,682,685,692,706,723,728,736,740,744,762,789,789,814,816,819,835,851,866,872,898,900,917,926,946,975,999,1023,1030,1071,1094,1130,1158,1200,1220,1243
IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,14,16,17,18,22,23,29,38,44,45,70,90,105,122,147,180,234,298,336,424,496,552,612,700,785,869,945,1048,1145,1270,1388,1510,1587,1710,1896,1994,2141,2332,2510,2902,3157,3637,3747,3922,4443,5092,5461,5856,6375,6841,7142,7878,8634,9168,9701,10107,10401,11052,11447,11666,11955,12363,12897,13276,13658,14038,14321,14641,15173,15289,15613,16167,16504,16893,17248,17597,17698,18354,18582,18952,19237,19543,19696,19996,20296,20800,21145,21466,21777,22093,22228,22611,22964,23344,23713,23918,24067,24172,24457,24859,25271,25496,25954,26144,26348,26709,27289,27687,28065,28482,28837,29014,29501,30210,30461,31057,31414,31741,32046,32618,33247,34170,34656,35360,35631
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,9,11,23,35,41,50,77,92,141,187,233,265,325,432,525,662,889,1011,1075,1100,1169,1210,1232,1354,1396,1407,1425,1462,1471,1508,1609,1655,1670,1672,1736,1766,1802,1833,1866,1885,1895,1917,1952,1983,2013,2034,2061,2079,2106,2127,2158,2178,2205,2230,2230,2260,2293,2324,2351,2388,2418,2418,2454,2476,2505,2534,2595,2626,2626,2626,2699,2731,2769,2803,2839,2839,2905,2932,2989,3053,3111,3139,3139,3189,3221,3259,3259,3351,3397,3397,3461,3540,3632,3743,3871,4006,4006,4254,4400,4644,4865,5148,5322,5545,5751,6117,6370,6593,6994,7370,7733,8051,8538,8968,9428,9928,10505,10902,11403
IL,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,6,6,7,11,19,25,32,46,65,91,105,160,272,418,583,752,1050,1286,1539,1868,2543,3032,3487,4591,5059,5997,6981,7698,8905,10360,11257,12263,13542,15079,16424,17887,19179,20852,22023,23244,24592,25728,27576,29161,30357,31507,33052,35109,36934,39654,41774,43896,45878,48098,50350,52907,56048,58499,61484,63829,65957,68227,70868,73756,76081,77733,79002,83016,84686,87929,90359,92447,94182,96473,98018,100410,102683,105441,107792,110295,112008,113185,114305,115832,117450,118912,120257,121232,122841,123820,124749,125903,126883,127744,128406,129204,129829,130597,131189,131861,132528,133002,133629,134181,134773,135464,136100,136757,137217,137817,138538,139429,140288,141074,141720,142453,143180,144009,144886,145744,146609,147248,147861,148449,149428,150449,151757,152961,153913,154799
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,6,12,12,12,15,20,26,30,39,79,84,125,202,215,367,478,658,978,1231,1512,1783,2158,2567,3037,3434,3954,4424,4954,5540,5943,6351,6907,7433,7924,8368,8527,8960,9534,10150,10641,11210,11680,12091,12436,13037,13678,14395,15010,15960,16579,17166,17817,18629,19293,19930,20502,21028,21865,22499,23144,23730,24122,24611,25117,25470,26047,26650,27275,27766,28246,28703,29270,29930,30404,30893,31369,31706,32067,32424,33057,33549,34204,34569,34820,35234,35704,36089,36573,36992,37388,37611,38024,38332,38743,39146,39543,39909,40404,40760,40972,41428,41740,42059,42416,42626,42867,43136,43652,44119,44574,44929,45223,45593,45946,46387,46915,47429,47994,48312,48619,49059,49573,50297,51075,51610,52037
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,6,8,9,11,17,21,36,47,56,67,80,102,137,172,217,267,329,372,438,491,555,629,698,756,849,924,1046,1106,1171,1266,1334,1385,1439,1525,1616,1740,1853,1939,2063,2207,2417,2721,2959,3135,3276,3472,3650,3836,4411,4632,4885,5155,5383,5647,5993,6332,6666,6828,6947,7156,7238,7517,7704,7884,7939,7951,8301,8352,8507,8625,8908,8976,9001,9122,9197,9289,9369,9656,9694,9743,9910,9960,10088,10163,10302,10358,10403,10536,10603,10747,10819,10972,11019,11100,11314,11411,11644,11753,12021,12097,12136,12424,12536,12928,13102,13458,13614,13844,14204,14365,14826,14998,15652,15905,16075,16622,16856,17331,17782,18299,18683,18977,19645
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,8,8,11,14,18,21,25,26,29,48,64,86,102,122,163,194,239,296,389,438,479,631,686,769,813,898,937,1028,1148,1340,1451,1692,1817,1966,2047,2202,2283,2409,2501,2687,2948,3035,3187,3357,3474,3760,3891,4064,4146,4366,4526,4693,4867,4867,5115,5239,5812,5932,6120,6285,6435,6435,6672,6849,6849,7212,7433,7672,7672,7915,8047,8162,8284,8421,8567,8567,8567,8948,9073,9178,9456,9693,9693,10031,10169,10405,10701,10972,11276,11276,11459,11697,11872,11934,12162,12438,12438,12639,12639,12986,13192,13448,13625,13743,13831,14139,14361,14615,14856,15165,15230,15343,15621,15840,16078,16374,16374,16374,17150,17518,17919,18245,18670,19118,19387,19653
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,13,19,35,76,103,136,196,277,392,537,766,837,1168,1387,1795,2303,2745,3313,3540,4024,5235,6421,9104,10170,12484,13010,14866,16284,17030,18280,19249,20011,20592,21012,21512,21947,22511,23113,23579,23927,24520,24851,25253,25735,26139,26511,26773,27068,27286,27659,27998,28704,29138,29338,29671,29995,30397,30650,30853,31406,31590,31805,32035,32620,33420,33739,34117,34432,34709,35038,35316,36490,36906,37021,37072,37710,38044,38486,38790,38790,39564,39899,40321,40727,41108,41528,41985,42480,42807,43038,43599,44013,44446,44966,46214,46506,46945,47406,48048,48048,48511,49384,49773,50233,51595,52477,53415,54769,54769,56234,57056,58095,60177,61560,63289,63289,65224,66325,68263,70151,71994,74636,76803,78122,79827
MA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,8,13,32,41,92,95,108,123,138,162,191,218,256,328,407,523,646,777,1159,1838,2401,3188,4204,4902,5670,6538,7738,8966,10402,11677,12500,13837,15200,16790,18941,20973,22859,25474,26866,28163,29918,32181,34402,36372,38077,39643,41199,42944,46023,50969,53348,54938,56462,58302,60265,62205,64311,66263,68087,69087,70271,72024,73721,75333,76743,77793,78462,79332,80497,82182,83421,84933,86010,87052,87925,88970,90084,90889,91662,92675,93271,93693,94220,94895,95512,96301,96965,100802,101161,101592,102063,102556,103132,103436,103624,103887,104156,104667,105059,105395,105593,105689,105885,106151,106422,106650,106936,107061,107210,107439,107611,107837,108070,108443,108667,108768,108882,109142,109338,109628,109838,109974,110137,110338,110602,110897,111110,111397,111597,111827
