state,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,6,9,12,12,19,21,34,42,59,85,107,148,194,248,290,352,426,583,780,1067,1239,1412,1660,1986,2331,2758,3172,3617,4045,4370,5528,6184,6968,7694,8225,8935,9470,10031,10784,11572,12313,12831,13684,14193,14775,15735,16616,17766,18580,19485,20109,20846,21742,23472,24480,25462,26389,27116,28163,29373,30459,31534,32587,33373,34061,34812,35903,36984,37957,38804,39762,41545,42317,43530,44424,45495,46313,47150,47684,48423,49708,50987,52015,52715,53326,54171,54981,55858,56760,57481,57969,58397,58902,59463,60197,60608,61261,61690,62003,62407,62968,63229,63546,63956,64302,64587,65005,65331,65775,66114,66450,66770,67245,67548,67908,68421,68961,69337,69624,69894,70395,70860,71447,71910,72467,73109,73527
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,11,16,28,35,39,56,69,85,106,118,142,155,168,211,253,275,303,344,376,432,455,470,499,519,537,560,585,615,632,696,734,770,795,827,847,867,875,888,907,937,965,990,1015,1023,1039,1055,1095,1123,1152,1185,1205,1226,1254,1330,1374,1408,1436,1462,1477,1515,1565,1602,1647,1683,1712,1741,1819,1877,1948,2013,2055,2074,2109,2137,2189,2225,2280,2322,2345,2374,2415,2445,2481,2523,2570,2588,2606,2636,2667,2720,2756,2792,2808,2819,2835,2878,2912,2938,2957,2971,2995,3016,3069,3102,3153,3190,3217,3251,3290,3326,3371,3396,3414,3422,3440,3457,3484,3497,3519,3539,3558
MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,25,33,53,58,68,119,324,553,809,1037,1328,1791,2294,2855,3655,4651,5487,6495,7614,9325,10791,12744,14223,15717,17219,18970,20345,21504,22781,23990,24626,25633,26986,28059,29263,30021,30786,31413,31959,32964,33961,35294,36641,37211,37778,38210,39260,40394,41346,42337,43188,43751,43988,44448,45178,45682,46382,46801,47167,47544,48017,48390,49579,50078,50528,51138,51907,52346,52996,53494,53880,54361,54676,54877,55100,55591,56014,56536,56883,57391,57528,57728,58011,58238,58525,63983,64413,64701,64982,65180,65410,65672,65743,65924,66004,66262,66494,66776,67077,67523,67689,67933,68194,68550,68981,69323,69677,69944,70219,70718,71077,71674,72169,72573,72927,73254,73890,74543,75057,75686,76365,76767,77198
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,9,14,21,35,54,60,75,86,115,137,169,234,261,286,344,396,441,503,576,629,688,742,789,865,933,984,1066,1152,1242,1336,1423,1618,1647,1692,1807,1910,2068,2211,2352,2468,2566,2721,2942,3185,3446,3602,3811,4180,4643,5135,5725,6215,6660,7233,7851,8577,9363,10085,10785,11265,11794,12488,12913,13432,14235,14968,15666,16370,17026,17666,18200,19004,19843,20573,21313,21960,22461,22945,23528,24184,24847,25205,25501,25868,26273,26980,27500,27885,28224,28521,28866,29313,29793,30166,30469,30692,30880,31295,31665,32030,32464,32919,33225,33468,33760,34122,34614,35032,35549,35857,36298,36713,37208,37624,37624,38135,38564,39133,39587,40163,40766,41569,42279,42772
MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,5,5,9,16,22,40,65,99,149,210,268,378,520,709,850,915,1108,1401,1672,1861,2152,2342,2456,2867,3208,3431,3628,3953,4153,4277,4531,4773,5000,5223,5410,5556,5764,5927,6093,6273,6467,6755,6891,7086,7285,7427,7629,7794,8047,8319,8577,8916,9099,9294,9547,9730,9889,10045,10137,10235,10367,10587,10737,10930,11070,11219,11368,11501,11667,11821,11943,12107,12447,12542,12788,12935,13125,13270,13406,13690,13976,14144,14371,14715,14906,14977,15110,15303,15459,15653,15827,16030,16061,16411,16634,16863,17197,17449,17785,18182,18309,18690,18979,19736,20540,20812,21206,21781,22355,22705,23107,23723,24180,24450,24450,25584,26342,27186,28180,28750,29086,30062
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,9,11,20,33,52,79,140,206,248,375,483,577,659,756,756,845,1066,1066,1357,1357,1638,1737,1737,1915,2003,2260,2468,2640,2781,2940,3085,3360,3620,3789,3972,4273,4512,4711,4893,5150,5429,5714,5906,6090,6340,6561,6814,7210,7438,7550,7876,8207,8424,8686,9089,9367,9499,9674,9908,10090,10483,10799,11120,11296,11432,11701,11962,12221,12619,13005,13251,13458,13731,14044,14371,14790,15226,15511,15734,16020,16309,16555,16769,17034,17269,17768,18123,18483,18483,19091,19347,19514,19793,20147,20626,20626,20626,20626,20626,22314,22908,23414,24496,25063,25519,25891,26567,27247,27900,28769,29683,30673,30898,31253,32214,32872,33591,34621,35414,36276,36663
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,8,9,10,14,21,29,33,45,50,66,89,121,147,161,177,197,214,243,262,281,296,318,318,332,354,365,377,387,394,399,404,413,422,426,433,433,437,439,442,444,445,448,449,451,451,452,452,454,454,455,455,455,455,457,458,458,459,461,462,462,466,468,468,470,471,478,479,479,479,479,479,479,481,485,492,504,514,518,522,524,536,538,539,544,547,553,560,563,573,588,601,608,613,630,655,666,696,716,733,742,764,800,828,851,861,917,966,1016,1083,1127,1167,1212,1248,1327,1371,1466,1593,1675,1758,1843
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,7,7,9,16,19,26,33,40,65,93,140,192,281,311,423,524,630,772,943,1061,1203,1381,1568,1770,2039,2333,2546,2684,3033,3325,3578,3836,4089,4394,4596,4976,5134,5415,5659,6190,6367,6591,6965,7120,7540,7820,8289,8711,8988,9315,9755,10180,10754,11070,11586,11768,11969,12509,13051,13538,14004,14475,14936,15270,15617,16347,16966,17494,18130,18673,19208,19239,20262,20512,22110,22878,23365,24057,24455,24916,25822,26881,27794,28785,29592,30023,31276,32075,33295,34718,35625,36517,37227,38497,39584,41417,42845,44264,45114,45905,46845,48077,49640,51390,52802,53613,54460,55913,57182,58814,60538,62142,63476,64672,66513,68142,70243,71653,72987,74528,75882,77316,79356,81334,83794,85712,87532
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,7,19,26,28,30,32,36,45,58,68,93,97,110,126,147,159,173,186,207,225,237,251,269,278,293,308,331,341,365,393,438,527,585,627,643,679,709,748,803,867,941,990,1033,1067,1107,1153,1191,1225,1266,1322,1370,1424,1463,1489,1515,1570,1645,1712,1761,1847,1897,1927,1992,2078,2188,2267,2315,2364,2402,2420,2437,2479,2518,2552,2575,2624,2646,2679,2706,2745,2816,2861,2879,2901,2941,2980,3016,3058,3080,3101,3124,3166,3192,3225,3251,3288,3313,3319,3361,3393,3421,3458,3495,3538,3575,3614,3657,3722,3779,3816,3849,3897,3969,4069,4154,4243,4334,4442
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,10,11,14,16,18,18,24,29,33,39,51,52,63,70,73,81,89,108,120,150,173,211,255,285,322,365,415,477,532,576,646,704,807,867,898,950,1072,1138,1287,1472,1647,1720,1811,2200,2424,2712,3020,3357,3517,3851,4279,5008,5315,5661,6083,6438,6771,7190,7831,8234,8315,8572,8692,9032,9415,9769,10216,10339,10622,10844,11122,11420,11660,11960,12132,12356,12615,12978,13242,13651,13903,14097,14344,14615,14886,15139,15406,15572,15664,15786,15918,16055,16315,16522,16640,16726,16851,17038,17231,17414,17587,17707,17812,17963,18099,18226,18365,18524,18771,18895,19042,19178,19304,19457,19656,19825,19929,20053,20253,20478,20680,20829,21037,21201,21420
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,4,4,5,5,6,7,7,13,17,26,39,40,50,65,78,101,108,137,158,187,214,258,314,367,415,479,540,621,669,715,747,788,819,885,929,984,1018,1090,1139,1210,1283,1342,1392,1447,1490,1588,1662,1720,1791,1864,1937,2010,2058,2146,2310,2429,2518,2588,2636,2741,2843,2946,3011,3071,3159,3239,3299,3382,3464,3556,3596,3631,3721,3868,3935,4014,4089,4149,4197,4231,4286,4389,4492,4545,4650,4684,4748,4794,4874,4952,5017,5042,5078,5130,5177,5207,5249,5297,5316,5343,5364,5435,5450,5484,5518,5544,5558,5571,5598,5638,5671,5716,5747,5760,5782,5802,5821,5855,5870,5897,5913,5932,5952,5973,5991,6024,6053,6068
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,6,11,15,23,32,51,71,109,174,244,425,758,916,1345,1934,2828,3662,4522,6881,8814,11230,13774,16698,19184,22346,25536,29974,34403,37860,41539,44767,47725,51448,54988,58601,62121,64859,69079,71573,75799,78793,81846,85898,89188,92587,96359,100405,102666,106151,109642,111984,114635,117052,119419,121954,124540,127310,128942,131165,132418,133766,135507,137161,138413,139615,140539,141441,142683,143548,144638,146222,147754,148729,150040,150947,152026,152546,153752,154741,155443,156779,157866,158640,159485,160445,160918,161545,162068,162530,163320,163857,164128,164451,164736,165280,165787,166104,166587,166868,167122,167396,167676,168094,168482,168813,169128,169369,169673,169853,170196,170578,170872,171162,171272,171637,171928,172356,172742,173066,173412,173604,173884,174034,174268,174647,174980,175298,175522
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,13,17,21,23,28,35,43,57,65,83,100,113,136,190,207,237,281,316,363,403,490,543,624,686,794,865,989,1090,1174,1244,1345,1407,1484,1597,1711,1798,1845,1971,2071,2210,2376,2521,2660,2725,2824,2974,3213,3411,3513,3732,3849,4029,4136,4287,4490,4660,4778,4863,5064,5209,5362,5500,5658,5842,5934,6091,6188,6276,6468,6620,6791,6939,7022,7128,7250,7360,7488,7622,7688,7795,8020,8136,8349,8669,8797,8937,9059,9104,9248,9364,9523,9619,9721,9844,9924,10025,10152,10258,10429,10565,10692,10838,10990,11189,11408,11618,11808,11981,12147,12276,12519,12775,13062,13255,13506,13726,14017,14251,14549,14773,15028,15291
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4,7,11,20,21,26,45,55,86,93,156,159,185,263,306,318,433,535,653,670,911,1055,1167,1352,1567,1733,1836,1970,2131,2318,2492,2603,2746,2835,3028,3143,3211,3317,3524,3626,3728,3830,3937,4081,4208,4398,4539,4639,4701,4821,4935,5054,5248,5389,5472,5627,5660,5744,5855,5920,6049,6120,6154,6311,6476,6610,6740,6810,6948,7056,7093,7295,7397,7520,7763,7875,7949,8050,8149,8247,8375,8516,8627,8701,8855,8951,9129,9309,9490,9670,9815,10044,10216,10462,10704,10997,11201,11315,11683,11854,12169,12522,12974,13240,13528,14061,14462,14859,15359,16406,17187,17970,18591,19155,19865,20892,21676,22517,22925,23862,24391,25059,25994,26917,27754,28576
NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,13,24,46,91,110,144,178,218,327,423,617,746,969,1407,2554,5697,8528,12321,16891,21725,26387,33036,39139,46122,53518,59448,67378,76041,84036,92730,103144,114157,123143,131812,140368,151057,161785,172946,181799,190269,196129,207140,218883,227597,235366,242550,248401,253295,258559,263714,271130,279282,287455,293661,298407,301454,306443,311344,315480,319467,322556,325470,327503,330990,334106,336745,339307,341295,342813,344455,346517,348790,351527,353824,355347,356561,358273,359654,361769,363361,365239,366564,368035,369060,370343,372024,373532,374836,375912,376925,378243,379268,380359,381394,382461,383338,384033,384701,385342,386041,387022,387910,388573,389176,389800,390347,390952,391725,392452,393099,393628,394239,394798,395590,396351,397018,397611,398238,398504,398874,400176,401107,401797,402369,402857,403155,404090,404650,405640,406328,406955,407528
OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,13,28,37,50,67,89,120,172,250,356,443,566,705,870,1138,1405,1651,1933,2197,2546,2902,3297,3739,4043,4444,4781,5146,5511,5877,6248,6599,6975,7285,7791,8410,9106,10214,11574,12918,13722,14114,14688,15156,15570,15949,16324,16766,17299,18018,18736,19333,19912,20473,20968,21574,22129,23015,23688,24076,24771,25250,25719,26355,26951,27471,27921,28446,28947,29430,30166,30794,31407,31909,32474,33002,33436,33913,34563,35029,35507,35978,36346,36791,37279,37756,38108,38474,38833,39157,39571,39991,40421,40848,41147,41574,42006,42422,43122,43725,44259,44806,45537,46127,46760,47650,48639,49453,50307,51046,51789,52864,54164,55257,56182,57151,57956,58905,60182,61331,62855,64214,65590,66854
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,4,7,10,17,29,44,49,53,67,81,106,164,248,322,377,431,482,568,721,881,989,1159,1254,1328,1473,1526,1682,1791,1868,1970,2063,2177,2261,2356,2464,2569,2599,2681,2805,2893,3015,3119,3192,3252,3279,3408,3473,3617,3748,3851,3971,4043,4123,4198,4325,4416,4479,4577,4603,4725,4851,4959,5082,5236,5307,5394,5485,5531,5677,5848,5954,6032,6087,6133,6223,6267,6335,6417,6417,6568,6688,6803,6903,7002,7059,7149,7203,7360,7478,7625,7844,8073,8231,8409,8639,8903,9350,9705,10037,10514,10731,11027,11509,11947,12343,12642,12941,13169,13750,14110,14529,15067,15645,15927,16359,17220,17893,18495,19092,19779,20235,20746
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,7,14,14,15,21,30,32,36,39,50,66,74,87,113,137,161,191,214,265,316,414,479,549,605,691,735,826,898,999,1067,1132,1181,1237,1320,1371,1447,1527,1583,1632,1663,1736,1784,1843,1910,1954,2002,2059,2126,2177,2253,2311,2353,2385,2446,2510,2578,2635,2680,2759,2838,2915,2987,3066,3157,3224,3282,3350,3407,3474,3532,3606,3618,3680,3721,3794,3812,3860,3884,3922,3945,3964,4034,4082,4130,4185,4243,4301,4334,4398,4473,4569,4661,4804,4918,4988,5059,5235,5377,5377,5377,5819,6096,6218,6365,6571,6571,6571,7082,7273,7443,7568,7817,8094,8340,8484,8656,8930,9294,9636,9930,10229,10393,10600,10810,11185,11453,11850,12170,12438
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,10,14,16,22,41,47,66,82,112,155,206,307,402,514,698,946,1285,1813,2382,2908,3464,4149,4990,6063,7345,8570,10506,11640,13206,14955,16746,18632,20407,21942,22997,24332,25590,26804,28313,30029,31791,32990,34004,35336,36204,38379,40208,41602,42615,43646,45135,46458,48130,49576,50489,51935,52808,53856,54789,55944,57359,58548,59925,60446,61295,62098,63102,64136,65184,65699,66663,67311,68122,69242,70201,71005,71557,72327,72774,73553,74220,74983,75697,76127,76644,77221,77779,78328,78815,79505,79905,80338,80869,81313,81847,82480,82943,83202,83583,83972,84289,84682,85197,85589,85935,86576,87207,87685,88141,88859,89446,89861,90465,91137,91773,92609,93390,93920,94403,95100,95898,96724,97541,98482,99216,99793,100330
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,5,5,5,14,14,14,15,15,15,44,54,66,83,106,124,132,164,201,235,289,406,488,566,657,711,806,922,1083,1229,1450,1727,2015,2349,2665,2976,3251,3529,3838,4177,4491,4706,5090,5500,5841,6256,6699,7129,7439,7707,7926,8244,8620,8962,9289,9477,9652,9933,10205,10530,10779,10989,11274,11441,11614,11835,12016,12219,12434,12674,12795,12951,13356,13571,13736,13952,14065,14065,14210,14352,14494,14635,14819,14928,14991,15112,15219,15325,15441,15441,15441,15642,15691,15756,15862,15947,15947,15947,16093,16164,16213,16269,16337,16337,16337,16459,16533,16606,16640,16661,16661,16661,16764,16813,16853,16941,16991,16991,16991,16991,17154,17204,17243,17312,17312,17312,17312
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,7,9,10,12,13,19,28,35,48,61,81,126,172,193,297,340,424,455,541,660,774,925,1083,1293,1553,1699,1913,2048,2230,2413,2552,2791,3064,3207,3311,3437,3551,3656,3914,4081,4241,4370,4435,4607,4758,4916,5068,5243,5485,5611,5734,5881,6095,6254,6485,6617,6748,6836,6935,7139,7364,7528,7649,7780,7902,8026,8189,8401,8658,8811,8935,9051,9173,9379,9636,9895,10092,10177,10415,10622,10788,11130,11394,11859,12143,12414,12647,13002,13441,13914,14284,14796,15220,15758,16437,17170,17955,18795,19376,19990,20555,21527,22608,23756,24659,25653,26571,27841,28958,30262,31850,33221,34546,36297,37809,39586,41413,43260,44689,46246,47214,48770,50547,52270,54538,56484,58003
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,9,9,9,10,11,11,14,14,14,21,28,30,41,46,58,68,90,100,107,129,165,187,212,240,288,320,393,447,536,626,730,868,988,1168,1311,1411,1542,1635,1685,1755,1858,1956,2040,2147,2212,2244,2312,2373,2449,2524,2587,2630,2667,2720,2778,2905,3144,3392,3516,3613,3663,3731,3792,3887,3958,3987,4026,4085,4177,4250,4356,4468,4563,4586,4653,4706,4787,4866,4959,4992,5033,5064,5158,5243,5273,5363,5432,5465,5517,5598,5659,5736,5827,5891,5921,5959,6043,6094,6133,6223,6296,6324,6351,6418,6478,6534,6622,6676,6712,6763,6825,6892,6977,7026,7061,7103,7163,7242,7335,7399,7454,7499,7524
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,7,9,18,27,32,39,52,78,98,154,257,369,498,586,780,915,1086,1255,1470,1719,1941,2390,2683,2845,3068,3321,3627,3786,4084,4362,4617,4874,5113,5346,5607,5820,6100,6262,6582,6750,7056,7226,7389,7835,8260,8722,9188,9663,9915,10051,10365,10733,11890,12660,13177,13563,13640,13932,14094,14438,14765,14984,15543,16107,16368,16696,16957,17261,17355,18004,18412,18407,18960,19391,19779,20102,20532,20888,21280,21673,22057,22563,22563,22563,24253,24682,25043,25517,26030,26338,26838,27530,27882,28337,29122,29543,30335,30995,31745,32108,32760,33843,34324,35100,35553,36365,37216,38034,39247,40036,40036,41876,43065,44723,47013,48713,49995,51149,51860,53518,55754,57591,59303,60805,61758,64632
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,9,12,13,21,23,32,51,64,77,96,134,228,321,438,564,674,809,1030,1359,1657,2026,2525,2841,3333,3918,4590,5239,6050,6756,7253,8159,9213,10074,11482,12392,13352,13883,14502,15344,16289,17263,18076,18917,19400,20082,20971,21770,22645,23577,24092,24890,25233,26292,27301,28621,29820,31038,31879,32731,33755,34881,36044,37384,38406,39245,40584,41719,42995,44480,45857,47451,48395,49213,50585,51703,52946,53567,54708,55885,56374,57229,58562,60427,61613,62880,64667,65614,67351,68876,70751,72544,74468,75410,76258,78249,80766,82650,84959,86967,88588,90174,93925,97216,101241,105487,109581,112944,117914,122927,128610,134537,140162,145880,150151,156716,164681,172480,179506,188139,194636,198951,205956,216489,225296,236516,246366,255630,262782,269778
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,5,6,19,21,31,41,54,68,102,126,169,242,283,333,388,469,588,705,787,866,990,1066,1248,1428,1599,1680,1738,1847,1977,2103,2206,2302,2362,2417,2548,2687,2807,2932,3069,3213,3296,3445,3612,3781,3948,4123,4236,4344,4495,4672,4828,4981,5173,5316,5449,5595,5724,5919,6103,6251,6357,6432,6619,6749,6913,7067,7237,7379,7517,7708,7871,8053,8258,8390,8519,8618,8704,8919,9264,9533,9796,9998,10202,10497,10813,11252,11798,12066,12319,12559,12863,13252,13577,13981,14311,14608,14937,15344,15839,16425,17068,17462,17906,18300,18784,19374,20050,20628,21100,21663,22217,22716,23268,23866,24542,24952,25469,26033,26755,27356,28223,28855,29482,30030
VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,8,11,18,30,41,45,53,67,79,103,126,161,226,259,305,399,471,610,741,888,1021,1249,1484,1702,2025,2412,2636,2876,3328,3646,4043,4510,5078,5273,5746,6171,6499,6887,7489,8047,8533,8982,9627,10263,10993,11583,12362,12966,13534,14338,14960,15843,16898,17732,18665,19483,20252,20252,21567,22337,23189,24073,25062,25794,26742,27807,28668,29680,30384,31137,32136,32900,34131,34947,35732,36243,37724,39332,40242,41397,42526,43603,44599,45390,46221,46894,47844,48520,49379,49379,51224,51719,52159,52634,53196,53857,54493,54871,55318,55760,56225,56773,57403,57949,58415,58951,59491,59926,60555,61234,61719,62174,62766,63194,63727,64385,65100,65734,66073,66727,67362,67981,68928,69781,70668,71642
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,5,8,12,12,14,14,19,49,52,75,97,123,156,184,211,235,239,293,320,338,389,461,512,543,575,605,628,679,711,727,748,759,759,768,779,803,813,816,818,821,825,827,842,849,854,861,861,865,878,885,897,902,905,908,915,917,920,926,926,927,929,931,932,933,940,940,943,944,950,952,954,956,962,967,971,973,975,977,981,983,988,990,1025,1027,1046,1063,1075,1083,1094,1110,1119,1125,1127,1128,1130,1130,1135,1144,1147,1159,1163,1164,1184,1191,1198,1200,1202,1208,1208,1210,1227,1236,1238,1249,1251,1253,1256,1272,1277,1283,1296,1301
WA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,13,18,26,38,68,78,102,123,169,273,334,411,509,604,667,840,950,1036,1246,1397,1647,1883,2154,2469,2599,3162,3726,4277,4881,5194,5482,5984,6595,6967,7591,7984,8384,8986,9275,9750,10177,10416,10530,10725,10838,10971,11330,11800,11965,12026,12485,12723,12864,13013,13306,13557,13770,14200,14387,14710,14986,15263,15520,15758,16094,16317,16639,16846,17064,17202,17386,17781,17983,18142,18400,18559,18904,19021,19289,19487,19689,19833,19995,19999,20430,20745,21029,21227,21538,21836,22037,22318,22717,22953,23287,23556,23869,24218,24444,24767,25038,25062,24951,25310,25578,25788,26166,26594,26848,27233,27714,28155,28464,28988,29480,29981,30473,30986,31370,31646,32365,32917,33574,33612,34782,35093,35571,36041,37500,37919,38576,39244,39244,40400,41793
