county,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27
CA-Los Angeles,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,11,13,14,14,19,20,27,31,40,53,69,94,144,190,231,292,351,409,540,669,812,1230,1465,1818,2136,2474,3037,3518,4045,4566,5304,5940,6377,7025,7559,7955,8453,8889,9197,9480,10075,10517,10895,11421,12051,12349,13823,15165,16449,17537,18545,19159,19567,20460,21017,22522,23233,24262,24936,25699,26238,27836,28665,29526,30334,31241,31703,32269,33247,34552,35447,36324,37374,38011,38466,39632,40975,42138,43085,44121,45034,46023,47875,48778,49860,51685,53746,55001,56017,57222,58267,59717,61074,62382,63850,64699,65957,67111,68959,70534,72066,73023,73832,75172,77285,78348,79676,81709,83414,86017,88512,89633,91577,93391,95385,97918,100958,103872,105665,107792,107806,113622,115024,116670,120764,123256,125006,127439,130394,133596,136384,140576,143207,147713,150424,153179,155917,159045,162025,165134,166868,168935,172343,174017,176136,178663,183456,186036,188541,190857,192177,193877,195805,198165,201200,204258,206778,208563,210543,212145,214283,216313,218831,220867,221971,223233,224105,225916,227404,229148,230772,231695,232937,233882,235430,237080,238551,239828,240755,241808,242682,244004,245095,246457,247627,248339,248822,249271,249951,251075,252125,253220,253985,254685,255124,256194,257343,258587,259880,260808,261501,262198,263339,264465,265814,267028,267807,268456,269344,270361,271443,272659,273699,274567,275018,275920,277487,278733,279989,281206,282135,282982,283793,285067,286217,287258,288181,288451,289421,289519,290558,294138,296930,299007,299007,300662,302102
CA-Riverside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,6,10,12,12,13,14,14,20,26,28,43,46,57,105,105,183,195,233,291,371,429,493,638,665,799,946,1016,1179,1280,1350,1431,1619,1751,1961,2105,2264,2457,2602,2638,2847,2960,3084,3218,3315,3409,3563,3643,3735,3942,4031,4079,4164,4180,4354,4454,4672,4756,4817,4992,5039,5189,5248,5343,5440,5618,5618,5618,5952,6053,6184,6343,6464,6464,6464,7004,7139,7252,7341,7486,7486,7486,7982,8155,8303,8303,8777,8777,8777,9206,9590,9911,10240,10490,10490,10490,11285,11694,11951,12467,12778,12778,12778,13800,14431,14905,15142,15643,15643,15643,16634,17296,18041,18720,19450,19450,19450,20555,21101,21957,23334,24765,24765,24765,25748,26481,27371,28177,28695,28695,28695,29983,30890,31982,32813,33467,33467,33467,35187,35910,36159,36629,37011,37011,37011,38131,38487,38487,39741,40452,40452,40452,41983,43376,43376,44679,45662,45662,45662,47490,48200,48630,48956,49482,49482,49482,50744,51200,51538,51734,51860,51860,51860,52909,53153,53306,53703,53987,53987,53987,53987,54572,54735,54868,55073,55073,55073,55766,55986,56201,56374,56681,56681,56681,57419,57482,57695,57883,57883,58178,58178,58932,59173,59405,59488,59934,59934,59934,60738,60867,61133,61416,61824,61824,61824,61824,62553,62900,63125,63284,63284,63284,64075,64668,65056,65386,65757,65757,65757,65757,66993
FL-Miami-Dade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,4,13,21,28,54,77,101,123,169,227,278,367,491,654,869,1121,1472,1701,2123,2202,2886,3364,3890,4146,4671,5126,5461,5898,6300,6758,7058,7459,7712,8063,8326,8824,9045,9354,9657,10056,10289,10588,10926,11005,11351,11570,11831,11927,12063,12389,12632,12775,13092,13224,13371,13585,13664,13841,14007,14167,14385,14468,14742,15011,15366,15658,15864,15942,16034,16367,16522,16694,16845,17041,17168,17225,17396,17641,17826,18000,18139,18224,18456,18779,19056,19299,19547,19756,19980,20277,20548,20872,21633,21917,22197,22741,23273,23854,24376,25080,25790,26239,26822,27779,28664,30196,31562,33714,35222,36820,37961,40265,42311,44729,47011,48992,51058,53974,55961,58341,60868,64444,67713,69803,72317,75425,77867,81026,84238,87035,89557,92345,95068,98430,101854,104755,107315,110352,113143,115916,118462,121207,122690,123644,124759,125949,127677,129409,131217,132461,133623,135130,139271,140984,142662,144407,145307,146026,146990,148093,149162,150305,151214,151986,152612,153385,154135,154757,155418,156038,156559,156910,159059,159400,159978,160469,161018,161363,161637,162026,162433,162894,163375,163790,164086,164299,164688,165147,165595,165980,166516,166881,167153,167515,167880,168272,168775,169144,169426,169466,170086,170400,170882,171391,171876,172205,172398,172849,173280,173721,174112,174112,175118,175397,175837,176271,176809,177339,177893,178354,178726,179286,179644,180497,181017,181633,181942,182523,183250
FL-Broward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,11,11,24,43,46,55,80,96,128,164,217,263,312,412,505,631,820,1012,1137,1219,1348,1481,1598,1765,1886,2075,2230,2365,2480,2679,2844,2945,3177,3261,3363,3466,3688,3838,3971,4078,4168,4254,4431,4591,4659,4729,4794,4847,4898,4953,5144,5257,5312,5383,5492,5553,5677,5688,5780,5858,5882,5973,5998,6057,6133,6201,6243,6322,6369,6407,6514,6580,6649,6697,6760,6799,6825,6870,6975,7067,7123,7196,7248,7339,7462,7572,7690,7804,7924,8035,8193,8337,8589,8864,8928,9086,9498,9812,10111,10448,10837,11155,11327,11744,12217,12584,13320,14046,14620,15045,15624,16155,17116,18229,19575,21239,21856,22595,23781,25102,26705,28253,30025,31484,32814,34153,35566,36913,38131,39281,40976,42577,43747,45010,46576,48187,49350,50784,51657,52970,54312,55411,56797,57975,58531,58953,59354,60058,60746,61614,62268,62898,63605,64080,64741,65369,66011,66447,66826,67193,67534,68068,68542,68891,69136,69383,69584,69883,70147,70513,70764,70950,71121,72245,72371,72634,72880,73112,73293,73426,73556,73696,73869,74084,74273,74434,74525,74689,74832,75048,75266,75499,75682,75801,75944,76146,76329,76520,76700,76854,76874,77122,77220,77433,77631,77762,77934,78012,78136,78374,78614,78795,78795,79332,79434,79611,79876,80112,80443,80820,81107,81277,81537,81704,82250,82706,83165,83450,83962,84338
NY-New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,12,13,19,36,53,95,154,269,329,463,644,1339,3954,5683,8115,10764,13119,15597,20011,23112,26697,30765,33474,38087,43119,47439,51809,57159,63306,67551,72181,76876,81803,87028,94409,98715,104410,106763,114243,122361,127060,131661,135527,138700,141235,144190,147297,150976,155594,160215,163567,165717,167733,170143,172780,174921,177585,179718,181024,182257,183710,185594,187096,188602,189730,190535,191259,192333,193602,195411,196654,197413,198062,198644,199331,200456,201237,202001,202658,203508,204078,204720,205793,206739,207478,208024,208489,209134,209627,210166,210667,211213,211667,212061,212408,212823,213210,213646,214181,214566,214947,215281,215625,215952,216360,216742,217128,217426,217742,218028,218368,218738,219096,219420,219609,219609,219609,220506,220967,221334,221576,221821,221821,222383,222662,223013,223321,223664,223916,224232,224601,224984,225350,225738,226036,226327,226718,227069,227456,227821,228101,228384,228679,228878,229176,229490,229724,230086,230349,230587,230903,231207,231539,231883,232210,232456,232695,232969,233361,233798,234162,234548,234857,235094,235385,235653,235924,236208,236473,236761,236971,237202,237464,237777,238046,238324,238616,238877,239185,239451,239754,240078,240355,240650,240858,241080,241290,241625,241875,242181,242425,242693,243000,243253,243583,243934,244423,244824,245086,245434,245715,246137,246509,246939,247323,247704,248227,248677,249211,249813,250522,251058,251530,252098,252642,253337,253962,254538,255007,255403,255946,256413,256925,257581,258391,259003,259423,259859,260701,261232,261802,262554,263208,263633,264367
NY-Suffolk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,20,28,41,47,74,97,152,239,459,662,1034,1458,1880,2260,2735,3385,4138,5023,5791,6713,7605,8746,10154,11370,13129,14185,15561,17008,18803,18803,20321,20934,22040,23019,23708,24812,25497,26804,27485,28243,28701,28854,30267,31294,31368,32059,33286,33418,34079,34802,35280,35333,35444,35518,35689,36399,36444,36522,36666,36777,36911,37062,37305,37544,37719,37942,38117,38224,38327,38411,38553,38672,38802,38964,39090,39199,39258,39359,39445,39532,39643,39705,39980,40062,40153,40239,40278,40329,40377,40426,40464,40512,40559,40615,40659,40692,40738,40770,40810,40864,40908,40972,41010,41056,41101,41151,41208,41253,41306,41339,41385,41427,41491,41538,41585,41642,41685,41730,41799,41849,41911,41987,42028,42112,42214,42267,42333,42382,42440,42466,42496,42575,42621,42715,42773,42822,42883,42967,43024,43084,43170,43224,43300,43345,43395,43468,43553,43630,43681,43749,43786,43844,43893,43948,43987,44045,44109,44159,44185,44235,44305,44353,44400,44456,44498,44519,44561,44605,44641,44678,44712,44763,44820,44885,44940,45006,45102,45200,45258,45304,45356,45411,45463,45534,45615,45683,45714,45785,45843,45915,45956,46010,46061,46109,46176,46208,46241,46293,46345,46387,46428,46464,46517,46563,46667,46770,46842,46891,46980,47089,47196,47285,47357,47431,47493,47561,47630,47711,47815,47941,48029,48080,48121,48234,48308,48399,48562,48663,48717,48829
TX-Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,9,11,14,19,28,39,59,74,95,131,155,169,247,303,367,439,488,549,631,731,831,921,1015,1112,1155,1261,1324,1432,1537,1644,1723,1788,1877,1986,2066,2190,2324,2428,2512,2602,2683,2763,2834,2909,3014,3014,3240,3352,3531,3718,3899,4133,4370,4623,4869,5120,5369,5619,5870,6123,6359,6602,6837,7036,7250,7455,7679,7904,7904,8273,8477,8649,8827,8998,9188,9385,9587,9787,10006,10234,10462,10719,10958,11243,11541,11830,12093,12347,12645,12945,13257,13585,13930,14232,14537,14843,15256,15648,16042,16437,16845,17299,17744,18135,18538,19034,19595,19595,20737,21338,21882,22590,23675,24778,25840,27054,28131,29160,30361,31525,32626,33800,34914,35914,35914,36969,39191,40222,40222,42292,43026,43439,44087,44087,46013,46813,47239,48028,48732,49269,49976,50590,51108,51490,52131,52639,52869,53291,53831,54674,55255,55553,55787,56428,57313,58067,63428,65278,66065,66464,66772,67486,68572,68904,69086,69086,69881,69881,70100,70810,70810,71630,72252,72610,72610,73055,73453,73700,73700,74100,74476,74628,74887,75052,75052,75648,75838,76149,76607,76962,77118,77889,78205,78205,78377,78723,78723,80605,80978,81175,81372,82161,82410,82410,82918,83178,83795,84245,84491,84834,85032,85451,85911,86329,86775,87381,87835,88372,88834,89433,89987,90318,90790,90790,91313,92197,92845,93548,93939
TX-Harris--Houston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,4,5,5,5,5,10,11,19,22,23,24,55,66,68,69,232,286,309,377,458,506,587,690,743,1145,1320,1380,1995,2063,2124,2124,2239,2279,2331,2456,2570,2691,2821,2928,2948,2975,3046,3120,3120,3224,3224,3358,3515,3613,3720,3835,3908,3992,4062,4139,4227,4419,4531,4531,4760,4913,5030,5177,5340,5340,5656,5795,5901,6047,6188,6342,6525,6640,6640,6901,7010,7116,7284,7406,7406,7743,7906,8051,8231,8341,8538,8538,8845,9008,9174,9384,9534,9709,9709,10085,10318,10507,10717,11689,12533,12533,14322,15266,16253,17177,18056,18694,18694,20011,20291,21123,21886,22654,22884,23373,24336,25396,25600,26012,26682,28206,29421,30965,31990,32693,33695,34681,35395,36101,36985,37743,38516,39435,40086,40897,41877,42202,43066,44111,45415,46969,48425,49792,50896,51611,52320,52652,53304,54050,54749,55198,55509,55940,56365,56803,57494,57818,58172,58554,58903,59404,59871,60506,60943,61346,61730,62097,62387,62722,63220,63676,63834,63961,64137,64475,64985,65481,65932,65932,66265,66488,66723,67415,67415,68216,69242,69567,69797,70064,70380,70700,71042,71301,71591,71849,72196,72518,72684,72827,73005,73166,73351,73587,76057,76774,77053,77355,77616,77867,77964,78317,78448,78763,78997,79206,79630,79854,79964,80100,80429,80678,80857,81404,81756,82194,82715,82999,83158,83249
NJ-Hudson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,6,10,15,18,49,74,92,115,146,174,221,380,446,583,877,1362,1537,1793,2181,2528,3264,3770,4279,4844,5300,5725,6300,6811,7301,7740,8154,8497,9054,9647,9962,10337,11083,11604,11944,12533,13061,13481,13995,14312,14721,15088,15283,15683,15912,16224,16335,16554,16671,16725,16878,16981,17105,17160,17209,17309,17402,17477,17586,17704,17817,18005,18059,18158,18250,18318,18393,18469,18530,18606,18660,18711,18727,18767,18767,18801,18822,18852,18875,18875,18916,18916,19000,19000,19066,19128,19149,19177,19195,19231,19238,19238,19249,19257,19280,19302,19316,19316,19323,19323,19343,19360,19360,19360,19383,19394,19424,19424,19489,19489,19526,19556,19556,19590,19613,19636,19665,19677,19696,19696,19742,19775,19775,19775,19796,19796,19809,19818,19818,19859,19859,19908,19908,19945,19957,19957,19985,20023,20023,20046,20046,20089,20089,20089,20089,20178,20178,20236,20236,20236,20236,20236,20389,20389,20413,20413,20413,20413,20413,20507,20507,20536,20536,20536,20536,20536,20595,20595,20629,20629,20629,20629,20629,20629,20736,20736,20742,20742,20742,20742,20742,20742,20822,20822,20822,20822,20822,20887,20903,20964,20964,20964,20964,20964,21039,21039,21039,21160,21160,21160,21268,21268,21308,21308,21439,21492,21492,21492,21606,21606,21691,21815,21892,21892,22105,22196,22261,22414,22550,22550,22550,22573,23121,23121
NJ-Bergen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,7,11,13,15,25,29,61,84,114,195,249,363,457,609,701,819,1206,1505,1838,2169,2482,3202,3494,4099,4866,5760,6187,6862,7533,7874,8343,8928,9362,9784,10092,10426,10848,11409,11863,12163,12639,13011,13356,13686,14049,14363,14738,14965,15104,15251,15446,15610,15830,15974,16185,16282,16460,16520,16609,16709,16804,16929,17028,17080,17080,17080,17195,17246,17361,17459,17518,17518,17583,17653,17668,17804,17901,17963,18023,18158,18211,18211,18272,18302,18333,18376,18408,18463,18492,18512,18538,18573,18667,18719,18743,18805,18818,18848,18901,18928,18949,18967,18996,19010,19037,19069,19097,19167,19264,19275,19354,19375,19423,19445,19474,19532,19562,19625,19655,19676,19732,19771,19827,19847,19871,19891,19907,19927,19950,19966,19979,19980,20034,20052,20099,20133,20162,20192,20226,20280,20341,20391,20412,20472,20494,20521,20552,20609,20639,20669,20694,20751,20794,20825,20864,20899,20940,21058,21120,21195,21261,21261,21261,21261,21282,21316,21326,21352,21395,21436,21454,21474,21520,21557,21600,21665,21691,21724,21752,21755,21788,21816,21844,21872,21894,21925,21935,21966,21995,21999,22030,22087,22119,22145,22168,22197,22251,22276,22304,22331,22363,22406,22439,22473,22510,22579,22633,22692,22734,22774,22827,22876,22959,23031,23107,23173,23221,23323,23391,23495,23569,23639,23738,23845,23945,24066,24172,24259,24408,24527,24648,24795
