county,Population,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28
"Cook, Illinois, US",5150233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,9,9,14,18,20,28,40,44,61,95,107,141,167,186,209,249,310,352,399,455,485,543,577,630,722,760,860,877,915,1002,1072,1142,1220,1267,1313,1347,1457,1516,1607,1673,1743,1786,1802,1922,2004,2110,2197,2264,2317,2361,2449,2589,2675,2762,2814,2839,2889,2980,3074,3114,3187,3246,3304,3324,3354,3455,3519,3570,3603,3642,3658,3726,3780,3846,3880,3913,3944,3959,4010,4053,4111,4162,4173,4189,4206,4253,4304,4333,4363,4390,4404,4423,4439,4478,4500,4526,4536,4542,4554,4565,4581,4609,4618,4622,4627,4630,4651,4664,4676,4693,4711,4725,4729,4741,4745,4750,4765,4774,4776,4777,4788,4801,4810,4822,4829,4830,4842,4857,4864,4872,4886,4888,4894,4897,4902,4909,4912,4920,4924,4928,4928,4933,4934,4943,4951,4953,4962,4964,4974,4984,4988,4997,5008,5013,5015,5022,5031,5039,5045,5046,5054,5058,5065,5073,5080,5086,5092,5094,5097,5098,5100,5103,5112,5128,5133,5134,5137,5146,5147,5150,5157,5162,5167,5172,5180,5187,5194,5203,5210,5217,5221,5225,5229,5239,5245,5256,5260,5268,5273,5279,5289,5298,5300,5304,5315,5321,5332,5339,5350,5357,5364,5369,5382,5390,5392,5409,5421,5433,5439,5450,5463,5469,5485,5500,5510,5517,5541,5574,5742,5770,5798,5808,5828,5881,5889,5895,5976,5996,6016,6035,6120,6148,6201,6261,6303,6339,6389,6414,6450,6476,6568,6595,6669,6695,6768,6823,6852,6922,6951,7018,7051,7134,7203,7282,7319,7340,7440,7458,7505,7574,7654,7681,7724,7802,7853,7908,7954,8031,8060,8114,8137
"Harris, Texas, US",4713325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,4,5,6,10,11,13,17,20,25,29,31,36,47,54,58,63,71,74,79,86,92,98,105,112,119,124,131,134,143,150,154,159,166,171,176,179,184,191,196,199,203,211,214,221,227,231,234,236,238,241,249,254,262,269,272,273,278,283,288,292,294,305,311,315,322,328,332,343,345,349,356,363,371,377,383,386,394,395,399,405,415,429,438,446,453,463,475,481,494,502,509,520,538,550,565,584,596,615,631,651,680,702,731,759,786,821,855,889,924,955,981,1017,1052,1089,1117,1147,1170,1203,1235,1264,1295,1323,1334,1352,1362,1376,1394,1400,1404,1408,1409,1409,1409,1409,1409,1459,1514,1562,1575,1583,1616,1679,1713,1771,1812,1829,1838,1875,1920,1953,1978,2011,2028,2030,2072,2106,2140,2153,2177,2188,2192,2208,2247,2281,2300,2327,2335,2335,2342,2363,2363,2395,2414,2420,2423,2440,2458,2470,2483,2498,2504,2505,2518,2535,2548,2555,2572,2576,2576,2588,2599,2607,2615,2624,2626,2628,2632,2647,2657,2668,2675,2682,2682,2689,2698,2708,2718,2726,2728,2729,2735,2750,2750,2759,2775,2783,2783,2785,2791,2800,2806,2809,2811,2814,2823,2841,2851,2854,2865,2866,2866,2871,2877,2895,2895,2908,2909,2910,2919,2928,2943,2954,2964,2965,2965,2974,2984,2992,2995,3001,3009,3009,3013,3023,3032,3046,3060,3067,3069,3086,3103,3110,3128,3142,3150,3150,3162,3178,3203,3215,3233,3242,3245,3260,3283,3306,3328,3328,3331,3332
"Milwaukee, Wisconsin, US",945726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,4,9,10,13,15,20,25,34,42,51,61,63,69,74,86,96,100,106,110,113,117,123,130,135,144,150,153,159,167,169,173,178,185,189,198,208,211,218,223,230,232,235,236,237,246,249,257,259,264,267,272,272,275,277,279,282,287,288,291,297,300,305,311,317,326,331,333,335,338,342,342,344,349,352,354,355,358,365,367,370,372,376,380,382,386,386,388,388,393,396,397,398,399,401,405,406,407,407,408,408,409,409,410,411,412,413,414,416,416,417,420,421,425,426,428,429,432,434,436,441,444,446,448,450,450,454,455,458,459,461,464,466,468,468,471,473,475,476,477,482,482,482,484,488,489,490,491,491,493,496,498,500,502,504,507,508,510,511,513,515,515,517,519,521,521,522,526,527,528,528,531,534,535,535,535,535,535,536,537,539,539,539,542,542,545,545,548,548,548,551,552,552,553,554,555,555,556,558,561,563,563,564,564,565,569,572,573,575,579,581,586,591,595,598,603,608,609,616,621,623,629,630,632,636,638,639,641,642,642,643,643,644,644,650,652,652,652,666,677,689,698,708,709,709,730,735,740,742,745,747,748,758,769,780,784,788,789,789,801,814,820,824,826,829,830,833,848,859,871,920,921,921,958,966,971,971,971,971,971
