State,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27
AK,-0.09144542772861353,-0.05014749262536866,-0.22123893805309724,-0.11504424778761058,-0.11209439528023579,-0.09734513274336276,-0.08849557522123885,-0.07964601769911495,-0.07079646017699104,-0.08259587020648962,-0.09144542772861353,-0.0648967551622418,-0.05309734513274322,-0.03834808259587008,-0.0265486725663715,0.0,-0.07669616519174027,-0.0648967551622418,-0.05014749262536866,-0.07079646017699104,-0.06194690265486713,-0.044247787610619316,-0.044247787610619316,-0.11504424778761058,-0.09144542772861353,-0.09439528023598798,-0.10914454277286134,-0.12389380530973448,-0.11504424778761058,-0.08259587020648962,-0.16519174041297924,-0.2359882005899705,-0.26843657817109134,-0.327433628318584,-0.34218289085545706,-0.3569321533923303,-0.35398230088495575,-0.4336283185840707,-0.4542772861356932,-0.4778761061946901,-0.4808259587020648,-0.5044247787610618,-0.4896755162241887,-0.5162241887905605,-0.5132743362831858,-0.486725663716814,-0.47492625368731567,-0.5191740412979351,-0.5044247787610618,-0.49557522123893794,-0.4837758112094396,-0.4985250737463126,-0.4985250737463126,-0.5014749262536873,-0.4985250737463126,-0.5073746312684366,-0.4837758112094396,-0.5604719764011798,-0.4985250737463126,-0.47492625368731567,-0.44837758112094395,-0.4631268436578171,-0.4542772861356932,-0.4218289085545722,-0.43067846607669613,-0.43657817109144537,-0.44837758112094395,-0.43657817109144537,-0.4424778761061946,-0.43657817109144537,-0.38053097345132747,-0.3657817109144542,-0.3775811209439527,-0.38348082595870203,-0.3687315634218288,-0.3864306784660766,-0.3657817109144542,-0.3008849557522123,-0.3303834808259587,-0.3480825958702064,-0.32448377581120935,-0.3215339233038348,-0.35398230088495575,-0.3480825958702064,-0.26843657817109134,-0.2625368731563421,-0.327433628318584,-0.3097345132743362,-0.28613569321533916,-0.31563421828908544,-0.2920353982300884,-0.25073746312684353,-0.22123893805309724,-0.2920353982300884,-0.2802359882005899,-0.2654867256637168,-0.29498525073746307,-0.28613569321533916,-0.25958702064896744,-0.25958702064896744,-0.46607669616519176,-0.25958702064896744,-0.2359882005899705,-0.23303834808259583,-0.2448377581120944,-0.1976401179941003,-0.18289085545722705,-0.2064896755162241,-0.22123893805309724,-0.19174041297935096,-0.215339233038348,-0.215339233038348,-0.15634218289085533,-0.12389380530973448,-0.215339233038348,-0.2064896755162241,-0.1681415929203539,-0.1799410029498525,-0.19174041297935096,-0.08259587020648962,-0.08259587020648962,-0.1681415929203539,-0.18289085545722705,-0.1799410029498525,-0.1887905604719764,-0.21238938053097334,-0.13864306784660752,-0.10029498525073743,-0.17699115044247782,-0.1799410029498525,-0.1681415929203539,-0.1681415929203539,-0.19469026548672552,-0.10029498525073743
AL,-0.07917888563049857,-0.11436950146627578,-0.1407624633431085,-0.13196480938416422,-0.09384164222873903,-0.14369501466275658,-0.08211143695014655,-0.04985337243401755,-0.058651026392961825,-0.12609970674486815,-0.08211143695014655,-0.04105571847507328,-0.05278592375366575,-0.05278592375366575,-0.0029325513196482023,0.0,-0.07624633431085048,-0.04105571847507328,-0.09384164222873903,-0.08211143695014655,-0.058651026392961825,-0.011730205278592476,-0.017595307917888547,-0.058651026392961825,-0.07917888563049857,-0.0674486803519061,-0.06451612903225823,-0.08504398826979476,-0.0703812316715543,-0.13489736070381242,-0.14956011730205276,-0.2052785923753666,-0.23167155425219943,-0.2756598240469208,-0.32551319648093846,-0.3079178885630499,-0.3812316715542522,-0.3782991202346041,-0.36656891495601174,-0.3519061583577713,-0.36950146627565983,-0.3870967741935484,-0.36363636363636365,-0.42228739002932547,-0.40175953079178894,-0.4193548387096775,-0.36656891495601174,-0.40175953079178894,-0.407624633431085,-0.4134897360703812,-0.4897360703812317,-0.43401759530791795,-0.4486803519061583,-0.439882697947214,-0.439882697947214,-0.46920821114369504,-0.42228739002932547,-0.5894428152492669,-0.4164222873900294,-0.4046920821114369,-0.36363636363636365,-0.39002932551319647,-0.4105571847507332,-0.36363636363636365,-0.49266862170087977,-0.3753665689149561,-0.36656891495601174,-0.36950146627565983,-0.4428152492668622,-0.3870967741935484,-0.346041055718475,-0.3841642228739004,-0.3489736070381232,-0.3489736070381232,-0.36950146627565983,-0.33431085043988273,-0.32258064516129037,-0.2727272727272728,-0.310850439882698,-0.29325513196480946,-0.29325513196480946,-0.28445747800586507,-0.29912023460410564,-0.3372434017595308,-0.22580645161290325,-0.2727272727272728,-0.2668621700879765,-0.26099706744868045,-0.2492668621700881,-0.2727272727272728,-0.28739002932551316,-0.21700879765395897,-0.2697947214076247,-0.26392961876832843,-0.2492668621700881,-0.22287390029325516,-0.23460410557184752,-0.25513196480938416,-0.19354838709677424,-0.2434017595307918,-0.4193548387096775,-0.2668621700879765,-0.25806451612903236,-0.23167155425219943,-0.2434017595307918,-0.14662756598240478,-0.1788856304985338,-0.2082111436950147,-0.21994134897360706,-0.20234604105571852,-0.22873900293255134,-0.24633431085043989,-0.15835777126099715,-0.23460410557184752,-0.26099706744868045,-0.2434017595307918,-0.2082111436950147,-0.19941348973607043,-0.21700879765395897,-0.11143695014662758,-0.15542521994134906,-0.2052785923753666,-0.2052785923753666,-0.19648093841642233,-0.20234604105571852,-0.2111436950146628,-0.0997067448680351,-0.1700879765395894,-0.22580645161290325,-0.23167155425219943,-0.21407624633431088,-0.21700879765395897,-0.22580645161290325,-0.11730205278592376
AR,-0.09337349397590355,-0.07831325301204817,-0.14457831325301207,-0.11144578313253017,-0.07530120481927705,-0.0843373493975903,-0.06927710843373491,-0.07228915662650603,-0.09036144578313265,-0.08734939759036142,-0.06024096385542166,-0.02409638554216864,-0.02108433734939763,-0.015060240963855387,-0.009036144578313254,0.0,-0.03614457831325302,-0.009036144578313254,-0.030120481927710885,-0.01807228915662651,-0.030120481927710885,-0.01807228915662651,-0.003012048192771122,-0.06927710843373491,-0.030120481927710885,-0.04216867469879515,-0.03614457831325302,-0.0813253012048194,-0.12048192771084332,-0.12048192771084332,-0.1807228915662651,-0.20180722891566272,-0.22590361445783136,-0.2530120481927711,-0.2831325301204819,-0.27409638554216864,-0.3644578313253012,-0.3343373493975903,-0.34337349397590367,-0.3313253012048193,-0.3313253012048193,-0.35542168674698793,-0.3614457831325302,-0.3313253012048193,-0.3674698795180723,-0.34337349397590367,-0.3132530120481928,-0.34036144578313254,-0.37048192771084343,-0.39156626506024095,-0.39156626506024095,-0.3674698795180723,-0.37048192771084343,-0.35542168674698793,-0.3614457831325302,-0.39156626506024095,-0.3825301204819277,-0.4819277108433736,-0.35843373493975905,-0.3493975903614458,-0.286144578313253,-0.30722891566265065,-0.3493975903614458,-0.28915662650602414,-0.3795180722891567,-0.30722891566265065,-0.29518072289156627,-0.3493975903614458,-0.3162650602409639,-0.32831325301204817,-0.286144578313253,-0.29216867469879515,-0.29216867469879515,-0.29216867469879515,-0.27108433734939763,-0.2650602409638554,-0.25903614457831325,-0.22289156626506024,-0.2680722891566265,-0.2620481927710844,-0.24397590361445787,-0.23795180722891573,-0.2620481927710844,-0.2650602409638554,-0.19277108433734946,-0.2168674698795181,-0.24397590361445787,-0.27710843373493976,-0.22289156626506024,-0.24397590361445787,-0.2680722891566265,-0.22590361445783136,-0.21987951807228923,-0.2168674698795181,-0.21385542168674698,-0.19277108433734946,-0.20783132530120485,-0.22289156626506024,-0.1837349397590362,-0.20180722891566272,-0.40963855421686746,-0.24397590361445787,-0.21385542168674698,-0.2168674698795181,-0.19879518072289148,-0.1325301204819278,-0.13554216867469882,-0.1807228915662651,-0.1837349397590362,-0.17168674698795183,-0.19277108433734946,-0.20481927710843373,-0.13554216867469882,-0.13855421686746983,-0.24096385542168675,-0.18975903614457823,-0.1656626506024097,-0.17469879518072295,-0.1837349397590362,-0.12048192771084332,-0.12349397590361455,-0.17771084337349397,-0.17771084337349397,-0.17771084337349397,-0.17168674698795183,-0.1837349397590362,-0.12349397590361455,-0.13855421686746983,-0.20783132530120485,-0.19578313253012047,-0.17469879518072295,-0.17771084337349397,-0.19879518072289148,-0.12349397590361455
AZ,-0.05572755417956665,-0.04024767801857576,-0.11764705882352944,-0.04024767801857576,-0.034055727554179516,-0.04334365325077394,-0.05263157894736836,-0.10835913312693501,-0.02786377708978327,-0.030959752321981338,-0.024767801857585092,-0.009287925696594423,-0.018575851393188847,-0.018575851393188847,-0.024767801857585092,0.0,-0.024767801857585092,-0.015479876160990669,-0.018575851393188847,-0.021671826625387136,-0.024767801857585092,-0.02786377708978327,-0.018575851393188847,-0.05263157894736836,-0.07120743034055732,-0.09287925696594423,-0.10835913312693501,-0.13003095975232204,-0.09907120743034059,-0.09907120743034059,-0.1578947368421053,-0.20123839009287925,-0.3034055727554179,-0.31269349845201244,-0.33746130030959753,-0.3312693498452013,-0.3746130030959752,-0.38390092879256965,-0.38699690402476783,-0.3993808049535603,-0.41795665634674917,-0.436532507739938,-0.4024767801857585,-0.4241486068111455,-0.40866873065015474,-0.41795665634674917,-0.4489164086687307,-0.45820433436532515,-0.45820433436532515,-0.44582043343653255,-0.4643962848297214,-0.4613003095975231,-0.45820433436532515,-0.47058823529411764,-0.4643962848297214,-0.4767801857585139,-0.45510835913312697,-0.5232198142414861,-0.4674922600619196,-0.4489164086687307,-0.42105263157894746,-0.436532507739938,-0.4489164086687307,-0.4117647058823529,-0.4241486068111455,-0.436532507739938,-0.43343653250773995,-0.43343653250773995,-0.44272445820433437,-0.44582043343653255,-0.40866873065015474,-0.41795665634674917,-0.4241486068111455,-0.41795665634674917,-0.41795665634674917,-0.41795665634674917,-0.4117647058823529,-0.38390092879256965,-0.38699690402476783,-0.4024767801857585,-0.3931888544891641,-0.4055727554179567,-0.4055727554179567,-0.39628482972136225,-0.3529411764705882,-0.3405572755417957,-0.3808049535603715,-0.368421052631579,-0.3653250773993808,-0.3746130030959752,-0.3746130030959752,-0.328173374613003,-0.3188854489164086,-0.3436532507739938,-0.3405572755417957,-0.32198142414860687,-0.32507739938080493,-0.33436532507739936,-0.2910216718266254,-0.281733746130031,-0.45510835913312697,-0.33746130030959753,-0.33436532507739936,-0.33436532507739936,-0.3436532507739938,-0.2786377708978328,-0.281733746130031,-0.328173374613003,-0.328173374613003,-0.328173374613003,-0.33436532507739936,-0.3405572755417957,-0.2693498452012384,-0.26315789473684215,-0.31269349845201244,-0.31269349845201244,-0.32507739938080493,-0.3312693498452013,-0.33436532507739936,-0.26006191950464397,-0.2569659442724458,-0.328173374613003,-0.32198142414860687,-0.32507739938080493,-0.328173374613003,-0.3405572755417957,-0.281733746130031,-0.27244582043343657,-0.34984520123839014,-0.3405572755417957,-0.33746130030959753,-0.34674922600619196,-0.35913312693498456,-0.2972136222910218
CA,-0.03833865814696491,-0.025559105431310014,-0.17252396166134198,-0.03194888178913746,-0.03833865814696491,-0.03194888178913746,-0.03514376996805124,-0.05111821086261992,-0.012779552715655007,-0.019169329073482455,-0.012779552715655007,-0.009584664536741228,-0.009584664536741228,-0.012779552715655007,-0.019169329073482455,-0.025559105431310014,-0.009584664536741228,0.0,-0.025559105431310014,-0.022364217252396235,-0.04153354632587869,-0.054313099041533586,-0.04472843450479236,-0.05111821086261992,-0.09584664536741216,-0.07348242811501604,-0.12779552715654963,-0.1437699680511183,-0.17891373801916943,-0.19169329073482444,-0.25559105431309914,-0.3290734824281152,-0.3801916932907349,-0.40894568690095845,-0.4568690095846646,-0.45047923322683725,-0.4824281150159745,-0.4952076677316295,-0.5015974440894568,-0.5047923322683707,-0.5079872204472844,-0.514376996805112,-0.48881789137380194,-0.49840255591054317,-0.5015974440894568,-0.5047923322683707,-0.4952076677316295,-0.514376996805112,-0.5079872204472844,-0.49840255591054317,-0.5335463258785943,-0.5527156549520766,-0.549520766773163,-0.5527156549520766,-0.5750798722044729,-0.5591054313099042,-0.4920127795527157,-0.5654952076677316,-0.5271565495207668,-0.5111821086261981,-0.514376996805112,-0.549520766773163,-0.5527156549520766,-0.5015974440894568,-0.514376996805112,-0.5431309904153355,-0.5399361022364217,-0.5399361022364217,-0.5399361022364217,-0.5399361022364217,-0.4792332268370607,-0.4952076677316295,-0.5239616613418531,-0.5207667731629393,-0.5175718849840255,-0.5111821086261981,-0.49840255591054317,-0.440894568690096,-0.44728434504792336,-0.48562300319488827,-0.4824281150159745,-0.4920127795527157,-0.49840255591054317,-0.4824281150159745,-0.40894568690095845,-0.40894568690095845,-0.48562300319488827,-0.4824281150159745,-0.4792332268370607,-0.48562300319488827,-0.47603833865814704,-0.40894568690095845,-0.42172523961661357,-0.4792332268370607,-0.4664536741214058,-0.46006389776357837,-0.4568690095846646,-0.44728434504792336,-0.3801916932907349,-0.3865814696485623,-0.5718849840255591,-0.44728434504792336,-0.4440894568690096,-0.4440894568690096,-0.43769968051118213,-0.3514376996805112,-0.36741214057508,-0.45047923322683725,-0.440894568690096,-0.4281150159744409,-0.42492012779552724,-0.4185303514376997,-0.3258785942492013,-0.3226837060702876,-0.4025559105431311,-0.4025559105431311,-0.4025559105431311,-0.39936102236421733,-0.3929712460063899,-0.2971246006389776,-0.29392971246006394,-0.38338658146964866,-0.38338658146964866,-0.3865814696485623,-0.3865814696485623,-0.3865814696485623,-0.2875399361022364,-0.2971246006389776,-0.39616613418530355,-0.3897763578274761,-0.3897763578274761,-0.3897763578274761,-0.3929712460063899,-0.3003194888178915
CO,-0.044303797468354444,-0.015822784810126556,-0.110759493670886,-0.07594936708860744,-0.07594936708860744,-0.044303797468354444,-0.02215189873417711,-0.012658227848101111,-0.07594936708860744,-0.015822784810126556,-0.06012658227848089,-0.012658227848101111,-0.015822784810126556,-0.006329113924050556,-0.009493670886075778,-0.009493670886075778,-0.018987341772151667,0.0,-0.012658227848101111,-0.018987341772151667,-0.02215189873417711,-0.009493670886075778,-0.015822784810126556,-0.0031645569620252223,-0.031645569620253,-0.028481012658227667,-0.06329113924050622,-0.14873417721518978,-0.15506329113924044,-0.18354430379746833,-0.2120253164556961,-0.32594936708860756,-0.35443037974683544,-0.5253164556962024,-0.4810126582278481,-0.4177215189873418,-0.43354430379746833,-0.42721518987341767,-0.4588607594936708,-0.47468354430379744,-0.5569620253164557,-0.5759493670886076,-0.5411392405063291,-0.5284810126582278,-0.5253164556962024,-0.509493670886076,-0.5221518987341771,-0.5791139240506329,-0.5601265822784809,-0.5158227848101264,-0.5126582278481012,-0.5158227848101264,-0.5221518987341771,-0.5253164556962024,-0.5348101265822784,-0.5379746835443038,-0.490506329113924,-0.6424050632911391,-0.5917721518987341,-0.5443037974683544,-0.509493670886076,-0.6075949367088607,-0.5284810126582278,-0.4810126582278481,-0.4810126582278481,-0.48417721518987333,-0.5,-0.5031645569620253,-0.509493670886076,-0.5063291139240506,-0.4430379746835442,-0.4588607594936708,-0.4493670886075948,-0.4620253164556961,-0.45569620253164556,-0.46518987341772144,-0.4430379746835442,-0.4177215189873418,-0.3892405063291139,-0.420886075949367,-0.420886075949367,-0.430379746835443,-0.43670886075949367,-0.42405063291139233,-0.36392405063291144,-0.3481012658227848,-0.43354430379746833,-0.4177215189873418,-0.40506329113924044,-0.4177215189873418,-0.4177215189873418,-0.3481012658227848,-0.33544303797468356,-0.36708860759493656,-0.3797468354430379,-0.370253164556962,-0.36392405063291144,-0.36392405063291144,-0.32594936708860756,-0.37341772151898733,-0.4810126582278481,-0.35759493670886067,-0.360759493670886,-0.3481012658227848,-0.3481012658227848,-0.2721518987341772,-0.2594936708860759,-0.3132911392405062,-0.3322784810126581,-0.3291139240506329,-0.3322784810126581,-0.3322784810126581,-0.28481012658227844,-0.23734177215189867,-0.3037974683544302,-0.34493670886075944,-0.3101265822784809,-0.3132911392405062,-0.3196202531645569,-0.2405063291139239,-0.21835443037974678,-0.2911392405063291,-0.300632911392405,-0.300632911392405,-0.30696202531645567,-0.31645569620253156,-0.21518987341772144,-0.21518987341772144,-0.2911392405063291,-0.29746835443037967,-0.29430379746835433,-0.29430379746835433,-0.3101265822784809,-0.20886075949367078
CT,-0.04615384615384599,-0.05230769230769228,-0.13538461538461533,-0.10461538461538455,-0.05846153846153834,-0.055384615384615254,-0.06769230769230761,-0.006153846153846065,0.0,-0.04307692307692301,-0.06461538461538452,-0.04923076923076919,-0.04923076923076919,-0.04615384615384599,-0.024615384615384595,-0.006153846153846065,-0.036923076923076725,-0.03384615384615386,-0.039999999999999925,-0.03076923076923066,-0.05846153846153834,-0.01538461538461533,-0.01538461538461533,-0.036923076923076725,-0.06153846153846154,-0.07384615384615367,-0.09538461538461529,-0.18153846153846143,-0.1446153846153846,-0.19999999999999996,-0.24615384615384617,-0.34769230769230763,-0.3569230769230769,-0.41230769230769226,-0.41538461538461535,-0.39076923076923076,-0.4461538461538461,-0.5230769230769231,-0.4953846153846154,-0.5261538461538462,-0.4984615384615384,-0.5076923076923077,-0.5015384615384615,-0.563076923076923,-0.5230769230769231,-0.52,-0.5076923076923077,-0.5353846153846153,-0.5599999999999999,-0.5015384615384615,-0.5353846153846153,-0.5169230769230769,-0.52,-0.5507692307692307,-0.5753846153846154,-0.5876923076923077,-0.5015384615384615,-0.6061538461538462,-0.6276923076923077,-0.5107692307692306,-0.5076923076923077,-0.5230769230769231,-0.5323076923076924,-0.5323076923076924,-0.4769230769230769,-0.5107692307692306,-0.5476923076923077,-0.5169230769230769,-0.52,-0.5507692307692307,-0.4276923076923077,-0.5353846153846153,-0.5169230769230769,-0.47076923076923083,-0.4953846153846154,-0.5323076923076924,-0.4953846153846154,-0.38769230769230767,-0.39076923076923076,-0.46461538461538454,-0.43999999999999995,-0.48,-0.4553846153846153,-0.4923076923076922,-0.4246153846153846,-0.38769230769230767,-0.47076923076923083,-0.43999999999999995,-0.4307692307692307,-0.4307692307692307,-0.4492307692307692,-0.3569230769230769,-0.3753846153846153,-0.4246153846153846,-0.4092307692307692,-0.3815384615384616,-0.38461538461538447,-0.38769230769230767,-0.37230769230769234,-0.30153846153846153,-0.5476923076923077,-0.3784615384615384,-0.36923076923076914,-0.39076923076923076,-0.39692307692307693,-0.2615384615384615,-0.2553846153846153,-0.34153846153846146,-0.3507692307692307,-0.34153846153846146,-0.3323076923076922,-0.36923076923076914,-0.24615384615384617,-0.2369230769230769,-0.3138461538461538,-0.3138461538461538,-0.3138461538461538,-0.36,-0.3138461538461538,-0.19384615384615378,-0.19384615384615378,-0.29230769230769227,-0.2892307692307692,-0.2861538461538461,-0.29538461538461536,-0.30153846153846153,-0.18461538461538463,-0.18461538461538463,-0.29846153846153844,-0.29230769230769227,-0.29538461538461536,-0.2830769230769231,-0.30153846153846153,-0.22769230769230764
DC,-0.0841121495327104,-0.03738317757009346,-0.3800623052959502,-0.10591900311526481,-0.09657320872274144,-0.08099688473520261,-0.09968847352024923,-0.04361370716510904,-0.024922118380062308,-0.04984423676012473,-0.034267912772585674,-0.034267912772585674,-0.031152647975077996,-0.04361370716510904,-0.09657320872274144,-0.04672897196261683,-0.03738317757009346,-0.02180685358255463,-0.0031152647975078995,-0.028037383177570097,-0.05607476635514019,-0.052959501557632405,0.0,-0.04361370716510904,-0.06230529595015577,-0.08099688473520261,-0.14641744548286606,-0.2149532710280374,-0.2741433021806855,-0.3489096573208723,-0.42056074766355145,-0.5233644859813085,-0.5638629283489096,-0.5856697819314642,-0.588785046728972,-0.5545171339563864,-0.5825545171339563,-0.6697819314641744,-0.6573208722741433,-0.6978193146417445,-0.6791277258566978,-0.6666666666666667,-0.6417445482866044,-0.6230529595015577,-0.6697819314641744,-0.7102803738317757,-0.7009345794392524,-0.7133956386292835,-0.691588785046729,-0.6448598130841121,-0.6448598130841121,-0.6978193146417445,-0.7258566978193146,-0.719626168224299,-0.7289719626168224,-0.7258566978193146,-0.6448598130841121,-0.67601246105919,-0.7414330218068537,-0.7133956386292835,-0.7133956386292835,-0.7320872274143303,-0.7102803738317757,-0.6510903426791278,-0.6448598130841121,-0.7071651090342679,-0.719626168224299,-0.7133956386292835,-0.7289719626168224,-0.7227414330218069,-0.6386292834890965,-0.6697819314641744,-0.7071651090342679,-0.7133956386292835,-0.6978193146417445,-0.7445482866043613,-0.6853582554517135,-0.5856697819314642,-0.6230529595015577,-0.6791277258566978,-0.6884735202492211,-0.7165109034267914,-0.6853582554517135,-0.6978193146417445,-0.6074766355140186,-0.5856697819314642,-0.7009345794392524,-0.691588785046729,-0.6791277258566978,-0.691588785046729,-0.6666666666666667,-0.5763239875389408,-0.5981308411214953,-0.6822429906542056,-0.6822429906542056,-0.6822429906542056,-0.6822429906542056,-0.6853582554517135,-0.5545171339563864,-0.5794392523364487,-0.7538940809968848,-0.6666666666666667,-0.6697819314641744,-0.6791277258566978,-0.6448598130841121,-0.4859813084112149,-0.4922118380062306,-0.6386292834890965,-0.6479750778816199,-0.632398753894081,-0.6542056074766356,-0.6386292834890965,-0.42367601246105924,-0.47663551401869153,-0.6199376947040499,-0.632398753894081,-0.6417445482866044,-0.6479750778816199,-0.6105919003115265,-0.47040498442367606,-0.47352024922118385,-0.6168224299065421,-0.6230529595015577,-0.6510903426791278,-0.632398753894081,-0.5981308411214953,-0.501557632398754,-0.47040498442367606,-0.6292834890965733,-0.6168224299065421,-0.604361370716511,-0.6168224299065421,-0.5919003115264798,-0.47352024922118385
DE,-0.012012012012012074,-0.06306306306306309,-0.1141141141141142,-0.057057057057057214,-0.07207207207207211,-0.06606606606606613,-0.08708708708708712,-0.012012012012012074,-0.042042042042042205,-0.07207207207207211,-0.10210210210210213,-0.06306306306306309,-0.06906906906906907,-0.06606606606606613,-0.01501501501501512,-0.05105105105105123,-0.04504504504504503,-0.042042042042042205,-0.04504504504504503,-0.042042042042042205,-0.09609609609609615,0.0,-0.021021021021021102,-0.05105105105105123,-0.06606606606606613,-0.07207207207207211,-0.0780780780780781,-0.12312312312312312,-0.11111111111111116,-0.1921921921921922,-0.20120120120120122,-0.2942942942942943,-0.3303303303303303,-0.3933933933933934,-0.38738738738738754,-0.3783783783783785,-0.45945945945945954,-0.45945945945945954,-0.49549549549549554,-0.5285285285285286,-0.4714714714714715,-0.49549549549549554,-0.5195195195195196,-0.5225225225225225,-0.4864864864864865,-0.5045045045045045,-0.48048048048048053,-0.4924924924924925,-0.5165165165165166,-0.4984984984984986,-0.5255255255255256,-0.4864864864864865,-0.5105105105105106,-0.49549549549549554,-0.5255255255255256,-0.5705705705705706,-0.4774774774774775,-0.6156156156156156,-0.5915915915915916,-0.4984984984984986,-0.4864864864864865,-0.49549549549549554,-0.5195195195195196,-0.4864864864864865,-0.49549549549549554,-0.48948948948948956,-0.5105105105105106,-0.48048048048048053,-0.5075075075075075,-0.5405405405405406,-0.41141141141141147,-0.5405405405405406,-0.48948948948948956,-0.45345345345345345,-0.4654654654654655,-0.5015015015015015,-0.4624624624624625,-0.3573573573573574,-0.4444444444444444,-0.43243243243243246,-0.42342342342342343,-0.4714714714714715,-0.4294294294294295,-0.47447447447447455,-0.3783783783783785,-0.39039039039039036,-0.45345345345345345,-0.43243243243243246,-0.41741741741741745,-0.41741741741741745,-0.4294294294294295,-0.33933933933933935,-0.40240240240240244,-0.4144144144144144,-0.4054054054054055,-0.4054054054054055,-0.3843843843843844,-0.45345345345345345,-0.3303303303303303,-0.37537537537537546,-0.5525525525525525,-0.39039039039039036,-0.3693693693693695,-0.38738738738738754,-0.3993993993993994,-0.2552552552552553,-0.2942942942942943,-0.33333333333333337,-0.33933933933933935,-0.33933933933933935,-0.32432432432432434,-0.35435435435435436,-0.22522522522522526,-0.23423423423423428,-0.30330330330330335,-0.29729729729729737,-0.3063063063063064,-0.3303303303303303,-0.3003003003003004,-0.15915915915915924,-0.19519519519519524,-0.27327327327327333,-0.26726726726726735,-0.2852852852852853,-0.2642642642642643,-0.2942942942942943,-0.15315315315315325,-0.18018018018018023,-0.2792792792792793,-0.2762762762762764,-0.25225225225225234,-0.2432432432432433,-0.27327327327327333,-0.14714714714714727
